8/5pk1/2R3p1/7p/5P2/r4K2/6PP/8 w - -,f3f2
8/4PK2/8/2p2p2/2Pp4/3k4/8/8 b - -,d3c4
8/3bk1pp/3r1p2/PPN5/2P5/4K3/7P/8 b - -,d7b5
r3qrk1/pp1bp1b1/3p1ppn/2pP3p/2P1PP1N/6PP/PP4B1/R1BQR1K1 b - f3,g8h7
rn1qk2r/pbnpbppp/4p3/2p1P3/2P5/P2B1N2/1P2QPPP/RNB2RK1 w kq -,b1c3
r1bqk2r/pp3ppp/2n2n2/2bp4/8/2PB1N2/PP3PPP/RNBQK2R w KQkq -,e1g1
8/8/3R2k1/p5Pp/5P2/4K2P/r7/8 b - -,g6f7
q4bk1/1b3ppp/3p4/1Qp5/4R3/2P2N2/1P3PPP/2B3K1 b - -,b7e4
r3k2r/p1q2pb1/1pbppnpp/2p5/4PP2/P1NP1N1P/1PPB2P1/1R2QRK1 b kq -,d6d5
8/5pk1/3p2pp/4p3/4P3/4KP2/PP3Q2/6q1 b - -,g1c1
r1k3r1/2pq3p/1p6/p2Pn3/N1b1PN2/1P2P3/2Q3PP/2K1R3 b - -,d7b5
qr2rbk1/3n1p1p/2b2np1/1pp5/4P3/PPN1B1PP/2Q1NPB1/R2R2K1 w - -,f2f3
r2qkb1r/1b1n1ppp/pp1ppn2/8/2PNP3/2N1BB2/PP3PPP/R2QK2R w KQkq -,g2g4
8/4r1k1/R5P1/8/8/pB3K2/Pb6/8 w - -,b3f7
3r3r/1bk2p1p/p2pp3/8/PpN1Pb2/5BP1/1PP4P/1K1RR3 b - -,f4e5
8/8/6k1/6p1/6p1/4Pr2/4NPK1/8 w - -,e2g1
2nqr1k1/1p1b4/p2p2p1/2pPr3/2P1N3/3B3P/PP1Q1P2/1R2R1K1 w - -,d2h6
6k1/p3pn1p/5bp1/1r3p1P/3P4/1P3BR1/P1N2P2/4K3 b - -,g6g5
2r5/3b2k1/5p2/2r1pP1p/p7/R2B3P/3K4/6R1 b - -,g7f7
8/8/3k3R/4p3/3r2p1/4K3/8/8 b - -,d6d5
8/5p2/1p3kp1/2p1p3/P1b1P3/P3P1KB/8/8 w - -,h3d7
r1bqk2r/1ppp1ppp/p1n2n2/2b1p3/4P3/2NP2P1/PPP2PBP/R1BQK1NR w KQkq -,h2h3:g1e2
8/1p1bq1kp/p2n1pp1/2pP4/2P2Q2/3BP2P/P2NK1P1/8 b - -,b7b5
r5N1/7P/6K1/5P2/5kP1/1b6/8/8 b - -,b3g8
1R6/2r1ppkp/6p1/5b2/2P5/1p2PB2/5PPP/6K1 b - -,c7c4
4k2r/3q1pbp/p2P1pb1/1p2p3/2r1N3/PQ4N1/1P3PPP/2RR2K1 b k -,d7c6
2kr3r/pppnqp1n/4p1p1/3p2p1/3P1P2/3BP3/PPPNQ1PP/1KR4R b - -,c8b8
r1b2r2/3qppkp/p5p1/1p1P4/8/1Q6/PP2BPPP/2R1R1K1 w - -,b3g3
r7/8/2k4p/2pp1P2/3bp1P1/1P5P/r3N2R/1R2K3 b - -,d4e5
r4rk1/pp1b1pbp/3p1qp1/3Pp3/1p2P3/3P2P1/P2QNPBP/R4RK1 w - -,d2b4
6k1/1pq2pp1/p3pn2/7p/P4P2/2N5/1PP3PP/3Q3K w - h6,d1d4
r1b1k2r/pp1pppbp/2n3p1/q2NPn2/1PBP4/5N2/P4PPP/R1BQK2R b KQkq b3,a5d8
r4r1k/1b1n2p1/pqpbQn1p/1p6/P2P4/3B1N2/1P3PPP/R1BR2K1 w - -,f3h4
r1bq1rk1/pp3pp1/4p2p/2P5/5b1Q/3B1N2/PP3PPP/R3R1K1 w - -,h4f4
8/8/kp1N2n1/2pP2P1/p7/2K5/8/8 w - -,c3c4
6k1/4bpp1/4p3/p7/1p1P3p/4P1P1/PPN1qPP1/2Q3K1 w - -,g3h4
5q2/4pp1k/p2p2p1/3P4/Pr5p/3b3P/3B1PPQ/2bB2K1 w - -,d2b4
r1bq1r1k/pp2ppbp/n1p2np1/2P5/3P1B2/1QN2NP1/PP3PBP/R3R1K1 w - -,f3g5
r4rk1/ppq1ppb1/2p1bnpp/8/2PPP3/2N2N1P/P1Q2PP1/R1B2RK1 w - -,c3e2
r2qkbnr/ppp2ppp/2n5/4P3/2p3b1/4PN2/PP3PPP/RNBQKB1R w KQkq -,d1d8
r3b1k1/qn3ppp/N1n1p3/pQ1p4/3P4/1PB1PPP1/7P/R4BK1 w - -,b5d3
8/p7/P7/8/4p1k1/2p1K1P1/8/8 b - -,g4g3
1q2nbk1/5p2/1P1n2pp/p1BQ2N1/8/6PP/5PBK/8 w - -,g5f3
1r1k1Q2/1r6/4p3/1PpqPpN1/4n3/6PP/5P2/1R2R1K1 b - -,d8d7
rn1qkb1r/pp3ppp/2p1pn2/8/8/2P2QNP/PP1P1PP1/R1B1KB1R w KQkq -,d2d4
r5k1/p1pq1ppp/1p1pr3/8/2PPPP2/2PQ2P1/P5KP/R2R4 b - f3,a8e8
3r4/p4k1p/4b3/2p5/N2pKP2/6P1/P2R3P/8 b - -,e6d5
r1b1kbnr/ppq2ppp/4p3/3pP3/3Q4/5N2/PPP2PPP/R1B1KB1R b KQkq -,c7c2
1n2rr2/2p3bk/5qpp/1P6/3pP2N/6P1/1PBBQP1P/4R1K1 b - -,d4d3
3r2k1/1p5p/1P4p1/p2P1p2/2n2N2/4P2P/6P1/R5K1 b - -,d8a8
8/5nk1/pR4p1/5rP1/1PNp4/P4P2/5K2/8 w - -,b6b7
8/8/7p/2k2p2/1p6/2n2K1P/8/1R6 w - -,b1b4
r1bq1nk1/pp1nrppp/4p3/2Pp4/3P4/2NB1N2/PPQ2PPP/R4RK1 w - -,f1e1
5bk1/7p/3p2p1/3Pp1P1/q1p1Pp2/2Q2P2/PK3B2/8 b - -,f8e7
2r2r2/ppn3kp/4P1p1/2pN1p2/2Pb4/PP4PP/4R1K1/1B3R2 b - -,f8e8
2rr2k1/3q1ppp/pp2pb2/2n5/2P5/R1N1P1P1/P3RPBP/1Q4K1 b - -,f6c3
