1K6/6pk/P2Q4/8/6p1/8/2q4P/8 b - -,c2b2
2r2rk1/pb1nqppp/1p1n4/3p2PP/3P4/1pN1PB2/PQ1N1P2/3RK1R1 w - -,b2b3
r2q1rk1/pp2n1b1/4P1pp/3pR3/1P6/5B2/PB3PPP/R2Q2K1 b - -,g7e5
2rqkb1r/pp3pp1/2n1b2p/3pPp2/N2P4/1P3N2/PB3PPP/2RQ1RK1 b k -,f8e7
3r2k1/p4ppp/3nn3/p3B3/1P6/1b3P2/5KPP/1NR2B2 w - -,b4a5
r2qk2r/pp2bpp1/2nppn1p/2p4b/4P3/2PP1NNP/PPB2PP1/R1BQK2R b KQkq -,h5g6
5bk1/5pp1/3Np2p/4P3/5P1P/1P2Q1P1/7K/3q4 b - -,f8d6
r2q1k1r/1pp2p2/p1n1p1pp/3nP3/3P3P/8/PPP1NQP1/2KR1B1R w - -,g2g4
6k1/R4pp1/1p2r2p/2p5/4Pq2/1Q3P2/PP3P1P/6K1 b - -,e6d6
rn2k2r/1bqp1p2/pp2p1p1/4P1Qp/3N3P/2PB4/P1P2PP1/R4RK1 w kq -,g5f6
2b1r2k/1p4p1/p2P4/6p1/1P6/P4BB1/5K1P/8 b - -,b7b6
r2qk1nr/pbppnp2/1p4pp/4P1N1/2p2P2/2PB3Q/P5PP/R1B2RK1 w kq -,d3c4
2rr2k1/5p1p/2n2ppq/pR6/3P4/4PN2/P2Q1PP1/1R4K1 b - -,h6f8
1r2r3/1bq2pbk/3p1np1/1p4B1/2p1P3/P1PP3P/3Q2BN/R3R1K1 b - -,c4d3
r1b2rk1/pp2ppb1/2n3pp/5q2/3P1B2/3BPN2/P4PPP/RQ3RK1 b - -,f5h5
4r3/pk3p2/2p2p1p/8/1p6/3K4/1PPB2QP/3q4 w - -,d3d4
6r1/8/7K/5R2/7P/5pk1/8/8 b - -,g3g4
1r3r1k/3P1npp/2P2p2/5N2/3BP3/p5P1/1p4P1/5RK1 w - -,d4b2
r3k2r/pbpnq1pp/1p1p4/5p2/2Ppn1P1/2PBPN1P/P1Q2P1B/R3K1R1 w Qkq -,f3d4
8/3b4/3k4/6p1/5K2/2pB4/8/8 w - -,f4g5
2r1r1k1/1bqn3p/pp1p2p1/3P4/1PP1B3/2R3P1/P4BKP/4R1Q1 b - -,e8e4
2r3k1/5p2/5Rp1/P1P5/1P2q2p/K1Q5/5P2/8 w - -,f6d6
2n5/bp1k1B2/2P1p2p/p1PpPp2/P2P1P1B/7P/8/6K1 b - -,b7c6
r5k1/1pp2pp1/2n4p/p2P4/2P3q1/1P2QNN1/nP4PP/4R1K1 b - -,c6b4
4r3/2rn4/p2k1B2/1p6/1Q6/P2P2R1/1P2pqPP/4R2K b - -,f2c5
8/4k1pp/b4p2/P1R1n3/r7/6P1/6BP/3R2K1 b - -,g7g5
