7Q/4p3/pp1pq3/8/2P2k2/1P6/P5RK/8 w - -,h8h4
3k4/4R3/5K2/5P2/8/7p/8/5r2 w - -,e7h7
4r1k1/4r3/pp2q1pp/2p1Pn2/2PpQP2/1P5P/P4RPB/4R1K1 b - -,f5g7
2r3k1/p4pp1/1pq1pn1p/8/1PP2Q2/P3N1P1/5P1P/3R2K1 w - -,d1d6
3q1rk1/5ppp/b3p3/pp1pPP2/nPrQ4/P1P3P1/4N1BP/3R1RK1 w - -,d4d2
1r1q1rk1/1p5p/2p1n1p1/p2pPb2/P2P1p2/3B1P2/1PQ1N1PP/R2Rb1K1 w - -,d1e1
1q2r1k1/5p1p/2Rb2p1/3P1P2/P7/1P5P/3Q1B2/5K2 b - -,d6e5
r4rk1/3bbnpp/p2p1p2/qppPpP2/2P1P3/1P1QB2P/P1BN2P1/RR4K1 b - -,f8b8
2r5/p5k1/1bp1p2p/8/4p2P/4P3/PP3P2/2R2K2 w - -,c1c4
8/7p/1p6/1k1r1p2/1rpR1PP1/7P/4PK2/3R4 b - -,d5d4
r1bqkb1r/ppp1pp1p/2nP2p1/7n/3P4/5N2/PPP1BPPP/RNBQK2R b KQkq -,e7d6
4r3/pp4kp/1np3p1/4p3/4BrPQ/2PR4/q3PPKP/3R4 w - -,e4f5
5rk1/5p1p/p2p2n1/2qP1p2/2P1pP2/8/PQ2B1PP/5R1K b - c3,a6a5
r1b2rk1/2q2ppp/p1n1p3/b2p2Pn/Np2P3/4BP2/PPPQN2P/1K1R1B1R w - d6,e4d5
r4rk1/1p1nqpp1/2p1p2p/p2p4/PbPP4/1P2P1P1/1B2QPKP/R2RN3 b - -,f7f5
r3k2r/1p2p1bp/p1n1b1p1/4Pp2/2BP4/4BN2/P2K1PPP/2R4R b kq -,e6c4
r4r1k/1bp1q2B/pp2p3/2n3R1/2Pp3Q/8/PP3PPP/R5K1 b - -,e7g5
2b3k1/Q4pp1/p3pq1p/1p1n4/8/P4P1P/1PB3P1/4R2K w - -,a7b8
r2qk1nr/pp1bppbp/2np2p1/2p5/4P3/2NPB1P1/PPPQ1PBP/R3K1NR b KQkq -,h7h5
2k1r2r/pbNqn1b1/1pp2p2/3pnP1p/3N3B/7Q/PPP1B1PP/1K1R3R b - -,c8c7
6k1/p4pb1/2n3p1/4q3/3rrN2/2P2Q1P/P5P1/2R2RK1 w - -,c3d4
8/4n3/7R/5k2/5p2/5N2/r7/5K2 b - -,e7d5
rn1qkb1r/pp1b1ppp/1n2p3/1Bp5/P4P2/5N2/1PPP2PP/RNBQ1RK1 b kq -,f8e7
6k1/1pb3r1/pNb1r3/P1p1p1pp/4Pp2/3P1P1P/2PB1KP1/1R5R b - -,e6g6
rn2kn2/p1p1bppr/2q1p2p/3pPP1N/Pp1P4/2P2N2/1PQ3PP/R1B2RK1 w q -,f5f6
5rk1/1p5p/8/4B3/1bR4P/6Nb/5P2/3r1BK1 w - -,c4b4
r5k1/1q1bppbp/5np1/p7/pN6/2B1QP2/1PP1B1PP/R5K1 w - -,b4d3
q2rr1k1/1b2bppp/pp1ppn2/2n5/2PNP3/1PN1Q1PP/PB2RPB1/3R2K1 w - -,f2f4
r1b3k1/pp3p2/2n4p/6p1/2PN4/2P1r1P1/P3B1P1/2R2RK1 w - -,e2f3
r3r1k1/2q2ppp/p2p4/1p1Qp1b1/1P2P1P1/2P5/P1B2PP1/R3R1K1 b - -,c7c3
6b1/8/2k4P/2p4N/p5p1/P1KP4/8/8 w - -,c3d2
r5k1/5bpn/5p1p/2p1pP2/3bP1PP/1rN3Q1/1q1B3K/2RR1B2 w - -,g3e1
2kr3r/1p3ppp/p2bp3/4n2q/QP6/2P1BN2/P4PPP/1R3RK1 w - -,f3e5
r1bqr1k1/1p3ppp/1npb4/p2p3Q/3P4/PPN1P1P1/3R1PBP/2B2RK1 b - -,g7g6
2rk1n2/pp2bQ2/3q2p1/2pn2Np/3p4/P2P2N1/1PPB2PP/4R1K1 w - -,g3e4
8/5p1p/2p2N2/1p2nk2/8/RP1r3P/5KP1/8 w - -,f6h5
b1q4k/3r1pp1/p1pPp2p/P1Q1P3/1r6/1P1B4/5PPP/2R3K1 w - -,c5b4
8/5k1p/1pqr1pp1/p1np4/8/BPQ1PPP1/P5KP/3R4 b - -,c6b5
1r3r2/p3ppbk/6pp/2p1P2n/4bP1N/2N3P1/PP5P/3RK2R w K -,c3e4
r4rk1/pp2ppbp/1n3np1/3p1bB1/2pP4/2P1PN2/PPBN1PPP/R4RK1 w - -,c2f5
r1bqk2r/pppp1pp1/5n1p/2b1p3/B3P3/2NP1Q2/PPP2PPP/R1B1K2R w KQkq -,f3g3
8/R3p3/4k1p1/4p2p/3rK2P/6P1/5P2/8 w - -,e4e3
5r2/2bB2k1/1p1n4/2p1p2p/P3P1p1/3P2P1/2KB1P2/1R6 w - -,d2e3
4r1k1/1R1n4/3r2p1/PR1Nb2p/8/4B2P/5PP1/6K1 b - -,e8a8
r4rk1/1p3ppp/2p5/n1n1Q3/p1P5/2N4P/PPBq4/2K2R1R w - -,c1b1
3n1rk1/4R1bp/p5p1/p3P3/2p2P2/4BN2/P5PP/6K1 w - -,e7c7
R7/8/p1r3p1/2k2p1p/7P/2K2PP1/8/8 b - -,c5b5
8/5p2/5kp1/7p/r4P2/4P1P1/2R1K2P/8 w - -,e2f3
rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq -,c7c6
4r3/2p3p1/p2p1k1p/1p1b4/5P2/2P5/PP1N1KPP/R7 b - -,f6f5
8/5k2/1R3p1p/r1pPpP2/r1P5/7P/6PK/2R5 b - -,a5a6
5rk1/pN5p/6p1/1P6/3n4/P2P2K1/7P/R7 w - -,a3a4
r1b1qr1k/1p2b1pp/p1n1p3/2Np1p2/2PPn3/PP3N2/1B2BPPP/2RQ1RK1 w - -,b3b4
4r3/R6P/4K1k1/8/8/6P1/8/8 w - -,a7e7
3k4/pp5p/3P1Nb1/4K3/8/1P2R1P1/1r6/8 w - -,d6d7
6k1/nprb3p/1q2pr1p/pP1pN3/P2N4/3B4/5PPP/3Q1RK1 w - -,d1g4
8/8/8/2nk3p/p7/2P1K1PP/1P1N4/8 b - -,c5e6
2r1r1k1/1pq2pp1/5np1/2nPp3/4P1P1/pPN2B1P/P1Q5/1K1R3R w - -,d1c1
8/Qp2qk1p/p1p2np1/5p2/3P3P/1P3BP1/P4PK1/8 w - -,a7b8
r1bqr1k1/pp1nbpp1/2p1pn1p/3p2B1/2PP4/2NBPN2/PP3PPP/2RQ1RK1 w - -,g5h4
r1b1rbk1/5ppp/p1qppP2/1p2n1P1/4P3/P1N5/1PP3BP/R1BQ1R1K b - -,g7g6
rnb1kb1r/1pq2ppp/p2ppn2/8/3NP3/2NB4/PPP1QPPP/R1B2RK1 b kq -,b8d7:f8e7:b8c6
8/6kp/3pp1p1/8/p3P3/1b3P2/2K3P1/R7 w - -,c2c3
2R2n2/1P3pk1/2K3p1/8/7P/4PP2/1r6/8 b - -,b2c2
2rq1rk1/1b1n1pp1/p2ppn1p/1p6/3P3B/P2BPN2/1P2QPPP/R4RK1 b - -,d8b6
6k1/5pp1/2nQ2p1/8/p7/B4P1P/2P3PK/4q3 b - -,e1e5
3r1k2/ppNb1p1p/6r1/2q5/1b2n2N/1Q3pP1/P4P1P/R1B2RK1 b - -,d7h3
6k1/1p3pb1/p3p3/3qP1p1/5P2/1P6/P4BP1/4Q1K1 w - -,g2g3
3r2r1/1p4P1/4k2R/3n1p2/p2B4/P7/BP6/K5R1 b - -,e6e7
3r4/1p1k4/p2nppp1/3p4/1P1PnP2/3BP2P/1PR5/1KB5 w - -,c2g2
8/R6k/5K2/5p2/7p/1r2P3/8/8 b - -,h7h6
Q7/p1r2kb1/8/2p5/P3p1p1/4BrP1/2K4P/8 w - -,a8e4
7r/5pb1/p1p1k3/2P1P3/PR2p1p1/6B1/5PPP/6K1 w - -,b4e4
1rn2rk1/p1N3np/Ppq3p1/2p1pp2/2P1P3/1P1Q2P1/1B1P3P/R4RK1 w - -,d3d5
r4k2/2pb2R1/3p3p/2pP4/2P1B2P/1P6/P1p2P2/2K4R b - -,f8g7
rnb5/pp2kp1B/4p1p1/1P2P3/8/2N1R3/P1P3PP/3K4 w - -,h2h4
3r1rk1/bB3ppp/p7/8/8/BP2PQPq/P4P2/2n2RK1 w - -,a3f8
1r6/1p5k/p2b1qbp/3Q2p1/3pB1N1/P2P4/1P2R2P/6K1 b - -,f6f4
r3k2r/1q2bpp1/1n3np1/1B1p4/3P2P1/1Q3P2/PP1B3P/1KR4R b kq -,b6d7
8/p3kp2/2p1pQ2/4P3/P3B3/1P4P1/4bP1K/5q2 b - -,e7f8
8/3B4/3n2k1/6pp/2N2p2/3K1P2/6P1/8 b - -,d6b7
8/2k2p2/2pp2p1/2b1p2p/2PqP2P/3B2P1/P4PK1/1Q6 w - -,b1c2
r3r1k1/1q2bp1p/2b1pnpB/pp6/3P4/P6R/1PBQNPPP/R5K1 w - -,e2f4
4k3/4r3/2K1p3/4n1P1/R7/8/B7/8 w - -,c6c5
8/2k4p/2p2p2/5P2/2n3P1/PRNr2K1/7P/8 w - -,g3f2
1qkr3r/pp3ppp/2n1bn2/1NP5/3p1P2/1N1B2b1/PPQB2P1/R4R1K b - -,f6h5
8/8/1k4KP/1P2R3/5P2/8/8/6r1 w - -,e5g5
5k2/p1R5/r4p2/4p3/1P4P1/P5K1/6B1/r7 w - -,g3f3
8/7p/P2B1k2/1B1bnpp1/1P1b4/6P1/4K2P/8 b - -,f6e6
8/6kp/1q2ppp1/3p4/3P4/pP2r2P/P4RP1/3Q3K w - -,f2d2
rn1q1rk1/pb3ppp/1ppb1n2/3p4/3P4/1PN2NP1/P3PPBP/R1BQ1RK1 w - -,c1b2
r4r1k/1b1n1pp1/pp2p2p/2p1P1q1/2P5/P2BR2Q/1B1P1PPP/5RK1 b - -,a8e8
