8/2K4p/2p4P/P6k/2PPb3/4Qp2/1r6/8 b - -,f3f2
6k1/pr3pb1/2p1p1p1/7p/1q5P/8/PPR2Q2/K2R4 b - -,c6c5
r1bqkb1r/ppp2ppp/2n1pn2/1B6/8/2NP1Q2/PPP2PPP/R1B1K1NR b KQkq -,c8d7
r5k1/4bppp/4p3/1N2P3/3p1P2/6P1/P6P/1Rn3K1 w - -,b1c1
6r1/8/2k5/7p/2PK3P/1P1R2P1/8/4r3 w - -,d4c3
R7/1r3k2/5p1K/5P2/6P1/8/8/8 b - -,b7b4
r1b1kb1r/5pp1/2p1p2p/3nP3/p1B1N3/8/PPRBKPPP/7R w k -,h1c1
2k5/6p1/1P1P1p1p/2B5/2nP4/p7/4KPPP/8 w - -,d4d5
r4rk1/p2b1pnp/2pp2pQ/1p2q3/1PnNP3/2N3PP/P1P2PB1/3R1RK1 w - -,d4f3
5k2/5p1p/4b3/5n2/1r6/7P/4NKB1/2R5 b - -,f8g7
6k1/1p6/p1p5/3p3p/7P/P5P1/1P2RBK1/2r2r2 b - -,f1d1
8/1p3k2/2b1Rp1p/5P2/2P2K1P/2r3P1/4B3/8 b - -,c3c1
8/1p5k/1R5P/P4rn1/3B4/5p2/8/5K2 b - -,f5a5
r2q1rk1/p4pbp/3pbpp1/2p5/1n2PP2/1BB2N2/PPP3PP/R2Q1RK1 b - -,d8b6
5r1k/7p/p3Q1p1/1q2b3/1P1p1P2/3R3P/6P1/7K w - -,e6e5
1rr1b1k1/4b1pp/q4p2/2pPp3/p1P1P3/N3B2P/1RQ2PP1/R5K1 w - -,a1b1
r2qr1k1/pp2bppp/5n2/2np4/8/5N2/PPP2PPP/R1BQRNK1 w - -,c1e3:c2c3
2r3k1/3rpp1p/qpQ1b1pb/p3P3/P1PP4/1NR3N1/1P4PP/3R2K1 w - -,c6f3
2rq1rk1/pb3pb1/1p2pnpp/4N3/3P4/2NQB3/PP3PPP/2R2RK1 b - -,d8e7
r1q1rbk1/pb1n1ppp/1p3n2/1PpNp3/2P1P3/P4N2/1BQ1BPPP/R2R2K1 b - -,f6d5
r1bqk2r/ppp2ppp/3p1n2/2b1p3/N1BnP3/3P1N2/PPP2PPP/R1BQK2R b KQkq -,d8e7:b7b5
4n3/2rb2kp/1R1p2p1/4pp2/1NB5/1P3PP1/4P2P/6K1 w - -,g1f2
8/2B5/p7/5k1p/p3p3/4b2p/P5P1/3K4 w - -,g2h3
3r1rk1/ppp1b1pp/8/5p2/4n3/3N4/PPP2PPP/R1B1R1K1 w - f6,f2f3
8/2R5/4pkp1/3p4/1Pb4P/P2n1PK1/4R1P1/2r5 b - -,c1a1
Q7/3r3p/3p1kqb/4p3/2P1Bp1P/1P4P1/5P2/5RK1 b - -,g6g4
r2qrbk1/1p1n1pp1/3p3p/p1nPp3/2P4P/1PN1B1PB/P2Q1P2/R4RK1 b - -,e5e4
3r4/pb2ppk1/1p1q2pp/3P4/2rNPP1Q/8/P5PP/3R1RK1 b - f3,d6c5
2r2rk1/pp1q1ppp/2N2n2/3p4/5Bb1/2PQ2P1/P1P2PBP/R3R1K1 b - -,c8c6
