8/1p6/1q6/kP2Q3/p1P4p/P6P/4Kp2/8 b - -,b6h6
r4rk1/pp4pp/2b2p2/1R6/5B2/6P1/P4P1P/2R1N1K1 w - -,b5b2
4rb1k/1q3p1p/1p1p1Pp1/p1p3P1/P1P1rP2/1P3Q1P/5BK1/1R1R4 b - -,b7c8
6k1/6p1/6rp/pR6/P4K2/1P3R1P/5P2/2r5 w - -,b5a5
r1bqr1k1/pp2bppp/1n1p1n2/2pP4/2N1P3/2N3P1/PP3PBP/R1BQ1RK1 w - -,c4e3
3rk2r/1p2nqpp/p1pbbp2/4p3/1P2P3/3PBN2/2PN1PPP/RQ1R2K1 w k -,c2c4
8/8/3k4/6R1/4p3/2pr1P2/8/2K5 w - -,f3e4
8/1p5p/1k4p1/p2ppb2/PP6/2K1PBP1/7P/8 b - -,f5e6
r1bqk1nr/ppp2pbp/2np2p1/4p3/2PPP3/5N1P/PP3PP1/RNBQKB1R w KQkq e6,d4d5
8/5kp1/3pp3/p1nb3P/2q2P2/8/1R1Q4/K1N5 w - -,d2c2
6k1/p1r3pp/5n2/1Pp1RB2/P1q5/5P2/5QPP/6K1 w - -,f5e6
r2q1rk1/pb1p1ppp/n4n2/b1pN4/2p1P3/P5P1/1P2NPBP/1RBQ1RK1 b - -,a6c7
2qr2k1/5pp1/p6r/1pN1p2p/1P3nP1/1PP2PRP/5Q1K/3R4 w - -,d1d8
6rk/1bq1r1bp/pp4p1/3p2Q1/8/2P5/PP1N1PPP/3RRBK1 b - -,e7f7
1r2r2k/1bq3bp/3n2p1/2pp1p2/8/1P1BPP2/2Q3PP/2BRRNK1 w - -,c1a3
6k1/6p1/7r/3R3p/p4P2/P6P/6PK/8 b - -,h6f6
2r3k1/r2b2q1/p3ppp1/Pp1p4/3P4/1PPN1R2/3Q1PP1/4R1K1 b - -,c8e8
r1b1k2r/1p3ppp/1bp5/p3p3/2P5/P3P1P1/1P1B1PBP/R4RK1 w kq -,b2b4
r1b1kb1r/pp3ppp/2n5/3N4/3Np3/6P1/PP2PP1P/R2nKB1R w KQkq -,a1d1
3q1r1k/1p4pp/2p2r2/3B4/2Pp4/3P2PP/3Q1PK1/5R2 w - -,d5e4
8/7R/4p2P/p2b1pk1/8/4RP2/1r3K2/8 w - -,f2g1
8/1B4k1/6p1/5p1p/3r4/2qp2P1/3R1PK1/3R4 w - f6,f2f3
8/6kp/1p2Bpp1/1n1P4/2Q1p2P/4q1PK/P7/8 b - -,e3d3
r1b1r1k1/pp3p1p/2p3p1/4q3/1PP1Pn2/4B2P/P1Q2P2/1R1R1B1K w - -,e3f4
8/8/R4p2/5kp1/p7/4P1PP/r7/6K1 w - -,g3g4
8/p7/5p2/1p1k2pp/4p3/PPK1P1P1/5PP1/8 b - -,a7a5
4rrk1/2pp2pp/1p6/p1q5/P1bNPP2/2P1R1P1/3Q3P/R5K1 w - -,a1e1
kq5r/4nn2/2rp1p2/4pNb1/1p2P3/4B2P/PPPRQ1B1/1K1R4 b - -,e7c8
5R1k/7p/5rp1/3Bp2P/3b4/7P/5P2/2R3K1 b - -,f6f8
r1bqk2r/pp2ppbp/2np1np1/2p5/4P3/2NPBN2/PPPQBPPP/R3K2R b KQkq -,f6g4
1rB2r1k/2n3b1/1np2q2/2N1p1pp/1P2Pp2/1QN2P2/P4BPP/3R1RK1 b - -,f8c8
8/4n3/6kp/8/5KP1/8/p7/N7 w - -,a1b3
r5k1/1p2n1p1/p3br1p/3pRp2/P7/1BP2N1P/1P3PP1/4R1K1 b - -,g8f7
2r1r1k1/pp2Rp1p/3p2pb/n1pq4/8/N1P2NQ1/PP3PPP/R5K1 w - -,g3h4
r1qnk2r/pp1bPpbp/5np1/2B5/8/PNN5/1PPQ1PPP/2KR1B1R b kq -,d8e6
3rr1k1/1bpnqpbp/1p1p1np1/pP2p3/P2P4/1QP1PN1P/3N1PPB/2RR1BK1 b - -,h7h6
r1b1kb1r/p1qp1pp1/2p1pn2/7p/4P3/3B4/PPP1QPPP/RNB2RK1 w kq h6,h2h3
2nr2k1/1b2qppp/8/pBn1p3/PpN1P3/1P2QPP1/1B5P/2R3K1 b - -,d8d3
r1bqk1nr/pp2ppbp/3p2p1/3P4/2PpP3/7P/PP3PP1/RNBQKB1R w KQkq -,b1d2
q1r3k1/pb3ppp/1p6/4n3/7b/P3B3/1PN1Q1PP/3R1B1K b - -,h4f6
r1b2rk1/1p2ppbp/p2p1np1/q7/2P2B2/2NQ2P1/PP2PPBP/2R2RK1 b - -,a5h5
3r4/6kp/pp2p1p1/2b1P3/2P1N3/8/PP2R1P1/3R3K b - -,d8d1
8/8/Qp2q1kp/p1pr1pp1/P7/1P2P1P1/5P1P/4R1K1 b - -,d5d2
3rn3/1p3ppk/pN2p1b1/P6p/2BrP3/1P3P2/4RKPP/R7 w - -,f2e3
3r2r1/pp3bbk/2n1p1pp/5pP1/2PPpP1P/PqB1N3/3QN1R1/R5K1 b - -,e6e5
8/4qpkp/2b2R2/3pP1p1/pRpP4/P1P3P1/6P1/6K1 b - -,e7c7
8/5p2/4p3/3k2Np/1n6/7P/4KPP1/8 w - -,g5f7
1r1q1rk1/ppn3pp/2pnbp2/P3N3/3P4/4QN2/1P3PPP/R3RBK1 w - -,e5d3
rnbq1rk1/pp2ppbp/1n1P2p1/2p5/P7/1BP2N2/1P1P1PPP/RNBQ1RK1 b - -,d8d6
r1b2rk1/pp1n1pp1/4p2p/q1pn4/1b1P3B/1QNBPN2/PP3PPP/2R2RK1 b - -,b4c3
r3k2r/ppp1p1bp/n2p2b1/3Pq3/2P2BB1/2N4N/PP3PP1/R2Q1K2 b kq -,e5d4
r3k2r/pp2p2p/2nnQ1pB/3p4/8/q1P2P2/P1P3PP/1K1R1B1R b kq -,a3c3
8/6p1/3k2Bp/p2b3P/R7/KP4r1/2P5/8 b - -,g3g5
8/5pk1/6pp/p7/2r3PP/6K1/R1Nb4/8 w - -,h4h5
2brr1k1/ppq1ppb1/2n3pp/1Q6/2PpN3/B2P2P1/P3PPBP/1R3RK1 b - -,c6b8
4r3/6k1/p1r1n2p/Pp1pPpp1/1RpP4/2P1R2P/5PP1/4NK2 b - -,c6c8
r2q1rk1/1bpn1Nbp/3p1np1/p3p3/PpBPPN2/8/1PP2PPP/R1BQR1K1 b - -,f8f7
2r4r/p7/1np1pkp1/4N2p/3P1P2/P1R1PK2/6P1/2R5 b - -,h8h7
8/p5p1/4pk2/3r3p/1PN4P/P4PK1/4r3/2R5 b - -,d5d3
3rrb1k/3q2pp/2p2nn1/1pPppN2/pP6/P2P3P/1B1Q1PP1/1B2RRK1 w - -,d2g5
r7/pp1np1kp/3pp1p1/8/2r1P1PP/2P2P2/PP1KN3/R6R b - -,a8c8
r1b2rk1/p1p2pbp/3p2p1/2p1n3/2P1P3/2N1B1PP/PP3PB1/R4RK1 w - -,b2b3
6k1/2r2pp1/6rp/p3pRP1/Bp1bP3/8/PPP1R1P1/1K6 w - -,g5h6
6k1/p1r3q1/2p3p1/2Pp1P2/4p3/P3P1P1/4Q3/5RK1 w - -,f5f6
7k/p3r1p1/3QP2p/4K2r/8/2P4P/P7/8 w - -,e5e4
1R6/4k1n1/1P1p4/3bp1p1/5p2/5PP1/4PK1P/8 w - -,b6b7
6k1/3b2b1/7p/p2Pp1p1/2P3p1/p1PQ2P1/3N1q1P/1B5K w - -,c4c5
2r2rk1/p4p1p/1p4p1/2N1p3/1P3P2/6q1/PP4P1/1QK3RR b - -,g3f4
2r3k1/p2n1pb1/1pp1r1pp/3p4/3P1BP1/4PN1P/PP3P2/2RR1K2 w - -,c1c2
1r6/1p1n1ppp/p2kp3/8/3P4/2R1PB2/PP4PP/6K1 w - -,c3b3
2rq1rk1/7p/p4bp1/1p5P/2pPP1R1/P1P5/5P2/R1BQK3 b Q -,f6h4
4R3/8/8/2bknp2/6p1/6P1/5PK1/8 w - -,e8d8
r1b1k2r/ppqp1ppp/2n1pn2/8/3pP3/1P1B1N2/P1PN1PPP/R2Q1RK1 w kq -,h2h3
8/8/3p4/k1pP4/2Pr3p/1K1B1R1P/8/4b3 w - -,b3a3
