8/8/5Kp1/5b1k/8/8/8/6R1 w - -,f6e5:g1g2
r1bq1rk1/p4ppp/1p3n2/2np4/3N4/6P1/PPQNPPBP/R4RK1 b - -,c8b7
8/7R/5kp1/8/5p2/5K1P/7r/8 b - -,g6g5
5k2/4ppb1/4b1pp/8/3nN3/B2P1PP1/2r3BP/2R4K b - -,c2a2
8/8/8/P1P5/1R2b3/3k1p2/r3pK2/4R3 w - -,b4b3
r2q1rk1/2p1b1pp/p1n1pn2/1p1pP3/3P4/P4N2/1P1N1PPP/R1BQR1K1 b - -,f6d7
8/k1nB1K2/2P5/4P3/1B5b/8/8/8 w - -,e5e6
1R6/8/8/8/5k1P/5p2/8/r4K2 w - -,f1f2
2r3k1/7p/1p2pqp1/p1n5/3r4/PP3P2/2B3PP/2R1QRK1 b - -,f6f4
8/8/8/8/1r3k2/5R2/2R1K3/8 b - -,f4e4
8/pp2k3/3p2p1/2pPb1p1/P1P1p1P1/1P2P2P/2K5/4B3 w - -,b3b4
r1bqnrk1/pp3pbp/2n3p1/4p3/P1NpP3/3P1NP1/1P3PBP/R1BQR1K1 b - a3,f7f6
r1bq1rk1/4ppbp/p1np1npB/1p6/4P3/1NN2P2/PPPQ2PP/2KR1B1R b - -,d8c7
3R4/4kpp1/7p/1p6/8/8/1P4PP/5BK1 b - -,e7d8
rnbqk2r/ppp2pbp/3p1np1/4p3/2P1P3/2N3P1/PP1PNPBP/R1BQK2R b KQkq -,b8c6:e8g8:c7c5:h7h5:c7c6
6k1/1b3p2/1pq3p1/p2p4/r2P1bP1/5N1B/1P2Q2P/4R1K1 b - -,a4c4
5r1k/6bp/2R5/q7/pN1ppP2/P2p2P1/1P5P/2Q4K w - -,c6e6
rnb1kb1r/ppq1pppp/2p2n2/2NpN3/2PP4/1Q2P3/PP3PPP/R1B1KB1R b KQkq d3,e7e6
8/5k2/R7/6p1/6P1/2r2P2/5K2/8 w - -,f2e2
8/1p2k1p1/2p1n3/1p2B2p/1P5P/2P1R3/2r2PK1/8 b - -,c2d2
2r2bk1/5p1p/1Q1p1np1/3Pp3/1P2P3/5BPP/1q1NRP2/6K1 b - -,c8c2
r1r2b1k/6p1/5pQp/2q4P/5p2/p7/6P1/BR2R2K b - -,a8a5
r1b2rk1/ppp2p2/n2p1b1p/3Pp3/2P1P1PN/2N5/PP1KB1P1/R6R b - -,f6g5
5rk1/3b1ppp/pp1p3n/np1P1qB1/8/1Q3N1P/PP3PP1/2R1R1K1 w - -,b3d1
2rq2k1/pb3rpp/4p3/3pPpb1/PPpP4/4PR2/1BP1B1PP/R2Q2K1 b - -,c4c3
1rbq1rk1/pp2npbp/2npp1p1/2p5/2P5/1PN2NP1/PBQPPPBP/R4RK1 w - -,a1d1
8/8/1pkp4/6p1/PKP5/1P1R4/4r3/8 w - -,d3h3
r3r1k1/5p1p/1p4p1/p2q4/PnRP4/1P2P1P1/4QP1P/B4RK1 w - -,f1c1
8/2p2pk1/3p2p1/1PpP4/2P4p/1P2q2P/5RP1/3B2K1 b - -,e3d4:f7f5
