5b2/8/R7/4kppp/8/p4K1P/5P2/8 w - -,a6a5
1rb1r1k1/p3qpbp/2n2np1/1Npp4/P7/1P2PNP1/1B2QPBP/2R1R1K1 w - -,b2a3
r1bq1rk1/pp1nppbp/2p2np1/3P4/3P4/2N1PN2/PP2BPPP/R1BQ1RK1 b - -,c6d5
r3r1k1/pp2ppbp/n1pp2p1/8/1qPPbB2/1P2QNP1/P3PPBP/2RR2K1 b - -,e4f3
4k3/4pp2/3p2p1/3Pb2p/1r5P/4RKP1/8/3R4 b - -,b4g4
8/p7/8/4k3/2r4P/1p4P1/2pK4/2R5 w - -,c1e1
2r2k2/B2rp2p/4nppb/1p5q/1P6/1Q1PPNPb/4PK1P/R3R2B w - -,a1a6
3r1rk1/pp2q1pp/2n1pn2/2ppNb2/5P2/1P2P3/PBP1B1PP/R2Q1RK1 w - -,e5c6
r7/p4kp1/2R2p2/P2n3p/3B4/6PK/7P/8 b - -,a7a6
6k1/5pp1/7p/1p2p3/4P2P/2Nn2P1/5P2/6K1 w - -,c3b5
rn1qkb1r/pb1p1ppp/1p2pn2/8/3P1B2/5N2/PPPN1PPP/R2QKB1R w KQkq -,f1d3
6r1/8/8/R3p1NK/3k4/8/8/8 w - -,g5f3
8/p1k1rBK1/1pp1P2p/8/P7/2P1b3/1P6/3R4 b - -,e3f4
3r1k2/1p4pp/5p2/4p3/4P3/Pp3NP1/1n2KP1P/2R5 w - -,c1b1
8/1b3kb1/1p2ppNp/p2p3K/P2P4/1P1NP1P1/5P2/8 w - -,f2f4
r3k2r/2p1npb1/p1pp2p1/4Pq1p/4NP2/3Q3P/PP4P1/R1B2RK1 w kq -,e5d6
8/4pp2/3p1n1p/2pP1Pk1/1pP3P1/1P1N1BK1/3b4/8 b - -,h6h5
r1b2rk1/p2nqppp/1ppbpn2/8/2PPp3/5NP1/PPQN1PBP/R1B1R1K1 w - -,f3g5
r1bqk2r/p4ppp/2pbp1n1/2p1P3/3p1P2/3P1N2/PPP1Q1PP/RNB1K2R b KQkq -,d6c7
2r1k2r/1p1bbpp1/p2ppn2/qP2n2p/P1PNP3/2N1BP2/3Q2PP/2R1KB1R w Kk -,d4b3
r4rk1/4bpp1/1q5p/2ppP3/p5Q1/P3P1P1/1B3PKP/1R3R2 b - -,b6e6
8/2k1n1pp/2n5/2R1PP2/p3K1P1/8/P6P/8 w - -,c5c4
2b1r1k1/p3qpp1/2pb3p/2Np4/Q2P3n/3BP1N1/P4PPP/2R3K1 b - -,e7c7
1k5r/1pp5/3rbp1p/P1p1p1p1/q2nP1PP/2BP4/PQP2P2/2KR1BR1 w - g6,h4h5
1rb2rk1/2q2pp1/p2bpn1p/1p6/8/2NNQP2/PPP3PP/1K1R1B1R b - -,c8b7
8/p1p1N1p1/b6p/8/3p4/1P3kP1/P1PK3P/8 b - -,f3g2
6r1/1pk3p1/p5Rp/2NP4/2P5/P3n3/3K2PP/8 b - -,e3c4
6k1/1p1b2n1/p4rp1/2pPp2p/2P1P3/3B3P/PP6/5RNK b - -,f6f1
1r6/3n1ppk/6bp/4p3/1pNqP3/1B3PPP/Q5K1/R7 w - -,a1d1
r2q1rk1/1b1pbppp/p1n1p3/1p6/3NPP2/2N1B3/PPP3PP/R2Q1RK1 w - -,e4e5
3r2r1/R4p2/1R2pk1p/1p6/1PbN1p2/4P2P/5PP1/7K w - -,h1h2
r4r2/ppq1n1bk/5pp1/2BP1b1p/2N1pP2/1QP4P/PP4BK/3R1R2 b - -,f8c8
r2q1rk1/1p2ppbp/p2pbnp1/N7/P3P3/2N1B2P/1PP1BPP1/R2Q1RK1 b - -,d8a5
r2qr1k1/1p1nppb1/2p3pp/p2b4/P2PP3/BP1B1N1P/5PP1/1R1Q1RK1 b - -,d5e6
2rr2k1/2q1pp1p/p5p1/1p1b4/3N1P2/8/PPPQ2PP/1K1RR3 w - -,e1e3
r7/2r2p1k/2Bb2pP/p2Pp3/1p2Pn2/1P6/P1P2B2/1K1R3R b - -,a8b8
r3nrk1/3qbp2/2p1b1p1/1p1pBp1p/p2P3P/4PPNN/PPP3P1/2KRQ2R b - -,e7h4
3q1rk1/p2b3p/1N1p3Q/3Pp1pP/1p4p1/5P2/PPP5/2KR3R b - -,a7b6
R7/8/3k4/2p4R/P2b4/r2K4/8/8 w - -,d3c2
2rr1bk1/1bqn1ppp/pp1ppn2/8/2PNPPP1/1PN1B3/P3Q1BP/2R1R1K1 b - -,e6e5
3r4/1r1bbk1p/2p1ppp1/3q4/p2PN3/4QPBP/PPR3P1/R5K1 b - -,b7b4
3q3r/1p1kb2p/r7/p7/6Q1/3P4/1P3PPP/2R1R1K1 b - -,d7e8
2rq1rk1/pp3pp1/4pb1p/3n4/6PP/1B3N2/PPQ2P2/1K1R3R w - -,c2e4
8/8/6p1/r1p5/2K2k2/P6R/6PP/8 w - -,c4d5
r1br2k1/1p3ppp/p1n1p3/2b1N3/PnN5/6P1/1P1BPPBP/R4RK1 w - -,f1d1
2brr1k1/1q3nbp/p1npppp1/1p6/3BP2P/P2R1N2/BPPQNPP1/3R2K1 w - -,d4c3
4b3/p7/4pk1p/4Np2/2P4P/P3RPK1/8/6r1 w - -,g3h2
5r2/p2Rppbk/6pp/2p1P2n/4NP1N/6P1/r6P/5RK1 b - -,a2e2
1r4k1/pB1n1ppp/1p3n2/1N6/P7/4P3/5PPP/R5K1 w - -,b7f3
r1bq2k1/ppn2pbp/3p2p1/2pP4/P3rB2/4P2P/1P1NBPP1/R2Q1RK1 b - -,e4f4
2r2r1k/3pnppp/p3q3/1pBNP3/8/2P3Q1/PP3PPP/3RR1K1 b - -,c8c5
8/8/7R/2K3p1/P7/1B2kP2/3r3p/8 b - -,e3f3
r2qk2r/pp1n1pbp/3p2p1/3Ppn2/5P2/2P2N1P/PP4P1/RNBQ1RK1 w kq -,f1e1
r1bnk1r1/ppp2pPp/7B/8/2p5/2P2N2/P4PPP/R3K2R b KQq -,d8e6
r4rk1/p1q1bpp1/2p1pn1p/2Pp1b2/PP6/B1N3P1/3QPPBP/R3R1K1 b - -,a8d8
3r1rk1/pbpqb2p/1p6/3p1pp1/3P4/2N1P1P1/PP2QPBP/2RR2K1 b - -,f8f6
1r6/p1k1p3/3q1b2/Pp1Q4/3p4/8/1PP3PP/2K2R2 w - -,d5h5
6r1/2p4p/2pkb1p1/5p2/1PP2P1P/p1KNR3/P3P3/8 w - -,c3d4
8/7R/3k4/3p4/3P2p1/5rP1/4K3/8 w - -,h7h4
2r1b2k/1R4p1/5p1p/r1pBp3/4P2P/8/5PP1/2R3K1 b - -,e8c6
4rk2/pp3p2/8/4b1PB/8/3q4/2nB1P2/1R1Q2K1 w - -,b1b7
3nrrk1/1p1q2p1/p1pp1p2/4pbNp/1PP3nP/P1NPP1P1/1R3PB1/3Q1RK1 w - -,g5e4
2r1rbk1/1b1n1p1p/p1q1p1p1/1pp1PPN1/3P2P1/P1PB3P/1B2QR1K/R7 b - -,e6f5
