3R4/8/8/4k3/1K2n3/8/8/8 w - -,b4c4
1r3rk1/1p2pp1p/pnp2qp1/8/7R/Q2P1BP1/PP2PP1P/2R3K1 b - -,f8c8
5bk1/8/2PpN3/3Pp2p/4Ppn1/5P2/4Q2P/1q2NK2 w - -,f3g4
3r3r/1p2kpb1/pq2p2p/RP1pP3/Q4P2/2P1P3/4BKP1/7R w - -,a4a3
B7/8/3bk2p/N1p2pp1/3p4/1P5P/5PP1/5K2 w - g6,f1e2
1rbq1rk1/4bppp/p2p4/1pp1n3/1PPpPP2/P2P3P/2BN2P1/1RBQ1RK1 b - f3,e5c6
r2qk2r/pb1nppb1/1n1p2p1/2p3Pp/3PPP1P/2pBBN2/PP1QN3/R3K2R w KQkq -,b2c3
5nk1/p5p1/1p1p1q2/3Pp2p/4P1bP/3BQ1P1/PP6/4N1K1 b - -,f8h7
6k1/5pp1/6p1/8/2PB4/n4P1P/p4KP1/8 b - c3,a3c2
4r1k1/1bp3p1/1p5p/p1p1nP2/P1P1q3/1PBpP1PP/3Q1R1K/5R2 w - -,f5f6
1r1r2k1/pbqnbpp1/1p2pn1p/2p1N3/2PP1P2/4PN2/PBB3PP/2RQ1RK1 w - -,d1e2
3k4/7p/4p1p1/2p5/8/PB2P2P/n5P1/5K2 b - -,a2c3
rn2k2r/pp1nqppp/2p5/4p2b/PbNPN3/5P2/1P1BP1PP/R2QKB1R w KQkq -,d2b4
r4r1k/1bpR2pp/2qbB3/8/1Pp5/5P2/PB2Q1PP/R5K1 w - -,b2g7
3k4/7R/1p2p3/p2pP3/3r2p1/1K4P1/5P2/8 w - -,h7b7
4kbnr/r2q1bpp/p1np4/P1pNp3/QpB1P2N/2P3P1/1P3P1P/R1B1K2R w KQk -,d5b6
r1bqr1k1/p3bpp1/1pp1nn1p/3p4/3P3B/2NBPP1P/PPQ1N1P1/4RRK1 b - -,c6c5
r4rk1/p1p1q1b1/3p3p/3P1bpB/Q1P5/3nB3/P4P1N/RN2K2R w KQ -,e1d2
2r1r1k1/5pbp/p2p2p1/qp6/1RPnPP2/4B1PP/P5B1/3QR1K1 w - -,b4b1
3r2n1/1pp1r3/p1b2p1k/4pPp1/2PpP1P1/3P1N2/1P2N2K/3RR3 w - -,h2g2
k7/1p1r4/p4p2/4p3/PPB5/2K5/2P5/8 w - -,b4b5
5r1k/2R3pp/1P5n/4p2P/2N5/1q1p4/5PP1/5QK1 b - -,d3d2
rnbq1rk1/1p3ppp/p7/3np3/8/1N1B4/PPPQ1PPP/R1B1K2R b KQ -,e5e4
1r1q1rk1/1pp1ppbp/p1np1np1/8/2PPP1b1/2N2NP1/PP3PBP/R1BQR1K1 w - -,h2h3
8/1p6/p5p1/P2k3p/1P1B1P1P/3K4/3n4/8 w - -,d4g1
1r1qr1k1/5pp1/2p2np1/6Q1/p1PP4/1P2P3/P3B1PP/2RR2K1 w - -,d1d3
r3q1k1/p2b2bp/2pnp1p1/2Np4/3P4/1P2P1PB/PBR4P/2Q3K1 b - -,a8c8
r5k1/3R2p1/3n1p1p/1p2p3/1P6/3KP3/2N2PPP/8 b - -,a8a6
r2q1rk1/2pn2bp/1p1p2p1/pNn1p3/2P1P2P/4B1P1/PP2QPB1/3R1RK1 w - -,b2b3
8/3b2p1/3k4/1pN1p2Q/1P5P/8/6PK/2q5 w - -,h5g6
1r1r2k1/4bppp/p1p1pn2/8/2P5/1N2P1P1/PB3P1P/R2R2K1 b - -,g8f8
3r2k1/ppqr1pp1/4bn1p/1P1p4/3R4/1Q2NBP1/P3PPKP/3R4 b - -,c7c5
8/1p3nqk/p2pR1r1/Pb1P1Q1p/8/6PP/2P3BK/8 w - -,g2e4
r1b1k2r/pp1n1pb1/2p2qpp/3Pp3/2B1P3/2N2N2/PP3PPP/2RQK2R b Kkq -,e8g8
3rkq1B/pp3p2/2p1p1bp/3n4/2p3P1/2NnRN1P/P4PB1/1R4K1 w - -,c3d5
r6k/p1p2r2/1p6/3PpB2/2Rb2p1/6P1/PP2RP2/6K1 w - -,f5e6
6r1/8/5P2/2R5/3pK3/8/2pk4/8 b - -,d4d3
7r/3nq3/pp2pnk1/3pPp2/3P2pp/1PN1P1P1/PB4KP/2Q2R2 b - -,e7h7
5r2/p4r1p/1ppkn1p1/3p4/2PP4/1N1BB1PP/PP3P1K/4R3 w - -,c4d5
1b1rr1k1/1p1b1pp1/p5q1/3p3p/1P1NnP2/P2QPB2/6PP/B3RRK1 w - h6,d3d1
2r3k1/7p/5p1p/1pbR4/p7/P1P1P1P1/3NPK1P/8 w - -,d2e4
r1bqnr2/2p3bk/1p1p2pp/p1nPpP2/2P3PP/2N1B3/PPQNBP2/R3K2R b KQ -,g6f5
4Rbr1/1pk2p2/2pn3N/p1n4p/P7/2N3PB/1P2PP2/6K1 w - -,e8a8
3r2k1/ppq2p2/4p1pP/3r2b1/3PQ3/1Pp5/P1P5/1KBR3R w - -,c1g5
3r1rk1/2pqnp1p/p2p2p1/2p5/2P1B3/1P4P1/PQ2PP1P/2RR2K1 b - -,d7e6
3n1rk1/pp4p1/4pq1p/8/4B3/2P1R1PP/P3QP2/6K1 b - -,f8f7
2r3k1/5pp1/3R4/p2P4/1p2q3/1P4QP/P5PK/8 w - -,g3g5
r1q2rk1/2p2ppp/2pn4/2Np1b2/3P4/PPP2P2/2BQ2PP/R4RK1 w - -,f1e1
8/pp3k2/2b4p/3p4/5rP1/P2BK2P/5P2/1R6 b - -,f4a4
r1b1r1k1/2q2pp1/2pb3p/1p1n4/1P1PN3/5BP1/2QB1P1P/1R1R2K1 w - -,d1c1
r1b3k1/pppnn1bp/7r/2PPp1pq/4Pp2/2N2P2/P3B1PP/2RQNRBK b - -,d7f6
b3k2r/3nbp2/1qn1p3/3pPP1p/1ppP2p1/2P5/1PNN2PP/1BBQ1R1K b k -,b4c3
8/1p6/2pkn3/8/2PK2pN/8/P1P5/8 w - -,d4e4
5r1k/5qp1/5r1p/p1pPpP2/PpPbQ3/1P3R2/3B2K1/5R2 w - -,e4h4
6k1/8/4NKB1/1r2P3/8/8/8/8 w - -,g6e8
r1b2r1k/ppp3bp/3p1q2/8/1PP3p1/3PBBN1/P4P1P/1R1Q1R1K b - -,g4f3
4r1k1/2p2pbp/3p2p1/pp6/4P3/1PP2P1P/P3N1P1/4RK2 b - -,g8f8
r2qr1k1/pb1n1ppp/2pb1n2/1p6/3P4/3B1NN1/PPQB1PPP/R4RK1 b - -,d7f8
r1b3k1/pp2ppbp/n5p1/2r1P3/2B2B2/5N2/PP3PPP/2R1K2R w K -,f4e3
8/8/1pK4k/6pP/1PP5/7P/5b2/3B4 w - -,d1e2
r4rk1/1R2bppp/p3p3/4q3/Np3n2/P7/BPQ2PPP/5RK1 w - -,a3b4
8/1pB3p1/2P1k2p/1P6/2nn2PP/3N4/5K2/8 b - -,b7b6
r3r1k1/pp1nb1p1/2pp2p1/5QP1/2Pq3P/6B1/PP3P2/R3R1K1 w - -,f5d7
5qk1/2rnnpbp/p3p3/1p1pP1Bp/3P4/1P6/P2Q1PPN/1B2R1K1 b - -,e7g6
2r1k2r/2q1ppb1/p2pN1p1/1p1n2Bp/8/nB3P2/PPP1Q1PP/1K1RR3 w k -,b1c1
R7/1r2bpk1/6p1/2p4p/2BpPP1P/3P2P1/8/5K2 w - -,f1g2
1r2qrk1/2p2pbp/3p2p1/pbnPp1Bn/4P3/2N2PP1/PPBQ3P/1K1R2NR w - -,g1e2
1r3rk1/5ppp/Q3p3/8/PP2q3/8/5PPP/R2R2K1 b - -,b8b4
3rr1k1/5p1p/4n1p1/p2pP3/8/B5P1/P4RKP/3R4 b - -,e6g5:d5d4
r4r1k/pp1qbppp/2p1p3/7n/PnBPP3/2N1BP1Q/1P3P1P/2R3RK b - -,g7g6
r1b2rk1/ppp1npb1/5q1p/4p3/QPBnP1pP/2P1B3/P2N1PP1/3RK1NR w K -,c3d4
2rr2k1/1b3ppp/p3p3/2b1P3/R3pP2/2N1B3/1PP3PP/5R1K w - -,e3c5
5r1k/1b1R3p/p1p2p2/4r3/4P3/qBN2Q2/P1P3PP/6K1 b - -,b7c8
1kn5/pp3b2/1q3p1r/2b2B1p/2P2N1P/P3P3/1P2QPP1/1K5R w - -,f5c8
8/P7/r7/8/4p3/1R6/1K1k4/8 w - -,b3a3
4r1k1/ppp2ppp/4r3/5p2/3PNn2/2P1RPPP/PP3K2/5R2 b - -,f4d5
4r1k1/5pb1/2p4p/2Q1n1p1/4P3/6PP/2R1N1BK/r7 b - -,e8d8
1b6/1b5k/8/8/6N1/1N5P/5KP1/8 b - -,b8a7
4q1k1/7p/4p1p1/1pp2p2/5P2/1P1QPNP1/2P4P/b5K1 b - -,a1f6
r2q1rk1/2b2pp1/B1P1pn2/3p3p/3P4/2N1P3/1PR1QPP1/5R1K b - -,f6e4
r3k1r1/pp1bp2p/6p1/3p4/6P1/2B5/PP5P/R3KB1R w KQq -,e1c1
4q3/1p3p1k/p7/7Q/4r3/8/6PP/5R1K b - -,h7g7
3r2k1/6bp/p1nn2p1/2pb2N1/5R2/7P/1PB2PP1/3Q1RK1 b - -,c6d4
6r1/5p1k/3p1P1p/2pPpRpQ/p7/1P4KR/P5PP/4rq2 b - -,e1e3
3r4/1pp2pkp/p3b1p1/7P/q3P3/2Q2P2/PP2B1P1/1K5R b - -,g7g8
r4rk1/3Nbppp/pq2pn2/1pp5/2P5/1PNP1QP1/P4PKP/R1B2R2 b - -,f6d7
2r2rk1/ppqnbpp1/2p1pn1p/2PpNb2/3P4/1P4P1/PB1NPPBP/2RQ1RK1 w - -,e5d3
r5k1/1p1b3n/p2p1q2/P1pP1p1n/7p/2NBQP1N/1P4PP/5R1K w - -,f3f4
6k1/5p2/pR2pn1p/8/2P3PP/3r2N1/P5PK/8 b - -,f6g4
2r5/2q4p/1k1p4/2pQ2B1/1pP4P/1r3P2/6P1/4R2K w - -,e1e6
5rk1/4q1p1/r3b1Bp/1p1pPp2/p1pP1P2/P5P1/1P2Q1P1/R4RK1 w - b6,g3g4
5rk1/p5bp/2p1p1p1/2P1n3/8/1N2QPPq/PP2P2P/2R2RK1 b - -,f8f5
r2q1rk1/p5pp/bpp1pb2/nN1p4/2PPnB1P/5NPB/PP2QP2/R4RK1 b - -,d8e7
2bqr1k1/1p3ppp/1bpp1n2/8/1P2P3/3P1Q1P/1BNN1PP1/R5K1 w - -,d2c4
8/3Q1pk1/3p2r1/4p3/2P1P3/5P2/1P1r4/7K w - -,c4c5
r2qkb1r/p2n1ppp/2p1p3/1p1nP3/2pP4/2N2Q2/PP2BPPP/R1B2RK1 b kq -,f8e7
5r2/4q1kp/2p3p1/4P3/2Nb2P1/p2P1R1K/Q7/8 w - -,h3g2
2kr3r/1p3ppp/p1n1b3/3np3/4N3/8/PPPB1PPP/2KR1B1R b - -,f7f6
5R2/ppk1r3/2p5/8/3PB1P1/8/PPPK4/8 b - -,e7e4
8/p7/2p3NP/1p1p4/7R/1P4k1/1r3r2/1K6 w - -,b1a1
r1r5/p1nb1kq1/1p1p1b2/2pP1p2/2P1pPp1/P1N1B1P1/1PRQ1R1P/5BK1 w - -,c2c1
r4rk1/ppp2ppp/8/7n/2BPP3/3P3q/PP3K1P/R2Q3R b - -,a8d8
3r2k1/3q1pp1/1pprp2p/p2n3P/PPQP1P2/3R1BP1/3R1PK1/8 w - a6,b4a5
8/1p3pk1/1q1Q1bp1/2p4p/2Pn3P/1p1B1RB1/P4PP1/6K1 w - -,d6b6
r1q2rk1/pb1nbppp/1p1ppn2/8/2PNPP2/2N1B1P1/PP4BP/R2QR1K1 b - f3,f8d8
r1bq1knr/1pp2ppp/p2p4/4n3/3NPQ2/2N1P1P1/PPP4P/R3KB1R w KQ -,e1c1
r3r1k1/1p2ppbp/3pb1p1/3n4/p1P1P3/5P2/PPRBB1PP/5RK1 w - -,c4d5
3R4/5pk1/6p1/1b6/p5pP/1r2N2K/5P2/8 w - -,h3g4
6k1/5p1p/4b1p1/p7/8/4B1P1/Pb3P1P/3B2K1 b - -,b2c3
3rr3/5n1k/1p1p2p1/5p1p/1QPb4/1P5P/4BpPB/3R3K b - -,e8e2
2r5/4kp2/2bp1p1b/2q1pP1P/1p2P2P/3B4/PpP1Q3/1K1RR3 w - -,b1b2
r1bq1rk1/pp2ppbp/n1pp1np1/6B1/2PPPP2/2N5/PP1QB1PP/R3K1NR b KQ -,a6c7
5k2/pp1B1p1p/8/3pbR2/8/2q5/P4P2/4RK2 b - -,c3c7
2kr3r/ppq2ppp/2p1Nn2/8/8/3B2P1/PPP2PP1/R2QR1K1 b - -,f7e6
r4rk1/p4ppp/1p6/8/3Rn3/1P6/4BPPP/R5K1 b - -,e4c5
4r1k1/1p3p1p/p3nP2/4p3/P3P1Q1/5R2/1Pqr3P/R6K b - -,g8f8
2r2rk1/p2qn2p/3pbppb/4p3/1PNpPP2/P2P2P1/4Q1BP/1R3RNK b - -,e5f4
r2q1rk1/pp2ppbp/2n3p1/3P4/6n1/1NN1B3/PPPQ3P/R3KB1R b KQ -,g7c3
r3r3/p2nqpkp/b1p2np1/1p1p2P1/3P4/2N1PN1P/PP1Q1PB1/1K1R3R b - -,f6e4
8/8/4k1p1/p2p2P1/Nn1bnP2/5K2/1P4B1/4B3 w - -,g2h3
3r4/8/2R5/8/8/2p5/1k2K3/8 b - -,c3c2
2rq1rk1/4bppp/8/2P2Q2/p2P4/4PN1P/K2B2P1/2R5 w - -,c1c4
r1b1k2r/1pqp1ppp/p1nbpn2/2p5/2PPP3/2N2N1P/PP2BPP1/R1BQ1RK1 b kq d3,c5d4
rn1q1rk1/pp2ppbp/3p1np1/2p5/2PP2b1/2N1PN2/PP2BPPP/R1BQ1RK1 w - c6,d4d5:h2h3
2Q4k/1p4p1/3P1p2/p2p1p1P/qn1P1B2/5PP1/1P1K4/8 b - -,h8h7
2kr1r2/pp1b4/2nq1p1p/1n2p1p1/1P1pPPP1/3P2Q1/2PBN1BP/1R3R1K w - -,f4g5
r2qkb1r/p2n1pnp/bpp1p2B/3pP3/3P3p/2N2B1N/PPPQ1PP1/2KR3R w kq -,h3f4
r7/5p1k/2p1rnpp/pp6/3qP3/4RN1P/PP3PP1/2R3K1 w - -,f3d4
r1b2rk1/5pp1/p1pp1q2/1p2pP1p/3P4/2P2NPn/PPB2PKP/R2QR3 b - -,c8f5
4k1r1/5b2/p5P1/1p1qrP1R/4nQ2/4B3/PPP4P/5RK1 w - -,h5h4
r3k2r/p1p2p2/np2p2p/1q1pP1N1/n2P3Q/P2P4/3B1PPP/2R1R1K1 b kq -,b5d3
5r1k/n4pbp/1r2P3/p2p1BNP/2pP1P2/PbP5/3B4/1R4RK b - -,f7e6
3r3k/3p3p/3P4/p3r1p1/4N3/6P1/P3BP2/4R1K1 w - -,e2g4
r5k1/pp1q1p1p/3pR1p1/2p5/2Pb4/1P1Q3P/P2B1PP1/5RK1 b - -,f7e6
4k3/ppp1r2p/1q1n1Qp1/5p1P/8/6P1/PP1R1PBK/8 b - -,g6h5
rn1qk1nr/1pp1ppbp/p2p2p1/8/P2PP1b1/2N2N2/1PP2PPP/R1BQKB1R w KQkq -,c1e3:f1e2
q2r2k1/pbrnbppp/1p2pn2/2p5/2PP3N/P3P1P1/1B1NQPBP/2R2RK1 b - -,b7g2
5kr1/1R1n4/3r4/2p1n3/5N2/2P5/1K6/1B3R2 b - -,f8e7
2r1rbk1/pb3pp1/B1np1q1p/2p1p3/4P3/2P2N1P/PP1NQPP1/3RR1K1 b - -,b7a6
8/6Q1/8/P4k2/5p1p/8/6PK/4q3 w - -,a5a6
rnb1k2r/ppp1qppp/5n2/3P4/1bBp4/2P2N2/PP3PPP/RNBQK2R w KQkq -,c4e2
1r2r3/3bk1pp/3ppp2/p1p5/2N5/1PP2N1P/P4PP1/R3R1K1 w - -,c4a5
r2q1rk1/4n1b1/ppnpb1pp/2p1p3/1PN1Pp2/PNPP2P1/1B3PBP/R2QR1K1 b - -,g6g5
r2q1rk1/pppn1pbp/2np2p1/8/2P1P3/2N2Q2/PP2BPPP/R1BR2K1 w - -,f3h3
1r2rqk1/1p1b1p2/p1pp1bp1/5p1p/2P2NnP/1P1QP1P1/P2P1PBN/2R1R1K1 b - -,b8d8
r3qrk1/1bp4p/pp2pp2/2n1n1B1/2Pp2Q1/8/PP3PPP/RB2R1K1 w - -,e1e5
8/p1p2p2/3pbkp1/6p1/2P5/1P2K1PP/P4PB1/8 b - -,c7c5
r1b1k2r/3n1pp1/pq2p2p/1pbpP3/1n3B2/P2B1N1P/1PP1NPP1/R3QRK1 b kq -,b4d3
6kr/1p2q1p1/p4nBp/2p1n3/P2p1P2/1P5P/2PQ2P1/R3R1K1 b - f3,e7c7
r4rk1/1pqnb1p1/p2p3p/P2Ppp2/1PP3n1/5N2/3BBPPP/R2Q1RK1 b - b3,g4f6
r4rk1/bq1n2pp/p3pn2/1p6/1P2PB2/6P1/3Q1PBP/RN3RK1 w - -,f4d6
r2r2k1/p4p2/Rp4p1/2p5/1P1pP1bN/2PPnR2/1P4PP/7K w - -,f3g3
2rq1rk1/pp2ppb1/n4npp/2p5/2PPP1b1/1P4PN/PB1N2BP/R1Q2RK1 b - -,e7e5
2rbb3/1prnk2p/p2p2p1/P2PppP1/1PN1P3/2R1BP2/3KB2P/2R5 b - -,e8f7
2r1r1k1/1p1n1ppp/q1bp1P2/3N4/p1PRP3/P1N3Q1/1PB4P/6nK b - -,g7g6
r2r1nk1/1p3p2/p2bp2p/3n2p1/3N4/2P2NB1/PP3PPP/R3R1K1 b - -,d5f4
r1bq1rk1/pp3pbp/2np2p1/8/5Q2/2PB4/PP1NN1PP/R3K2R b KQ -,c6e5
r2qkb1r/ppp1pp2/2n3p1/2npPb1p/5P2/1PNP1N1P/P1P3P1/R1BQKB1R w KQkq h6,g2g3
8/6R1/2k1p1p1/4P1P1/7r/3nK3/8/8 w - -,e3d3
rnbqk2r/pp3pbp/2p2pp1/8/3P4/5N1P/PPP1BPP1/R1BQK2R b KQkq -,e8g8
8/6pk/1q2p3/1Pr2p1p/2B4P/5PP1/4QPK1/8 b - -,b6d6
r3k2r/pp1qpp1p/2np1n2/2p2Nb1/4P1p1/N1P5/PP1PQPPP/R1BR2K1 b kq -,e7e6
8/p1Rn1r1k/1p1B4/3p2pp/3P4/6P1/P6P/6K1 b - -,a7a5
r3kb1r/1pqb1ppp/p2p1n2/4p3/2P1P3/3Q2P1/PP2NPBP/R1B2RK1 b kq -,a8c8
r1b1r1k1/3n1p1p/p2p2p1/3P1PB1/1q2P3/2Pp3P/R5P1/3QNR1K b - -,b4e4
r2qk2r/pp1n1pbp/3p1np1/2p1p3/4P3/2P2N2/PP1PQPPP/RNB2RK1 w kq e6,b1a3
8/5p2/p1pRn1k1/q5pp/4N3/1P2R2P/PB3PP1/6K1 w - -,e4g5
1R3bk1/5r2/5pbp/8/3R4/P2P3P/2P2PP1/6K1 b - -,g8g7
8/8/2K2k2/4p2p/4P2P/5Nb1/8/8 b - -,f6e6
8/1B4k1/p5p1/Pb6/1P1R2p1/3nP3/5PPK/5r2 w - -,d4g4
r4rk1/1p3pnp/pq1pb1pB/P1p5/3bP3/2N5/1PPQBPPP/R4RK1 b - -,b6c7
rnbqk2r/pp3pp1/4p2p/3pP3/1b1p4/P1N5/1PP2PPP/R1BQKB1R w KQkq -,a3b4
8/8/3P1kp1/pB6/P2nPK1P/1bN5/8/8 w - -,e4e5
r2r1nk1/N4ppp/4p3/4P3/2qB4/b1P1QR2/P5PP/5RK1 b - -,d8d4
r1b1k1r1/pp2np1p/2n1pQ2/3pP3/3P4/P7/2qBNPPP/R3KB1R b KQq -,c8d7
2r3k1/1R3pb1/4p1p1/1N5p/3P4/1rn1PBP1/4PK1P/2R5 w - -,b5c3
8/4B2k/1n2p1p1/8/p7/R5PP/4rP1K/8 w - -,e7c5
r1b3k1/pp1n1pp1/3B3p/4P3/2n5/5N2/PPB3PP/2K1R3 b - -,c4d6
r2q2k1/1b3ppp/1p6/p1bpr3/3N1N2/1P1QPP2/P5PP/R2R2K1 w - -,g1h1
r1b1r1k1/ppp1B2p/2n3p1/5p2/2PP3N/3QnPPB/PP5P/R5K1 b - -,e8e7
4r3/8/3n2p1/1pkPr2p/p1p2P1P/P4B2/1P1R1P2/3R1K2 b - -,e5f5
8/5p2/6p1/4pkP1/R4b2/5N2/1r6/5K2 w - -,a4a7
r5k1/1bq1rp1p/2p3pb/1pP1n3/pP2BN2/P1Q3PP/1B2PP2/R4RK1 w - -,e4g2
rnbqkb1r/p1pppppp/1p3n2/8/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq -,c8b7:g7g6:e7e6
6r1/pR5p/5k2/4p3/7P/5K2/P1P5/8 b - -,h7h5
8/3k1p1p/1n1P2p1/4P3/2p1BPP1/4K3/1r5P/3R4 b - -,b2h2
rnbqk2r/pp2ppbp/2pp2pn/7P/2PP4/2N2N2/PP2PPP1/R1BQKB1R b KQkq -,d8b6
r6r/ppq1ppk1/3p1b2/P2Pnbpp/1Q1B1N2/2P3PP/1P3PBK/R2R4 w - -,f4e2
5R2/1p6/p1pB4/3r1kPp/1P3P1r/8/5PK1/8 b - -,f5g6
2Q2bk1/p4rp1/7p/P4n2/2pp4/1qP4P/1P2RPPB/R5K1 w - -,c8e6
r3k2r/1b1nbppp/pq2pn2/1pp5/3P4/P1NBPN2/1P2QPPP/R1BR2K1 w kq -,f3e5
2r5/6k1/4r1p1/4bpP1/1B1p3K/pP1Pp2P/P1P1R1R1/8 w - f6,g5f6
3q4/3k2p1/2p1p1P1/NpPpPp2/1P3Q1p/4K2P/8/8 b - -,d7c7
3rk2r/1bq1Bpp1/2pp4/p3p2p/2B1P1n1/2N5/PPP1QPPP/3RR1K1 b k -,c7e7
5rk1/Qb3p1p/Bpp1pbp1/3n4/1q1P4/4PN2/1B3PPP/2R3K1 w - -,a7b7
2k5/1p3p2/1pp3pp/8/4q3/PP4PP/KP3P2/3Q4 w - -,d1d6
r4rk1/1p1bq3/3p2pb/3Pp1np/1PN1P3/3Q4/1R2BBPP/5RK1 b - -,d7b5
8/1p4p1/p1pk4/P5P1/1P3n1P/5B2/4pK2/8 w - -,f3e2
6k1/p5pp/2p5/2P4b/5r2/P1RN3P/3r1PP1/2R3K1 b - -,f4d4
rnbqrbk1/1p1p1ppp/p4n2/2pP4/P7/2N2NP1/1P2PPBP/R1BQ1RK1 b - -,d7d6
6R1/1r6/2R2pk1/5r1p/1p6/1Pp3P1/6K1/8 b - -,g6f7
