8/Pk6/4K1P1/8/n7/8/8/8 b - -,a4c5
3b4/1kp2pp1/1p2b2p/4P3/4NB2/8/P1P2PP1/6K1 w - -,e4d2
R7/P5k1/6p1/5P2/r2K2P1/8/8/8 w - -,d4e3
rn1q1rk1/p1ppb1pp/1p2p3/5p2/2PPb3/1P3NP1/PB2PPBP/R2Q1RK1 b - -,e7f6
5k2/1p1R1p2/p5p1/4P1K1/Pr4PP/8/8/8 b - -,b4e4
8/rB6/Pb1R4/5p2/P1pp1k2/8/2K5/8 b - -,d4d3
1k1r2r1/p1p2p1p/1n1qbPp1/1N1p4/8/5Q2/PP2BPPP/R4RK1 b - -,d6c5
1r6/2r1p1kp/3n1pp1/p1N5/2nP4/2P2B2/PP3PPP/1R2R1K1 b - -,c7a7
3r3r/1p2k1pp/p4n2/3pNp2/2pR4/1PP1PP2/P5PP/2KR4 b - -,c4b3
2q5/2b3kp/1pPp2p1/pP1Bp3/P3P2P/5QP1/4K3/8 b - -,c8f8
8/4rk2/p5pp/2Q5/P4KPP/8/8/8 w - -,a4a5
8/pp3pk1/2p2bp1/5q1p/2PP2p1/1P1Q4/P4PP1/3R2K1 b - -,f5f4
8/8/8/8/p1p1kBp1/1bP1P3/1K6/8 b - -,e4f3
rn1q1rk1/pb3ppp/1p2pn2/3P4/1b1P4/2N2NP1/PPQ2PBP/R1B1K2R b KQ -,b7d5
r2r4/pp1b1pkp/1q2p1p1/2p5/3nB2Q/2NP2P1/PPP2P1P/1R2R1K1 w - -,e4g2
8/5R2/8/6k1/5nP1/5pK1/3r2B1/8 b - -,f3g2
6R1/4kpbQ/3pq1p1/8/4P2P/r7/r4PB1/5RK1 w - -,h7g7
1r2r1k1/3b1pp1/2pbqn1p/p2p4/N2P3B/P2B4/1PQ2PPP/1R3R1K w - -,f2f3
1r1q2k1/p2brpp1/3p3p/2pN4/2PbPP2/1P1B4/P3Q1PP/2R2R1K b - -,e7e8
r1qb4/pp3kp1/2p1pn1p/4B3/2Q5/2N3P1/PP3PKP/4R3 w - -,c4f4
6k1/1ppnrpp1/pb1p1q1p/3P1P2/bP1P1R2/P2Q1BPP/6NK/6B1 b - -,e7e8
8/1p4bk/6pp/2p2b2/8/4rN1P/PP1RN1P1/6K1 w - -,g1f2
6k1/3R2pp/p7/1p6/4KnP1/1P4P1/P1P1p3/8 b - -,f4e6
r1b2rk1/p3bppp/1p2pN2/1N4B1/2P5/8/PP3PPP/R2R2K1 b - -,e7f6
Rr6/Rr3p2/3bp1k1/3p2p1/3P2P1/4P1N1/5PK1/8 w - -,a8b8
3q1rk1/1r2ppbp/3p2p1/1Np5/1nN1P1P1/1Q4P1/1P3PB1/1R3K2 w - -,c4a3
r3r1k1/p1pq1ppp/1np2b2/8/8/1PNP1QP1/PB3P1P/2R2RK1 w - -,b2a3
8/1r6/1ppBb3/p1p1Pk2/2P2p1p/1P5P/P4KP1/1R6 b - -,b7g7
r2q1rk1/p3bppp/1p2p3/2P1n3/1P1N4/4B1P1/P4PKP/R2QR3 w - -,d1b3
r2q1r1k/1ppb3p/n2p1ppQ/p1nPp3/2P1P1P1/2N2N1P/PP2BP2/2KR2R1 b - -,d8e7
7r/2k5/p2N2p1/2P2p1p/P7/8/3r1PPP/2R2RK1 b - a3,d2d4
1r3r2/1p4pk/pB3p2/3Bbbp1/8/2P5/PP4PP/R3R2K b - -,h7g6
4r3/5pk1/p2r3p/1p1b2p1/3p4/1P1B1R2/P5PP/5RK1 w - -,f3f5
4n2k/1rr1q1pp/QB1p4/3P1p2/4p3/6P1/1P2PPBP/R5K1 b - -,c7c8
8/2R5/1p1k2p1/p2Pr3/P7/8/2P3K1/8 w - -,c7c6
r5k1/pp1rqpbp/1np1p1p1/8/3PP3/1B2B1QP/PP3PP1/2RR2K1 w - -,f2f3
rnbq1rk1/bpp2pp1/p2p1n1p/4p3/2P1P3/P1NP1NPP/1P3PB1/R1BQ1RK1 b - e3,b8c6
rnb2rk1/pp1n2pp/2pb1q2/3pP3/8/1NP1BN2/PP2BPPP/R2Q1RK1 b - -,d7e5
r2q1rk1/1p4pp/p3Pb2/P1pp4/6n1/5N1P/1PP3P1/R1BQ1RK1 b - -,g4e5
7k/p4Pp1/7p/8/5r2/2P3K1/P7/8 w - -,g3f4
r1b2rk1/3nqp1p/p1p3p1/2b1p3/4N3/P5P1/1PQBPP1P/RN3RK1 w - -,e4c5
6k1/1b3p1p/pr2p1p1/4q3/P3P3/1B5P/NbQ2PP1/4R1K1 w - -,c2d3
2r5/2r2pk1/p2R2pp/P1B1p3/Bp2P1b1/6P1/1PP4P/2K1R3 b - -,c7c5
r2qkb1r/3b1ppp/p1n1pn2/P2pN3/1p1P4/1Q2P3/1P2NPPP/R1B1KB1R w KQkq -,e5c6
6r1/1p6/p1p5/2Pr1p1k/1P2pKpP/P2pP3/7R/4R1N1 w - -,h2g2
5k1r/pp3pp1/1n2p2p/4P3/2q2rQP/P1R5/1P3PP1/4R1K1 w - -,c3c4
2b4k/2p2q1r/p2p4/2pPb1p1/2B1Q1P1/1P2B2P/P5K1/3R4 w - -,d1f1
r3kbnr/pp2p1pp/2nq1pN1/1B1p4/3P2P1/2N4P/PPP2P2/R1BQK2R b KQkq -,h7g6
5k2/1Bp1bppp/4pn2/1N2P3/4b3/6P1/pB2PP1P/6K1 w - -,b7a6
rnbq1rk1/2p1bppp/p2p4/3P4/1p1N1B2/5P2/PPPQ2PP/2KR1B1R b - -,a6a5
8/8/5k2/6p1/6P1/r4PKP/8/7R b - -,f6g6
3r1bk1/P7/1NRp2p1/3P1p2/3n4/3Bp3/1P6/1K6 b - -,f5f4
6k1/1p1b4/5bBP/2Pp1p2/3P2K1/8/5B2/8 w - -,g6f5
rnbqk2r/ppp2pbp/5pp1/3p4/3P4/1P3N2/P1P1PPPP/RN1QKB1R w KQkq -,e2e3
8/8/5pp1/4p1k1/RP4Pp/3q3P/6RK/8 b - -,e5e4
1r4k1/2q1pp1p/b2p2p1/P2P4/2PbP3/4NBP1/R2B1P1P/3R2K1 w - -,d1c1
r2q1rk1/pb1n1pp1/1p2pb1p/3p4/2PN4/2NBP1P1/PP2QPP1/3R1RK1 w - -,c4d5
8/7R/4k1N1/4p3/2KbP3/r7/7P/8 b - -,a3c3
r2qk2r/pbnp1ppp/4pn2/bppP4/2P5/P1N1P1P1/1P2NPBP/1RBQK2R w Kkq -,b2b4
r4rk1/pbp2pb1/1p3qp1/4p1N1/3PPn1P/2P1B3/P3BP2/R2QK1R1 w Q -,e2f3
8/1p6/p2Nb1k1/4p3/1nP3P1/1P2B2P/P6K/8 w - -,d6b7
r3rnk1/pp3ppp/2p5/6q1/3PP3/4P2P/PPQN2P1/2KR3R w - -,d2c4
2q2rk1/8/2np2pb/2p1p1N1/p3P2P/PrPP2P1/3R2Q1/4R1K1 w - -,d2f2
5rk1/pp4pp/5n2/8/2b2N2/6P1/P4KBP/4R3 w - -,g2b7
2k3r1/1pq2p1r/p1b1p3/3pP1b1/3NnPBp/2P1QK2/PP5B/3RR3 w - -,f4g5
1r1r2k1/4bp1p/p3q1p1/np2P3/2PpQ3/3P2BP/PR1N2P1/5R1K w - -,c4b5
2r2rk1/ppp1p1bp/6pP/3bPp2/3P1B2/P4P2/1PK3P1/3R1B1R b - -,g7h8
8/ppR2pk1/3p3p/3P2p1/P2P4/4nPB1/1r4PP/6K1 b - -,b2g2
r3kb1r/pp1q1ppp/1n6/2p5/3P4/5P2/PPP1NP1P/R1BQ1RK1 w kq -,d4c5
2r1r1kB/p1q5/bp1b2p1/2PP1p1p/4n1N1/8/PQ2BPPP/1R1R2K1 b - -,b6c5
bk1r1bnr/p1pq1pp1/Bpn1p2p/3pP3/1P1P4/P1PQ1N2/4NPPP/R1B2RK1 b - -,g7g5
4r1r1/2pk3p/1p6/pR1Pn3/N3PN2/2K1P3/6PP/8 w - -,c3d4
1rbq1rk1/p2nppbp/2np2p1/1p6/2p1PPP1/3PBN1P/PPP3B1/RN2QRK1 w - -,d3d4
r1bqk1nr/1p1pppbp/p5p1/8/3pP3/3B4/PPPPNPPP/R1BQ1RK1 b kq -,d7d5
1k6/3r3p/1P1ppBp1/5pP1/2N2P2/4K3/7P/8 w - -,c4d6
8/N1nk2p1/6p1/1p2b3/1P1p1B1P/P5P1/2K2P2/8 b - -,e5f4
6k1/5p1p/8/pR1p2P1/r7/8/6PP/6K1 w - -,b5d5
r4rk1/4pp1p/3p2p1/3P4/1P2q3/2b1N1P1/5P1P/1R1QR1K1 w - -,e1e2
r1bq1rk1/3n1p1p/p2ppNpQ/2p5/1pPPP2P/5P2/PP2N1P1/R3KB1R b KQ -,d8f6
r1bqr1k1/p4pbp/1p1p1np1/2p1n3/1PP1P3/P1N1B1PP/3N1P2/R2QRBK1 w - -,a1b1
r4rk1/pp1nppbp/3pb1p1/q7/2PnP3/2N1BP2/PP1QB1PP/R3K2R w KQ -,e3d4
2b2r2/pp2qpnk/1np4p/8/1b2B3/1P1QN1PP/PB2N2K/3R4 b - -,f7f5
2r1qrk1/3n1ppp/2bR4/ppP1p3/1n2P3/1Q4P1/PB2NPBP/2R3K1 w - -,b3e3
r4rk1/pp2bppp/2p1pn2/7q/PnBP4/1PN1P2P/1B2QPP1/R4RK1 w - -,e2h5
r2q1r2/1b2p2k/p2p1p1b/1pp2PpN/4P1P1/2NP1n1P/PPP3KQ/R4R2 w - -,f1f3
2r1kb2/8/R3K3/4P1P1/8/4B3/8/8 b - -,f8g7
r2qk2r/pb1p1pp1/1p2pn1p/1Nb1P3/2P5/P3B3/1PQ2PPP/R3KB1R b KQkq -,f6e4
8/8/8/1b1P3k/4K3/4P3/5P2/8 w - -,f2f4
r2qkb1r/pp1n1ppp/2p1p1b1/3pP3/2PP2Pn/1P3N2/P3BP1P/RNBQ1RK1 w kq -,c1f4
8/5p2/6kp/5p2/4p2P/1R2P1K1/4r1P1/8 b - -,g6h5
7k/2p5/p1pb3p/4p1p1/1P6/2P1P2r/P1K5/3R3R b - -,h3h1
r1bqkb1r/1p1npp1p/p1p2np1/2Pp4/3P1B2/2N1PN2/PP3PPP/R2QKB1R b KQkq -,f8g7
8/1pbQ1ppk/7p/p2bq3/2pN4/2P2PPP/PP3K2/5N2 b - -,c7b6
8/6pk/7p/3Qp3/2P1P3/2q3P1/5PKP/8 b - -,g7g5
1r6/k7/8/8/1p4RP/8/7K/8 w - -,h4h5
5k2/p3rpp1/2p1b2p/2N5/1r1P4/P1R5/1P1R2PP/6K1 b - -,b4b6
8/8/p3r2p/8/2P1k1p1/P1K5/8/5R2 w - -,f1e1
2rq1b2/1p3k1p/p3n1p1/2n1p3/3pP2P/BP1P2P1/P2QN1B1/5RK1 b - -,f7g8
r1bq1rk1/2nn1pbp/p2p2p1/1ppP1P2/4P3/P1NB1N2/1P4PP/R1BQ1R1K b - -,c7e8
8/8/4bk1p/p2p1p2/3P1K1P/5BP1/P7/8 b - -,e6f7
2r3k1/p4rpp/B3b3/2Pp2q1/3Qp3/P1R4P/5PP1/1R4K1 b - -,c8f8
r2qr1k1/p4ppp/8/n3R3/2p5/BPNb4/P2P1PPP/R3Q1K1 w - -,e1e3
r1b1kb1r/pp3ppp/1qn1pn2/2pp4/3P1B2/2P1PN2/PP3PPP/RNQ1KB1R w KQkq d6,f1d3
q1r1r1k1/1b1n1ppp/pbnBp3/1ppp2P1/2P5/1P1P1N1P/P1N1PPB1/1RQR2K1 w - -,c2e3
1r2r1k1/3q1p1p/pp1p1np1/3P1n2/PN6/N2QP2P/5PP1/1RR3K1 b - -,e8e4
2br2k1/2q2pp1/p2p3p/1p1Pn3/3QP3/PN5P/2r2PP1/R2R1BK1 b - -,c8h3
2r3k1/1b2qpp1/1B2p1p1/3n4/8/1P3P2/P4QPP/4RBK1 w - -,b6d4
6k1/5p2/2b3p1/P1q5/2N1Pn1p/3p1PP1/1R1R3P/5B1K b - -,h4g3
8/7p/1N6/P3ppk1/5p2/1P3K2/1r2B1P1/8 b - -,b2b3
8/1p6/p1b5/6pk/8/1P6/P4K2/1B6 b - -,h5g4
3r4/1b2k1np/p2p4/1pr1pp2/7P/PPPR1PPB/3RNK2/8 w - -,d3e3
4rbk1/p1q2pp1/7p/2p2P2/2QP4/5NP1/PB2nP1P/R4K2 b - -,c7b7
rnq1k2r/pp2bppp/2p1p3/2P5/3PbB2/6P1/PP3PBP/R2QK2R w KQkq -,g2e4
8/8/8/3Q4/8/K7/2k1p3/8 w - -,d5c4
8/2Q3nk/R6p/6rp/8/8/5Pp1/6K1 w - -,c7c6
1k1r3r/pp2qpp1/2Pb1n2/3NnQp1/2Pp2P1/3B3P/PP1B1P2/2KR3R b - -,g7g6
8/8/r5p1/P2p1k1p/R4P2/5K2/6P1/8 b - -,d5d4
1r2r2k/p3q2p/bpB4B/2p1bPp1/2Pp4/6Q1/P1P3PP/4RRK1 w - -,c6e8
2rrn1k1/p3qppn/1pbp3p/4pP2/1PP1P1PP/P2QNB2/1B3K2/2R4R w - -,c1g1
r1b1r1k1/pp3pbp/2pp1np1/8/P1B1Pq2/2N1B2P/1PP2PP1/R2Q1RK1 b - -,f4h4
8/8/6k1/5p2/3N1Kp1/4P3/1r6/5B2 w - -,f1d3
8/2Pk4/1B6/7p/1N2n3/5p1P/4nP1K/8 w - -,b4c6
2r2rk1/p2bnpbp/1q1p2p1/1p1P4/1Q1P2P1/1P2B2P/P3N1B1/2R2RK1 w - -,e3f4
8/4k2p/8/1N2ppp1/3p4/1PpK4/5PPP/8 w - -,b5a3
rnbq1rk1/1p3ppp/3ppn2/p1p5/1bPPP3/6P1/PP1BNPBP/RN1Q1RK1 b - -,b4d2
8/5p1k/4p2p/p5P1/P1rbP3/3N1K2/1p3P2/1R6 b - -,c4a4
3q3k/6pp/3p4/2rQ4/4pP2/8/2P3P1/5R1K w - -,d5e4
6r1/2k5/p1P5/P7/3r2N1/7P/5PK1/R1R5 b - -,g8d8
r1bq1rk1/pppn1pbp/3p2p1/3Pp2n/2P1P3/3B1N2/PP2NPPP/R1BQ1RK1 b - -,h7h6
r2qk2r/p2n1ppp/1p1Ppb2/8/1Q1PN3/5N2/PP3PPP/RBB2bK1 b kq -,a7a5
1r3k2/4R1p1/3q1pQ1/2pN3p/2Pn3P/1p4P1/P7/6K1 b - -,d6e7
rn3rk1/2pnqppp/b2p4/4p3/Q3P3/2P3P1/PP1N1PBP/R1B1K2R w KQ -,a4c2
rn2kb1r/pb3ppp/2p1pn2/q7/Np1PP3/8/PPQN1PPP/R1B1KB1R b KQkq -,b8d7
8/2p2kp1/3pp2p/3nP2P/3p1P1N/b2P2B1/2PK2P1/8 b - -,d6e5:a3b4
3r2k1/1b4p1/p3q2p/1p2p2P/1B1bP3/1P3Q2/1P6/1B3R1K w - -,f1c1
r1bqkb1r/p4ppp/1pn1pn2/2pp4/3P4/P3PNP1/1PP2PBP/RNBQK2R w KQkq -,c2c3
6k1/R6p/2p2pp1/8/4n3/2P1P3/1P1r2PP/5RK1 w - -,f1a1
6k1/1p3pp1/pr2r3/2p1q2P/2P5/2NPp1P1/1P2Q1K1/5R2 b - -,e6f6
r3k1r1/1p1n1pP1/p2p3p/4qP2/2P5/2PBp3/P1Q4P/2KR2R1 b q -,g8g7
r4rk1/3q1pb1/1p2p1p1/pn1pPnNP/3P2Q1/2B5/PP3P2/1B1R1RK1 b - -,b5c3
1r1qk2r/pb1p1ppp/n3pn2/b1pP4/2p5/P1N1P1P1/1P2NPBP/1RBQ1RK1 w k -,e3e4
3q1r1r/p3b1k1/1np1p1pp/1pp1P3/2P1RBP1/3P1N2/PP2QPK1/7R w - -,f4c1
r3brk1/2p1q1p1/2n1p2p/p1ppP3/5P2/2PB1NP1/PPQ4P/R4RK1 b - -,c5c4
8/p3pk2/3p2p1/1prP1n1p/4rP2/1P1R2P1/PB1R1K1P/8 b - -,b5b4
8/7p/3K4/2RP4/2b5/7P/4q1k1/8 w - -,c5c7
1r6/3k1pb1/p1rPp1n1/2P2q2/1P6/P2R4/4BB2/3QK1R1 b - -,g6f4
5k2/2R2p1p/4p1p1/rB6/P2b4/7P/4KPP1/8 w - -,f2f3
r1bq2kN/pp4p1/2n2b1p/2ppp3/3P2QP/2PB3R/P1PB1PP1/R3K3 w Q -,g4g6
5r2/1qn1b2k/2p1p1p1/1pPpNp1p/rP1P1P2/2BQP1NP/6P1/5RK1 b - -,c7e8
2r1qrk1/pp3pp1/2pp1n1p/4p3/1PP3b1/P1QP2P1/1B2PPBP/R3R1K1 b - -,f6d7
r1bq1rk1/pp3p1p/4p1p1/4Q3/3PB3/2P5/P4PPP/R4RK1 b - -,f7f6
5rk1/1qn1bppp/3pbn2/4p3/PP2P3/3Q4/2N2PPP/R1B2RK1 w - -,c1g5
r1bq1rk1/pp2bppp/2np1n2/4p3/4PP2/1NN1B3/PPPQB1PP/R3K2R b KQ f3,a7a5
r1b1k2r/1pq2ppp/p1n1p3/3pP3/1bP2P2/1NP1BQ2/P5PP/2R1KB1R b Kkq -,b4a3
q5k1/r6p/4n1p1/2p1PpP1/1pPp1P2/3P2K1/rP5Q/1RB4R b - -,a7e7:e6f8
r1bqk2r/pp3pb1/2n3p1/3PN1Pn/3Pp3/2N5/PP3P2/R1BQK2B b Qkq -,c6e5
r5r1/4bk1p/1p1p2p1/p1pP1p2/P1P1pP2/1P2P1PP/5KN1/2R4R b - -,g8g7
8/5p2/p4kp1/1p3n1p/1P6/Pb3PP1/5K2/3B4 w - -,d1b3
6k1/1R4pp/4p3/8/3r4/6P1/5PKP/8 b - -,h7h5
r4rk1/3nbppp/B3qn2/Q3p3/3pP3/1N3P2/1PP2BPP/2RR2K1 w - -,c1a1
r1bq1rk1/pp2ppbp/2n3p1/3n4/3P4/P1N2N1P/1P2BPP1/R1BQR1K1 b - -,c8f5
r2q1rk1/4bppp/2bpp3/1p6/NP2PP2/4Q3/B1P3PP/R1B2R1K b - -,a8a4
1r3k1r/5p2/4p2p/p2pPn1P/3P1QR1/1qPR3N/5P2/4K3 b - -,a5a4
2r5/2p3pk/2P3p1/p3R3/1p1n1P2/1P1N4/P4PKP/8 w - -,e5a5
rnbq1rk1/pp2nppp/2pb4/4p3/4p3/3P1NP1/PPP2PBP/RNBQR1K1 w - -,d3e4
4r2k/p3P1bp/6p1/2B5/8/1P2Q1KP/1r6/8 b - -,b2c2
4B3/7k/1p6/5R2/2P3R1/4p2K/P6P/3q4 b - -,h7h6
r1bqr1k1/pp3p1p/nnp3p1/4b3/4P3/BPN3P1/P1Q1NPBP/R4RK1 b - -,c8d7
rn1q1rk1/pp2bppp/1np1p1b1/8/P1BPP1P1/5P2/NP4NP/R1BQ1RK1 w - -,c4b3
2rqk2r/p2nppbp/1pnpb1p1/8/2P1P3/1NN1BP2/PP2B1PP/2RQ1RK1 b k -,e8g8
6k1/3q1p2/p3p1p1/1p4P1/2p3P1/2Q2RK1/PP2r3/8 b - -,d7d6
6k1/3r1p2/2q4p/3p2pP/p1PQ2P1/P4P2/1P6/1K1R4 b - -,d7c7
r1b2rk1/1p4bp/1q1pp1p1/n1p2p2/p1P1PP2/P2PB1P1/1P2N1BP/1R1RQ2K b - -,c8d7
r2q1rk1/1b1n1ppp/p1p1pn2/1p4N1/3P4/P1NBP3/1PQ2PPb/R1B2RK1 w - -,g1h2
2r5/R2n4/3k1p2/3B3p/2P4P/4P3/P4P2/5K2 b - -,c8b8
2r1r1k1/1b1nqpb1/pp1pp1pp/8/1PPP4/P1N1QN2/4BPPP/1R1R2K1 w - -,b1c1
r2qkb1r/1p3ppp/p1npbn2/4p3/P3P3/N1N5/1PP1BPPP/R1BQK2R w KQkq -,e1g1
r1r3k1/1p3pp1/7p/1P1p1n2/1R1P4/4PN2/5PPP/5RK1 b - -,c8c2
8/pp4bk/3p2pp/1Q6/1P1p4/2rB2P1/P5KP/4r3 w - -,d3f1
1R2b1k1/4n1p1/r1p1q3/2p1p2N/2P1P1P1/P4P2/4Q1B1/7K b - -,e7g6
8/8/6K1/8/4p3/5r2/2Q2nk1/8 b - -,g2g3
5k2/pb4bq/5r2/2pp2P1/5P1R/2P1P3/P2N4/4K3 w - -,h4h7
5r1k/p5rp/6p1/2p5/2Qb4/4NqP1/P3RP1P/4R1K1 w - -,e3d1
r1bqkb1r/pp3ppp/2n1pn2/2p5/4NP2/3P1NP1/PPP4P/R1BQKB1R b KQkq -,f6e4
2rq1rk1/1p6/7p/2pP1pp1/P1n1p3/6P1/1R2NP1P/4QNK1 w - -,b2b7
2r1r1k1/pp1b1pbp/6p1/3p4/1P1Nn3/P3P1PP/5PBK/R1B2R2 w - -,c1b2
6k1/3b2p1/p1pBn2p/P4p2/4p3/4P3/5PPP/1R4K1 b - -,c6c5
r5k1/5p1p/4p1p1/1Pp5/1q6/3Pp1PP/4P1K1/2Q2R2 b - -,b4b5
r1bqk2r/bpp2ppp/p1np1n2/4p3/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w kq -,a1b1
r7/1p4pp/3k1p2/P2pp3/1K1n4/5P1P/6P1/3R3R w - -,d1d4
3r1k1r/p1q2p2/1p2p2p/1Pp1P1bP/2PnBBQ1/6P1/P4P2/R4RK1 w - -,f4g5
r2q1rk1/2pb2pp/1p6/p1nPp3/2P1N3/1PN1n1PP/P1Q3B1/R4RK1 w - -,f1f8
4r3/1p1Rr1k1/3R2pp/Pp2P3/1P3P1P/5K2/8/8 w - -,h4h5
r1b2k2/pp5p/2p4p/4p2N/7P/1B3n2/PPP2P2/3R3K b - -,f3h4
r4rk1/ppn1bpp1/1qp1p1p1/8/P2PP3/1P4P1/1BQ2PBP/3R1RK1 w - -,h2h4
2r3k1/2p2p2/Q2p3p/2pP2p1/4q3/P3P1B1/1r1b1PPP/3R1RK1 b - -,c8b8
r1b2rk1/1pp1qppp/5n2/p1pPp3/2P1PP2/2N3P1/PP1Q2BP/R4RK1 b - f3,f6e8
6k1/1p4bp/2r1p1p1/p4r2/P2P4/2B1n1KP/1P2N1P1/2RR4 w - -,d1e1
q3r1k1/1b4pn/3r1p2/p1b1pP2/PpPpP2B/1P1R2NP/2P3BK/4QR2 b - -,e8e7
5rk1/pp1bq2p/4pp2/1P1pB3/P2N4/2rP4/4QPPP/R3R2K b - -,f6e5
3rnrk1/1pqn1b1p/3p4/p1pP1p2/N1P1pP2/1P2B1PP/P2Q1RB1/5RK1 b - -,d7f6
k7/p2q4/Pnb1p2r/RpBpP1p1/2pP1pPr/2P2B2/1QP2P2/1R4K1 b - -,d7h7
8/5p2/4ppk1/8/2K2P1p/4R1PP/8/r7 b - -,h4g3
3r1b2/7k/2n3pp/3qpp2/p1N5/4BP1P/PP2Q1PK/4R3 b - -,c6b4
1r1q1rk1/pp3ppp/3p1b2/3B4/3PP3/3Q1b2/P4PPP/1R3RK1 w - -,d3f3
rn3rk1/pp2ppbp/4bnp1/1Np3B1/3P4/4PN2/PP2BPPP/R3K2R b KQ -,f8c8
r1r5/p4k2/5p1R/2B1pb2/8/6R1/P5P1/6K1 w - -,c5e3
r5k1/2p3p1/r1bpq2p/P1n2p2/2P5/R1B1PP2/4BQPP/1R4K1 b - -,a8e8
5rk1/1rpb1qbp/3p2p1/Rp1Pp2n/1P2P3/2N3P1/P3Q2P/2B1RBK1 w - -,f1g2
6k1/1R4pp/P7/8/2p5/1PKp3P/4r1P1/8 b - -,e2c2
3R4/8/8/2rn4/8/3k4/8/3K4 w - -,d1e1
8/pb2kppp/8/1B2p3/1P2P3/5P2/3K2PP/8 w - -,d2d3:b5c4
r5k1/3R1p1p/2p1p1p1/p3P3/6P1/2P2P2/4PK1P/8 b - -,a5a4
1b1r1rk1/p3q1pp/1p2pn2/2pb1p2/2NPnP2/1P1BPN2/PB2Q1PP/2RR2K1 w - -,d4c5
r4r2/1bq1npk1/p3p1pp/PpNpP3/1PnP4/2QB3P/2R1NPP1/R5K1 w - -,a1f1
r1b4r/ppN1k1pp/2pp1R2/8/3QP3/q3B3/P5PP/1R4K1 w - -,f6d6
4B1k1/4B1pp/5p2/3Pp3/p3n2P/6K1/r5P1/8 w - -,g3f3
r3r1k1/3n1pp1/2p1q1p1/Pp2p3/1b2P1P1/3RB2P/1P3PB1/R2Q2K1 b - -,d7f8
r3r1k1/1ppn2p1/2bp1p1p/p6P/3BP1P1/4RP2/PPP2K2/3R1B2 b - -,b7b6
2kr1b1r/ppqn1pp1/2p1p2p/4P2P/5P2/6N1/PPPBQ1P1/2KR3R b - f3,f8e7
4rrk1/p4qp1/1bNp1n1p/1Pp1pp2/Q1Pn4/2N2PP1/PR2PB1P/3R2K1 b - -,f7h5
8/8/1p1n2p1/p4pP1/Pk3P2/1Pp1K3/2B5/8 b - -,b4a3
6k1/4pp2/6p1/1P1pP2p/3P4/6bP/4Q1P1/1q2NK2 b - -,h5h4
4r1rk/p2n2np/1p4q1/3Ppp2/1QP5/5RPP/P3N1B1/5RK1 b - -,d7c5
3n4/1p1P1p1p/1r2k1p1/2R5/6P1/8/P4K1P/8 w - -,a2a4
r1bqkb1r/ppp1n1pp/2n2p2/1B1pp3/Q3P3/2P2N2/PP1P1PPP/RNB2RK1 b kq -,a7a6
8/p2n2pp/3k1p2/1P2p2B/3K1P2/6P1/7P/8 w - -,f4e5
8/1Qp1r1k1/1p4p1/p1p1N2p/2P2P1P/1P4PK/P7/6q1 b - -,g7f6
q1rr2k1/1b3pb1/4pnp1/1p5p/P4P2/1PN3QP/3BR1P1/1BR4K b - -,b5b4
1r6/1PR3k1/6p1/3p2p1/3Kp1P1/4P3/5P2/8 b - -,g7f6
1kn1r3/1ppr4/4p1p1/PPP1PnNp/3pBP1P/3R2P1/5P2/R5K1 b - -,c8a7
1q2rbk1/r4ppp/p4n2/1pN5/P7/5bPB/1P2PP1P/R1RQ2K1 w - -,e2f3
1r4k1/2p1n1p1/5n1p/p7/1p3Pb1/2PN1Bb1/PP4N1/R1B3K1 w - -,f3g4
8/5Pb1/6K1/4N3/7k/8/8/8 b - -,g7f8
r3r1k1/1p2qpbp/1np1b1p1/p7/8/2N1P1P1/PP1BQPBP/R2R2K1 w - -,e3e4
1r1qr1n1/2p2kb1/p6p/2BP1P2/2p1p1P1/2N5/PP1Q4/2KR3R w - -,d5d6
6k1/1p2pp1p/p2p1np1/P2P4/R3PP2/2r1B2P/6P1/6K1 w - -,e3f2
r1bq1rk1/pp1nppb1/2np2pp/P5B1/2PP4/2N2N2/1P2BPPP/R2QK2R w KQ -,g5e3
3Q4/6pk/5p1p/5P1P/6PK/8/p7/1q6 w - -,d8e8
r1b2r2/p5k1/1pp2p1p/2q1p1p1/4P3/1QP2NP1/PP3PP1/3R1RK1 b - -,f8e8
