8/6k1/3Q2p1/2pPp2p/2P4P/4P3/5q2/7K b - -,f2h4
r6k/1pp2R1p/3p1P2/pbP2p2/5qP1/PPQ4P/6B1/6K1 w - -,c5d6
8/1p3R2/2p5/2P1k2p/1P4b1/2KB3r/8/8 b - -,h3f3
2rq1rk1/pb2npb1/1p2p1pp/2pP4/Q7/P1NP1nP1/1P1BPPBP/1R1R2K1 w - -,g2f3
2rqk1nr/1b1nppb1/p5p1/1pp4p/4P2P/2N1BP1N/PPPQ2P1/1K1R1B1R w k -,h3g5
6k1/1p5p/pB1p2p1/P2P4/4n3/1Bb4P/6P1/6K1 b - -,c3b4
8/q3pk2/2r3pp/prn2P2/1pRPP3/1P5P/7K/2R3Q1 w - -,d4c5
r2q1rk1/1p1nbppp/p1n1p3/2p5/P4P2/2NP1N2/1PP3PP/R1BQ1R1K w - -,c1e3
8/8/2R5/k7/P7/2KB3r/8/8 b - -,h3h6
1rr3k1/4qpb1/6pp/4p2n/2N5/4PP2/PB2QP1P/2R3RK w - -,b2a3
4r1k1/1bqnrpbp/p5p1/1p1p4/3N1P2/1PP2BP1/P2Q3P/3R1RBK w - -,d1e1
rn1qk2r/1p1nbppp/p2pb3/4p1P1/4P2P/1NN5/PPP2P2/R1BQKB1R b KQkq -,e8g8
r2q1rk1/1pp1bppp/1n4b1/2nP2P1/p7/P1N1BN1P/1P2BP2/2RQ1RK1 w - -,c3b5
r4rk1/pp2ppbp/2q1bnp1/2pp4/P4P2/NP2PB2/1BPP2PP/R2Q1RK1 b - -,c6d7
r4N2/1p3kp1/p6p/8/1P2P3/P3B2P/5PP1/6K1 w - -,f8d7
2k5/1b1r3r/1B1Nq2p/1p2n3/5p2/2PQ1P1P/6P1/R2R2K1 b - -,c8b8
r1bq1rk1/pp2ppbp/n2p1np1/P1p5/3P4/5NP1/1PPNPPBP/R1BQ1RK1 w - -,c2c3
8/6R1/4k3/4npP1/r7/6P1/4R1K1/8 w - -,g7g6
8/1QK5/2p5/P1Pq4/1Pk5/8/8/8 b - -,d5e5
rnbqkb1r/ppp1pp1p/3p1np1/8/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq -,g1f3:f1e2:h2h3
rnbqk2r/ppp1bpp1/4pB1p/3p4/3P4/3BP3/PPPN1PPP/R2QK1NR b KQkq -,e7f6
rn1qk1nr/1b2bppp/p3p3/1ppp4/4P3/2NP1NP1/PPP2PBP/R1BQ1RK1 w kq d6,e4d5
6R1/8/2bk4/3p2p1/r1p5/2P2B2/3K2P1/8 b - -,a4a2
3brr1k/6pp/bqn1pn2/2pp4/8/1P3NPB/PB1NPP1P/1R1QR1K1 b - -,e6e5
b7/p3kpp1/1p2pn1p/2q1N3/2P5/1P5P/P1BQ1PP1/6K1 w - -,e5d3
2rQ1r1k/p5pp/2n2b2/1pp5/2N5/P2PP3/1P3PBP/3RB1K1 b - -,f8d8
r2q1rk1/pb3ppp/2n2b2/1N1n4/P2p4/5N1P/1P1BBPP1/2RQK2R b K -,a7a6
8/1pk2p2/6p1/2P4p/1P5P/3pN1Pb/4rP2/1R3K2 w - -,e3g2
2r5/1pk5/p2R1R2/8/2r5/6P1/PPP5/2K5 b - -,c7b8
rnb1r1k1/pp3pb1/3Q1Bpp/q5N1/2p1B3/1P4P1/P3PP1P/R4RK1 w - -,g5f7
8/3b4/p3k1p1/Pp1q1pP1/1P1B3Q/5P2/5K2/8 w - -,h4h8
8/4k3/2Rr4/4pp2/8/5P2/4K3/8 w - -,c6c5
r4rk1/1pp3bp/1B1p2p1/3Ppb2/1PP1N3/3Q3P/q3BPP1/1R2K2R b K -,a8a3
7r/6k1/p1P3p1/5pp1/6Br/5PNP/6P1/R5K1 w - f6,g4f5
r4rk1/1b2ppbp/pnq5/2pN2Pp/1p2PB1P/1P3P2/P1PQN3/2KR3R b - -,b6d5
8/8/8/2r5/pp1k1KP1/8/P3R3/8 b - -,b4b3
r7/2k2p2/P1b1p1pp/3p4/3P1PPP/3B4/1R3K2/8 w - -,f2e3
2r2rk1/pbqn1ppp/1p2p3/6B1/3P4/2PB3P/P3QPP1/R3R1K1 b - -,c7c3
r2q1rk1/pbp2ppn/1p1p3p/2b1n3/2PNP3/1PN1B1P1/P4PBP/R2Q1RK1 b - -,h7f6
2kr4/pp2n3/3pb2N/2p2pP1/5B1K/2P1PP2/P5Q1/3r4 w - -,g5g6
r5k1/5ppp/1B6/pB2NbP1/P7/7P/5P1K/8 b - -,f7f6
r1bqkb1r/pp2nppp/2p5/3n2N1/2BQ4/8/PPP2PPP/RNB1R1K1 b kq -,h7h6
6k1/5p2/1b4pp/8/qp1pB1P1/7P/4R1KB/8 b - -,a4d7
r2qkbnr/pp3ppp/1np1p3/8/3P4/3B1QNP/PPP2PP1/R1B1K2R b KQkq -,d8d4
rn1k3r/ppp2pb1/3p1npp/3P2B1/6b1/2N2N2/PPP2PPP/2K1RB1R w - -,g5e3
7r/ppqb1kp1/4pb2/4p2r/2P2p1P/P2B1NP1/1P2QP2/4RRK1 w - -,g3g4
r1b1k2r/pp1n1ppp/2p5/3pP3/3P2n1/qPN1PN2/P5PP/R2QKB1R w KQkq -,d1d2
8/8/1p2p3/p4kp1/P1p1n3/4K3/2P5/R7 b - -,c4c3
b2r2k1/p3bppp/8/2p1Nq2/PpN1n3/1P4P1/3BP2P/R1Q1KB2 w - -,e5f3
3r2k1/1B1b1p1p/3b2p1/8/3N4/1P2P1PP/5P2/2R3K1 b - -,d7h3
r1b2rk1/2q2ppp/p1pb4/6PP/4pn2/4B1Q1/PPP3B1/R4RK1 w - -,e3f4
2r1kb1r/pp1q1ppp/1n2p3/8/2Pp4/5N2/PP1B1PPP/2RQ1RK1 w k -,d1b3
1rr1k3/R2n1ppp/2p5/1pPp4/1P1P4/5P2/4BKPP/R7 b - -,g7g6
r2rb1k1/1p3p1p/1np1p1p1/p1P1N3/P1p5/6P1/1P2PPBP/R2R2K1 b - -,d8d1
2br1bk1/1p1r1qpp/1Q2p3/2P1Bp2/3P4/4R1P1/5PBP/R5K1 w - -,g2f1
r5k1/pp2b1pp/1nQpp1r1/8/2P5/1PN1B3/P4PPP/2R2RK1 b - -,b7c6
r2r2k1/pp3ppp/2n1p3/2p5/4B1Pb/2P1B2P/PP3P2/R4RK1 b - -,h4e7
1rb2rk1/4bp2/2qp1n1p/4p1p1/2p1P3/2N3B1/1PPNQPPP/RR4K1 b - -,b8b4
1r2r1k1/3n3p/pp1p2p1/3P1p2/P1PpPPq1/1R4PP/3B2Q1/4R2K b - -,g4h5
r1bqnrk1/1p3pbp/p2p2p1/2pPn3/P4B2/2N1P2P/1P1NBPP1/R2Q1RK1 b - a3,b7b6
rnbqk2r/pp2npb1/2p4p/3p2p1/3P4/1BN3B1/PPP2PPP/R2QK1NR w KQkq -,d1d2
rnb2rk1/p3qp1p/1p1p1npQ/2pPp3/2P1P3/P2B1NNP/1P3PP1/R3R1K1 w - -,a3a4
r1bqk2r/pp3ppp/2n1pn2/2pp4/1bPP4/2N2NP1/PP2PPBP/R1BQK2R w KQkq -,e1g1
