7k/R6p/1p6/4b3/1P6/3Bp2P/P2r4/6K1 w - -,d3b5
6r1/p6k/1pp2qpn/2p1p3/4Pr1P/3PN1R1/PPP4Q/1K4R1 w - -,b2b3
r4rk1/1p1b2qp/p1nbp1p1/3p4/3P4/P1N2NP1/1PB2PP1/R2QR1K1 b - -,f8f7
r2q1rk1/ppp2pbp/1nb3p1/2N1p3/8/3PBPP1/PP3PBP/2RQR1K1 w - -,d1c2
2rq1rnk/pR3pb1/6Pp/2pN1b2/5B2/3B2Q1/P1P1RPP1/6K1 w - -,g6f7
2r1k2r/2qp1ppp/pp2p3/2b1P3/3PQP2/4B3/P1P3PP/3R1R1K b k -,c5e7
r1r5/p4k1p/6p1/2n1P3/2B5/P4N2/1P3PPP/1K5R b - -,f7g7
7r/p3P1pk/4Q3/3pR3/3BbPK1/1Pp3P1/Pb6/7q b - -,e4f3
2r2r2/pp2p1kp/6p1/3Pp3/6b1/1P4PP/1R3PB1/4R1K1 b - -,g4f3
r1bqkb1r/pp3ppp/4pn2/2p5/3P4/6P1/PPP2PBP/R1BQK1NR w KQkq c6,g1f3
3rk3/1K2bp2/8/p5p1/1pRB3P/8/P3PP2/8 b - -,g5h4
rn1qkb1r/1b3ppp/p2p4/1pnNp1P1/8/1N6/PPP2P1P/R1BQKBR1 w Qkq -,c1e3
4k3/2RN4/3p3p/5K1P/6P1/5n2/5r2/8 w - -,f5g6
2r2rk1/1p1q2np/p2pp1p1/8/2B2PP1/1P6/P1PQ3P/2KR3R w - -,d2d6
r6k/B1p3rp/Q2bq3/4p1p1/4Pp2/5P2/PPR3PP/5RK1 w - -,a6b7
r2r2k1/2R1p2p/4p1p1/1p6/p2NPP2/1P2K2P/6P1/8 w - -,d4e6
r2q1rk1/pp2bppp/2n1bn2/3p4/5B2/1BNP3P/PPP1N1P1/R2Q1R1K b - -,d8d7
8/8/3n4/3k4/8/3K4/8/7R b - -,d5e5
rnb2r1k/4q1b1/p2p1n1p/1pp2p2/3Pp1pP/2PBPP2/PPQNNBP1/2K1R2R w - -,f3e4
r2q1rk1/pp1nppbp/2p1b1p1/3p4/2PP3N/4P1P1/PP1BQPBP/R4RK1 w - -,c4d5
1R3b2/4Bk1p/4p1p1/2p1P1P1/5P1P/2r5/2n5/6K1 w - -,e7f8
5rk1/pp1n1rbp/3q2p1/2pPp3/4Pp2/5PPP/PP1BQ1B1/R4RK1 w - -,g3g4
7k/1p3R1p/6P1/3qP3/p7/P3p3/1PR5/4K3 b - -,d5h1
rq2r1k1/1bpn1pb1/1p1p1npp/p2Pp3/2P4B/P1N1PN1P/1PQ1BPP1/R4RK1 b - -,d7f8
2rq1rk1/p2bnn1p/1p2p1pb/1P1pP3/NQ1B4/P2B1N2/5PPP/R4RK1 w - -,a4b2
r4rk1/2p2ppp/1bp3b1/p1n1p3/2P1P3/PPN3P1/1B2NP1P/R4RK1 w - -,e2c1
4r1k1/5p2/3P1Q1p/8/2p1K1PP/1b3P2/1R6/2q5 w - -,e4d5
