6R1/8/1P4p1/2K5/8/4p3/4k3/1r6 w - -,g8g6
2r3k1/p3q2p/1pn3pB/2p1pb2/2PpN1P1/5Q2/PP2B2P/5RK1 b - -,f5e4
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq -,c5d4:g7g6:e7e6:d7d5
8/6pp/r1k2p2/pR6/Pp6/6P1/3KPP1P/8 b - -,a6a8
3r4/1p3k1p/8/2P2p2/p3pP1b/P2r3P/1PR2B2/4RK2 b - -,d3f3
1rr3k1/1Nq2ppp/p3pn2/P7/1QP1p3/6P1/4PPBP/2R1R1K1 b - -,b8b7
r1bqk2r/p3bppp/2p1pn2/3p4/Q1P2B2/2N3P1/PP2PPBP/R3K2R b KQkq -,c8d7
3QR3/5rkb/p4q2/8/5p2/3P1Np1/PP4P1/6K1 w - -,f3d4
r3b1rk/2n3qp/1p3pp1/p1pP4/2P1B1P1/P1QN3P/1P4R1/6RK b - -,a8d8
rnbq1rk1/p3ppbp/3p1np1/1PpP4/8/2N1PN2/PP3PPP/R1BQKB1R w KQ -,a2a4
3r4/pp2kp2/4pp1P/2P5/3P2K1/1P4P1/3R4/8 b - -,e7f8
r1bqk2r/p1pnnp2/1p2p1pb/3pP2p/3P1P1N/1P4Q1/PBP3PP/RN2KB1R w KQkq -,b1d2
r4rk1/3nbppp/pp6/3R4/P4q2/1P3N2/1B2QPPP/2R3K1 b - -,d7c5
R3k3/6pp/3p1p2/2pPrP2/8/6P1/1P5P/6K1 b - -,e8e7
3rr1k1/1p1n1ppb/nqp1p2p/b2pP3/2PP4/pP1N2P1/P2NQPBP/B1RR2K1 w - -,d2b1
r5k1/3bqppp/3p1n2/2pPp3/p1P1PP2/P5P1/3N2BP/1Q3RK1 b - -,e5f4
r1b2rk1/1p1n1pb1/1qn1p1pp/p3P3/1P1p1B1P/P2P1NP1/2N1QPB1/R3R1K1 b - -,f8d8
2B5/B4pkp/6p1/2p1n3/2P5/3n2P1/P2N1r1P/6K1 w - -,a7c5
r1b1kn1r/pp2qpbp/2p3p1/2p1p3/4P3/2NPBN1P/PPPQ1PP1/R4RK1 w kq -,a2a3:f3h2
r1b1kb1r/ppqnpp1p/3p1np1/2pP4/P1N1PB2/2P2P2/1P4PP/R2QKBNR b KQkq a3,f8g7
r7/p2q1rbk/2pp1n1p/5b2/2PBpP2/8/PP1QB1RP/2KN2R1 w - -,d1e3
