8/6nk/8/5pr1/4Q3/3K2p1/6r1/8 w - -,e4g2
1r6/4pk1p/pr1ppbp1/8/P4PP1/2B1R2P/R1P5/7K b - g3,b6c6
r1r3k1/6pp/ppnqpn2/4Np2/2PP4/2N1Q3/P4PPP/R2R2K1 w - -,c3e2
q7/6bk/3R1Npp/p6n/r3N3/6PP/4QP1K/8 b - -,h5f6
8/8/8/p7/2k5/pPP5/2K5/8 b - -,c4d5
5rk1/p1b3pp/5p2/2pN4/2Q5/P2n2PP/1r2qPB1/R4RK1 b - -,d3f4
5b2/5pk1/2r5/2P1pP2/1B4p1/P1R3P1/5P2/5K2 b - -,g7f6
8/6k1/8/2bPp1P1/p6P/8/6PK/1B6 w - -,h2g3
5rk1/1pp1r1bp/p1np1qp1/8/2P2P2/1P2BB1P/P2Q2P1/3RR1K1 w - -,f3d5
1n1q2r1/r2b1k2/p3p1pp/1p6/2pPQB2/2P2B2/5PPP/R4RK1 w - -,f1e1
3rr1k1/b1q2pp1/2ppbnnp/pp2p3/3PP3/1PP1BNNP/P1B2PP1/2QRR1K1 b - -,a7b6
r1bqr1k1/pp3pbn/2p4p/3n2p1/2NPp3/4P1BP/PP2BPPN/2RQ1RK1 w - -,c4d6
r1bq1rk1/pp1n1pbp/3p1np1/2pP4/8/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,c1f4:a2a4
rnbqkb1r/ppp3pp/3ppn2/5p2/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,h2h3
1r3rk1/RB3p2/4pp1p/1qP5/1b6/1N1b2P1/5P1P/2QR2K1 b - -,b8b7
2rq1rk1/pp1bppbp/2np1np1/2p5/3P4/2PBP1B1/PP1NNPPP/R2Q1RK1 w - -,f2f3
8/8/8/4kp1p/1p2n1p1/1P2P1P1/2B3KP/8 w - -,h2h3
4r1k1/p4pp1/1p1B2n1/q6p/4P1b1/P1Q3P1/5P2/2R1R1K1 b - -,a5a4
1r2n2k/p1rbq1pp/Q2p4/3P1p2/P3p3/2N1B1P1/1P2PPBP/R5K1 w - -,c3b5
3q2kr/4Rp2/p7/1p1N1B1b/2p5/Q7/PPP5/2K5 w - -,e7e8
6k1/4R2p/5Pp1/8/5P2/7P/1Pr3b1/6K1 b - -,g2h3
8/p2b2k1/1p3pp1/4p1p1/2P3P1/3NKP1P/PP6/8 b - -,g7f7
rn3rk1/1pqbbppp/p3p3/6P1/4N3/2P4P/P1P2PB1/R1BQ1RK1 w - -,d1g4
r1b1kb1r/ppqppppp/2n2n2/1Bp5/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,c6d4:a7a6
5r1k/pQ4bp/3r4/5b2/P1p2P2/2Pn4/1P4RP/5RK1 b - -,d6g6
2k1r3/4nppp/pr1Q4/R7/2P2P2/4P3/1q4PP/5RK1 w - -,a5c5
r1b1k2r/p2n1pb1/4p2p/2p1P1p1/1qNP4/2N3P1/PP3PP1/2RQKB1R w Kkq -,c4d6
2kr3r/ppp3p1/1nn5/2b5/8/PP1P1NPq/1B2P2P/R2Q1R1K b - -,b6d5
8/3r2p1/7p/2p1r3/2P5/R7/1R2k1P1/6K1 b - -,d7d2
8/7p/2p5/k5p1/PbP3P1/2BK1P1P/8/8 w - -,c3b4
rnbqkbnr/ppp1p1pp/8/3p1p2/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq d6,e2e3
r3kbnr/1pqb1ppp/p2p4/4p3/2PQP3/5N2/PP3PPP/RNB2RK1 w kq e6,d4d3
rq2r2k/1p1nbppp/2ppb3/p1n5/P3P3/2N1B1QP/BPP1NPP1/R2R2K1 w - -,e3d4
4q1k1/1p3b2/p1p3p1/2P5/3Q2Pp/1P4b1/P5B1/5R1K w - -,d4f6
8/4B2p/5pp1/8/2k1P1P1/4P3/3K1n1P/8 w - -,d2e2
1r1r2k1/p4pp1/2pbqn1p/3Ppb2/N7/1P2P2P/PB3PP1/Q1RR1BK1 b - -,c6d5
rnbqkbnr/pp1p2pp/2p1p3/5p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,d7d5
3r4/3P1pk1/p1r3n1/1p2n1N1/1P6/1R3PP1/4B2P/1K1R4 b - -,d8d7
r1b1k2r/pp2np1p/2n1pB2/1B1p4/8/2N3P1/PPP3P1/R4RK1 b kq -,h8g8
