8/7k/8/2P3P1/1Q5P/8/KP3q2/8 b - -,f2f7
6k1/2qr1pp1/4r1np/p1p1PQ2/PpN3P1/1P1PR2P/8/2R3K1 b - -,g6e7
8/5pk1/4p3/4P3/5PK1/1B3Q2/5b1q/8 w - -,f3h3
2b5/2r5/1p2pkp1/p3Rp1p/P1BP1P2/1P4P1/5KP1/8 b - -,c7c6
2r2rk1/pp2ppbp/1qbp2p1/8/2PNP1n1/1PNQ4/P4PPP/R1BR2K1 w - -,d3d2
r5k1/p1q1bppp/1p2pn2/6B1/2P5/5N2/PP2QPPP/R2r2K1 w - -,a1d1
r1bq1rk1/p2n1ppp/1p1ppn2/2p3B1/2PP4/P1QBP3/1P2NPPP/R3K2R b KQ -,c8b7
1r5k/1p4pp/2pq1r2/8/2PpB3/3P2PP/1Q3PK1/2R5 b - -,d6c5
5k2/1p1b3r/p1qbp3/5p2/3B1Pp1/1PPRQ1P1/P3R2P/6K1 w - -,c3c4
1n1rk2r/5ppp/p2bp1b1/Rp6/1npP2P1/4B2P/NP1NPPB1/5RK1 w k -,d2e4
8/8/8/4n1p1/1P4P1/3k4/2N1pK2/8 w - -,f2e1
8/3p3p/p2k2p1/5p2/Pb3P2/1N1P4/6KP/8 b - -,d6d5
r1bqk2r/p2nbppp/2pp1n2/1p1Pp3/4P3/2N1BP2/PPPQ2PP/2KR1BNR b kq -,b5b4
4k3/6b1/pR2B1p1/4p3/3pb3/8/P3K2r/8 w - -,e2e1
5rk1/2q2rb1/1pp3pp/p1p1pb2/P3N3/1P1PBP1P/2P1Q1P1/3R1RK1 w - a6,e4d2
2r3k1/p3q1pp/bp2pn2/3pNp2/1b1P4/1P4P1/PB2PPBP/2Q2RK1 w - -,c1d1
6k1/pp3p1p/6p1/4r3/8/2r1P1P1/P4K1P/4R2R w - -,e1e2
8/5pkp/4pn2/PQb3p1/8/2qr2P1/R4PBP/5RK1 b - -,f6g4
2rr2k1/pp2q1np/2pn1pp1/3p4/1P1P1P2/P2NPB2/2Q2P1P/R5RK w - -,a3a4
B3kb1r/3npppp/1n2b3/p7/P1pq4/N5P1/1PQPPP1P/R1B2RK1 b k -,b6a8
3r3k/p7/8/1R1B3q/1P4pP/8/P4P1P/3R2K1 w - -,d1d3
4r1k1/p2R1pp1/7p/2p5/Pq6/1P1Q1NP1/4nPPK/8 b - -,b4g4
r1b3rk/pp3q1p/2pp4/4bp2/2P2P2/2PB3R/P1QB2PP/4R1K1 b - f3,e5g7
r4rk1/1pq2p1p/3p1bp1/pB1pn3/P2N4/2P5/1PQB1PPP/R5K1 w - -,a1d1
8/4rk2/7Q/1P2p3/3pb1P1/7P/1P4P1/6K1 w - -,b5b6
q1r3k1/4p2p/rn1p1pp1/3PB3/P3P1P1/1NR4P/2Q2PK1/3R4 b - -,d6e5
8/8/4K3/2k1p2p/2n1p2P/8/2N5/8 b - -,c5c6
nr6/1pk2p2/p3N1pp/P2p4/5PP1/1R2P2P/1P1K4/5B2 b - -,f7e6
r2q1rk1/ppp1bppp/2n1b3/3Np3/8/P2PBNP1/1P2PPBP/R2Q1RK1 b - -,e6d5
3r3b/5R2/1k1p1p2/p3pP2/P1p5/1pP3N1/1P3K2/8 b - -,d6d5
1r1qr1k1/1bpn1pb1/p2p1npp/1p1Pp3/4P3/1PP2NNP/P1BB1PP1/R2QR1K1 b - -,c7c6
r2qkb1r/1p3ppp/p1n1bn2/2pp4/P2P4/2N1PN2/1P2BPPP/R1BQ1RK1 w kq -,b2b3
2rqn1k1/1p2rpbb/2p1p2p/p7/N1PP1BP1/PP5P/3Q2B1/3RR1K1 w - -,f4h6
r1bq1rk1/1pp2pbp/p1n2np1/3pp3/B3P3/2PP1NN1/PP3PPP/R1BQK2R w KQ -,e1g1
8/8/4n3/2p2k1p/2K5/8/5N2/8 b - -,f5e5
r4rk1/p4pb1/1pp1b1p1/2p1P1Bp/3q4/3P3P/PPPQ2PN/4RRK1 w - -,g1h1
4r1k1/1b3pp1/3R3p/7P/2P5/1PKBpnP1/8/R7 b - -,e3e2
6k1/3Q1pp1/4pb2/pp5p/4q3/P1P2NP1/1P3PP1/6K1 b - -,e4b1
rn1qkb1r/pp3ppp/2p1p3/3pP3/3P4/2PB1Q1P/P1P2PP1/R1B1K2R b KQkq -,b8d7
2K5/8/8/4q3/8/3Q1k2/7p/8 b - -,f3f4
1r1qnrk1/1b1n1pbp/pp1p2p1/8/P3PBP1/2N4P/1PP1N1B1/R2Q1RK1 w - -,d1d2
3rr1k1/1bq1bp1p/p2ppnp1/1p6/3BPP2/P1NB2Q1/1PP3PP/4RR1K w - -,f4f5
1r2k1r1/3p3p/2nPp1p1/2R1Pp2/PpN2P1P/1P2KP2/8/1R6 b - -,e8f7
8/6k1/3p1pp1/2nP4/5r1p/2K2B1P/6P1/4R3 b - -,f6f5
4rk2/8/6pp/4Rp2/3p4/6P1/2r1PP1P/3R2K1 w - -,e5e8
r1b1kbnr/ppq1pp1p/2n3p1/3p4/3P4/2PB3P/PP2NPP1/RNBQK2R b KQkq -,f8g7
2r2rk1/1p4bp/p3b3/2Bp1p2/P3p2P/NPPp2P1/3P1P2/R3RKN1 b - -,c8c5
2rq1rk1/5ppp/bp3n2/p2Pp3/1nP1P3/2R3P1/1P1N2BP/1Q2NRK1 b - -,d8e7
8/6k1/p1Rb2r1/3P4/5p2/2P1p2P/P6P/5R1K w - -,f1g1
r2q1rk1/pb1nbppp/1p1ppn2/8/2PNP3/2NB1P1Q/PP4PP/R1B2RK1 b - -,d6d5
2r2r2/p7/P3p3/3pk1pp/8/3PK1P1/P5BP/1RR5 w - -,d3d4
rnbqkb1r/p1p1pppp/1p3n2/3p4/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq -,c8b7
4r1k1/1p3pn1/2p3r1/p5B1/Pb2PPn1/1B4N1/1P4K1/3R1R2 w - -,d1d7
rn3rk1/1bq1p1bp/p2p1pp1/1ppPn3/P3PB2/2N1Q2P/1PPNBPP1/R4RK1 b - -,b5b4
2b1r1k1/3nqpb1/p2p1npp/2pPP3/1rB2P2/2N2N2/1P4PP/R1BQR1K1 b - -,f6g4
r2q1rk1/1ppb2b1/1n1p2pp/5pN1/P1PP1P2/2B3N1/1P4PP/R2Q1RK1 w - -,d1b3
3rk3/5p2/3qp3/2r5/6P1/Q3R1KP/8/1R6 w - -,g3f3
6bk/1R5p/1p2rp2/pP3p1N/r7/4pB2/7P/2R3K1 w - -,f3d5
1r3rk1/4nppp/8/p2pP3/1ppP4/2P1N3/PP3RPP/5R1K w - -,g2g4
3r4/5k2/p5pp/1p3p2/8/1R5P/PP1r2PN/2n1KR2 w - -,b3e3
6k1/1b5p/p2p2p1/1p1q4/1P6/2P3BP/1P3QPK/8 b - -,g8g7
r5k1/2nr1pp1/1B1N2np/P3P3/4R3/8/6PP/2R3K1 b - -,c7e6
8/8/5b2/6p1/3NKpk1/2R5/8/8 w - -,c3d3
6r1/2pk2r1/1p2p1pp/p3Pp2/P1pP1P1P/2P3R1/2P1KP2/1R6 w - -,b1g1
6k1/1b1R2pp/pq3p2/1p6/1Pr1nP2/P1r1PN2/Q3R1BP/6K1 b - -,c3e3
2b1r1k1/1pq1bpp1/r1p1p2p/p3P3/P1pPNPP1/2Bn4/1P3QBP/R2R2K1 w - -,d1d3
8/ppp3R1/3k4/3Pn3/1KP5/8/PP6/8 b - -,b7b6
3n4/p4kp1/2p2p1p/Npb1p3/4P3/2P2PB1/PP4PP/3K4 w - -,a5b3
8/3n1p2/8/1P1kp3/8/3NK3/8/8 b - -,f7f6
r1bqk2r/5ppp/p1nppn2/1p6/4P3/1NNBb1Q1/PPP2PPP/R4RK1 w kq -,g3e3
2n3k1/1p4pp/p2p4/N2Pp3/P3P3/2r3P1/6KP/1R6 w - -,b1b7
r1bq1rk1/p2nbpp1/1pp1pn1p/3p4/2PP3B/2NBPN2/PP3PPP/R2Q1RK1 w - -,d1e2:a1c1
r7/1kp2p1p/1p3B2/2n5/3NbPP1/r6P/1K6/3R2R1 w - -,b2c1
3r4/1p3pbk/1Pp1p1pp/4P3/r2PP3/1N5P/4bBP1/2RR2K1 w - -,d1d2
3r1k2/1p2n1pp/p3pp2/1b6/3P1PP1/P4N2/BP1R1K1P/8 b - -,e7d5
r5k1/5pb1/3N1npp/8/q3P3/5P2/5BPP/3Q1R1K w - -,d1a4
8/7p/R7/1p2kp2/4p3/1P6/P2r1P1P/5K2 w - -,a2a4
r2qkb1r/pp2pppp/2n5/8/3P2b1/1Qn2N2/PP3PPP/R1B1KB1R w KQkq -,b2c3
8/4kp2/3p2p1/p1r1n1Pp/Pp2PN1P/1P6/1P1K4/5R2 w - -,f4d5
3rb3/p3np2/1p2pkp1/4N2p/7P/P1P3P1/1P3P2/1B2R1K1 w - -,f2f4
3r2k1/2Br1p1p/pN1PP3/2p2P1p/3b2bR/6P1/6KP/8 b - -,f7e6
