8/2k3p1/6R1/2p4P/K1P5/P6r/8/8 w - -,g6g7
2r2rk1/p4p1p/1pn3p1/3Pp3/7b/1Q2PP1q/PP1BBPRP/R6K b - -,c6e7
r3k2r/pp2bn1p/1qn2p2/2pp1b2/6P1/2PP3P/PP2B3/RNBQ1RK1 w kq -,f1f5
r2q1rk1/pp2bppp/n1p1bn2/4N3/3P4/2N1B1P1/PP3PBP/R2Q1RK1 b - -,a6c7
5rk1/r1q2ppp/1n1p4/npp1p3/4PP2/2PPQ1PP/1PBN4/R4RK1 w - -,h3h4
r1bqk2r/pppp1ppp/2nb1n2/1B2p3/8/1P2PN2/PBPP1PPP/RN1QK2R b KQkq -,d8e7:e5e4
r1bqkb1r/pp3ppp/4p3/8/3pQ3/5N2/PPP2PPP/R1BR2K1 b kq -,f8e7
8/1pp1k3/p4Rp1/2P1K1P1/1P2N3/8/Pq6/8 w - -,e5f4
6R1/8/6k1/4p2p/8/r5P1/5K2/8 b - -,g6f5
6k1/2q2r2/3pp3/2p2PPp/2Pb4/pP1P1Q2/8/4RR1K b - -,f7f5
6k1/p5pp/1p3p2/4B3/4N3/1P1p1nP1/P1r2PKP/3R4 b - -,f3e5
6k1/3r1p2/pp2b2p/2b1p3/2Pp4/1P4P1/P2B1PBP/3R2K1 b - -,g8g7
8/4rkpp/p7/R7/5P2/5K2/8/8 b - -,e7a7
3R4/5P1k/5Pp1/6r1/2p3K1/2P5/1P6/8 w - -,g4f4
r3kb1r/1bqnpppp/2p2n2/ppP5/3Pp3/P1N2N2/1PQ2PPP/R1B1KB1R w KQkq -,c3e4
8/7p/4p1p1/1Prpk3/1r6/2N2KP1/1P2R2P/8 b - -,e5f5
3r1rk1/pb5p/1p3p2/4p1b1/2P1p3/4P3/PP1BB1PP/4RRK1 w - -,d2c1
8/8/p3k1p1/8/2PK4/P7/8/8 w - -,d4e4
r2q1rk1/1b2bp1p/p3p1p1/1p1nN3/3P4/1BPR4/P2BQPPP/5RK1 w - -,d3g3
5rk1/5p1p/4p1p1/2R5/4P3/4P2P/1Pp3P1/7K w - -,c5c2
8/pbrr3k/1p1p1Qpp/3P1p2/7P/1P3BP1/P3PP2/6K1 b - h3,h6h5
8/p1b2pk1/4p2p/p2q2p1/P2P2P1/1P2QN1P/5PK1/8 b - -,c7f4
4r1k1/2p3p1/p4r2/P2pBPp1/1p1P2P1/5QK1/1P3R2/4q3 b - -,e8e5
8/5pk1/3R2p1/7p/1r5P/6P1/5PK1/8 b - -,b4c4
8/5k2/8/6K1/8/7R/6b1/8 b - -,g2h3
r1bq1rk1/p1p3pp/1npb4/4p1B1/8/5N2/PPP2PPP/RN1QR1K1 b - -,d8e8
r1bq1rk1/5ppp/p1nbpn2/1p6/1P6/PBN1PN2/1B3PPP/R2Q1RK1 b - -,c8b7
r2qrbk1/2pb1pp1/p1n1pn1p/2P5/8/P1N1BN1P/1PQ1BPP1/R2R2K1 w - -,b2b4
6k1/p4p1p/1p1Q2p1/8/1P3P2/PP5P/5BPK/b1q5 b - -,c1a3
r2qr3/p1p2pbk/1p3npp/4p3/4P3/1PN5/PP1B1PPP/R1Q1R1K1 b - -,d8e7
8/pp5p/8/2p5/P1Pk1p2/1P2pP2/3r2PP/2R2K2 b - -,d4d3
3r2k1/1p1b2q1/2pb1r2/3pNppp/P2P1P2/1P2P1P1/6BP/Q1RR2K1 w - h6,e5f3
1kn3rr/1p1Q1R2/1q6/3pPNbp/p1pP4/PnP1B3/1P4NP/5RK1 w - -,e3g5
1R3k2/8/8/p2b1r2/8/7r/2K3R1/8 b - -,f8f7
3q1nk1/pb5p/1p2p3/1Q1pNp2/3P4/1P4P1/P6P/2R3K1 b - -,d8g5
rnb1k2r/pp3ppp/4pn2/4q3/2BN4/2P5/P4PPP/R1BQ1RK1 w kq -,c1a3
8/8/5p2/6k1/3R2p1/6P1/1r3PKP/8 w - -,d4d8:g2f1
r3k2r/ppqn1pp1/2pbpnp1/8/3PN3/2P2Q2/PP3PPP/R1B1KB1R w KQkq -,e4d6
1r2r1k1/3nbppp/1q2bn2/p2p2B1/2pP2N1/2P3NP/P2QBPP1/R3R1K1 w - -,a1b1
3R4/8/6r1/3pk1p1/2b1p1B1/4P1P1/6K1/8 b - -,g6b6
r6r/ppq4p/5pk1/1PN3b1/2nPQ1P1/P3P2P/8/2R2RK1 b - -,g6h6
r7/7k/1R4p1/P3n3/2b1B3/4K3/8/8 w - -,e4a8
8/1p6/3k1bp1/pP1p4/2n2P2/2PN1BP1/3K4/8 w - -,d2c2
8/2B1k2p/2p3p1/2Pp3P/P2P1p2/8/4K1n1/8 b - -,e7d7
rn2k2r/1p1b1pbp/3B1np1/2pP4/1p6/5N2/PP2PPPP/R2NKB1R b KQkq -,b8a6
r4rk1/p1qb1ppp/2p1pn2/8/7Q/3B1N2/PPP2PPP/2R1R1K1 b - -,f8d8
r2q2r1/p1nkb3/1n2p1p1/1p1pP2p/2pP1N2/P1P2NQ1/1P3PPK/R1B2R2 b - -,g6g5
8/B1b5/4p1kp/5p2/P7/6P1/5P2/6K1 w - -,a7e3
8/7p/5p2/4b3/P7/7Q/KP1pqk1P/8 w - -,h3h4
8/1p2B2p/p3p3/3k1p2/PP6/4Pb2/7P/4K3 b - -,e6e5
8/4rpkp/6p1/2b1p3/1pB1P1P1/p7/P1R4P/5K2 w - -,c4b3
1rr3k1/3n2p1/b1pqp2p/p1Pp1p2/3p4/3BPN1P/PPQR1PP1/2R3K1 b - -,a6d3
r5k1/pqpr1pbp/6p1/1pB1P3/3P2n1/1PQ2NP1/P4PKP/R3R3 b - -,a8d8
r3k2r/p4p2/1nR1pb2/7p/P5p1/1PN3B1/5PPP/5RK1 b kq -,f6c3
2r4r/1k3pp1/1np1p1p1/pp6/1b1PPB2/1P1B3P/1PR1KPP1/2R5 b - -,h8d8
rr4k1/2pb3p/1qp1n1p1/p2pPp2/P4P2/1N1Q4/1PPB1RPP/R5K1 b - -,d7c8
8/p4pp1/6k1/1p4Pb/7P/PBK5/2R1r3/8 b - -,a7a5
8/4R1rk/3P2pp/2p4P/2P1Q3/5RP1/1b3PK1/3q4 b - -,d1d6
2r2k2/p4ppp/8/PpnpR3/2b2P2/2P3P1/3K2BP/1R6 b - -,a7a6
8/4k3/5rp1/1K4Rp/7P/2P3P1/8/8 w - -,c3c4
8/6kp/3pB1p1/1bpPb3/7P/1Q2P1P1/R6K/5q2 w - -,a2g2
8/8/3r2p1/4p1R1/4k1pP/8/3p4/3K4 w - -,g5g4
rnbqkbnr/pp2pppp/8/3p4/4P3/8/PP1P1PPP/RNBQKBNR w KQkq -,d2d4:e4d5
8/p1k3pp/2r2p2/K3p3/P7/4B3/5PPP/8 b - -,c7b7
r4rk1/pbqn1pp1/1ppbp2p/4N3/2PP1B2/3B4/PP3PPP/2QR1RK1 w - -,f1e1
8/8/7p/p3N2k/P3pP2/6K1/8/4b3 w - -,g3h3
1rq5/1pp2pk1/p2p1np1/4rb1p/P1P2Q2/1PN3PP/4PPBK/2R2R2 w - -,e2e4
r1bq1rk1/pp1n1ppp/3p1n2/2pN4/1bP1P3/5P2/PP1BN1PP/R2QKB1R b KQ -,f6d5
r7/1p2k2p/p1n1pp2/PnPb4/R7/5PB1/3N2PP/5BK1 b - -,e7f7
4r1k1/p2n3p/3p2p1/5pP1/2P2P2/1Pp1NR1P/r7/3R3K w - -,d1c1
r4rk1/1bq1bppp/p3pB2/1pp5/4PPP1/P1NB4/1PPQ3P/2KR3R b - -,e7f6
1rbq1rk1/ppp1ppbp/5np1/2Nn4/3P1BP1/5N1P/PP2PPB1/R2Q1RK1 w - -,f4e5
3rk2r/2q2ppp/4p1n1/p2b3Q/P3N3/3R2P1/5PBP/3R2K1 b k -,e8g8
1rr3k1/p4ppp/4p3/2q4n/2bN3Q/1BP5/PP3PPP/R3R1K1 b - -,g7g6
rnb1k2r/1pq2pbp/4pnp1/1N2p3/5P2/3B4/PPP1Q1PP/R1B2RK1 b kq -,c7e7
8/k1n5/1R2p3/2P1K1p1/3P2P1/4N2r/5P2/8 w - -,e5d6
5k2/5p2/1R1K2p1/3P4/2r2P2/8/8/8 w - -,d6e5
2qr1r2/5Pk1/5p2/1pPBb2p/1P5R/5QP1/5P2/3R2K1 w - -,f3h5
6k1/5pp1/1R5p/p3P3/3pq3/5NPP/2r1nP1K/1Q6 w - -,f3d2
6b1/N2k3p/1p4p1/3p4/3K1P2/1P4P1/P6P/8 b - -,d7c7
2r5/1b2krRp/2p1p3/1pPpPP2/pP2p3/P6P/1B3KR1/8 b - -,c8f8
8/1pk2r1p/2p5/1P6/3R4/5rPP/2R2PK1/8 b - -,f3f5
8/5R2/1r3n2/7p/7P/4k1PK/8/8 b - -,e3d4
8/7p/6p1/5p2/2K2k2/5NrP/6P1/6R1 w - -,c4d4
8/1nk1bp2/pp2p1p1/7p/PP3P2/2PK1BP1/5B1P/8 b - a3,b7d8
r3qr1k/pp1n2bp/2p3p1/5pB1/3Pp3/1BP1Q2P/PP3PP1/3R1RK1 b - -,d7f6
5k2/1r1nbp1p/p1p1p1p1/8/1PP2P2/P3B2P/1N2K1P1/3R4 b - -,f8e8
r1n1r1k1/1p1q1pb1/2pp1npp/1P6/P2NP3/B1N3P1/3R1PKP/3Q1R2 w - -,f1e1
r1bqk2r/pp2bppp/2n1pn2/3p2B1/8/3BPN2/PPPN1PPP/R2Q1RK1 w kq d6,d1e2
