8/1R6/2p2k2/2Pb1P2/6P1/2P3KP/8/5r2 b - -,f1f3
8/pp3k2/4p2p/3p2p1/2r5/P1P2P1P/1P3KP1/3R4 b - -,f7f6
r1br2k1/1p2bppp/p1np2q1/8/1PP1PB2/5N2/P3BKPP/R1Q2R2 w - -,a1b1
br3rk1/2q1b1pp/P2pp3/NNn5/2P1p3/4BP1P/3Q2P1/R1R3K1 b - -,c7b6
2k4r/2rbbp2/p2ppp2/qp3P2/n3P1Bp/P1N4R/2P1NQPP/3R3K w - -,c3a4
3r1nk1/Rb4p1/2pBp1n1/4P3/1PP2PPp/3N2K1/8/7B w - -,g3h3
2kr3r/1pp3pp/p1nqbp2/2bNp3/4P3/2QP2PP/PPP1N1B1/2KR3R w - -,c3b3
r1b2q2/5k2/3b1npp/p1p2p2/2Pp4/3B2NP/PP2RPP1/2Q1R1K1 b - -,c8d7
r5k1/5pp1/3p4/p1qNp2p/Q3P2b/5P1P/6PK/1R6 w - -,b1b2
8/8/5k2/6p1/2N1pp1p/7P/4KPP1/8 w - -,f2f3
1r1q1rk1/1b2n1bp/6p1/2pp1p2/1p2PP2/2PP3P/1P2N1BK/1RBQ1R2 w - -,e4e5
8/1p4b1/3r1pk1/p5pp/3P4/2P2K1P/PP3BP1/4R3 w - -,b2b3
2n2rk1/1q5p/2pp2p1/1P2pp2/2P1P3/3Q2P1/5P1P/2R2NK1 w - f6,e4f5
8/4k3/4p3/4Pr1P/p2K2p1/P2R2P1/8/8 w - -,h5h6
8/pp1k1p2/5p2/2R5/1P3P2/Pb1r4/7P/5NK1 w - -,g1f2
r3r1k1/pp1b1pp1/1p1q3p/3Pp3/1P2Pn2/5P2/PQ4PP/R1BR1BK1 w - -,c1e3
8/6k1/1p3r2/6Q1/1p2B3/1P6/P4p2/4bK2 b - -,g7f7
r6k/p3bR1p/2p4B/3pp3/2n5/1NP5/PP4PP/6K1 b - -,a8e8
2R5/4b3/2P4p/p7/K7/7k/8/8 w - -,c8h8
1q4k1/5pp1/1r3n2/2p1p3/4p2p/P4QPP/BP3P1K/1R6 w - -,f3c3
r4rk1/2p1qp1b/1p1p1n1p/p3p1p1/P1NPPnP1/2P2PBP/2P5/R2QRBK1 w - a6,d1c1
4kb1r/1bqn1ppp/pn1pp3/1p6/3NP1P1/2PBBP2/P1P2Q1P/1K1R3R w k -,d4e2
r1r3k1/1bq1b1p1/4p1p1/3p4/p1nBPP2/6N1/PPP1B3/1K1RQ1R1 b - -,d5e4
8/1p6/8/1p1p1p2/3P1bkP/2P2N2/6K1/8 w - -,f3e5
r1nr1bk1/3n1pp1/p2pp2p/2P4P/1B2NQ2/3R1NP1/1q2PPK1/2R5 w - -,c5d6
2r5/1pq1kbpn/r2p1p1p/p3p3/2PpPPQ1/1P1P2PP/P2B2B1/2R2RK1 b - -,e7f8
r1b2rk1/1p1p1p1p/p1nNp1p1/4P3/4Q3/2qB4/P1P2PPP/R3R1K1 w - -,e4h4
rnbqkb1r/pp3ppp/2p1pn2/P2pP3/3P4/3Q1P2/1PP3PP/RNB1KBNR b KQkq -,f6d7
3r4/2qnQ1k1/3R1p1p/2p1p1p1/2B3P1/4PP2/1P4P1/6K1 b - -,g7h8
8/8/8/R3kp2/6p1/4P3/5PK1/1r6 b - -,e5e4
b4rk1/4bpp1/4p3/q3P2p/2Pp1P2/1p3NP1/1P1Q2BP/5RK1 b - -,a5b6
r1bqk2r/bpp2ppp/p1np1n2/4p3/4P3/1BPP1N1P/PP3PP1/RNBQ1RK1 b kq -,e8g8:h7h6
2q3k1/p1r1bppp/1pn2n2/3p4/1P5N/P3P1P1/1BQ2PBP/2R3K1 b - -,e7d8
4b3/p3k1p1/5p1p/1p2P3/2pP1P2/6P1/P1B2K1P/8 b - -,e8f7
rnbqkb1r/pp2pppp/2p2n2/3P4/3P4/8/PP2PPPP/RNBQKBNR w KQkq -,b1c3
