7R/1p2k3/p1p5/3rr3/1P4K1/4R3/8/8 w - -,e3e5
rnbqk1nr/ppp1ppbp/3p2p1/8/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,g8f6
6rk/pp3p1p/2rpp2P/6Pp/2b1P3/P1N2P2/1PPR1K2/7R w - -,h1h5
3rr1k1/p3qppp/1p2pn2/4N3/2PB4/bP3b2/P1Q2PPP/R2R2K1 w - -,e5f3
rnbq1rk1/ppp1ppb1/3p1npp/8/3PP2B/2P5/PP1N1PPP/R2QKBNR w KQ -,g1f3
6k1/2p2p1p/1p1pn1p1/1N6/2P4r/1P3K2/1P3PP1/1R6 w - -,b1a1
2r2r1k/5pp1/B6p/N2pp3/1P6/P1n5/5PPP/R4RK1 b - -,c8a8
4r1k1/1ppbr1pp/p2p1p2/P7/3N4/4nP2/1PPB2PP/R2R2K1 w - -,d1e1
2r2bk1/2q2p1p/p3p3/P3P1P1/1PpQN1PP/5B2/6K1/8 b - -,f8b4
r2qkb1r/5ppp/2p1pnb1/1p6/3PP3/2N5/PPQ3PP/R1B1KB1R w KQkq -,c1g5
8/8/7R/8/P2p4/7p/3k1K2/7r w - -,a4a5
3r1r2/5pk1/7R/1p4Pp/1p3B1P/8/PPP2R2/1K6 b - -,d8d1
rnbq1rk1/pp3ppp/5n2/1N1p2B1/1b6/2N1P3/PP3PPP/R2QKB1R b KQ -,a7a6
r1bqr1k1/1pp2pbp/p2p1np1/2nPp3/2P1P3/2NBBP2/PP1QN1PP/R3K2R w KQ -,d3c2
r2q1rk1/1p1b1pbp/p1p3p1/2Pp4/3B4/3BPP2/PP1Q2PP/R4RK1 b - -,g7d4
rn1q1rk1/pb2bppp/1p3n2/2ppN3/3P4/1P4P1/P1QNPPBP/R1B2RK1 b - -,b8a6
6k1/2R3pp/p3p1n1/8/1rPN1P2/6P1/7P/6K1 b - -,e6e5
r1bqr1k1/1p3pb1/p1n3pp/4p1Nn/3p4/N2P2P1/PP1BPPBP/R1Q2RK1 w - -,g5e4
8/p2b4/1p1B4/1k6/3K2Pn/P1P5/2B5/8 w - -,c2d1
8/2nk3p/2p5/p4p2/1pP1pP1b/4P3/NP4KP/5B2 w - -,f1e2
r4rk1/1b1n2b1/pp1q2pp/2pP1p2/P3p3/1P2PN2/1BQ1BPPP/3R1RK1 w - -,b2g7
7r/8/1b4pp/3pkp2/1P6/3K3P/4N1P1/4R3 b - -,e5f6
1nk1nb2/6p1/1p1p1pP1/p1pPpN1P/P1P1P3/1PN1B3/8/2K5 w - -,h5h6
r1b1k2r/1pp2ppp/p2q1n2/3Pp1B1/3bP3/8/PP1NBPPP/R2Q1RK1 b kq -,e8g8
3rr1k1/1p2npp1/3pbq1p/pP2p3/4Pn2/P1P1QN1P/1B3PP1/R2R1BK1 w - -,c3c4
1rbq1bk1/5pnp/pn1p2p1/2pP2P1/2P2PB1/1NB1Q2P/P1N5/4R1K1 w - -,e3e2
2rr2k1/p3qpb1/1p2b1p1/2pnp2p/4N3/PPQPP2P/1B2BPP1/1R1R2K1 w - -,c3c2
r1bq1rk1/pp3pp1/2p2n1p/3pb3/7B/2PBP3/PPQN1PPP/R3K2R w KQ -,e1c1
3r1rk1/p4pnp/1q4pB/1p2P3/1b1p4/3B4/PPQ2PPP/2R1R1K1 w - -,e1e2
4k3/1r2pp1p/p1N3p1/2K5/PP6/6PP/5P2/8 w - -,c6a5
r2qk2r/pp3ppp/2pb1n2/2n1p3/3pP1P1/3P2QP/PPPBNPB1/R4RK1 b kq -,d8c7
r2qk2r/1bp1bppp/p4n2/1p2p3/3Q4/1PN2N2/1PP2PPP/R1B1R1K1 w kq -,d4e5
r2q1rk1/ppn1b1pp/2n1p3/2p1Pp2/1P6/P4B1P/1B1P1PP1/RN1Q1RK1 w - -,d1a4
r7/8/4k3/4P1K1/6P1/8/5RP1/8 b - -,a8g8
r2q1rk1/Bpp2pp1/p2pbnnp/4p3/4P3/1BPP1NN1/PP3PPP/R2QR1K1 b - -,a8a7
5B2/7k/7p/1P6/4b1Pp/5p2/5P2/6K1 w - -,g1h2
5rk1/p5pp/1p1npr2/1P1p4/3P1PP1/2P2RN1/7P/1R4K1 w - -,g3h5
5r1k/4Npbp/B1Q5/4p2p/4P3/5P1b/PP4q1/1K1R4 b - -,g2f3
7R/pp3p2/6p1/2Q2n2/1P4kP/2P5/P4qP1/3Rr2K w - -,d1e1
r1b1r1k1/pp3pp1/2nq3p/3N4/1P1N3P/P7/2Q1PPP1/3RKB1R b K -,d6d5
1rbqnrk1/3nppbp/pp1p2p1/2pP4/P3PB2/2N2N1P/1PP2PP1/R2QRBK1 b - -,e8c7
r4rk1/pp2pp1p/1n1q2p1/2p1bb2/4N3/2PP2P1/PPQ3BP/R4RBK b - -,f5e4
r2qr1k1/1p1n1pp1/2p3bp/p2pP3/P4P2/2B3P1/1P2P1BP/R1Q1R1K1 b - f3,f7f6
5r2/p2rk3/2Q1pn1R/4pq2/8/8/PPP5/1K5R w - -,a2a4
4k1nr/pq1bbp2/1pr1p1pp/3pNnP1/3P1P2/PP1B1Q2/1B1N3P/2R2RK1 w k -,e5c6
r1b2rk1/ppp1qp2/2np1n1p/1Bb1p1p1/4P3/2PP1NB1/PP3PPP/RN1Q1RK1 w - -,b1d2
r2qk2r/pp1n1p2/2p1pnb1/6pp/PbBPP1P1/2N2P1P/1P4N1/R1BQ1RK1 b kq -,h5g4
1B6/p2r3p/1p3p2/n2kp1p1/6P1/4KP2/P6P/3R4 b - -,d5c6
8/7p/r1p3p1/1p6/2k5/P2R2P1/4K2P/8 w - -,e2d2
1r1r2k1/2q1bppp/p3bn2/1p2p3/4P3/P1N1BBQ1/1PP3PP/R4R1K w - -,f1f2
4rbk1/7p/2p1r1p1/qp2Pp2/5Q1P/1P3N2/4RPP1/4R1K1 b - -,c6c5
8/1p6/p7/6Rp/3pk3/Pr4PP/5K2/8 b - -,b3f3
8/1p4rk/p1p1p2p/P1PpP3/1Pb3pR/4P1Q1/5RPK/4q3 w - -,f2f6
8/3r2p1/1nk5/p1p1pp1p/P3P2P/1PK2PP1/3N4/4R3 b - -,f5e4
r3r1k1/1p3ppp/1qp5/p4bB1/P1B2P2/6R1/1b1Q2PP/3R3K b - -,b6b4
8/3k4/1R1Br3/2P5/3K4/5b2/8/8 w - -,b6b2
r3r1k1/1pp1qpbp/3p1np1/1P2p1n1/2P1P3/BNNP1PP1/R5QP/5RK1 b - -,b7b6
r1b2rk1/pp2qp1p/2n1p1p1/8/8/1NP3P1/P3PPBP/R2Q1RK1 w - -,b3d4
8/1p1kpp1p/pq5b/3pB3/P2P4/2Q1P3/1P3PP1/6K1 b - -,b6c6
r4rk1/p2n1ppp/1pp1p3/5P2/2NP4/P1P5/3K1PPP/R6R w - -,f5e6
7Q/4kp1P/5p2/1pp3n1/8/1P4P1/3bqPB1/5RK1 b - -,e2h5
r2r2k1/pp2ppbp/2n1n1p1/8/2N5/4PB2/PP3PPP/R1B2RK1 w - -,f3c6
1r1q2k1/p2n2bp/2B1brp1/4ppN1/2Pp4/3P2P1/P1Q1PP1P/1RB2RK1 b - -,b8b1
5k2/5p1p/4p1p1/8/4P3/1P2RP2/1rr1N1PP/5K2 w - -,e4e5
5r1k/b1r3pb/3q2Np/4N3/P2Pn3/4P2P/1Q4P1/5RK1 b - -,h7g6
4r3/1R2Pk2/5p1p/pp6/5p2/Pr6/1P2RKPP/8 w - -,f2e1
1r3rk1/p1qnnp1p/2b1p1pP/1pp1P1N1/3p2N1/3P2P1/PPP2PB1/R2QR1K1 b - -,c6g2
3br3/2p4k/1p1pn1p1/1P1B4/1PR2PP1/8/5B2/5K2 b - -,e6f8
2Q5/7p/1p3p2/pkp1P3/2q5/1bP5/6PP/4R1K1 w - -,c8e8
b1r1r1k1/2q2pp1/1p1pp2p/p5b1/Q1P1P3/P1RB1P2/1P3BPP/3R2K1 w - -,a4c2
r2b1r1k/1pp3pp/pn3p2/4pb2/8/1PNPBN1P/1PP2PP1/R3R2K w - -,a1c1
r7/8/3k3p/P4pp1/2B1p3/2B5/1P4P1/5K2 b - -,f5f4
2r2bk1/pp3b2/5Pp1/2np2N1/2n2B2/P4NP1/5P1P/3RR1K1 b - -,c5d7
r3r1k1/1p2Bpp1/1b1p2qp/p7/Pn6/5PNP/4QPK1/3R1R2 w - -,e2b5
r1bq1rk1/pp2ppbp/n2p1np1/2p1P3/3P1P2/2NB1N2/PPP3PP/R1BQ1RK1 b - -,f6d7
r1r3k1/3n1ppp/p1q2n2/Np2p3/1P2P3/R1P5/1B2QPPP/4R1K1 b - -,c6e6
4r2r/ppk1q2p/2n1Bnp1/4p3/4pp2/2P4Q/PP3PPP/2BRK2R w K -,e6b3
5rk1/np2bppp/1q2p3/3pP3/3P2P1/Pp2B3/4QP1P/NR4K1 w - -,b1b3
3r4/5kpp/1p3p2/p1p2b2/P7/1P2KP2/2P3PP/1NR5 b - -,d8e8
2r5/2r2k2/pb2ppp1/1p5p/3PbP2/P1P1B1P1/5K1P/R1RN4 w - -,a3a4
r1bq1rk1/pp3ppp/2p5/2bnp3/8/1Q2P1P1/PP1PNPBP/R1B2RK1 w - -,d2d4
8/2P5/pN6/2r2b2/1R1p4/K1k5/8/8 w - -,b6a4
r1bqk2r/Bp3ppp/p1np1n2/4p3/4PP2/1NNB4/PPP1Q1PP/R3K2R b KQkq -,a8a7
8/5pk1/4p1p1/3bP2P/6P1/1p2QNK1/1P6/7q w - -,h5g6
r1bqk1nr/pppp1ppp/2n5/4p3/2P5/2P2N2/P2PPPPP/R1BQKB1R w KQkq -,g2g3
8/8/1K6/p2q1p2/8/kP6/8/4Q3 w - -,e1c1
2qr3k/3N1p1p/p1n4P/2p2nQ1/2P5/4P2P/P7/1R4K1 w - -,g5f5
r1b2rk1/p3bppp/1p2pn2/4N3/1q1R4/2N1P1B1/P1Q2PPP/5RK1 b - -,b4c5
5rk1/6p1/3pp3/1b2b3/1N2P3/1qP5/NP2Q2P/1K1R4 w - -,e2c2
1q3rk1/p3ppbp/6p1/Q5P1/4B2P/1P3P2/P1P1r3/2KR3R b - -,e2h2
r7/7p/p3pkp1/8/1Bp3B1/8/PKPR2P1/5r2 b - -,a8b8
r2qr1k1/1ppb1pb1/3pnnp1/8/pPP1P2p/2N2PPP/P3N1BK/1RBQR3 w - -,g3g4
5r1k/pQ4pp/7q/8/3p1rnP/3P4/PPP5/1K3R1R w - -,f1e1
1rbq1rk1/4npbp/2np2p1/1p2p3/1P6/2NP1NP1/3BPPBP/1R1Q1RK1 w - -,h2h4
r3r1k1/pp1n3p/2p1B1pq/b4p2/3P1P2/6N1/PPQ1N1PP/4RR1K b - -,e8e6
r4rk1/1b1nbpp1/2q1p3/1p1n4/N4P2/2PB1NPp/3BQ2P/1R3R1K w - -,d3b5
6k1/2pb3p/3P2p1/3Pp3/4BqP1/5P2/1rQ4P/R6K b - -,b2c2
4rr2/1p5k/8/p5Rp/6pP/P3P1K1/1PP5/R3Nb2 w - -,g5h5
2r3k1/p3qp2/1p4n1/3Q4/3P4/8/PR6/1K1R4 w - -,d1g1
r3k2r/pb2bppp/1qn1pn2/1ppp4/P3P3/3P1NP1/1PPNQPBP/R1B1R1K1 b kq a3,c6b4
2R5/8/p1P5/8/4p3/4k3/2r3P1/6K1 w - -,c6c7
8/1p4p1/p1b1kp2/4p2p/8/4PP2/1PR2KPP/3rB3 b - -,g7g5
r3k1nr/pp1q1pb1/2np4/2p1pR2/2N1P3/1P1P2P1/PBP1N1K1/R2Q4 b kq -,g8e7
1r1q1rk1/1b1nppbp/ppnp2p1/8/1PP1P3/P1N1QN1P/4BPP1/1RBR2K1 b - -,b8c8
5rk1/rppqnpp1/p2pbn1p/8/3pP3/2P2N1P/PPB2PP1/R2QRNK1 w - -,c3d4
2r1k2r/pp2p2p/2n1bpp1/8/8/2P1B1P1/P2RPPBP/2K4R w - -,g2c6
rn1qk2r/1pp2ppp/3b4/p3p3/2Q5/P1N1P3/1P1P1PPP/R1B1K2R w KQkq -,c4b5
r2qr1k1/1p1n1pbp/2p1pnp1/4N3/p1PP4/1P3bPP/PB3PB1/R2QR1K1 w - -,d1f3
3r2k1/p1Rr3p/1p2bpp1/3ppn2/8/1P1P2P1/P2NPPBP/2R2K2 w - -,e2e3
