8/8/8/r4k1p/5N1P/1R4K1/8/8 b - -,f5e4
8/1p3r2/p3p1k1/P3Pnb1/2r1Np2/3R3K/1P3B2/5R2 w - -,e4g5
1rbqk2r/1pp1bppp/p1n1p3/3nP3/2pP4/2N2NP1/PP3PBP/R1BQ1RK1 w k -,d1e2:c3e4
r4rk1/1b1nq1pp/1ppbp3/p2p1p2/2PPn3/PP2P1P1/1BQN1PBP/R1R1N1K1 b - -,e4d2
3r2k1/1b1r1p1p/ppnpqpp1/1N1R4/2P1P3/1P3P2/P4QPP/R4BK1 b - -,c6e7
2q3rk/1p4p1/p6p/P7/2pB4/2P3Qb/1P5P/4R1K1 b - -,c8f5
1q1rr1k1/1b1n1pbp/pp1ppnp1/8/2P1P3/1PN1BP2/P3NQPP/2RR1B1K b - -,b7a8
r2q1rk1/pp3ppp/3p1n2/2nPp3/1pP1P1b1/5N2/PP1NQPPP/R2B1RK1 w - -,h2h3
rq2k2r/3nbppp/p1p1pn2/1p1p4/2PP4/1PNQPN1P/PB3PP1/R4RK1 w kq -,c4d5
r1r3k1/1p1N2pp/p7/b1pR4/3p4/8/1P3PPP/5RK1 w - -,d7c5
7R/8/4pk2/5p2/P3p2P/7r/4KP2/8 b - -,h3a3
7r/1r2p1k1/1p1pnpp1/1P1N4/2P2P2/4PK2/6P1/2RR4 w - -,c1a1
1k6/4b3/p4p1p/N2rp1p1/2p3P1/P7/1PP4P/5R1K w - -,a5c6
8/pp2n3/4Bk2/3p2pb/2pP4/2P2NP1/P1PK4/8 w - -,g3g4
8/5B1k/6p1/4p1p1/2K1P1P1/b6P/P4P2/8 b - -,h7g7
2rq1rk1/3n1pbp/1p1p2p1/p2B4/3P4/1Q2P3/P2N1PPP/1RR3K1 b - -,d7f6
2n5/3b2kp/3p4/1p1P1p2/1R3PP1/1N1K1B1P/1r6/8 b - -,c8b6
5rk1/3q3p/p3p1p1/5n2/4R3/2Bp3P/P2Q2PK/8 w - -,e4e5
r4r1k/1ppq2p1/p1np1b1p/3Bpp2/1PP4P/P2PP1P1/2Q2P1K/R1B2R2 w - -,a1b1
1r3k2/R4ppp/1p6/p7/P7/1P4P1/4PP1P/6K1 b - a3,b8e8
r3rbk1/1bqn1pp1/2pp1n1p/1p2p3/1P1PP3/2PB1N1P/1BQN1PP1/R3R1K1 w - -,a1a8
4r3/p6p/Np1k2p1/1n6/1P5R/6PK/7P/8 b - -,e8e7
r1bqk2r/1p3ppp/2n1pn2/p1b5/2Pp4/5NP1/PP1NPPBP/R1BQ1RK1 w kq a6,d2b3
6k1/8/6p1/p3P1b1/3Pnq2/3R4/P2nQ1B1/4N1K1 w - -,e1f3
r5k1/q2bppbp/3p2p1/rpnP4/2pNPP2/2P1R1P1/PRQB3P/5B1K w - -,a2a3
2r5/3pk3/4pp2/2rn4/RpN2P2/1P3Kp1/2PR3P/8 w - -,h2g3
r2r2k1/p5p1/2pBpn1p/1p4q1/P1pPP3/2Q5/1P2R1PP/R5K1 w - -,d6c5
3r4/4Rk1p/p5p1/1p6/2p3P1/2P2K2/PP1B3P/8 b - -,f7e7
8/8/5K1k/8/5NR1/8/8/r7 b - -,a1a6
2rqr1k1/pp1b1p1p/5bp1/3p4/n2N1PP1/2NBP2P/PP3Q2/1K1R3R w - -,c3a4
rn1qnrk1/pp1b1pbp/3p2p1/2pPp3/2P1P1P1/2NB1N1P/PP3P2/R1BQK2R w KQ -,c1g5
8/8/1p1k4/5bPB/1P1p4/6K1/8/8 b - -,d6e5
6R1/2k2r2/7P/6B1/1prbRPK1/7P/P7/8 b - -,c7b6
1Bb1k2r/b2p1ppp/pqp1pn2/8/8/1N3B2/P1Q2PPP/5RK1 w k -,b8d6
r6r/ppp3pp/3bkn2/8/3PP3/3PN1Pq/PP5P/RNBQK2R b KQ -,d6g3
k7/2Q5/5p2/2bqp3/6P1/2P5/1P5P/1K6 w - -,c7a5
3r4/7k/4B1Rp/p7/Pb3P2/8/5PKP/8 w - -,e6f5
rnbq1rk1/pp2ppbp/3p1np1/2P5/4P3/2N1BN1P/PPP2PP1/R2QKB1R b KQ -,d8a5
k1r5/1pr3p1/p3pp1p/7P/R3p1q1/1RP1Q3/PPK5/8 w - -,a4e4
3rr3/pb4pk/1p2q2p/2b2p2/4p2Q/P3N1P1/1PR2P1P/4RBK1 w - -,f1c4
8/p4kpp/5n2/Pb6/1P6/7P/1P3PP1/2R3K1 b - -,a7a6
r1bq2k1/pp2b1pp/2n5/2ppPp1Q/8/2P2N2/PP3PPP/R1B1R1K1 b - -,c8e6
5k2/8/p3K3/Pr5p/1P3R2/8/6PP/8 b - -,f8g7
3r1k2/pq1rnpp1/1pp1p2p/7P/2PP4/1PN2QP1/P2R1PK1/3R4 w - -,d2d3
8/5pkp/5p2/2PQ1Pp1/5q2/8/2K3P1/8 b - -,f4a4
1rB5/1P2k3/6p1/3Kp2p/3b3P/6P1/2R2P2/8 b - -,e7f6
8/8/8/7p/p1KPkb1P/8/P3p3/4B3 w - -,d4d5
3q1rk1/p2n1p2/1p3bpp/3p4/3r4/P5B1/1PQ2PPP/RB3RK1 w - -,b1a2
5k2/pprr1pp1/2p3p1/6b1/P1RPP3/1R4P1/1P3KBP/8 b - -,g5d2
8/4k3/2R5/2K5/P1P5/8/5r2/8 b - a3,f2a2
r1b2rk1/ppp2p1p/1nn3p1/4b3/4P3/2N1BP2/PP1R2PP/4KBNR w K -,f1b5
r2rq1k1/2p2pbp/p3bnp1/1p2p3/P3P3/BPP1N3/2B2PPP/R3QRK1 w - -,a4b5
b2r1r1k/6pp/1Q6/1p1Pp3/8/5nP1/PP3PKP/3R1R2 w - -,b6d8
