8/8/1k2p1p1/R3P3/pK3P2/1b5p/7P/8 w - -,a5b5
rnbqk2r/pp3ppp/4pn2/2bp4/4P3/3B4/PPPNQPPP/R1B1K1NR b KQkq -,b8c6
2r2rk1/p3bpp1/p2p3p/N3p3/R6P/2B2bP1/PPPR1P2/2K5 b - -,f7f6
6k1/1r3p1p/3P2p1/pp6/4p3/P1r1P3/5PPP/3R1RK1 b - -,b7d7
4r1k1/1p3b1p/2pp1qp1/2n5/2PN3P/rP4P1/1RQ2PB1/3R2K1 b - -,e8a8
r1bqk1nr/pp2ppbp/2np2p1/2p5/4P3/2N3PP/PPPPNPB1/R1BQK2R b KQkq -,e7e6
3rr1k1/p4p1p/1b3P2/6p1/P1Qp4/5qP1/1B1R1P1P/R5K1 b - -,d4d3
1R1qb1k1/5r2/3p4/r2Pp3/4Bp2/2N2P2/3KN3/1Q6 b - -,d8e7
2kr3r/pppqbpp1/2np1n1p/3Pp3/1P5N/3P2PP/P1P2PB1/R1BQ1RK1 b - -,c6b4
1r2r1k1/1p3pb1/2p1b2p/6p1/p1PpP3/1P1B2PP/P2N1P1K/3RR3 b - -,b7b5
3rr1k1/pp3pp1/4qn1p/3p4/3R1P1Q/2P1NR1P/PP4PK/8 w - -,h2g1
3r1k2/1p6/6pp/R2b1p2/3P4/3BKP2/1P4PP/8 w - f6,h2h4
rn1q1rk1/pbp1bppp/3ppn2/6B1/2NP4/5NP1/PP2PPBP/R2Q1RK1 b - -,b8d7
r3r1k1/1p1b2pp/p2q1b2/2pPp2P/P1P1Pn2/2N1B3/1P2BP2/R2QK1R1 b Q -,h7h6
r1bqkb1r/1ppppppp/p1n2n2/8/2P5/1P2P3/PB1P1PPP/RN1QKBNR b KQkq -,e7e6
k2r1br1/pp1b1pp1/7p/q2PB3/4Q3/3B4/PP3PPP/1K1RR3 w - -,d5d6
8/R7/8/P5k1/2p5/8/r7/6K1 w - -,a7c7
1r3rk1/p3qpbp/3pp1p1/1np1nP2/P3P3/2PPB1PP/3Q1R2/R2N1BK1 b - a3,b5c7
1b1r1k2/6p1/p1q2p1p/1ppb3P/2pnNPP1/P7/1P3BB1/4R1KQ w - -,g4g5
2B5/8/6p1/4k2p/4P3/5K2/8/6b1 b - -,g1d4
2r1nnk1/p3qpbp/2p1b1p1/2N1p3/1P2P3/5NPP/P2Q1PB1/2RR2K1 w - -,g2f1
8/p7/Pb2pk1p/5pp1/1r6/6PP/R4PK1/3B4 b - -,e6e5
r3r3/5kpQ/4q2p/p2p4/4p1N1/2P3R1/PP3PPP/6K1 w - -,f2f4
rnbqk2r/ppppb1pp/4pn2/5p2/3P4/6P1/PPPNPPBP/R1BQK1NR w KQkq -,e2e4
8/5pk1/6p1/1Q1P1p1p/1p6/6P1/5PKP/4q3 b - -,e1e4
2k4r/5p1r/1pp3p1/p7/3RR2p/2P4P/PP3PP1/2K5 w - -,e4e7
7k/p3r2p/1nRq1p2/3p1Q2/1p1P4/1P5P/P4PP1/2R3K1 b - -,e7e1
1r3r2/3bppkp/3p1np1/pp2n3/4P1P1/P1N2P1P/BPPQ4/R3K1qR w KQ -,h1g1
r1b2k1r/pp3pbp/3Np1p1/8/2Q5/2B1q3/PPP3PP/2KR3R w - -,c1b1
2r2rk1/1p2bpp1/p1qpbn1p/P1n1p3/4P3/2NB1Q1P/1PPN1PP1/R1B1R1K1 w - -,d3c4
r3r1k1/pb3npp/np1B4/7q/4p3/1QN3P1/PP4BP/R4R1K w - -,f1f4
8/2p3rk/1pq1pQ1P/2P1P3/1P6/5P2/6P1/4R1K1 b - -,g7g6
8/5pk1/2p4p/5P2/1nP1P3/R5K1/p7/8 w - -,a3a7
r2r2k1/p4ppp/1qN1p3/3pP3/1P6/1QP5/5PPP/R3R1K1 b - -,b6c6
6k1/pp2r3/8/2P3p1/4P2p/1P3NnP/P5PK/4R3 b - -,e7e4
8/p2bkp2/1p1p4/2p3p1/2P5/1P2KBP1/P1P2P2/8 w - -,f3e2
rnbqk2r/1pp2ppp/3ppn2/p7/1bPP4/3BP3/PP1B1PPP/RN1QK1NR w KQkq -,b1c3
2n3k1/5pbp/1p2p1p1/q2pP1P1/b2PP3/P2B1N2/3NQ2P/6K1 w - -,e4d5
7r/1Nk2p2/p5p1/2P4p/8/8/P2r1PPP/2R2RK1 w - -,b7d6
8/8/p1K5/5p1Q/4k3/7P/r5P1/8 w - -,h5f3
4r1k1/1p5p/5Bp1/8/2P2P2/4Q2P/6P1/6K1 b - -,e8e3
r3r1k1/1npqnpp1/pp2b2p/3p4/3P4/1PPB1N2/P1QN1PPP/2R1R1K1 w - -,c2b1
r4rk1/ppq2pp1/1npb3p/4p3/P3PnbB/2N2N2/BPPR1PPP/R4QK1 b - -,g4f3
7k/1p2bqr1/1B2b2p/PB2p3/4Np1n/2Q2P2/6PP/6RK b - -,f7h5
r4rk1/1p1b4/p3p2p/3p4/3P4/4NN1P/nP1K2P1/4RB2 w - -,e3g4
r2q1rk1/ppp1bpp1/3p2np/2nP4/5PPP/3BQN2/PPPB4/2KR3R b - -,c5d3
r2r2k1/1pQ2ppp/1p2b3/3np3/3n2Pq/P3N2P/1P1BPPB1/R3K2R w KQ -,g2d5
r4rk1/ppqb3p/2p1ppp1/2Pn4/2QP4/5N2/PPB2PPP/R3R1K1 w - -,f3d2
r1bq1rk1/pp2bppp/2n5/2p5/2PP4/1P4P1/PB3PBP/RN1QR1K1 b - -,e7f6
r1bq1r1k/ppp1n1b1/6p1/2pPp2p/N3Pp2/5P2/PP1BB1PP/2RQ1RK1 b - -,c7c6
R7/4k3/8/4pp1p/P2b4/3N2P1/r3KP2/8 w - -,e2d1
r3k2r/ppq1npbp/2npp1p1/2p5/4PP2/2PP1QPP/PP4B1/RNB2RK1 w kq -,b1a3
rnbqkb1r/pppppp1p/5np1/8/3P4/1P3N2/P1P1PPPP/RNBQKB1R b KQkq d3,d7d5
r1k1r3/pB1b1p1p/5bp1/4p3/8/2N3PP/PPP2P2/2KR3R b - -,c8b7
r1b2rk1/pP1nqpbp/2p2np1/4p3/4P3/2N2N2/1PP1BPPP/R1BQ1RK1 b - -,c8b7
1r1q1rk1/1ppnppbp/p1np2p1/8/2PPP1b1/2N1BNP1/PP3PBP/1R1QR1K1 w - -,h2h3
2r3k1/2rb3p/p1p3p1/2R5/3N4/2R5/P4PKP/8 b - -,d7e8
5r1k/p6p/2p1p1r1/1pRnq3/3P1p2/6P1/PP1B1P1P/2R3K1 w - -,d4e5
r2qk2r/1p1n1ppp/2p1pn2/p4b2/PbBP4/1Q2PN2/NP3PPP/R1B2RK1 b kq -,b4e7:b4d6
r2q1rk1/2p1bppp/p2p1n2/1p1Pp2b/4P3/1PPQ1N1P/1P3PP1/RNB1R1K1 b - -,d8d7
1r5k/3Q3p/6pN/4b3/2n1P3/p1P3NP/1P4P1/6K1 w - -,h6f7
8/8/p4Pk1/P7/1PKB2p1/2P5/3r4/8 b - -,g4g3
8/8/4kp2/R6P/4PKP1/7r/8/8 b - -,h3h1
4R3/8/6B1/p6P/P7/4n1K1/3k2P1/7r w - -,e8e5
r1bqr1k1/ppp2pbp/2n3p1/4p1N1/2Nn4/3P2P1/PP1BPPBP/2RQ1RK1 w - -,g5e4
2krr3/pp3pp1/2n4p/4p3/1PPpR1P1/P2P3P/1BK2P2/4R3 b - -,f7f6
5rk1/3q1ppp/4p3/3p4/3Q4/1b3N2/3K1PPP/7R w - -,h1c1
r1r3k1/pp2ppbp/3pbnp1/q7/3BP2P/P1N2P2/1PPQ2P1/1K1R1B1R w - -,h4h5
5k2/1br3p1/4P2p/p2p1P2/R5P1/p7/7P/4R1K1 w - -,a4a3
r2qrk2/pp3pb1/2n1p2p/3p2p1/3P4/P1N1PbP1/1PBQ1PP1/R4K1R w - -,g2f3
1R6/4rrp1/pR6/1P3k2/P2B4/4P1K1/4b1P1/8 b - -,a6b5
3qkb1r/1p1bpppp/p1rp1n2/6B1/4P3/2N2P2/PPPQ2PP/R3KB1R w KQk -,e1c1
5k2/5p1p/6pN/3nb1P1/1P5P/PK6/8/8 b - -,f7f5
r1b1kb1r/q2n1ppp/p1n1p3/1pppP3/3P1P2/P1N1BN2/1PPQB1PP/R4RK1 b kq -,c8b7
1r1r2k1/2q2pp1/2b1p2p/2P5/p7/2Q1P1P1/4BP1P/RR4K1 w - -,b1b8
2r1r1k1/pp1bppbp/3p1np1/q7/3BP3/2N4P/PPPQBPP1/3RR1K1 w - -,e2f3
8/8/1k1pN3/1p1Pp3/2B1P3/1KP1nP2/8/8 b - -,e3c4
2r5/3r1k2/1R6/3pBK2/3P4/4P3/5P2/8 w - -,f2f3
8/r7/4kp2/P1Rp2p1/1r1P2P1/4PP2/5P2/R4K2 b - -,b4b8
r2q1rk1/1p2ppbp/2n3p1/p2p4/Q2Pb3/2R1BNP1/PP2PPBP/5RK1 b - -,d8b6
r3rbk1/3p1pp1/3qn2p/1ppNp3/4P3/P2P3P/1P1B1PP1/R2Q1RK1 w - -,d1g4
1r4k1/3B4/8/p2P2p1/3P1B2/2pb4/5PP1/2R3K1 b - -,g5f4
r4rk1/1b2bppp/pBq2n2/4pP2/Np2P3/3Q1B2/1PP3PP/R4R1K w - -,f1e1
2q1r1n1/1r2ppk1/1pNp2p1/pP1P1b2/P1P3P1/4RB2/5P2/3QR1K1 b - -,f5d7
r3k2r/1bqnbp1p/p2ppp2/1p5Q/3NPP2/2NB4/PPP3PP/2KRR3 b kq -,d7c5
r1bqk2r/ppp1nppp/2n5/3p4/1b1P4/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,a2a3
1r1r2k1/2p2pp1/2n1b2p/p1b4n/1p2PP1N/2P4P/PP1NR2K/R1B2B2 w - -,d2f3
1rnR4/p2R1k1p/6p1/PPp1r3/2q1p2P/4P2Q/6P1/6K1 b - -,e5e7
2b3k1/4Bppp/4n3/1P2p1P1/p3P2P/7B/K1Pr4/6R1 w - -,a2b1
