5b2/6k1/6p1/8/rpN1K1P1/5R2/8/8 w - -,e4d5
2rrbnk1/p5p1/2nbpq1p/1p1pN3/3P4/P3Q1N1/BP1B1PPP/R3R1K1 w - -,a2b1
8/pQ3ppk/4qn1p/5N2/4p1P1/2P1P3/5PK1/8 w - -,b7a7
r1bqk2r/pp2npbp/2n1p1p1/2pp4/4P3/3P1NP1/PPP1QPBP/RNB2RK1 w kq -,c2c3
8/8/p3K3/3p4/1B1k4/1P3n2/8/8 b - -,d4e4
1rbq1rk1/n1p1ppbp/p2p2pB/3P4/3P4/P4N1P/1PBQ1PP1/2KR3R w - -,h3h4
3r4/1p6/4k1p1/NPPb1p1p/K3p2P/2b1B1P1/5P2/2R5 b - -,c3e5
8/3n1pk1/6p1/pp1qP3/3P1Q2/P4N1P/1P3PP1/6K1 w - -,f3g5
3k4/8/4p1B1/2R1P3/1p3K2/1r6/8/5b2 w - -,g6f7
8/6Q1/1p2q3/5p2/1P1k4/P5P1/5P1P/6K1 b - -,d4d3
2rq2k1/p4p1p/1p4p1/1Q1P4/P7/2P4P/5PP1/4R1K1 b - -,g8g7
6k1/1p3pp1/p1bN3p/2Pn3q/2BQ1P2/2P4P/1KP5/8 w - -,c4b3
r1b1rbk1/2p1npp1/p7/1p1pp2P/4Pq1P/2PPN3/PPB1NP2/R2QK2R b KQ -,f4h6
r1bq1rk1/ppp2pp1/1b1p2np/4p3/4P3/1B1PBN1P/PPP2PPK/R2Q1R2 b - -,c8d7
8/8/k7/1R2N3/1K6/8/8/7r w - -,b5d5
2k5/1bPB1p1p/6q1/3p4/2nP4/4p1rP/2P3P1/RR2Q2K b - -,c8c7
r1bqk1nr/ppp1ppbp/2n3p1/8/2Q5/5NP1/PP1PPPBP/RNB1K2R b KQkq -,e7e5
6n1/3R1pk1/2n1r1pp/2B1P3/p6P/P4N2/1P3PP1/6K1 b - -,e6e8
4rk2/pp3ppB/3Q4/3P4/3p4/1q3N2/1P2rPKP/4B2R b - -,e8e7
r5k1/3n1pbp/2r1p1p1/p1pnP3/NpNp1PP1/1P1P4/P1PBR1KP/5R2 b - -,d5c3
8/4k1K1/2N5/8/8/8/8/5r2 b - -,e7d7
6rr/2p1k3/pp1pp3/5p2/2P4b/PP1R2pP/4N1N1/2K4R b - -,e6e5
r1r3k1/pp1bppbp/2np1np1/q7/2PNP3/2N1BP2/PP1QB1PP/R4RK1 w - -,f1d1
r3k2r/pp3ppp/1qn5/1NbpPbB1/4n3/3B1N2/PP3PPP/R2Q1RK1 w kq -,g5h4
3r1r2/pp3pk1/2p2qPp/3BR3/8/2Q1PP2/PP3P2/5RK1 b - -,c6d5
r4rk1/1p3p1p/1p1b2p1/3p1p2/3Pn3/P3PN2/1P1B1PPP/3R1RK1 w - -,d1c1
8/8/4K3/8/8/5p2/4k3/R7 b - -,f3f2
r1r5/3b1knp/n1N1p1p1/1p1pPp2/p2B1P2/4P1P1/PPR3BP/2R3K1 b - -,g7e8
rn1q1rk1/1b2bppp/p3p3/1p1nP3/3N4/1PN2Q2/PBP3PP/2KR1B1R w - -,f3h3
r4r2/ppp2p1k/3p2pp/2nPp3/2P1P1Bq/2P3RP/P1K2PQ1/3R4 b - -,f8g8
5rk1/6p1/p1p1p1np/P2rPp2/1p1p1P2/1P1P1NP1/2R4P/3R2K1 b - -,g6e7
5n2/pp2q1k1/2p1bpp1/3p4/3P1Q2/2P5/PPB2PP1/5NK1 b - -,e7d7
8/3P4/1B4k1/2N3bp/8/5KP1/8/3r4 w - -,c5e6
1r1q1rk1/p1p1bppp/2Q1b3/2npP3/2P5/1P3N2/PB1N1PPP/R4RK1 w - -,b2a3
4r1k1/1qn2p2/p5p1/2pPP3/2B1b3/1PQ3B1/5K2/3R4 b - -,c7d5
4r1k1/1Q3p1p/p5pb/q1pPr3/N3B3/7P/P4PP1/1R1R2K1 b - -,e5e4
8/8/8/p5p1/k1K4p/2p1b2P/2P5/1R6 b - -,a4a3
5rk1/4b1qp/p2rpp2/1p6/2p1B1P1/P1N1Q3/1PP4P/1K5R w - -,h2h4
rnr3k1/1p2p1bp/p4pp1/3n4/3B4/N1P2N2/PP3PPP/3R1RK1 b - -,b7b5
r1b4r/4kp2/1pn1pN2/2npP1q1/1p6/4R3/PP3PPN/1BRQ2K1 w - -,h2g4
