8/4pp2/3p3b/2pP3P/2P5/2K5/k7/1B6 b - -,a2b1
8/8/7R/p3pk2/2p3p1/1P3r2/P1P1K2P/8 w - -,h6h8
r1bq1rnk/p2n2bp/3p2p1/2pPpp2/2P1P3/2NN1P2/P1QBB1PP/R4RK1 w - -,a1b1
3q3r/1p3k2/4p1pp/1r1pP3/1R1P1P2/3Q4/6PP/6K1 w - -,d3b5
5k2/4p2p/2qpPbp1/3N4/1pP3QP/1P4P1/4PP2/6K1 b - -,f8g7
3k3r/p4ppp/1n6/2Bn4/q2PQ3/6P1/P4P1P/1R4K1 w - -,e4e5
2r1r1k1/1p4pp/p3Rp2/2Pp3b/nP1P4/5N1P/5PP1/4RNK1 b - -,g8f7
r2q1rk1/1ppn1pbp/3pp1p1/p1nP4/2P1P2P/2N1B1P1/PP2QPB1/R4RK1 w - -,d5e6
5r2/p4pk1/3p2p1/1r4b1/3PB3/1N2n1P1/P6P/R4R1K w - -,f1f3
6k1/1Bn2p1p/4p1p1/4P1b1/p1qp4/P2N1QP1/1P3P1P/6K1 b - -,h7h5
4B3/p3b1kn/1p3P2/2pP2P1/2P3K1/1P6/P7/8 b - -,h7f6
r3rbk1/1bp2p2/ppqp1npp/4p3/P1P1P3/1PP3NP/1B1NQPP1/R2R2K1 b - -,a6a5
r2qkbnr/pp3ppp/2n1b3/2pp4/Q2P4/2N2N2/PP2PPPP/R1B1KB1R w KQkq -,c1f4
8/5k2/8/8/4p1RN/5pP1/4r3/6K1 w - -,g4g5
8/5kp1/p6p/Pp1b1p1r/1PpPpP1b/2P1R2P/7K/5BR1 b - -,h4f2
1r3r1k/5ppp/3p3b/1q1Bp3/Q3P2P/8/5PP1/R4RK1 w - -,a4b5
2r2r2/5pk1/pR1P1N2/4Pp2/7p/1P2K3/P1p5/2Rb4 w - -,d6d7
r3kb1r/pp3ppp/2nqp3/2pN3b/8/5NPP/PPPP1PB1/R1BQ1RK1 b kq -,d6d5
4r1k1/3npp1p/3p2pB/2pP1P2/1pP1P1Q1/1P1B4/rq4PP/5RK1 b - -,b2d4
rn1qkb1r/1bpp2pp/p7/1p2pP2/2PP2n1/4BP2/PP5P/RN1QKBNR w KQkq -,f3g4
2kr3r/pp4pp/2p1pn2/8/1q6/5PP1/PPP1Q2P/R3KB1R w KQ -,c2c3
rn3rk1/ppq1ppbp/2pp1np1/8/3PP1b1/1P3NP1/PBPN1PBP/R2Q1RK1 b - -,b8d7
8/8/4k3/4Bp2/2N2K2/3r4/8/8 w - -,e5g7
2r2rk1/pp1npp1p/1q4p1/3P1n2/4N1N1/8/PP1Q1PPP/R3R1K1 w - -,e4g3
r2q1rk1/pp2bppp/5B2/2p1nP2/3p4/2N4P/PPP1BPP1/R2Q1RK1 b - -,e7f6
r1b4r/p4Pk1/2q3p1/1pB1p1N1/2p1P3/2P3P1/PP3QB1/R5K1 b - -,c8g4
1k4rr/pp6/q3p1np/3pP3/2pP1RP1/P6K/2PB1P2/R2Q4 w - -,f4f7
r1bqn1k1/p2p2pp/1ppbp3/4n3/2P5/2N1B1Q1/PP4PP/2R1KB1R w K -,g3h3
1r1rbb1k/2q2p2/B3pPpP/4p1N1/pp2P2Q/1P4R1/1PP4P/2KR4 w - -,d1d8
r2q1rk1/pp1nppbp/n2p2p1/2pP4/4PB2/2N2B1P/PPP2PP1/R2Q1RK1 w - -,d1d2
2r1r1k1/p6p/Np2Q1p1/2p2pB1/P1P1p3/7P/5PP1/3R2K1 b - -,e8e6
1r3k2/3R3p/6b1/3pP1p1/p1pP4/P6r/B4K2/R7 b - -,g6e4
8/pr3p2/1rp2kpp/4R3/2K2P2/1R2P3/P4P1P/8 w - -,e5e8
r1b2rk1/pp1nppbp/6p1/2P5/2B2B2/2P1PN2/P4PPP/3RK2R w K -,f4g5
r4rk1/1bq1bppp/ppnppn2/8/2P1P3/2N1BP2/PPN1B1PP/R2Q1RK1 b - -,a8c8
8/8/8/4k3/5n2/R3K3/8/8 w - -,a3a5
3r2k1/pb3p2/1p1q2pp/2p1p1n1/2PN4/P2P2PP/4QP2/2RR1BK1 b - -,e5d4
r4rk1/p1p3p1/1pbppb1p/nP3p1q/2PP4/P2Q2P1/1B1NPP1P/3RRBK1 b - -,c6b7
4r3/p5r1/2p1bk1p/5p1n/2PNp2P/P1N5/2P2P1K/R5R1 b - -,e8g8
1r3k2/r2nbp1p/pp2p1p1/2p1P3/P1P1NPP1/2B1P2P/5R2/3R2K1 b - g3,b6b5
r2qr1k1/1bp2ppp/pp1b4/3p4/3Pn3/1P1BPNP1/PBR1QPP1/2R3K1 w - -,f3e5
8/2rnkp2/pp1bp1p1/7p/P1P4P/3NP1P1/4KPB1/2R5 w - -,e2d2
8/pp1qnpkp/3pp1p1/8/4P3/3P4/PP1QNPPP/2r3K1 w - -,d2c1
2k1rb1r/2p3pp/ppb2pn1/2pN4/4P3/2N1BP2/PPPR2PP/3R2K1 b - -,c8b7
8/6p1/5p2/5k1p/7P/P3R1P1/r4PK1/8 b - -,g7g6
1r1r2k1/p2nppbp/2nq2p1/3p4/3P1B2/3N1B2/PP3PPP/R2Q1RK1 b - -,e7e5
3qr1k1/rb3pbp/1p1pn1p1/pPp1p3/2P1N3/3PP1P1/PB3PBP/1R1Q1RK1 w - -,e4c3
r3r1k1/pp1Rpp1p/2p1n1p1/q7/2P1P3/1P3NP1/P4PKP/Q2R4 b - -,e6c5
r1bq1rk1/pp4pp/3b1n2/3p4/8/2N2n2/PP2BPPP/R1BQ1RK1 w - -,e2f3
2rq1rk1/pb1nbpp1/7p/2pN4/5B2/3BP2P/PPQ2PP1/3R1RK1 b - -,b7d5
2r3r1/1b3k2/p3p1pp/1p2P3/3BBPPq/P1P5/1PQ4P/4RK2 b - -,b7e4
r4rk1/pN1nbpp1/4pn1p/1q6/Np1pPBP1/7P/PPQ2PB1/2RR2K1 b - -,b5b7
2q1rrk1/3nppbp/p2p2p1/1p1P3P/P1p1PP2/2P1B2Q/1PB3P1/4RRK1 w - -,h5g6
8/p5k1/1p2n3/2p1rBP1/P7/2PK1RbP/3B4/8 b - -,g3f4
2r1r3/1RP3pk/4p2p/p7/2PR2P1/P3P3/5P1P/6K1 w - -,d4d7
4r1k1/1p3p2/2pp3R/4q1r1/p1P1nNP1/3Q1BP1/PP3PK1/8 w - -,f4h5
8/5p2/1N1k2p1/2n4p/P7/4K3/5PPP/8 w - -,a4a5
4r1k1/p3qp1p/2pb4/3b2p1/3P3N/2Q3P1/PP1B1K1P/R7 w - g6,a1e1
8/5k2/5n2/4K3/4B3/2B5/8/8 w - -,e4c2
8/4kp1p/2bb2p1/pp2p3/5N1P/1P2P1P1/P1B2P2/5K2 w - -,f4h3
r1bqr1k1/1p1n1pbp/3p1np1/p1pPp1B1/2P1P3/2N2NPP/PP1Q1PB1/R4RK1 w - -,f3h2
1Q3b2/6kp/5p2/p3r1p1/1P6/P4KP1/5P1P/8 b - b3,a5b4
1r1r2k1/p2n1ppp/b1p1p3/q1P5/3QP3/P1P1BP2/4NKPP/R6R b - -,d7f6
8/8/3p4/2p1k3/P4p2/7r/1PK5/5R2 b - a3,f4f3
rn2kb1r/ppqb1p1p/3p1np1/2pP4/4P3/1QN5/PP3PPP/R1B1KBNR w KQkq -,g1f3
2r4k/1p5p/4p3/2n1bpB1/8/5PP1/P2R3P/7K b - -,h8g7
8/1p2kp1p/p2r4/1p4p1/2bNp3/2R1P1P1/5P2/R5K1 b - -,d6d4
5r2/8/1P5k/7p/K7/8/6R1/8 b - -,h5h4
r1b3r1/1pk1qp2/1n1p1n2/p1pP2p1/2P1p3/1BP1P1B1/P2KNPP1/R5QR w - a6,a2a4
b2r1rk1/p2nqpbp/2p1p1p1/1pNBP3/1P1P4/B4N2/P1RQ1PPP/5RK1 b - -,c6d5
rnb2rk1/pp1pp1bp/6p1/2pPq3/2P1N3/8/PP2BPPP/R1BQK2R w KQ -,e4c5
r2q1rk1/1p2bppp/p1b1pn2/n2p4/P2QPP2/1NN1B3/1PP1B1PP/R4R1K w - -,e4e5
r1b2r1k/1pq2ppp/p1n1pn2/6B1/2BN1b1P/5N2/PPP1QPP1/1K1R3R w - -,d4c6
7k/p5p1/5R1p/bP6/2K1Bp2/5P2/8/8 b - -,g7f6
8/p7/1p6/2p3k1/4rp2/P1P3KP/1P3R2/8 w - -,g3g2
2k2br1/1p3Npp/p4p2/8/1nP5/1P6/2KB1PPP/7R w - -,c2c3
8/1p1k1ppp/p3p3/P7/5PP1/7P/1PP5/2K5 w - -,c1d2
2r2rk1/1pq1bppp/p2pNn2/8/2n1PBP1/2N4P/PPP1Q3/1K1R1B1R b - -,f7e6
1r5r/Qp1b3p/1Rpk1pp1/2Np4/P2P4/2R1P2P/KP1q4/8 b - -,b8a8
