1r5k/6p1/p4r1p/4QP2/8/7P/6P1/6K1 b - -,b8b5
1kr1r3/4Q3/q3n3/p2pP3/Pp5p/2P1B2P/1P4P1/4RRK1 w - -,e7h4
r7/7p/P1R5/1K1k4/6P1/8/P7/8 w - -,c6c7
3r2k1/3qppb1/7p/2nrP1pP/p1R3N1/2B1QP1K/1P4P1/R7 b - -,d7b5
Q7/p4ppk/7p/1P2n3/3q4/7P/5PP1/5BK1 w - -,a8b7
r5k1/5p2/Q5p1/3q2bp/7P/6P1/1B3P2/4R1K1 b - -,g8h7
rnbq1rk1/pp3pbp/1n4p1/3Pp3/8/1QN1B2P/PP3PP1/R3KBNR b KQ -,e5e4
3N1r2/4R3/p3Qpk1/3p2b1/2q4p/8/P4KPP/8 b - -,c4c5
8/7p/p2b2p1/1p1kp1P1/1P2p1P1/2PbB3/3K4/3N4 b - -,d6e7
6k1/pp2r1p1/2p4p/5p2/8/n7/P1PR1PPP/B4K2 b - -,g8f7
8/6pp/2p2p2/B1k1p3/p1B1PnPP/5P2/1P1K4/8 b - -,c5c4
rn1q1rk1/pb1p2pp/1p2pn2/3P1p2/3Q4/2N3P1/PP2PPBP/R1B2RK1 w - -,f1d1
8/k7/P4Kp1/5p2/5P1p/3r3P/R4P2/8 w - -,f6g6
r1bqk2r/pp1p1ppp/2n2n2/1N2p3/1bP5/2N3P1/PP2PP1P/R1BQKB1R b KQkq -,d7d6
r2q1rk1/1b2bpp1/pp5p/2ppP3/6nB/2NBP3/PPQ2PPP/2R2RK1 w - -,h4g3
3rr1k1/6pp/pq6/1b1P1p2/8/2Q2B2/5PPP/1R2R1K1 w - -,h2h4
3rr1k1/pb3p1p/3p1qp1/P1pPn3/1p2P3/1P4PP/3N1P2/1R1QRBK1 b - -,a7a6
r2b3r/5pk1/2R1b2p/1pBNp1p1/1P2P1P1/5P2/1K4P1/7R b - -,d8f6
rnbqkbnr/pp1p1ppp/4p3/2p5/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq c6,c2c3
R7/1r3ppp/1Pk1p3/2n5/8/8/4KPPP/8 w - -,a8h8
8/7k/6p1/7p/1p1N4/1P4KP/n5P1/8 w - -,g3f4
3r2k1/3q1ppp/rb2p3/1pB1P3/pP1P1P2/1bQP2P1/2N1KR1P/R7 w - -,c2e3
5rk1/3q2pp/1pp5/p1p5/2P4n/1PNPPbQ1/P2B4/5RK1 b - -,d7d3
2r3k1/1p5p/p7/2bR1p2/8/2P2N2/Pr4PK/R7 b - -,f5f4
r4rk1/5ppb/p2qpn1p/2ppN3/3P4/1NP2P1P/PP4P1/R2QR1K1 b - -,c5d4
5r2/pp1r1p1k/2np1bpp/3Q4/3pPB2/P7/1P3K1P/2R2B2 w - -,f1b5
2b3k1/2q1ppbp/2p1nnp1/1pPp4/1P1P1PP1/2NBPN1P/2Q5/2B3K1 w - -,c2a2
1r3k2/3np1bp/3pbpp1/8/1p2P2P/1PN1BP2/P1RKB1P1/8 w - -,c3b5
8/8/p7/3p1k2/1B1P2p1/1P2PnK1/8/8 b - -,f5e4
5r2/5k2/1b4R1/8/4PP2/5K1P/7P/3n4 w - -,g6b6
r2q1rk1/n3bppp/p3p3/Pp2P1N1/1PpP4/2P2RQ1/3B2PP/R6K b - -,h7h6
r2qr1k1/pn3ppp/1p2p3/1Nnp4/2P5/B1P1Q1P1/P2RPP1P/R5K1 w - d6,c4d5
6k1/q2b1ppp/pn1p1b2/1p1Pn3/1N2Pp2/PP6/2QNBBPP/6K1 b - -,a7b7
4r2r/1kp3pp/3p4/pN2p3/PP3Pn1/4Q1K1/2P3P1/R2R4 b - -,g4e3
r2q1rk1/2pnbpp1/p3pnp1/1p6/2BPP3/2N1BP2/PP2Q1PP/R4RK1 w - b6,c4b3
1r1qr1k1/R4pbp/3p2p1/1p1P3n/1P1NPP2/2NQB2b/6P1/4R1K1 w - -,d4c6
3q1bk1/1p5p/2rpnp2/pNn1p1p1/P1P1P3/1P2BP2/3Q2PP/1R1R2K1 w - -,d2c2
3rr1k1/p1q3p1/1pP2bp1/PP1pNp2/3Q1P1P/4R1PK/R7/8 w - -,a5b6
