8/p5kp/8/p4b2/2r1p3/4K2P/2P1R1B1/8 b - -,a5a4
8/5rk1/3pp2p/3q4/1P1P2Q1/5pPK/7P/2R5 b - -,g7h7
1r3rk1/7p/b1Bb2p1/p2Pp3/Np2P3/1R6/P5PP/2R3K1 w - -,b3f3
1n3r1k/6p1/3RQ2p/5p1q/8/P7/4R2P/6K1 b - -,h5g5
4n3/5pp1/1p1k3p/p2p3P/3P4/PP1KP1P1/6B1/8 w - -,e3e4
q3nrk1/2B2ppp/3Ppbn1/2p4N/1p2P3/1B3P2/1P3P1P/3QR1K1 b - -,f6d4
1qk3Q1/br5p/8/4PpP1/2Pp1B2/3P3P/6P1/1R4K1 b - -,c8d7
8/5rk1/1p6/3N2p1/p1P1n2p/4Np2/P7/3R1K2 w - -,d1d4
6k1/7p/3n1bp1/1pNq4/1P1p1P1P/3P4/4QKN1/8 b - -,g8f7
4r1k1/1pn2pbp/2pp2p1/6P1/1qP1PPb1/1P1QB1P1/r1R3B1/1R3NK1 b - -,a2c2
2k1r3/6Rp/1p1p4/2p2p2/5r2/4nB2/PP2PK1P/4R3 b - -,f4h4
r1bq1rk1/pp1n1pbp/2p1pnp1/8/3PP3/1QN2N2/PP2BPPP/R1B2RK1 b - -,b7b6
2r2k1r/p3bpp1/1pn2n2/2p1p1Bp/4N1qN/3P1QP1/PPP2P1P/4RRK1 b - -,g4f3
6k1/4r1pp/1p3b2/1B6/p7/6P1/Pn1N1P1P/2R4K w - -,d2f3
rn2qrk1/2B1ppbp/Bp4p1/1Q1p4/3Pn3/4PN2/PP3PPP/2R2RK1 w - -,b5e8
3r1rk1/p3q3/2p1b1pp/2p1p3/2P2p2/1P3NP1/P3PP1P/R1Q2RK1 w - -,f3e5
r1r3k1/1b6/5qp1/1p2pN2/4P3/p2B4/PPP4Q/1K1R4 w - -,f5h6
2r3k1/1pq2rp1/p2bpn1p/3p4/1Pn1P3/PQN3P1/5PBP/B2R1RK1 b - -,d5e4
6k1/6p1/p1R1pq2/Bp1nr2P/1P3p1P/5Q1K/P3PP2/8 w - -,c6c8
rn2r1k1/ppp2ppp/8/3q4/4b3/2Pn2P1/P1QB2BP/R4KNR w - -,g2e4
r4rk1/ppp1q1pp/4p3/2n5/1PQ1PP2/2N3P1/P6P/R4RK1 b - b3,c5a6
2rq1rk1/Bp1bpp1p/3p1bp1/8/4P3/5P2/PPPQ2PP/1K1R1B1R b - -,b7b6
2r2rk1/pp2b1pp/1qn1bp2/2p1p3/8/3P1NP1/PP1BPPBP/R2Q1RK1 w - -,d2c3
r7/1k6/1p4p1/p2p1p1p/P4P1P/3KP1P1/2R5/8 w - -,c2a2
3r1rk1/1pq1b1pn/2pp2np/p2Pp3/P3P3/1PNB2Pb/1BP1Q2K/3RR1N1 b - -,h3c8
r2q1rk1/pbp2pbp/3p2p1/2Q1P3/5P2/2N3P1/PP4BP/R1BR2K1 b - -,b7g2
3r1r1k/pb4pp/1pn5/3Bp3/2P5/P5N1/6PP/R3R1K1 w - -,e1e3
rn1qkb1r/pp2pppp/5n2/3p4/3P4/4PQ1P/PP3PP1/RNB1KB1R w KQkq -,f3d1:b1c3
8/3R4/6k1/p1P3b1/2N1p1P1/7P/PP3r2/3K4 w - -,c5c6
8/pk6/1pp3p1/5q2/2R2B2/1P3B2/P3K3/8 b - -,b7a6
8/4p2p/2kp4/r7/PR5P/3PK3/8/8 w - -,e3f4
5k2/5p1p/r2rBPpP/pp1p2P1/2pP1K2/2P1R3/PP6/4R3 b - -,f7e6
8/2p2k1p/p7/1p3n2/1P4R1/P1r2pP1/4nP1P/R3NK2 w - -,e1f3
8/8/8/p1Pk4/8/1P4p1/3n4/3B2K1 w - -,g1g2
2rnr1k1/1pp3bp/p3bpp1/3Np3/4P3/PP3N1P/1BP2PP1/3R1RK1 w - -,d1d2
r1b1qr2/1pp3bk/n2p3p/p1nPpP2/2P4P/2N1BN2/PP1QBP2/R3K1R1 b Q -,c8f5
4r1k1/3q1pp1/p6p/1p2P3/8/P1P4P/1P1R2P1/6K1 w - -,d2d7
r1b2rk1/pp2q1pp/3b1n2/3ppp2/8/1PQPPNP1/PB3PBP/R4RK1 b - -,e5e4
8/4kppp/R7/pr6/4P3/5K2/5PPP/8 b - -,g7g6
rnbqrbk1/1p3p1p/p2p1np1/2pP4/P3PB2/2N5/1P1NBPPP/R2QK2R w KQ -,e1g1
r2qk2r/2p1bppp/p3b3/1p1pn3/3B4/2P5/PPB2PPP/RN1QR1K1 b kq -,e5g6
2r2rk1/p4pp1/1p2pq2/2Pp4/3P1np1/PP3P2/3Qb1KP/B2RNR2 w - -,g2g1
1k6/p2Q4/1p3bpp/1P1P4/5P2/6P1/3NK1P1/q7 w - -,d5d6
B2q1rk1/5p2/p5p1/4p3/1p1n1bP1/6N1/PPPn1P1P/R2QR1K1 w - -,a8g2
rnbq1rk1/pp3pbp/3p1np1/2pP4/4PP2/2NB4/PP4PP/R1BQK1NR w KQ -,g1f3
r4rk1/p4pp1/2p4p/q2nRQ1P/1p1P2P1/5P2/PPP5/1KBR4 w - -,f5d3
5q2/k1Q5/3p2p1/2pP3p/2P5/7P/6K1/8 b - -,a7a8
r1b2rk1/1pp1ppbp/2n3p1/pq6/8/3P1NP1/PPQ1PPBP/R1B2RK1 w - a6,a1b1
6r1/1bk4p/1pp1p3/pP1pP1nN/P2P4/1qP1Q1P1/6BP/4RK2 w - -,h5f6
8/8/2n1k3/1pB3pp/1P3P2/5P2/1bN1K2P/8 b - -,g5f4
r2q1rk1/5ppp/2np4/p2Qp1b1/1pP1P3/5B2/PPN2PPP/R4RK1 b - -,d8b6
8/1b2kp2/p2np1p1/1p2p3/4P3/1PN2P1B/P1P4P/2K5 w - -,c1d2
r3r1k1/p5p1/4pnBp/3p4/2pP4/5P2/1P4PP/R4R1K b - -,e8b8
r2r2k1/p1qnbpp1/2p1p2p/1pP4P/3P1Nn1/3Q1N2/PP1B1PP1/2K1RR2 b - -,d7c5
r1bqkb1r/1p1n1ppp/2n1p3/p2pP3/3P4/5N2/PP1NBPPP/R1BQR1K1 b kq -,d7b6
r1bq1rk1/p3nppp/2pp4/2b5/3p4/P3P1P1/1P2NPBP/R1BQ1RK1 w - -,e2d4
r4rk1/3qn1pp/4b3/b2pPp2/PPp2P2/8/3B2PP/2RBQR1K w - -,b4a5
8/p7/1p2krQ1/1b1q1p2/8/BP1n2P1/P2R1P1P/6K1 w - -,d2e2
r2qr1k1/1bpn1pb1/p2p1np1/1p2p1B1/3PP3/2P2NN1/PPB2PP1/R2QR1K1 w - -,d1d2
7r/5pk1/4Pqp1/2R4p/8/2Q5/r4PPP/4R1K1 b - -,f6c3
r2q1rk1/4bppp/pp1p1n2/3Pn3/P4R2/1NP1B3/1P2B1PP/R2Q2K1 w - -,d1d4
8/1b4k1/pp3npp/8/2B1p2P/P7/1P2KPP1/3N4 b - -,b6b5
8/4nN2/4P1kP/6p1/6P1/3pR3/5r2/3K4 b - -,d3d2
5b2/1r4k1/2N3p1/8/1pK3P1/5R2/8/8 w - -,c6d4
3b4/6k1/1p4p1/2pPP3/p1Kn4/P2N4/1P3N2/8 b - -,g7f7
rn2kb1r/3p1ppp/p3p3/3q4/1p2Q3/1P4P1/1BP1NPKP/R4R2 w kq -,e4d5
3R4/1pk2p1p/p5p1/2P1pbP1/1PP1B3/P4n2/7P/1K2R3 b - -,c7d8
3r1q2/2rp1p1k/1p2p1pp/p1p5/P1Pb1P2/3P1BP1/1P1QRP1P/4R1K1 b - -,f8g7
1n2q1k1/r1b3r1/pNp1p2p/P1Pp1p2/1N1Pnp2/4P3/1R2Q1PP/4BRK1 w - -,e3f4
1n3rk1/q3bp1p/2p1p1p1/8/1PQ5/P2R2P1/4PP1P/3R2K1 w - -,e2e3
8/8/rN2p3/P1Rbk2p/7K/8/8/8 b - -,e5d6
2r1rnk1/8/1q1Pp1p1/3p1pN1/3P1Q2/1p1b3R/1P3PP1/5RK1 w - -,f4e5
8/8/4n3/R4pk1/7p/7P/7K/8 w - -,a5a8
8/1Q1r2k1/p3q1pp/1pp1P3/2n5/8/P4PP1/1B2R1K1 w - -,b7c8
r3k2r/pp1n1qpp/2p1p1b1/N2p2P1/3P1P1b/8/PPPBB2P/R2Q1RK1 b kq -,e8c8
2rq1rk1/pp1bbppp/2n1p3/3pP3/3Pn3/4BNP1/PP2QPBP/RN1R2K1 w - -,f3e1
8/8/1p1k2p1/p7/8/4R3/Pr3K1P/8 w - -,f2g1
r2q1rk1/pbpnbpp1/1p2pn1p/8/2BP3B/2N1PN2/PP3PPP/R2QR1K1 b - -,c7c5
8/4q1kp/1pp3p1/p1bpn1P1/P6P/1B4P1/2P3N1/5Q1K w - -,g2f4
2r2rk1/3q1p1p/2n1p1p1/ppP1P3/1P1p1P2/PQB1n1P1/6BP/R2R2K1 w - -,g2e4
r2qr1k1/pp1nppbp/2p3p1/8/2PPQ3/5N1P/PP3PP1/R1B1R1K1 w - -,c1f4
3r4/1p2qkp1/p3p2p/3pQ3/5P2/P3P2P/1PR3P1/6K1 b - -,d8d7
r2q1rk1/pp1bbppp/5n2/3p2B1/PnB5/2N2N2/1P2QPPP/R2R2K1 w - -,c3d5
r4rk1/pppq1pp1/1bnpb1np/3N4/1PB1P3/PQ3N1P/1B3PP1/2R2RK1 b - -,a8e8
r2r2k1/5ppp/1n2p3/ppbn4/5P2/4P1P1/PPN1K1BP/1R1RB3 b - -,h7h6
3R4/8/8/6p1/1pr3k1/5p2/5P1K/8 w - -,d8b8
rn2k2r/1bqp1ppp/pp2pn2/2b5/2P5/1PN1PN2/PBQ2PPP/R3KB1R w KQkq -,f1d3:f1e2
8/Q7/2P5/P2B2k1/r7/3K4/7P/8 w - -,a7g7
r2r2k1/pp2ppbp/nqp1bnp1/8/3PPB2/2NQ1N2/PP2BPPP/1R2K2R w K -,a2a3
r3k2r/pp1bp1b1/3p1n1p/5pp1/3N4/4P2P/PPPN1PPB/R4RK1 b kq -,a8c8
r1b1rnk1/1pq1bpp1/2pp1n1p/p3P3/P3P2N/2N1B2P/BPP2PP1/R2QR1K1 b - -,d6e5
1r4k1/R4ppp/2p1p3/4P3/6P1/2P4P/1b3PB1/6K1 b - -,c6c5
r1bq1rk1/pp4pp/2n1p2n/1NPpP3/8/5N2/PPPQ2PP/R3KB1R b KQ -,h6g4
r1b1k2r/1pp1bppp/p1q2n2/2p5/4P3/2N1B3/PPP1NPPP/R2Q1RK1 w kq -,f2f3
3r2rk/1p6/p1p1p3/2b1p1q1/4Pp1p/P1N4P/1PP1QPPK/3R2R1 b - -,c5d4
r1q1r1k1/1p3ppp/p1b1pb2/6B1/2PP3P/1B1Q4/P4PP1/2RR2K1 b - -,c8d8
4k3/5p1p/3P2p1/5p2/p2N4/4P3/5PPP/2b2K2 w - -,d4c6
4r1k1/2p4r/p2p2qn/1p1P3R/3Q1PP1/1P3B2/P4BK1/8 b - -,h6f7
7k/2pbB2p/p4ppb/4p3/8/6P1/PP3P1P/3R2K1 b - -,d7e6
4rbk1/p2q1r1p/1p2p1p1/1P2pp2/2PnP3/2NPBP2/5QPP/1R1R2K1 b - -,f8c5
8/1p4k1/p6p/P3NK2/8/8/6b1/8 b - -,g2h3
2q5/p3R1pk/1pb4p/4R3/3Pr2P/1P6/P1Q2P1P/5K2 w - -,c2d3
rnb2rk1/pp1p1pbp/4pnp1/1N6/3Nq3/2P1B3/PP3PPP/R2QKB1R w KQ -,b5c7
1k4rr/pp1bb3/1qn1pp2/3pPn1p/3P1Np1/1P1B2P1/PBN2P1P/2RQ1RK1 b - -,g8g5
6r1/1RR3b1/6pk/p4p1p/8/1P4P1/P4PK1/8 w - -,f2f4
2b1rr1k/1p4pp/p1n1pn2/2Rp4/3P4/P2BBN1P/1q3PP1/3QR1K1 w - -,d1a4
r1bqk2r/5p2/p3p1pb/2pnn2p/5P2/2N5/PP1QBBPP/2KR2NR w kq -,c3d5
r3r1k1/3bqpb1/pBppnnpp/4p3/P1P5/2NP1NP1/2Q1PPBP/1R3RK1 w - -,a4a5
r4Bk1/pp4bp/1q4p1/1N2p2n/2P1Ppb1/1P3NP1/P2Q1PBP/5RK1 b - -,a8f8
r2q1rk1/1p1nppb1/p1np2pp/3N4/2P5/4PN1P/PP1Q1PPB/R4RK1 w - -,a1c1
r1b1kb1r/pp1n1pp1/1q2pB1p/2pP4/4P3/5N2/PPQ2PPP/RN2KB1R b KQkq -,d7f6
r1bq1rk1/4npbp/p2p2p1/1pp5/3nPB2/3P2P1/PPPQ2BP/R2N1RNK b - -,c8e6
rn2kb1r/ppq1pp1p/2p2p2/8/3P2b1/5N2/PPP1BPPP/R1BQK2R w KQkq -,c1e3:c2c3:e1g1
2rqrnk1/1b3pbp/1p4p1/pP1p4/2pP4/2N1P3/1PQ2PPP/2BRRNK1 w - -,e1e2
5r1k/1p4p1/5b1N/pP5Q/P7/7P/5PPK/2r5 w - -,h6g4
8/8/k1K5/1R2N2r/8/8/8/8 b - -,h5h6
1k1r3r/ppp2p1p/1n2pnq1/6B1/2PP2R1/2Q2B1P/PP3PP1/R5K1 w - -,g4g3
r1bqn1rk/4bp1p/np1p2p1/p1pPp3/2P1P1P1/P1N1BN1P/1PB1QPR1/R6K b - -,e8f6
r4rk1/1bq2pbp/1np1p1p1/p2pP3/5B2/1PP1QN2/P1B2PPP/R3R1K1 b - -,c6c5
8/8/7k/3p3P/2p1b3/2P5/1KP3r1/R2B4 w - -,b2a3:a1c1
2r3k1/pp1q1ppp/3n4/4p1B1/3n3Q/6P1/PP3PBP/3R2K1 w - -,d1d4
r1q1r1k1/5pbp/6p1/1P6/P1n4B/8/1P1Q1PPP/R2R2K1 w - -,d2b4
r1bqk2r/pp1p1pbp/2n2np1/2p1p3/2P1P3/2N3P1/PP1PNPBP/R1BQ1RK1 b kq -,e8g8
1nr5/3n3k/4B1pp/1PP5/5P2/4P3/7P/2BR2K1 b - -,c8c7
r5k1/5q2/5P2/2p2Q1p/p2p4/1P1P4/P2p1K2/3R4 w - -,d1g1
1k6/8/pp5Q/4p1p1/2Pq4/1P6/2B5/1K6 b - -,d4g1
r1b2rk1/p3bppp/1pn1pn2/3q4/3P4/2N1BN1P/PP2BPP1/R2Q1RK1 b - -,d5d7
8/5pkp/4pbp1/8/5r2/R4N1P/5KP1/8 b - -,f4b4
rn2k2r/1q1pbpp1/pp2pn1p/6B1/Q1PN4/2N2PP1/PP2P1KP/R2R4 w kq -,g5f6
3q2k1/pp2bpp1/5np1/2p3B1/2p5/4Q3/PP3PPP/4R1K1 b - -,e7f8
2r1rnk1/1q2ppbp/p5p1/1p1b4/PPpPp3/2P1B2P/2QNBPP1/R2R2K1 w - -,a4b5
r1b2rk1/ppq2ppp/2n2n2/2p1p3/2BP4/P1P1PN1P/2Q2PP1/R1B1K2R w KQ -,d4e5
B1b2r1k/2qnb1pp/p4p2/1p2P3/3p1P2/P2P2P1/1PPB1Q1P/R4RK1 b - -,f6e5
8/8/4k3/1p3pp1/1P1B1p1p/3K1P2/r4N2/8 w - -,d4c5
r1kq4/pp1n1r1p/3QN3/1N3P2/3RP1b1/4n3/PPP3PP/2K4R b - -,d8b6
4k3/p7/6Rp/7P/1P3P1N/P4RK1/2r1rbP1/8 w - -,g3g4
1n4k1/3nbppp/b2p4/pq1Pp3/2p1P3/B1P2N1P/P1BN1PP1/5QK1 w - -,c2d1
8/5B1p/5pp1/p1k5/8/2K2PP1/1P4b1/8 w - -,f3f4
2r3k1/1qr1bppp/pn1p1n2/1p2p3/4P1P1/PP2QN1P/1BP1RP2/1NR3K1 b - -,f6d7
r2qr1k1/pbp2p1p/3p2p1/2p5/2P1P3/2Q2P2/PP2N1PP/4RRK1 b - -,d8e7
4r2N/p2bk1p1/4p1Qp/1pbpP3/n1p3PP/1nP1Bq2/RP3P2/1B2R1K1 w - -,g6g7
8/3kb1R1/6p1/2pKB3/6Pp/5r1P/8/8 b - -,g6g5
r4rk1/p2q2b1/1pnp1np1/1PpNppBp/2P1P3/PN1P1P2/6PP/1R1QK2R b K -,c6d8
1r2q1rk/Qp1b3p/1N1b2p1/2pPp3/4PpPP/2N2P2/1K2BB2/3R4 w - -,b6c4
2rqrnk1/5ppp/p3bn2/1pbp4/3N4/2NBPP2/PP3BPP/1Q1R1RK1 b - -,c5d4
r1b4r/pp1nkn1p/2p1p3/3pPp2/3P1N2/2N2P1B/PPP4P/2K1R1R1 w - -,g1g7
2r3k1/4b1pp/p1r1pn2/3pBp2/2pP4/PqN1PP1P/1P1Q2P1/2RR2K1 b - -,f6d7
r4k1r/3b2p1/1qpbp3/pP2Pp1p/5Pn1/3B4/1PPBQ1PP/R4R1K w - -,e5d6
1r6/1P1k1p2/1KR1p2p/8/4PP2/8/7P/8 b - -,f7f6
8/6K1/8/4pk2/2n4P/4p3/2N5/8 b - -,e3e2
r2qkb1r/ppp3pp/3p1n2/4p3/2B1P3/2N5/PPP1QPPP/R1B1K2R b KQkq -,d8d7
rnq2rk1/pp2ppbp/2pp1np1/8/2PP2b1/1P3NP1/PB2PPBP/RN1Q1RK1 w - -,f1e1:b1d2
5r2/2R2P1p/6pk/8/6P1/r5K1/1R6/8 w - -,g3f4
2bk4/8/7p/p1P1p1p1/r1B5/P1R1KPP1/7P/8 b - -,d8c7
3R1r1k/4p1b1/p6p/1p2p1qP/4B3/2P5/PP2QPP1/5RK1 b - -,f8d8
r2q1bk1/1p3rpp/1n1ppn2/p4p2/P1PP4/1PNQBB2/5PPP/2R2RK1 b - -,g7g6
r3k2r/1pqnppbp/p2pNn2/7p/4P3/2N1BP2/PPPQ2P1/2KR1B1R b kq -,f7e6
2r2rk1/2q1bppp/p2p4/Pp1Nn3/1P1RP3/1B1R1Q1P/5PP1/6K1 w - -,f3g3
4r1k1/5p2/1npb3q/p2p2Q1/P2P3P/4PP2/5BBP/2R3K1 b - -,h6g5
3rr2k/p4pbn/6q1/5P2/1pQN4/1N2p1PB/PP4KP/2R1R3 b - -,g6h5
r3k1nr/pp1qppbp/2np2p1/2p5/2P5/1PN2NP1/PB1PPPKP/R1Q2R2 b kq -,e7e5
