8/7p/6rP/Pk6/1P5K/8/3B4/8 b - -,b5a6
r1b1kb1r/1p4pp/p1p5/3BnpP1/8/7P/PPP1NP2/R1B1K2R w KQkq -,d5g2
rnbq1r1k/pp2b1pp/2p2n2/3p1p2/5B2/2NP1NP1/PPQ1PPBP/R4RK1 b - -,f6h5
rn2k2r/pp2bppp/2p1pn2/7q/3P1B2/2N2N2/PPP1QPPP/R3R1K1 b kq -,e8g8
r2q1rk1/p2b2bp/1pnNp1p1/2p1P2n/2Pp1P2/3B1NP1/PP5P/R1BQ1RK1 w - -,f3g5
r1bq1rk1/pp2bppp/3pp3/8/1n1Pn3/1B3N1P/PP3PP1/RNB1QRK1 b - -,d6d5
8/8/6p1/5p1p/3P1P1P/r5P1/4kBK1/8 w - -,f2g1
1k2r3/pp3p1p/1bp3p1/3nPB2/6Q1/3N2P1/1P3P1q/1K1R4 w - -,f5d7
2rq1rk1/1p1np1bp/p2p2p1/3Pn3/2PN1p2/4BP2/PP1QB1PP/2R2RK1 w - -,e3f4
rnbqkb1r/pp3ppp/4p3/2ppP3/8/2P1BN2/PPPQ1PPP/R3KB1R b KQkq -,b8c6
r3r1k1/p3ppbp/2p1b1p1/qp2P3/3P4/1PPBB2P/P3Q1P1/R4RK1 b - -,a8c8
1rr3k1/4qpbp/2p2np1/1p6/8/2B1P3/PQ2BPPP/3R1RK1 b - -,f6e8
6k1/5p2/1r4p1/p7/P5R1/1P4P1/5P1P/6K1 w - -,g4g5
3rb1k1/6pp/1p6/p1npN3/8/1P3PP1/P2R2BP/6K1 w - a6,f3f4
r1b1k2r/pp1n1ppp/2n1p3/3pP3/1b1N1P2/qRN1B3/P1PQB1PP/4K2R b Kkq -,a3a5
1r6/4bpkp/1p2p3/1B2P2p/PPPB1P1P/1R3KP1/r7/8 b - -,a2d2
5rk1/5pp1/1N2bn1p/p2p4/3Q4/P5PP/1P2qPB1/2R3K1 b - -,f6e4
2qr2k1/R4pp1/1Q5p/1p6/1Pb3PP/2N2P2/4PK2/8 b - -,d8e8
1r4k1/5pbp/3q2p1/Rp6/2pB4/2Pn1N1P/1PQ2PP1/6K1 w - -,b2b4
r1bq1rk1/1p2bppp/p1npp3/8/4PP2/3B1N2/PPP3PP/R1BQ1RK1 w - -,c2c3
5k2/R3pp2/3p2pp/2rP4/5PP1/2b4P/Pr4BK/5R2 b - -,c5d5
r3r1k1/1p2npp1/p2b3p/q2p4/8/2P1BN1P/PP2QPP1/3RR1K1 w - -,a2a3
r1b1r1k1/1pq2pbp/p2p2p1/2pPn2n/P3P3/2NB1N1P/1P3PPB/R2QR1K1 w - -,d3e2
8/7p/5p2/1p1k1p2/3P1P2/1PK5/7P/8 w - -,c3d3
r3r1k1/7p/p3p1pq/n1NnN1p1/3PR2P/P2R4/2Q2P2/6K1 w - -,e5g4
8/R6p/5pk1/3N4/2K1P3/6q1/8/8 b - -,g3f3
2r2rk1/1pq1ppb1/p4nn1/P2p1P2/1QpP2b1/2P3B1/1P1NB3/R4RKN b - -,c7c6
8/6pk/1pn3r1/5Q2/8/6P1/8/4K3 b - -,c6e7
3r1qk1/1pQP3p/3Rb1p1/4p3/4P3/5P2/PP6/1K5R b - -,e6f7
5rk1/4Rppp/p1p3q1/1p4P1/2nP1Q2/2P2NP1/P4PK1/8 w - b6,f3e5
2r3k1/R4p1p/3Q2p1/8/5pq1/6B1/7P/3R2K1 b - -,f4g3
2r4r/3k2p1/p2qp1Nb/2pp1n1Q/8/PP4PP/1BR2P2/4R1K1 w - -,g6h8
r2k4/p2n1p2/bp2rn1p/3p2p1/1B1Pp3/2R3PN/PP1KPPBP/4R3 w - -,f2f4
1nr5/R7/1Np1kp2/4p1p1/1P2P2p/2P2P2/4K1PP/8 b - -,c8d8
4n1r1/4R3/7k/n3pK2/4Pb1P/2N5/8/8 b - -,e8g7
4b3/1k5B/1b3Bp1/6P1/4p2P/P3P3/5K2/8 b - -,e8f7
2r4k/1q4p1/3p3p/3Pp1b1/QP4R1/5PP1/5BK1/8 w - -,b4b5
6k1/7p/7P/5PP1/5K2/3b4/1B6/8 w - -,f4e5
r2qk2r/pbppnpbp/1p6/3N1p2/2P3p1/1P1BP3/P2P1PPP/2RQK1NR w Kkq -,g1e2
2r1r1k1/ppp3pp/3p4/1b1P4/1B2PP2/PP1p1BP1/1b5P/2RR3K w - -,c1b1
3r4/1p5k/p1pPp2P/4Ppp1/1P1P4/1P5R/5K2/8 w - -,h3h1
2r3k1/5p2/p3pPp1/1p1r4/2n1N2R/P5pP/2P2R2/6K1 w - -,e4g3
2b1r1k1/2r2pp1/p2p1q1p/1p2p3/3PP3/1BP1QNPn/1P3P1P/R4R1K w - -,b3d5
2rqr1k1/1b1nbppp/1pp2n2/p2p4/3P4/2N1PNP1/PP3P1P/R1RQBBK1 w - -,f1h3
r3kbr1/1q1n1p1p/4pp2/1p6/3N4/8/PP3PPP/R1BQ1RK1 w q -,d1f3
r3kb1r/ppp5/2n1bq2/4p1n1/4P1Pp/4B2P/PPPQN1B1/2KR3R w kq -,e3g5
r3k2r/ppqn1ppp/2pb1n2/5P1b/3P1B2/2NB3P/PPPQN3/R3K2R w KQkq -,d2e3
r1b2rk1/p3pp1p/5bp1/1p6/8/5P2/PPP3PP/1K1Q1B1R w - b6,f1d3
8/5pk1/6p1/p1bP4/P5P1/1B3Q2/3q4/5K2 b - -,d2c1
8/1p6/2p2kPp/2P5/4pK2/P3p3/1P2P3/8 b - -,f6g6
r1bq1rk1/ppn1bppp/2n5/2p5/5N2/1PN1P1P1/P2P2BP/R1BQ1RK1 b - -,e7f6
2kr2r1/ppp1b3/2n1p1q1/4P3/1PPpQ3/P4Nn1/1B2PPB1/R2R2K1 w - -,e4g6
