7k/p4r1p/6p1/2p5/8/6P1/P6P/4R1K1 w - -,e1e8
r1bq1rk1/2pn2b1/1p1p2p1/p2Pp2p/2P1Pp2/2NQ1PP1/PP3BBP/R4RK1 w - h6,d3c2
4r1kB/q3b2p/2p2pp1/1p3b2/p1P1NN2/P1Q3PP/1P5K/5B2 w - -,e4f6
rnbqkbnr/pp2pp1p/6p1/3p4/2PP4/2N5/PP3PPP/R1BQKBNR b KQkq -,g8f6
2b1r1k1/3n1pp1/ppB2n1p/4p3/2P5/1N2B1PP/P3PP2/R5K1 b - -,e8e6
rq1r2k1/1p1nppbp/2p3p1/p7/Pn1P4/NP2P1P1/1B1N1PbP/1QR2RK1 w - -,g1g2
r1b1n1k1/p4r2/1p1p2nb/3Pp2p/1PP1P3/RQN2P2/2KNB1q1/R3B3 w - -,c4c5
r2q1r1k/ppp2bp1/3p2Qp/8/3bP1N1/3P3P/P1P3P1/1R3R1K w - -,f1f7
r4rk1/pp1bq1p1/3ppn1p/2p1n3/Q1P4B/P1N1P3/1P2BPPP/R4RK1 w - -,a4c2
2r3q1/3rk3/1Q2p3/3pPp2/3N3p/2P2R1P/3b2P1/6BK w - -,b6b4
3k4/2R3pp/p3pp2/Nn6/1p6/1P2PBP1/P4PKP/1N6 b - -,d8c7
2r1k3/5ppp/pb2p3/1p1n4/8/4PN2/PP1BKPPP/2R5 b - -,c8c1
1r3rk1/n2nppbp/3p2p1/qbp5/N2P4/1P1N2P1/1BQ1PPBP/2RR2K1 w - -,b2c3
5k2/r4p1p/1n2p3/p1Np2p1/Pp1P4/4PP2/5KPP/1R6 w - -,f2e2
r4rk1/5ppp/p2b4/1p1pq3/8/2PbBQP1/PP3P1P/RN2R1K1 w - -,b1d2
2rr2k1/1b1q1ppp/pp1ppb2/8/P1n1PB2/6PP/1PP1QPBK/1RRN4 w - -,c2c3
3r3r/pn5p/1p3bk1/5N2/3p4/5RP1/PP1B3P/5RK1 b - -,b7c5
r2qkb1r/pp1b1ppp/3ppn2/6B1/3nP3/2N2P2/PPPQ2PP/R3KB1R w KQkq -,d2d4
r1br4/1p2k1pp/p1n1p3/8/3pNP2/8/PPP3PP/2KR1B1R w - -,g2g3
r2q1rk1/1ppbppbp/p1np1np1/6B1/B2PP3/2P2N2/PP1N1PPP/R2Q1RK1 b - -,b7b5
8/8/4K2k/8/8/p7/Pb6/6R1 w - -,e6d5
4r3/3pr3/1q1pP1k1/1p1n1p1p/p4PpP/PPNR2P1/5QBK/8 w - -,f2d2
br2n1k1/5ppp/ppq5/8/P2B1PP1/1P1P2KP/2P2Q2/4R3 b - -,e8c7
6k1/pq4pp/1p2rp2/6n1/6Q1/1P4P1/PB3P1P/4R1K1 w - -,e1e6
rnb1k2r/1p2qppp/p3p3/2npP3/5P2/2N2N2/PPPQ2PP/R3KB1R b KQkq -,b8c6
r1r3k1/4qpbp/bn3np1/2p1p3/1p2P3/1P2NPP1/PBQ3BP/2NRR1K1 w - -,g2f1
r2q1rk1/pbpn1pp1/1p1bpn1p/8/3P4/3B1N2/PPPN1PPP/R1BQR1K1 w - -,d2e4
r2qkb1r/pp1b1pp1/2n1p1n1/2ppP2p/3P4/2P2NP1/PP3PBP/RNBQ1RK1 b kq -,d8b6
8/5k2/1pprpp2/p2n1p1p/3P3P/P5PK/1P1R1P2/3R4 w - a6,d2d3
7k/5Bp1/p2q4/R6p/P4Pn1/4Q3/4K3/8 b - -,g4e3
r1bqkb1r/1p1nppp1/p2p1n1p/8/3NP1P1/2N1B3/PPP1QP1P/R3KB1R b KQkq -,d8c7
r1bqk2r/3nbppp/p2ppn2/1pp5/3PP3/2P2N2/PPB1QPPP/RNB1K2R w KQkq b6,e1g1
2k3rr/1p3pB1/p3b3/3p3p/8/P2B3P/1PP3P1/3RR2K b - -,g8g7
r1bqkb1r/pp2pppp/2n2n2/2pp2B1/3P4/2P1PN2/PP3PPP/RN1QKB1R b KQkq -,f6e4:e7e6
r4k1r/2pbqn2/1p1p1pp1/p1nPp2p/2P1PP1P/2NN2P1/PP1QB3/2KR1R2 w - -,f1e1
r1bq1rk1/p2nppbp/2pp1np1/8/2P5/1P2PN2/PB3PPP/RN1QKB1R w KQ -,f1e2
4B1R1/1pk4p/4p1p1/2P5/4r3/3n1K2/6PP/8 b - -,d3c5
2r1k2r/1p3ppp/p1n1p3/3pP3/2nP3B/PNP5/1P3RPP/1R4K1 w k -,b1e1
r1bq1rk1/1p2bppp/2n5/p1n1p3/2PpN3/PP1P1NP1/1B3PBP/R2QR1K1 b - -,c5e4
2k1r3/1p1b3p/p2r2q1/2Qpp1P1/7P/2P5/PP3R2/2KR1B2 b - -,d7c6
3R4/5p2/4p1k1/1K4p1/3P2P1/8/8/6b1 b - -,f7f5
1br5/p4kp1/2N5/2p3p1/5p2/2P4P/bP3KPB/4R3 w - -,c6b8
5k2/2r1npn1/pr1pp3/6Pp/RPP2P1P/4N1K1/2N5/R7 w - -,a4a6
6k1/5p1p/p3b1p1/4p3/5rP1/2K4P/8/1R2R3 w - -,e1e3
6k1/8/6pp/Pr6/3p4/5P2/4K2P/R7 b - -,b5e5
3r1k2/1b1n2Rp/p2p3Q/2q1pp2/1p2P3/3B4/PPP4P/R6K w - -,g7h7
r1b1r1k1/1p1p3p/3q1np1/4p3/1p2P3/P2P1NP1/1B2QP2/2KR3R w - -,e2c2
3b2k1/pp1q1rp1/2n4p/3p3Q/3Pp2N/1PP3PP/5PB1/R5K1 w - -,c3c4
3q1rk1/p4r1p/2p1p1p1/2PpP3/P2R1PPP/1P2Q3/8/2R3K1 w - -,e3g3
8/5p1k/3n1R1p/6N1/8/3KP1P1/5r2/8 b - -,h6g5
2r1k2r/3bbpp1/pq1ppn2/1p4Bp/3NPP2/8/PPP3PP/1K1RQB1R b k -,e6e5
r1bqr1k1/1pp2pbp/3p1np1/p1nPp3/2P1P3/1PN5/P2NBPPP/R1BQR1K1 b - -,c8d7
1r2r3/1pR3p1/p1p3k1/3p2n1/1P1P1pB1/2P2K2/1P3P1P/6R1 w - -,f3f4
r1bqkbnr/1p1p1p1p/p1n3p1/2p1p3/2B1P3/2N3N1/PPPP1PPP/R1BQK2R w KQkq -,a2a4
r2q1rk1/1p1nbppb/2p1pn1p/p3N3/P2P4/1BP3N1/1P1BQPPP/R4RK1 w - -,a1d1
2rr2k1/pbq2ppp/4p3/2R5/3P4/4P2P/P2NQ1P1/3R2K1 b - -,c7e7
3q1rk1/1prnb1pp/p2p2b1/P2Ppp2/Q7/1NP1BB2/1P3PPP/R3R1K1 b - -,e7g5
rn1qkb1r/pp3ppp/2p1pn2/5b2/2P5/5NP1/PP2PPBP/RNBQ1RK1 b kq -,b8d7:d8d1
rnbqkb1r/ppp1pppp/3n4/3p4/3P3B/5P2/PPP1P1PP/RN1QKBNR w KQkq -,b1c3
5r2/pp5p/4BP2/3p2k1/P3b3/2r5/7P/R4RK1 w - -,a1d1
r1bq1rk1/3nbppp/1pn1p3/p1ppP3/3P3P/2P2NP1/PP2QPB1/RNBR2K1 w - a6,f3g5
r1b2rk1/2qnppbp/3p1np1/p1p5/1pPPP3/1P3N2/P1B1QPPP/RNBR2K1 w - -,c1b2
3r1nk1/5pb1/p2r2p1/4p3/1q2b1PN/2p1BB1Q/P4P2/R4K1R w - -,f1g2
6k1/4q1p1/4p3/8/P4Prp/1P2Q3/K4B1R/8 b - -,e7f6
8/PR6/7k/3r2p1/2K4p/5P2/1P4bP/8 b - -,d5a5
2r2rk1/p2bqppp/1p3b2/1R2p3/P1P5/4B1P1/1P2QPBP/R5K1 w - -,b5b3
r2rn3/1q2ppbk/2p1b1p1/ppPp3p/3P1B2/P1N1PPPP/1PQ3BK/3R1R2 w - -,c2f2
r2qkbnr/pb1p1p2/1pn1p3/2p4p/2P1P1p1/2N5/PPBP1PPP/R1BQNRK1 w kq h6,d2d3
r1bq1rk1/ppp4p/3p3b/3Pp3/1PP1Pn2/1QN2P2/P3BBP1/R1R2K2 w - -,c1c2
r3r1k1/1bpqbppp/p1np1n2/1p2p3/3PP3/2P2N1P/PPB2PP1/R1BQRNK1 b - -,g7g6
5r1k/ppp1p2p/8/6RK/8/2N1r2P/PP6/7R b - -,e3e6
5rk1/r4pp1/p2p3p/3PnN1Q/q1p1P2R/7P/1PK3P1/3R4 w - -,c2b1
8/5k1p/5Bp1/r1p3PP/2P1r3/1PK5/7R/8 w - c6,h5g6
r2qkb1r/p2n1ppp/np2p3/2ppP3/3P4/2P5/PP1NNPPP/R1BQK2R w KQkq -,e1g1:e2f4:f2f4
2k5/8/pp6/2p2pB1/2P1b1p1/PP4P1/3K4/8 b - -,c8d7
4rrk1/p2q3p/bpn1pbp1/3p1n2/3P1P2/5NP1/PP4BP/RNBRQ1K1 w - -,c1e3
8/4R3/8/2r5/3p2P1/3kp3/4bPBK/8 w - -,f2e3
8/4k3/7R/7p/3p4/6K1/2rNP3/8 b - -,c2d2
2q2rk1/7p/6p1/1Rb1Pp2/2pr1P2/5B2/6PP/1Q3R1K w - -,b5b7
r3kb1r/pp1n1ppp/1qp1p3/3nP3/6b1/1P1P1NP1/PB3PBP/RN1Q1RK1 b kq -,d7c5
r1bqk2r/pp1n2b1/2p4p/3p1ppP/3P4/2N1P3/PPP2P1B/R2QK1NR w KQkq -,d1d3
3r1k2/2R2p1p/4b1p1/1p2P3/1Pp1P3/2N3P1/5P1P/6K1 b - -,e6h3
r3k2r/1bpp2pp/p1n2nq1/2b1p3/1p2p3/PBP3N1/1P1P1PPP/RNBQ1RK1 b kq -,b4a3
2k5/p3R3/p1b5/2P1p3/1P6/2K5/8/8 b - -,e5e4
rnbqkb1r/1p2np1p/p3p1p1/2pp4/4P3/2N2NP1/PPPP1PBP/R1BQ1RK1 w kq -,d2d4
6k1/3nQ1b1/r2N2pp/qp2P3/2br1P2/P7/1P4PP/1BR2RK1 b - -,a6d6
1rb1rbk1/2q2p1p/p2p2p1/1p5B/Pn2PR2/1PN5/1BPQ2PP/R6K w - -,d2d4
r2b1rk1/ppp2ppp/2n5/1B2PbN1/8/5p2/PPP3PP/R1B2RK1 w - -,b5c6
b1r1k1r1/5qpp/p3p3/3p3P/p1nNP3/2P2P1Q/P1P5/K1BR2R1 b - -,e8e7
r5k1/3R1bpp/5p2/p3p3/4n3/P1P1P3/6PP/4R1K1 b - -,e4c3
r4rk1/ppq3bp/2p2np1/2P2b2/1P3p2/2N4P/P1QNBPP1/3RR1K1 w - -,c2b3
8/3r1k1p/N7/1p3p2/1P3B1P/2bN4/4KP2/8 b - -,d7e7
1rr3k1/1b2bppp/p2p2q1/4p3/1nP1P3/1P2BB2/5PPP/RQ2NRK1 b - -,e7g5
8/2n1bb2/2k2p2/ppp1pPp1/4P1P1/2PB4/1PN2K2/2B5 w - a6,f2f3
r1r3k1/4pp1p/3p1bp1/1q1P4/1p2PQ2/1P3N2/5PPP/1R3RK1 b - -,a8a2
8/p4kp1/2pP4/1p5p/3B2n1/1P2P3/P2K4/8 w - -,d4a7
1rbqk2r/4bppp/p1nppn2/1pp5/4P3/P1NPBN1P/BPP2PP1/R2QK2R w KQk -,c3e2
5rk1/3n1p1p/Br1P2p1/2p3b1/P3R3/8/5BPP/5R1K w - -,a6b5
4rrk1/1ppqnp2/p2p2pp/P2P4/3P4/2PB1Q1P/1P4P1/R3R1K1 b - -,g8g7
r2qkb1r/pb1nnppp/1p1pp3/2p3B1/3PP3/2PB1N2/PP3PPP/RN1QR1K1 b kq -,d8c7
7k/pp1b2bp/2n1pqp1/3p4/3P4/2N1P1P1/PP1Q2BP/6BK w - -,d2d1
r2q2k1/1b1nnrbp/p1ppp2B/1p3PpP/3P1PN1/P1N5/1PPQB1P1/R3K2R b KQ -,e6f5
r6k/2qBn1n1/p2b2b1/P1pPp2p/1pP1Pp2/3N1P1P/3NKBQ1/6R1 w - -,d7f5
r3kb1r/1bq2ppp/p2ppn2/2n3P1/1p1NPP2/3BBQN1/PPP4P/R3K2R b KQkq -,f6d7
4nr1k/2p4p/Q2p4/3Pp1R1/4Pp2/1P3q2/P6P/1K5R w - -,h1e1
N4b1r/pp2pppp/2k2n2/8/1Rn5/5P2/P1PB1P1P/4K2R b K -,c4d2
2kr4/1p4p1/2nbp1p1/P1P2p2/2P5/P4P2/r3B1PP/1R2K2R w K -,c5d6
r3k2r/1b1p1pp1/p3pn2/2q4p/1p2PP2/3B4/PPP1QNPP/R4R1K b kq -,h5h4
3r2k1/7p/1p2b1p1/p1q5/P2np3/1P1BN2P/2PR1QP1/6K1 w - -,d3c4
r2qkb1r/pp1nnppb/2p1p2p/3pP3/2PP4/1PN2N2/P3BPPP/R1BQ1RK1 b kq -,e7c8
r4rk1/1bqnbppp/p2pp3/p7/P3PP2/2N1BB2/1PP3PP/3RQR1K b - -,d7b6
3r4/8/1krpp2p/1p2p1pP/p3P1P1/P1P1RP2/1P3K2/4R3 w - -,f2e2
8/p4p2/1p1kp1pp/1Pp5/P7/7P/3K1PP1/8 w - -,d2d3
rn1q1rk1/p3bppp/b3pn2/1p1pN3/Q2P4/2N3P1/PP2PPBP/R1B2RK1 w - -,a4d1
k2r4/1p4p1/p4n2/3p1p2/PN1Rr2p/1P5P/6P1/1K3R2 w - -,b4c2
r2k3r/pppbqpNp/1nn1p3/3pP3/3P4/2NB4/PPP2PP1/R2QK2R w KQ -,d1g4
2r2k2/8/p7/1p1P1n2/1P3q1p/P6r/6P1/1Q1RR2K w - -,h1g1
1q1rrbk1/3n1ppp/2p3b1/1pn1pNQ1/4P2N/1PB3PP/2P2PB1/R4RK1 w - -,f1e1
5r1k/r5bp/1p4p1/p2P1p2/5q2/P4B1P/1PQ3P1/1R1R2K1 w - -,c2d2
r2q1rk1/1p2ppbp/1np3p1/p7/Pn1P3B/2N1PB1P/1P3PP1/R2Q1RK1 b - -,d8d7
1r4k1/5pp1/4pnp1/3p4/2qN4/4P2Q/2P3PP/5RK1 w - -,f1a1
r3k2r/pb1n1p2/2pbpn1p/qp4p1/3PP2B/2NB1N2/PP3PPP/R2Q1RK1 w kq g6,h4g3
r2q1rk1/1p1nbppp/p2p1n2/2pPp2b/2P1P3/P1NBBN1P/1P3PP1/R2Q1RK1 w - -,b2b4
r1q2rk1/p2pbppp/1pb1p3/7n/2P5/2NQB1P1/PP2PPBP/R4RK1 b - -,c6g2
1nr2r2/p3pPkp/2p4B/4N3/1p1Pq3/1Q6/PPP2PP1/2KR4 b - -,g7h6
r2q1rk1/pb2bppp/2n2n2/2pp4/8/P1N1PN2/1P1BBPPP/RQ3RK1 w - -,f1d1
2r5/1r1k1p2/1p2p3/p2p1p1p/R2P4/1PPK2P1/1P3P1P/R7 w - -,b3b4
r1r2nk1/pp3pb1/2p1p1p1/q2nP1B1/2BP3Q/8/NP3PP1/R2R2K1 w - -,c4d5
4n3/R1R3rp/5k2/2pP1p2/2P2P2/4pKPP/4B3/8 b - -,g7c7
r1bqr1k1/1pp2pbp/6p1/1Np5/1nP1PP2/1P4PP/4N1B1/1R1Q1RK1 w - -,d1d8
8/7k/6pp/8/5P2/2b4P/4Q1PK/q3N3 b - -,a1e1
8/1R6/3rpkp1/1P3p2/7P/4R1P1/1r3PK1/8 b - -,d6d2
r2q1rk1/1p2bppb/p3p2p/2PpN3/1P2n2B/1NP5/P4PPP/R2QR1K1 w - -,h4e7
rnb1k2r/ppq1ppbp/5np1/8/3P4/2N2N2/PP2BPPP/R1BQK2R w KQkq -,e1g1
6n1/5pk1/8/7p/3R2pP/r2P2K1/3RBPP1/2r5 w - -,f2f3
rn1qkb1r/pb3ppp/1p1ppn2/2p5/3P4/1P1BPN2/P1PN1PPP/R1BQ1RK1 b kq -,f8e7
3r4/pb1nrkb1/1pp4p/3p1pp1/P2P4/3NB1P1/1PR1PPBP/4R1K1 b - a3,f7g6
rn1qkb1r/pb1p1ppp/8/1Ppn4/4P3/8/PP3PPP/R1BQKBNR w KQkq -,e4d5
r2q1rk1/pp3ppp/2pbp3/5N2/3Pn3/2n1P3/PP1BBPPP/R2QR1K1 w - -,b2c3
r1bqk1nr/ppp2pbp/2np2p1/8/2BNP3/2N5/PPP2PPP/R1BQK2R w KQkq -,d4c6
rnbqkbnr/pp3ppp/2pp4/4p3/2PP4/6P1/PP2PPBP/RNBQK1NR b KQkq c3,f7f5
5R2/5p2/p2p2p1/1pnPp3/4P1P1/1P3Pk1/P7/1r3BK1 w - -,f8f7
8/4q2k/6pp/P1bPp3/4Pp2/1rrB1P1P/4Q1P1/R2R3K b - -,c5a3
2Rr3k/1p5p/p6P/4p1p1/P7/1P4P1/5P2/5K2 w - -,c8d8
3rr1n1/1b2ppkp/pp1p2p1/2qPn3/P1PNN3/1P2R2P/3Q1PP1/4RBK1 b - -,c5c8
rnbk3r/ppp5/3bpq1p/3pN2Q/3P2pP/2N3p1/PPP2PP1/R3KB1R w KQ -,e5f7
r3brk1/pp4pp/8/3pN3/2pPp2q/2P1P2P/PP2QP2/1K3R1R b - -,e8h5
r4rk1/pp1bppbp/n5pn/1Np1P3/P1B2B2/2P4P/1P1N1PP1/R3K2R b KQ a3,d7c6
rnbqkb1r/5ppp/p2ppn2/1p6/3NP3/2NBB3/PPP2PPP/R2QK2R b KQkq -,c8b7
1r6/5pbk/4p1p1/pp1pP1qp/2rR4/P1P4P/1PN1RPP1/4Q1K1 b - -,g7f8
rnbqk2r/ppp1ppbp/6p1/3N4/2PP4/4P3/PP3PPP/R2QKBNR b KQkq -,c7c5
r2qr1k1/pp2bppp/5n2/2Pp4/1P6/P2BQP1b/3B1P2/RN2R1K1 w - -,e3d4
r1b1k2r/pp1p1npp/2p5/3P4/4Pp2/2N1b2N/PPP3PP/1K1R1B1R w kq -,g2g3
r3kb1r/ppp1pppp/2n2n2/5q2/2BP2b1/2N2N2/PPPB1PPP/R2QK2R w KQkq -,d4d5
2b1kb1r/1r3ppp/p3pn2/1p1P4/1n6/1NN2PB1/PPP3PP/2KR1B1R b k -,f6d5
1kb2r1r/2pR4/1p6/p1p1q3/P3Pp1p/1BP2P1Q/6P1/3R3K w - -,b3e6
1r6/p3kppp/4pb2/2pR4/1PN5/2P5/P3KPPP/4R3 b - -,e6d5
2r2rk1/2q1bppp/np1N4/pnppP3/8/PP1P2P1/1B1N1P1P/Q2RR1K1 b - -,b5d6
2r2r2/pp3kq1/5p2/3P1p1p/3Pb3/PP5P/1B1Q2P1/2R2RK1 w - -,b3b4
rn3rk1/p3q1pp/1p1p1n2/2pPppB1/2P5/P1P3P1/3NPPKP/R2Q1R2 b - -,b8d7
2br1rk1/8/ppqppn1p/5p2/P1P2P2/1PN4P/5QP1/1BR1R1K1 b - -,g8f7
r4r2/2p2kp1/1bp1q2p/4Pp2/3P1Q1P/4BP2/5P1K/R4R2 w - -,a1a8
8/4b1pp/4k3/2p1pp2/1p6/1P1P2PP/5P2/3N1K2 b - -,e7g5
4r3/4p1kp/1p1p4/3Pq3/p1Rn1p1Q/P2B1P1P/1P4P1/6K1 b - -,e5e3
r1r3k1/3bbp1p/p1qp1np1/1p2p3/PPN1P3/2P2N1P/2B2PP1/R1BQR1K1 b - -,c6c4
3r2k1/p2r1ppp/4b3/2b1P3/3P4/4Q1P1/PP3P1P/3R2K1 w - -,g1g2
r1bqr1k1/pp1n1pbp/3p1np1/8/7Q/2N2N2/PP1PBPPP/R1B2RK1 b - -,d7c5
rnb1qrk1/pp2p1bp/2pp1np1/3P1p2/2P2N2/2N3P1/PP2PPBP/R1BQK2R w KQ -,e1g1
r1bqkbnr/1p2pppp/p1n5/3p4/3P1B2/2N1P3/PP3PPP/R2QKBNR b KQkq -,g8f6
r4rbk/1p4pp/1qp1p3/p1bnP3/P6P/5NP1/1P1BQP2/2RR1BK1 w - -,d2e1
7r/pp3k1p/2n2n2/3r1pp1/3p4/5P2/PPPKN1P1/R4RB1 w - -,a1d1
8/6k1/3R4/5KP1/1r3P2/8/8/8 b - -,b4b7
1n4k1/R2bR2p/1p3rp1/1P6/P7/7P/5PP1/6K1 w - -,a7d7
8/k7/p1R2p2/2p3p1/6P1/7r/4K3/8 w - -,c6f6
3rk2r/1p2bpp1/p1q4p/N2bp3/6P1/3Q1P1P/PPPB4/2KR3R b k -,c6a4
r2r2k1/5ppp/pq2p3/4P1P1/b1pP1P2/6R1/PP1Q3P/1BK4R w - -,h1g1
2r2rk1/1pq1bp1p/p5p1/3p3n/P7/4BP2/1PPNQ1PP/R2R2K1 w - -,c2c3
3rk2r/p3ppbp/1p3np1/2p1R1B1/8/2PQ4/PP3PPP/RN4K1 b k -,d8d3
r4rk1/1bpn2pp/p2p2q1/1p2ppB1/1P2P3/2PP3P/1P3PP1/R2QRNK1 w - -,g5h4
r1b2rk1/ppqn1ppp/2p2n2/4p3/1bBP4/1PN1PN2/P1QB1PPP/R4RK1 w - -,a1e1
3q2k1/2p2p1p/1rBb2p1/3P3r/1p2Pp2/5P2/PP3QPP/2R2RK1 w - -,f1d1
6r1/4k3/1p2p3/p1b5/P1P1P3/1P1R1N2/8/5K2 b - -,g8g4
1r1k4/p5pp/1p3p2/P1P1p1q1/3rBnP1/1R1PQ2P/5P1K/1R6 w - -,a5b6
3rr1k1/pbq2pp1/1n2p2p/3p4/2pP1P2/2P2NP1/PP2Q1BP/1R2R1K1 b - -,b6d7
r2qr3/5pp1/p1nk1n1p/2pb4/3p1P1N/6P1/PBPPQ1BP/R3R1K1 w - -,e2f1
1rbq1rk1/3npp2/1n4pb/1BpPP1N1/7p/1PN4P/2PQ2PB/R3R1K1 w - -,h2f4
r2kn3/1bp2R1r/1p6/3Pp1bp/2q1P3/2N3P1/P4QPN/5RK1 b - -,h7f7
r1bq1rk1/4bppp/p4n2/1pppN3/3n1P2/2NP4/PPP3PP/R1BBQRK1 w - -,c1e3
3rnr1k/1pqbb1pp/p7/3BPp2/P4Q2/4B2R/1PP3PP/R6K w - -,f4f3
r2q1rk1/pp1nbpp1/2p1pn1p/3pNb2/2P2P2/1P1P2PP/PB2P1B1/RN1Q1RK1 b - -,d7e5
4k3/6n1/3Q2p1/2p2p1p/2B3P1/2P1P2P/6PK/4q3 w - -,d6g6
5rk1/ppp3bp/2nq2p1/3b4/6QN/3PB1P1/PP4BP/R5K1 w - -,g2d5
rn1qk2r/ppp1ppbp/3p1np1/3P4/2P1P1b1/2N2N2/PP2BPPP/R1BQK2R w KQkq -,e1g1
2r3k1/5pp1/Rnr1p1bp/8/2BQ4/1P3P1P/P5P1/6K1 b - -,e6e5
2r2r1k/p1R2Bpb/8/2Q1p1qp/8/5P2/P2p2PP/3R1K2 b - -,c8d8
3r1k1r/pp3p2/2p2bp1/3qNp1p/3P1Q2/1PP1R3/P4PPP/4R1K1 b - -,f8g7
r2qr1kb/1p2pp1p/3pnP2/p2N2PQ/4PR2/1P6/1PP4P/R5K1 w - -,f4h4
r2q2k1/ppr2ppb/4p3/3pP2P/n2P4/2P3Q1/4BP1K/2R1N1R1 b - -,d8f8
4rqk1/bpp2pp1/p3b1np/3rpN2/3P2P1/2P1B3/PPB2PP1/2QR1RK1 w - -,c2e4
r1b1k2r/ppqnppbp/2p2np1/3p4/3P4/3NP3/PPPNBPPP/R1BQ1RK1 b kq -,f6e4
3r4/2nr4/p1q1k1p1/Pp1pPp1p/1Pp2P1P/4BBP1/3R2Q1/4RK2 b - -,c4c3
r1bqk2r/3nppbp/pP1p1np1/2pP4/8/2N5/PP1NPPPP/R1BQKB1R w KQkq -,e2e4
r2q1rk1/1p2bpp1/p1npbn1p/4p3/P3P3/2N1BN1P/1PPQBPP1/R4RK1 b - -,a8c8:d6d5
8/5pk1/6p1/2bpp2p/3qP2P/3B2P1/P1Q2PK1/8 w - -,e4d5
r4r1k/1p1QR3/6p1/p5Pp/2P5/1P6/5qB1/4R2K b - -,f2h4
4r1k1/p4pp1/2pr1q1n/2N1nP2/1P1pPR2/3B3Q/P6P/6RK w - -,h3g3
r1b2Q2/1p1p3p/p1n1kpp1/3p4/5BN1/2q3P1/P1P2P1P/5rK1 w - -,g1f1
r4r2/p5pp/3kpp2/Pp1n4/2pP4/1PR1PN2/5PPP/R5K1 w - -,c3c2
