8/1RP5/1P4k1/4b3/4pp2/2r2p2/8/5NK1 b - -,e4e3
1qr2rk1/1p1nbppp/p3pn2/B7/2N2P2/4P3/PP2BP1P/1QRR2K1 b - -,b7b6
6k1/1p2b1pp/p3p3/2p1Pn2/2P2P2/1P2R3/P1R4P/7K b - -,f5e3
r1bq1rk1/pp1nbpp1/4pn1p/2pp4/2PP4/1P1BPN2/PBQN1PPP/R3K2R w KQ -,f3e5
3rr1k1/q4pbp/1pn3p1/1Np1P3/3n1P2/p3B1PP/PP3QB1/3R1RK1 b - -,a7a4
r2qk2r/3nbppp/p1bppn2/1Pp5/4P3/1QPP1NP1/1P1N1PBP/R1B2RK1 b kq -,a6b5
5bk1/p3pp1p/qp4p1/2n1PP2/8/P1N1Q1PP/1P3RBK/r7 w - -,f5g6
r4r2/p4pk1/R4np1/1p4Q1/3qP3/1B2BP1P/4n3/5RK1 w - -,g1f2
2rr2k1/pb2bpp1/2p1p2p/qpn5/3P4/P2BPN2/1PQ2PPP/2RR2K1 w - -,d4c5
8/4k3/5Rp1/p1r3P1/2p3K1/2P5/P7/8 b - -,c5e5
2r3k1/pp5p/6p1/3pp3/1N4P1/2n1R3/4B3/4K3 b - -,e5e4
2r3k1/6p1/4bp2/2n5/q1PR4/P1R2P2/1B4PP/K3Q3 b - -,e6f7
r1b5/4qpbk/1r1pnnpp/p1p1p3/2P1P3/BP3NNP/P2Q1PP1/1R1R1BK1 w - -,f1d3
4kb1r/pp4p1/2n2p2/5q1p/1P2p3/2PrP1BP/1P2NPP1/RQ2K2R b KQk -,h5h4
4k3/1Q5r/5B1p/b1P3p1/8/4P3/PPK3PP/7q w - -,b7h7
r1b1k1nr/pp3p2/2n1p1pp/3pP3/q1pP3P/P1P2N2/2PBBPP1/R2QK2R b KQkq -,c8d7
8/1R6/1Bp5/P3pkp1/2B5/6n1/3K4/r7 b - -,g3e4
rq1r2k1/4npp1/p3p2p/1p6/4P3/1BQ3N1/PP3PPP/2R3K1 b - -,e7g6
r1b4r/pp3Q1p/3Np1pk/4q3/8/2bR4/PPP3PP/1K5R w - -,d3h3
2kr4/R4p2/1p1p1q2/2pP3p/3PPnr1/5Q2/6PP/4RB1K b - -,f6d4
1q6/5pk1/1Q2pn1p/1B2b1p1/2P5/5PP1/5BKP/8 b - -,b8a8
1rbq1rk1/2p2pbp/p2p1np1/np1Pp3/2P1P1P1/2N1BPN1/PP1Q3P/2KR1B1R b - -,c8d7
8/8/8/2b1k1p1/B7/3bPPN1/5K2/8 b - -,c5a7
r1bqr1k1/1pp3pp/p1pb1p2/4N3/4P3/1P6/PBPN1PPP/R3QRK1 b - -,d6e5
1rbqrnk1/2n1bppp/pp1p4/2pPp3/P1P1P1P1/1PNB3P/2QB1P2/R3NRK1 b - -,f8g6
2R5/5pk1/4p2p/5p2/8/4PK2/r5PP/8 b - -,e6e5
rn2k2r/ppp2ppp/8/4P2b/3Qp2q/2P2N2/P1P1K1PP/R1B2B1R w kq -,e2e3
2rr2k1/1R3Rpp/1p6/p2p4/P4B2/6P1/1b3P1P/6K1 b - -,c8c4
8/3b2pk/2p3q1/2Pp1nQp/3Pp3/4P2P/N5P1/5NK1 w - -,g5g6
8/8/5k1p/3R4/2pP1K2/2r2P2/8/8 w - -,d5d6
r3n1k1/p5R1/1p1p1n2/1N1Pp2p/1RP1Pp2/5P1b/P3B2N/7K b - -,g8g7
3q1k2/1p4pp/2p1np2/pP2p3/P1P1P3/1B2PP1P/2Q3K1/8 b - -,e6c5
rn1q1rk1/pbp1bppp/1p3n2/3pN3/3P1B2/2N1P3/PP3PPP/R2QKB1R w KQ -,f1d3
r2qkbnr/5ppp/p1ppp3/8/4P3/8/PPP2PPP/RNBQR1K1 w kq -,c2c4
8/Q4pkp/p3pq2/8/P2P2p1/6P1/5P1P/6K1 w - -,a7a6
2r1kb1r/3b1ppp/p3p3/4N3/2pnP3/1P2B3/1P3PPP/2RR2K1 w k -,d1d4
5rk1/1b3p1p/p1p2p2/1p6/4PP2/1BP5/P2r2PP/3R1R1K b - -,f8d8
4r3/1p3kp1/p1p2n2/1q5p/3P1P2/2B2PR1/PP2r3/R4QK1 w - -,g3g5
4r1k1/4rpp1/2p2n2/1pPp1qnb/pP1P3p/P1N1PP1P/K2BBQ2/5R1R w - -,a2b2
r1b2rk1/p1qnppbp/1p3np1/2Pp4/1P6/Q3PN2/P1P1BPPP/RNB2RK1 w - -,c5b6
2r5/1p2k2p/p3b3/B3pp2/3b4/P6P/1P2BPP1/3R1K2 w - -,a5b4
1r6/p2k3p/3P2p1/1p1Bnbn1/1P2pR2/4P2P/P1P5/2KR4 w - -,h3h4
r3kb1r/1nq2ppp/pp2p3/4B3/4P3/2N5/PPPQ1PPP/3RR1K1 b kq -,c7c6
8/7R/2pk2rp/8/2KPP3/8/8/8 w - -,h7f7
r1bq1rk1/1p3ppp/2n2n2/p1bp4/8/P1NBPN1P/1P3PP1/R1BQ1RK1 b - -,c8e6
r1bq1rk1/1p2ppbp/p1np1np1/8/3NP3/2N1B3/PPP1BPPP/R2Q1R1K w - -,f2f4:a2a4
1r3rk1/p2q2bp/1p1P2p1/4ppN1/1P1n4/2nQB1PP/P4PB1/1R1R2K1 w - -,e3d4
8/5pK1/3k4/p1p4P/1p6/1P3r2/1PR2P2/8 b - -,f3b3
2rrk3/1p1n2pp/p3bp2/4p3/1PP1PP2/3BK1P1/1B5P/2RR4 b - -,e5f4
2r2rk1/3n3p/4p1p1/p2b1p2/1bNP4/1PNBP3/5PPP/2R2RK1 w - -,c3a4
r1b1k2r/pp1n1pbp/1q1p1np1/1NpP4/4PB2/3B1N2/PP3PPP/R2QK2R b KQkq -,e8g8
r1bqk2r/p1pn1pb1/1p1p1n1p/3Pp1p1/4P3/2N2PB1/PPPQB1PP/R3K1NR w KQkq -,g3f2
3r1rk1/1b4bp/pqn3p1/1p3P2/3pB3/PP1Pn1N1/R6P/1NBQ1R1K w - -,c1e3
2r1kb1r/Qbq2ppp/1pn1pn2/1Bp1N3/2PP4/8/PP3PPP/RNB2RK1 b k -,f8d6
6k1/pp3p1p/6p1/2P2b2/PP6/3r4/1K2R1PP/8 b - -,f5e6
8/pp4p1/2b1Pk1p/5P2/2n3P1/8/PP3K1P/5R2 w - -,b2b3
2R5/p4rp1/8/3k3P/2p3P1/4K3/8/8 w - -,c8d8
5rk1/p1qnbppp/1pr1p3/n2pP3/1P1P1N2/3Q1N2/P1RB1PPP/2R3K1 b - -,c6c2
r1bqk2r/3nbp1p/2p1p3/1p2P3/4N1p1/5N2/PP3PPP/R1BQ1RK1 w kq -,c1g5
8/3rk2Q/4p3/pP6/8/5P2/4r1PK/8 b - -,e7d8
q5k1/2p1rpbp/2Pp1np1/1p4N1/P1QB4/7P/5PP1/3R2K1 w - -,a4b5
1r3rk1/p3q2p/b2p2p1/2nP1pN1/Pp1Q1P2/2p3P1/1P2P1BP/3RR1K1 w - -,b2c3
