8/p7/6k1/2pn4/2p2PK1/2P5/P7/3N4 w - -,g4f3
2r5/5p2/1prkp3/pR1p1P1p/P2P2pP/1PPK2P1/8/2R5 b - -,d6e7
6QQ/1p6/3K4/2pP4/2P5/1k6/5q2/8 b - -,b3c4
r3r1k1/1bq2pbp/pp1p1np1/2pPp3/P1B1P3/1RN5/1PP2PPP/2BQR1K1 w - e6,d5e6
1rbq1rk1/p4pp1/2pb1n1p/3p4/5B2/1PNB1Q1P/P1P2PP1/3R1RK1 b - -,d6f4
rnbq1rk1/pp4pp/2p2p2/3nN3/2BP4/2N5/PP1Q1PPP/R3K2R w KQ -,e5f3
R4rk1/2qb1p1p/3bpPp1/1p2p1Pn/2B1P3/3P3Q/1PP1N2P/2B2RK1 b - -,f8a8
rn1q1rk1/pb2bppp/1p1ppn2/8/2PP4/P1NB1N2/1P3PPP/R1BQR1K1 b - -,b8d7
6k1/2p1Qpp1/6r1/rp2P3/2bq1P2/P5B1/6PP/R3R2K b - -,a5a6
b1rr2k1/1q2bpp1/p1n1pn1p/1p6/1P1P4/P1N1BN1P/4QPP1/1BRR2K1 b - -,e7f8
r6r/p3kppp/2p1b3/3n4/4N3/6P1/PP1RPP2/4KB1R b K -,d5f6
6k1/pq1b1p1p/6p1/2p1p3/2P5/4P1PP/P2P1PBK/8 w - -,g2b7
b1rr2k1/4qppp/p2pp3/n7/2PRPP2/P2Q1B2/4N1PP/1R5K b - -,a5c6
2r1k3/1p1r1ppp/p2Bp3/2Pn4/P2P2P1/1R3P2/5K1P/3R4 w - -,d6e5
2r5/2rbq1k1/3p1pp1/3Pn3/2pQP2p/4B3/4B1PP/2R2R1K w - -,d4b6
r3k3/pp2bp2/2pp1np1/4p3/2B1P2r/2NPBP1b/PPP4P/R3R1K1 b q -,f6d7
3r4/5pk1/1p2n1bp/p1prP1p1/P2p2PP/1P3PK1/2PB1R2/1B2R3 b - -,d8e8
8/7R/p3pk2/1pP5/1P1K1P2/P7/r6p/8 w - -,c5c6
r2r2k1/1pqnbpp1/p3p2p/Pnp1P3/2NPQ3/5N2/1P3PPP/R1BR2K1 w - -,e4g4
6k1/1pp2pp1/1b2r2p/8/Q3P1b1/2P4P/P2q1PP1/R4RK1 b - -,g4e2
R7/8/8/2pk1p2/P2b1P1p/4pK1P/6R1/r7 b - -,d5c4
r2qkb1r/pp1n1ppp/n1p5/4pb2/P1NP4/2N2P2/1P2P1PP/R1BQKB1R w KQkq e6,e2e4:c4e5
r1bq1rk1/4bppp/2n1pn2/p1ppP3/1p6/2PP1NP1/PPQN1PBP/R1B1R1K1 b - -,f6e8
