8/1pR1rpk1/1P3r1p/3R4/4P3/8/6K1/8 b - -,e7e4
rn3rk1/p5pp/2pPbq2/2Q1pp2/8/P1B3P1/1P2P1BP/R3R1K1 b - -,b8d7
2q1nrk1/2pbb1pp/1p1p4/3Pp3/1PP2B2/1QN2N2/4BPPP/5RK1 b - -,f8f4
8/B7/2p5/P4kp1/1Rb5/2r5/6P1/6K1 w - -,b4a4
2r1r1k1/7p/1R1n2p1/3P4/4NP2/7P/8/4R1K1 b - -,d6e4
rnbq1rk1/pp2ppbp/2p2np1/4P3/2QP4/2N2N2/PP3PPP/R1B1KB1R b KQ -,f6d5
r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/2N5/PPPPNPPP/R1BQKB1R w KQkq -,g2g3:d2d4:d2d3:h2h3
8/6k1/4R1p1/1rpN4/3b1KpP/1r6/8/4R3 b - -,b3f3
r5k1/1b3r1p/pn2p1pQ/1p2Pp2/2pq4/P1Np4/1P2BPPP/3R1RK1 b - -,d4e5
8/pb6/3k1p1p/1P6/3KB3/5P2/P6P/8 b - -,b7c8
r4rk1/pB1nqpp1/1p2b2p/2pp4/3Pn3/2N1PN2/PP3PPP/2RQ1RK1 b - -,e4c3
3r2k1/p3q1pp/4p3/1p2PP2/2p3P1/2P1Q3/PP5P/5RK1 b - -,e6f5
8/8/8/2pk4/3p4/PB1K4/2r5/8 b - -,c5c4
r3kbnr/p1pq1ppp/np2p3/3pP3/3P3P/P1N2N2/1PPB1PP1/R2QK2R b KQkq h3,c7c5
r2q1nk1/pbp1brpp/1p3p2/3p4/3P4/PP1BPN2/1BQ2PPP/R1R3K1 b - -,c7c5
6k1/8/2n1p3/3pP1PK/P2n3P/B3RP2/8/6r1 b - -,g1h1
6k1/6pp/8/1pR5/p7/5PK1/1r3n1P/8 w - -,c5c8
2rq1rk1/pb2bppp/1p1ppn2/4n3/2P1PB2/2NB3P/PPN2PP1/R2Q1RK1 w - -,c2e3
8/4Bpk1/8/1p2P1P1/2p1K1b1/P1P5/8/8 w - -,e7f6
r1b2rk1/pp4pp/2nq1n2/3pp3/3P4/1P1B1NN1/P4PPP/R2Q1RK1 w - -,d4e5
8/3n4/1p3k1p/p1pPp3/P1N1P2K/1P6/6P1/8 b - -,f6g6
r3r2k/2b1qp1p/2p1b1p1/pp1nP3/3PN3/5N1P/PP3PP1/2QRRBK1 b - -,e8c8
1rbq1rk1/1p5n/p2p1b2/2pPp1p1/2P1P2p/1PN1BP1P/1PKQB3/3R3R b - -,g8h8
rnbrn1k1/p3ppbp/1p4p1/2p1P3/2P2P2/2N1BN2/PP4PP/R3KB1R w KQ -,c3d5
r1bqr1k1/pp3pbp/1np2np1/8/3N4/BPN1PB2/P4PPP/2RQ1RK1 b - -,b6d5
8/1k6/2p5/2Pb4/p2P4/P7/2BK4/8 b - -,b7a6
r5k1/1p3pp1/1p2pnp1/3p4/3b4/P2P2P1/1PRBPPBP/6K1 b - -,d4e5
r2q2k1/pp4pp/2bp1n2/3nr3/1P2PN2/P2Q1PP1/6BP/R1BR2K1 b - e3,c6a4
r1b2rk1/pp2ppbp/2n2np1/2q5/2B2B2/2N1P3/PP1N1PPP/2RQK2R w K -,a2a3
2r2r2/1bqn1ppk/p2ppb1p/1p6/1P1NPN2/P2PBPQP/6P1/4RRK1 w - -,d4e6
2q2r2/5pk1/3b1n1p/2p1p1p1/p1PpPBP1/P2P1PK1/4B2R/1N3Q2 b - -,e5f4
rnbq1rk1/1pp1nppp/p7/8/1bBNPB2/2N5/PP3PPP/R2Q1RK1 b - -,b7b5
k6r/p7/2q5/3Ppn2/6R1/1P2B3/P2K4/8 w - -,d5c6
8/6p1/p3k2p/1p3R2/1P1pPK1P/r5P1/8/8 w - -,f5d5
r3k2r/2qbbppp/2p1p2n/p1PpP3/1P1p4/P4N2/1B3PPP/RN2QRK1 w kq -,f3d4
r1b1rnk1/pp4p1/2n2q1p/3p4/2pP4/2P2NB1/P1BQ1PPP/1R3RK1 b - -,b7b6
2rqkb1r/p2n1ppp/4pn2/1P6/3p4/5bP1/1P2PPBP/RNBQ1RK1 w k -,g2f3
3q1rk1/rb1np1bp/1pn3p1/5p2/NpPpN3/3P2PB/3BPP1P/1R1Q1RK1 w - f6,e4g5
8/1p3kn1/p4bp1/1P6/5R1r/5P2/2KBN3/8 w - -,b5a6
8/5nk1/1p6/p1p1qb2/P1P2R1Q/8/1P4PK/8 w - -,h2g1
1n3rk1/6pp/p7/2bRPp2/1p3P2/1P6/2Q3BP/q2N3K b - -,c5e3
r3k2r/p1q1nppp/2pb4/1p1p4/2nP2P1/2NB1Q1P/PPPB1P2/1K1R3R w kq -,d2c1
r1b1r2k/1p1p3p/p2Rp1p1/2P1Rp2/1PB5/P7/5PPP/6K1 w - -,f2f4
8/4qp1k/1P4p1/1R6/2N2PP1/K6P/8/8 w - -,a3b3
2r1r1k1/p4p2/1p1q1np1/2pp1n1p/3P4/PP2PN2/4QPPP/2RRB1K1 w - -,d4c5
r2qk2r/1pp2pp1/3pbb1p/p1nN4/1nP2P2/4PN2/PPB1Q1PP/R1B2R1K w kq -,c2b1
3n4/p7/1p5p/1Pp1k1p1/P1P3P1/4K2P/8/1B6 w - -,b1f5
8/2k5/1p2B3/pPp1K3/P7/8/8/8 w - -,e5e4
