5r2/p1k5/8/1R6/P2P2P1/2Pp3P/P6K/8 w - -,b5b2
2kr3r/pbpnq1pp/1p1pp3/5p2/3P4/3BPP2/PPPRQ1PP/2K1N2R w - -,e3e4
1b6/8/P3k1pp/8/2pK1P2/6P1/7P/8 w - -,g3g4
6k1/p1br2pp/3Nbnq1/3p4/4PB2/1Q6/PP2B1PP/5R1K b - -,d7d6
r1bq1rk1/3nppbp/p4np1/2pP4/2p5/2N1B1PP/PP2NPB1/R2QK2R w KQ -,e1g1
R7/2r1q2k/1rpNp1pp/4Pp1P/1p1P2P1/pPnQ4/P4P2/K1R5 b - -,e7g5
1q1r1bk1/5p1p/6p1/4N3/b4P2/Pp2N1Q1/3r2PP/1R2R2K w - -,e3c4
r2q1rk1/pbpnbppp/1p3n2/3p2B1/3P4/P1N1PN2/1P2BPPP/2RQK2R b K -,f6e4
1r3rk1/p6p/3bpp2/n2p1p2/2pP1P2/1PR1PNP1/P2NR2P/7K b - -,d6b4
2rq1rk1/3nbppp/p2pb3/3NpP2/1p2n1P1/1N2B2P/PPPQ4/2KR1B1R w - -,d5e7
8/4k3/3p4/2pP1p1p/2P2P1P/5NK1/3Q4/3n1q2 b - -,e7f6
r2qr1k1/pbpn1pbp/1p1p1np1/4p3/4P3/3P1NPP/PPP2PB1/1RBQRNK1 b - -,d6d5
8/1p1n2bk/p2p1qnp/3P1p2/1P2p3/P5BP/4BPPN/2Q4K b - -,f5f4
2brr1k1/1pq2pp1/p1n1pn1p/2Pp4/3P4/1PN2NP1/P2QRPBP/2R3K1 b - -,e6e5
rnbq1rk1/ppp1ppbp/6p1/8/2BP4/2P1P3/P4PPP/R1BQK1NR w KQ -,g1f3
r7/5p1k/5p2/2R1r2p/1P6/q3BPQP/5PK1/8 w - -,c5e5
r1b2rk1/pp4b1/1q1p3p/1N1Pp2n/PP2P3/5P2/4QRPB/R4NK1 b - a3,c8d7
1rb3rk/4qpb1/1pBp1n1p/pNpPp1p1/Q1P1Pn2/P3NPB1/1P4PP/R3R2K b - -,h6h5
6k1/pp3p2/2p3p1/4P3/5PQ1/6P1/PPr1R2P/3q2K1 w - -,g1f2
6rk/7p/p4R2/8/1P1p4/P2n2P1/3N1P1P/5K2 w - -,f6a6
r3r1k1/2q2pbp/6p1/2n5/1BN1p3/RnP1N1P1/Q4P1P/1R4K1 b - -,c7c6
r5k1/p1n2p1p/4pp2/1p6/3P4/P5P1/1P1N1PP1/4KR2 w - -,e1e2
2r2rk1/pp2bppp/1q2pn2/2np4/8/P1NPBBP1/QP2PP1P/R4RK1 b - -,b6b3
rnbqkb1r/pp2pp1p/5p2/2pp4/3P4/4P3/PPP2PPP/RN1QKBNR w KQkq -,d4c5:c2c3:c2c4
6k1/3q1ppp/1pb1p3/4P3/nPPQ4/5NP1/5KBP/8 w - -,d4d7
6k1/6b1/p2qQpp1/8/3N1P2/2r1R3/P6P/6K1 b - -,d6e6
r1b2rk1/pp2bppp/2n1p3/4P3/2B5/2P1BN2/P4PPP/R2R2K1 b - -,f8d8
3r1rk1/ppq1ppbp/2p3p1/2n1P3/2P3n1/1P3NP1/PB1NQPKP/3RR3 w - -,d2e4
5R2/8/8/p1r3p1/5k2/8/P4PK1/8 b - -,c5f5
1r4k1/RN4p1/2P1b2p/1P3p2/3p2qP/3P1pP1/5P2/4Q1K1 b - -,f5f4
1B6/8/8/3k1p1p/2pp3P/8/3K4/5b2 b - -,d5e4
