8/2R4P/7r/2P5/4pk2/8/6K1/8 b - -,e4e3
2n5/8/1p2pkpp/p2pN3/P2P1PP1/2KPP2P/8/8 b - -,f6g7
r1bq1rk1/pp1nppbp/2p2np1/3p4/3P4/1P3NP1/PBP1PPBP/RN1Q1RK1 w - -,c2c4
3r3r/1k3p2/4pp1p/3p4/3nPP2/P2B4/1P4PP/2R2RK1 w - -,e4d5
3N4/5p2/2p5/1pP5/1P1n3p/5PkP/8/5K2 w - -,d8f7
8/R4kpp/4n3/4P3/3P4/1N5P/4r3/7K b - -,f7f8
1r3rk1/3bq2p/1p1pppp1/p1n5/PnPNP2P/1PN1Q1P1/1R3PB1/R5K1 w - -,a1d1
r5k1/r4bpp/5p2/1Qp5/1pq2P2/4B1P1/1P2R2P/4R1K1 w - -,b5c6
8/p7/4p1p1/pP3pPp/k4P2/4KP2/3R4/7r w - -,d2b2
2rq1rk1/pp2bb2/1n1ppnpp/5p2/2PP1PP1/1PN4P/P1N1BR2/R1BQ2K1 b - -,g8h7
r3r1k1/pp1b1qbp/1np1p3/5p2/2PP2pN/1PB3P1/P3QPBP/3RR1K1 w - -,f2f3
1r6/4kpp1/4p1p1/p2b4/2p2P2/PrP3P1/1P3R1P/2K1R1N1 w - -,e1e2
rn3rk1/pp2ppbp/1qpp1np1/5b2/2PP4/2N1PNP1/PP3PBP/R1BQ1RK1 w - -,f3h4
3rr1k1/1bqnbppp/p1pp1n2/1p2p3/PP1PP3/2P2N1P/2BN1PP1/1RBQR1K1 w - -,c2d3
3q1nk1/1r3pp1/4p2p/n2pP2P/3P2N1/Pr3NP1/1PR1QPK1/2R5 w - -,e2a6
2r5/6R1/p7/3P1p2/2P1nkp1/PP6/2K5/4B3 w - -,c2d3
r3k2r/pp1n1pp1/1qp1pnp1/8/PbBPP1P1/2N2P2/1P5P/R1BQ1RK1 w kq -,c1e3
3k4/7R/1r4p1/1N6/2PpN1n1/3Pb2P/6P1/5K2 b - -,g4h2
r3r1k1/1pqnbppp/p1p1pn2/2P4b/3P4/2N1BN1P/PPQ1BPP1/2R1R1K1 b - -,a8d8
r2qr1k1/pp1n1ppp/5n2/b2p4/3p4/P1N1PQ1P/1PBB1PP1/R2R2K1 w - -,e3d4
r3kbnr/pppb1ppp/2n3q1/1B1pp3/Q2PP3/2P2N2/PP3PPP/RNB1K2R w KQkq -,e4d5
8/8/1p6/1P4p1/7p/2k4P/3b1r2/1R3B1K w - -,f1g2
r3k2r/ppqbbppp/2pp1nn1/4p3/2PPP3/2N1BNPP/PP3PB1/R2Q1RK1 w kq -,d1c2
1k6/3r3p/R3N1p1/p5PP/6P1/2b5/4K3/8 b - -,d7d5
r1bq1rk1/ppp1b1pp/3p1n2/1B3P2/3Q4/2N5/PPP2PPP/R1B2RK1 b - -,c8f5
8/3n4/1p4kN/1K4p1/P7/8/8/8 w - -,h6g4
3r2k1/ppq1bpp1/2b1p2p/4P3/8/2N1QN2/PPP2PPP/1K2R3 w - -,e1d1
4r2k/5qbp/p2p4/1p1b4/3p1pB1/P4P2/1P1Q1NPP/2R4K w - -,f2d3
3rrbk1/1b1n3p/pq3pp1/npp3P1/3pPPBN/PP1P3P/1B1N1Q2/2R1R1K1 w - -,h4f3
2r3k1/2rb1pp1/p3p2p/1p1pP1q1/8/P1PQ4/1P2RPPP/1B3RK1 b - -,g7g6
1Q6/4ppkp/2P2bp1/3P4/2R2P2/6q1/8/5K2 b - -,g3d3
2r4k/pN1r2bp/6p1/3p4/5P2/1n2R1PB/7P/7K w - -,h3d7
r1bq1rk1/p3pnb1/1pp2p1p/2p1P1p1/2P5/1N1P1NBP/PP1Q1PP1/R3R1K1 b - c3,e7e6
r5k1/pb3pp1/1p1b1n1p/3pNP2/3B4/3PP1P1/2q3BP/Q4RK1 w - -,f1c1
q5rk/1pR3p1/1P2p2p/P1QbNp2/3PpP2/4P1P1/5PK1/8 w - -,c5e7
r1r3k1/pp3pp1/4pb1p/2n4P/6P1/4BN2/PPP2P2/1K1R3R b - g3,b7b5
1q3r2/1b3pkp/p2b1np1/1p3P2/2p2P1Q/P1P4P/2P1B1P1/3R1R1K b - -,b7e4
r2q1rk1/1pp2ppp/p1npbn2/2b1p3/B3P3/2PP1N2/PP1N1PPP/R1BQ1RK1 b - -,b7b5
r2rnk2/1p3pp1/1qp4p/p3pP1P/P3P2Q/1P1P2R1/4NP2/R5K1 w - -,d3d4
r7/5r1k/p2p2p1/QppP4/7P/7K/2P3P1/8 w - -,g2g4
r4rk1/p4ppp/bp6/q2Pn1B1/3NP3/6Q1/P4PPP/R4RK1 b - -,a6f1
1r3rk1/p3q1np/2pp1bp1/7P/N1P1PP2/1P2Q3/P3B3/3RK1R1 b - -,b8e8
2br2k1/1R3p1p/1p4p1/3n3r/1P2N2P/P5P1/5PB1/4RK2 w - -,b7a7
