8/4ppkp/5bp1/8/2q5/4P3/P4PP1/5BK1 w - -,f1c4
r7/p3k2p/qpQ1bppB/2Pp4/3P3P/1P6/5PP1/6K1 w - -,c6a8
2kr3r/b1p2pp1/p4q1p/1p1P1P2/P3p3/2PP1Q2/1P4PP/R1B1K2R w KQ -,d3e4
r7/5b2/2pk2p1/2p3Pp/2P1Pp1P/p1KN4/P7/3R4 w - -,e4e5
r4rk1/2qnbppp/ppb1pn2/2pp4/2P5/1PNPPNP1/PB2QPBP/2R2RK1 w - -,f1d1
1rr2qk1/1p4pp/p3npb1/2P5/1P6/2Q3P1/P4PBP/3RR1K1 w - -,e1e6
3r3r/1p6/p3k3/4pn1p/4pp2/2P4P/PP3PPN/2R1K2R b K -,d8g8
r7/p3kpb1/1pprp1pp/4P3/1PP2BP1/P7/5P1P/3R2K1 w - -,d1d6
8/p1k2r2/1pn5/3R4/2p5/P1P1Q3/1KP2r2/8 b - -,f2f5
5r1k/pb2Npbp/1p4p1/4P3/1q4P1/1P4BP/4QP1K/4R3 w - -,g3h4
5b2/R4k2/2N2pp1/7p/8/4P1PP/r4P2/6K1 b - -,a2a7
8/5P2/1pR5/pB2p3/P2pP1p1/1k1P1qN1/7P/4K3 b - -,b3b2
1n4rk/R3bRpp/2q1p3/4P3/3r2Q1/1PN5/6PP/7K w - -,g4d4
4r1k1/1q2np1p/p1p3p1/2Q5/P3P1b1/1p4P1/5P1P/1R2RBK1 b - -,b3b2
r4rk1/pb1p2p1/1p2p2n/6N1/3P2qP/2P5/PP5R/1K1R2Q1 w - -,g1e1
8/8/1pp4k/p2pP1R1/6PK/2P4P/P4r2/8 b - -,f2c2
r2r2k1/np3pp1/2p1qnp1/8/3PP3/bPB3P1/N1Q1R1BP/5R1K w - -,d4d5
2r1qn1k/5bp1/1p1B1p1p/p2p4/3P3P/P2B2Q1/1P3PP1/6K1 w - -,d6f4
r3r1k1/ppq2ppp/5n2/P1p1N3/2Q2P2/2P4P/6P1/R3R1K1 b - f3,a8d8
3r2k1/2b2ppp/p7/nppB4/P4P2/2B1P3/1P1R1KPP/8 w - b6,a4b5
r2qkb1r/pp2pppp/1nn3b1/3pP3/3P2P1/2N1BP1N/PP5P/R2QKB1R b KQkq -,e7e6
3rq1k1/p3bppp/1pR1p3/8/3p4/1P2P1PP/PB2QP2/3R2K1 b - -,e8c6
rnb1qrk1/ppp3bp/6p1/4Np2/2P5/2Q3P1/PP2PPBP/R1B1R1K1 w - -,f2f4
7k/6p1/7p/1r6/8/7P/6R1/7K w - -,h1h2
r7/4k3/2pr3p/p1n1p1p1/4P3/P3RPPP/NP6/2K1B3 w - -,c1c2
8/2p2p2/1p5p/p1k3p1/P1P1b3/1P2P1P1/3K3P/3B4 b - -,c5b4
r4rk1/p4ppp/1p2q3/2p1p3/1Bb5/P4PP1/1PQR3P/R5K1 w - -,b4c3
rn1qk2r/pb2bppp/1p3n2/1Bpp4/3P4/2N1PN2/PP3PPP/R1BQ1RK1 b kq -,e8f8
8/5p1p/1k2p3/1p6/1P1rR1P1/3r4/5P1P/R5K1 w - -,a1e1
rn1qkbnr/pbpp1ppp/1p6/4p3/2P1P3/2NP4/PP3PPP/R1BQKBNR b KQkq e3,g8f6
3nr1k1/2p1r3/7p/1pN1p1q1/6Pp/P1PPQb1K/1PBR4/4R3 w - -,e3g5
2q1nrk1/r2n1p1p/1pbp2P1/p2Np1b1/2P1B3/PP2PRN1/1B2Q1PP/5RK1 b - -,h7g6
8/8/8/1k1r4/p7/8/b1p1K3/2B4R b - -,a2c4
6k1/3b2pp/pb1p4/1p1Pp3/1B2PqP1/2Q2P2/PPNKB3/7r w - -,c2e3
7r/5k2/2bn1p2/3Pp3/p2nP3/q2BR3/5QP1/5NK1 w - -,d5c6
2r1nk2/r5pp/p1p1bp2/1p2p1P1/P3P2P/1PN2P2/2P1B3/1K1R2R1 b - -,a7d7
R4bk1/8/2r1N1np/P4P2/6P1/8/5P1K/8 w - -,a5a6
6k1/1p1b1p2/p5p1/8/P3pPP1/1P2Q3/1q6/6RK b - -,d7e6
rq1r2k1/5p1p/ppn2bp1/4p3/2P5/1NB2Q2/PP3PPP/R4RK1 b - -,b8d6
8/8/8/8/1P6/5kp1/8/2N2K2 b - b3,f3e4
rn1qk2r/pb3pbp/1p1ppnp1/8/2PP4/1P3NP1/PB1N1PBP/R2QK2R b KQkq -,e8g8
2r3k1/p1r2pp1/1p2pq1p/2P5/1P1n4/P1R1QBP1/5PP1/3R2K1 b - -,d4f5
6k1/8/7p/6p1/p7/2K1P1P1/2R2PP1/r7 b - -,a1b1
3rn1k1/1b4pp/p2B1p2/1pqP4/8/4NP2/PP1QB1PP/3R3K b - -,e8d6
4k2r/p2bppb1/3p2p1/1p5p/2rNP3/q1N1B2P/P1PQ1PB1/3R2K1 w k -,c3b5
r1b2rk1/2q2pb1/pN1p2pp/2pPp2n/4P3/2P5/1PBN1PPP/R1BQR1K1 b - -,c7b6
3r2k1/p4pb1/6pn/R7/1P2pp2/2P2P1P/4B1P1/4B1K1 b - -,e4f3
6r1/kpp1b3/p2p1n1p/1P1Ppr2/P5n1/3N2P1/1BPN1PK1/R6R w - -,c2c4
r1b3k1/pN2r1bp/3qppp1/8/3PB3/1Q4P1/PP3P1P/2R2RK1 b - -,c8b7
6k1/5p2/4p1p1/5r1p/2K5/7P/1Q4P1/8 b - -,f5d5
3q1rk1/6n1/p2P1r2/2p1N1Np/PpB2pbP/1P2R1P1/1Q3P2/6K1 b - -,g8h8
r6k/p4pbp/b2P2p1/3np3/2p1PP2/2P3PP/P4B2/R3R1K1 w - -,e4d5
5k2/5p2/2q1p1pp/p3P3/1p3P1P/1P3QP1/P5K1/8 b - -,c6c2
8/1p2r2p/2p1nkp1/q1Pp4/P2P1p2/4PN1P/2Q2PP1/1R4K1 w - -,e3e4
r1bqk2r/pp2bppp/2n1pn2/1N1p4/2P5/1N2B1P1/PP2PPBP/R2Q1RK1 b kq c3,e8g8
r1b2rk1/1pq2pbp/p1pp1np1/4n3/P1P5/NP2PN1P/1B1PB1P1/R2Q1RK1 b - -,f6e4
5R2/8/8/3b4/8/1r3PK1/4k3/8 w - -,f8e8
r1bq1rk1/p4ppp/1pn1pb2/8/2BP4/2P3B1/P1Q1NPPP/R4RK1 w - -,a1d1
4q2k/r5b1/1Q5p/1PpBp1p1/2P5/2BPP1P1/7P/6K1 b - -,a7a3
r2qk2r/p1nn1p1p/1p2p1p1/2ppP1b1/3P1N2/2P2R2/PP1N1PPP/R1BQ2K1 b kq -,g5f4
5r1k/6p1/p7/1p5p/1Pb1NPnP/q5P1/3R2B1/3Q3K w - -,d1b1
2r3k1/3p1r1p/p4np1/1p1P2R1/3B4/6P1/PP1R1P1P/6K1 w - -,g5e5
6k1/R7/6p1/3K2P1/5P2/8/4r3/8 b - -,e2e1
r3r1k1/3q1pp1/p1R1p2p/8/PP1P4/2Q1P3/5PPP/2R3K1 b - b3,d7b7
3r4/p3qkpp/1b2pp2/8/3PQ3/P4NP1/1P3P1P/4R1K1 b - -,g7g6
6qk/1p4r1/1B2bb1p/PB2p3/5p1n/2N2P2/6PP/2Q3RK w - -,c1d2
6k1/1p3p2/p5p1/3Q3p/1P2P3/P1q3PP/5PK1/8 w - -,d5b7
r2r2k1/qb1n1ppp/p3pn2/Ppb5/1B6/1Q2NNP1/1P2PPBP/R4RK1 w - -,b4c5
4q1kb/1b3p2/p2r1PBp/1ppp4/8/2N2Q2/PP4PP/5R1K w - -,g6f7
r1b2rk1/pp3ppp/5n2/q1Pp4/1b1Q4/P1N1PN2/1P3PPP/R3KB1R b KQ -,b4c5
8/8/4p1kp/p2p1pp1/3P1P2/K1P1P1PP/3q4/Q7 w - -,a1b2
5r2/kb4R1/1p2B2p/p1bp4/Pn1N4/8/5PPP/1R4K1 w - -,d4b5
r7/P6p/R7/4Pk2/3b1P2/8/1rp1K2P/2R1N3 w - -,c1c2
2rq2k1/pp2rppp/3b1n2/1Pnp4/8/P1N1PNP1/1B3P1P/R2Q1RK1 b - -,d6c7
r4rk1/1bqnbppp/ppnpp3/8/P3PP2/1NN1BB2/1PP2QPP/R4R1K w - -,b3d4
8/2B5/p5R1/7r/PK2p3/3bP2k/7P/8 b - -,h5f5
3q4/3r2kp/pp2QRp1/n1p5/P1B5/2N5/1P4PP/7K w - -,c4a6
1r3r1k/1bn3qp/p2p2p1/2pP1p2/2B5/2N1P2P/1P1Q1PP1/R3R1K1 w - -,f2f4
2Qr1rk1/1p2npp1/p2pbn1p/4N3/3P4/P3B3/1P2BPPP/3R1RK1 b - -,d8c8
r4rk1/pp2p1b1/3p2bp/2n3p1/1nP1Pp2/NPN2P1P/1P2BBP1/R3K2R b KQ -,c5b3
r1b1k1nr/p1p2ppp/2p5/2bp4/4P2q/2PB1Q2/PP3PPP/RNB1K2R b KQkq -,g8f6
2q1rr1k/5pp1/p2p1nnp/1p1Pb3/7P/P1P1N1PQ/1P6/1BBR1R1K w - -,h3g2
r1r4k/pb5p/1n4p1/2qp1p2/3N4/3Q2P1/P3PPBP/1R3RK1 b - -,c5c3
r4rk1/ppnbpp1p/3p2p1/7q/2PbP3/1PN2PP1/P3Q1BP/3RBR1K b - -,d4f6
2r1k2r/1bq1bppp/p2p1n2/1p2p3/4PP2/P1N1BB2/1PPQ2PP/1K1R3R b k -,c7c4
r4rk1/1p3ppp/p2p1n2/4nR2/4P2q/2NB3P/PPPQ2P1/R6K w - -,a1f1
7r/4kb2/2pn1pp1/p3pP2/Pp2P1P1/1P2NBK1/2PR4/8 b - -,g6g5
8/8/8/2p1q3/1k6/1P1R1P2/3K4/8 b - -,b4a3
3qr1k1/7p/1p1p2p1/pPpPB3/4P3/6P1/P2Q2KP/4R3 b - -,e8e5
6r1/4k2p/p7/1p2pp2/8/2P1PP2/PP1R1K1P/8 w - -,d2d5:b2b3
8/8/2R2bk1/7r/6K1/8/8/8 b - -,h5h4
r4rk1/1pq1b1p1/2p1R2p/p2p4/2P1n3/2B5/PPB1QPPP/5RK1 w - -,e6e4
rnbqk2r/ppp1ppbp/5np1/3p4/2PP4/4PN2/PP1N1PPP/R1BQKB1R b KQkq c3,c7c6
r1bqkbnr/pp1p1ppp/2n5/4p3/4P3/N4N2/1BPP1PPP/R2QKB1R b KQkq -,d7d6
3r1k2/R4p2/4p1p1/4P1P1/4KP2/8/8/8 w - -,a7a4
r1bq1rk1/p5bp/2ppnpp1/8/2PN4/2N1B3/PP3PPP/R2QR1K1 b - -,e6d4
8/8/4bk2/1pp3p1/8/P3N2r/3KR2P/8 b - -,h3h4
r2qr1k1/pp3pbp/5np1/2nP2N1/4p1b1/1PB1PPP1/P2N2BP/R2QR1K1 b - -,e4f3
8/3b1k2/r7/2pPR1p1/5p2/7P/5BP1/6K1 b - -,f7f6
4kn1r/1pq1b1p1/p1p2n2/2P1p1B1/NP6/5BP1/P1Q4P/3R2K1 b k -,c7c8
r1b1k2r/p2n1ppp/2p2n2/1p2p3/1b2P2B/1BN2N2/PPP2PPP/2KR3R b - -,b4c3
3r1rk1/3R2pp/pq6/1p2NPP1/2p5/5Q2/P3n2P/5R1K b - -,b6c5
rnbqkbnr/pp3ppp/2p5/3pp3/8/3P2P1/PPP1PPBP/RNBQK1NR w KQkq -,g1f3:c2c3
3r1r1k/1p4pp/p7/4p3/4qp2/1Q2P3/PPP3PP/3RR1K1 w - -,e3f4
3b4/1p1r1k2/3p2p1/1R4P1/3NKB2/8/8/8 b - -,d6d5
r4b2/2q2kpQ/p1np1r1p/1p2p3/3p2R1/2P4P/PPB2PP1/R1B3K1 w - -,c3d4
4r1k1/5pp1/4rn1p/p2p4/3P4/1R2PP2/R4BPP/6K1 b - -,e6a6
2r2rk1/2qpbppp/8/p2B4/1p2P3/5Q1P/PP3PP1/3R1RK1 w - -,f3e2
r2q1rk1/1ppn1ppp/3p4/p2P4/4PP2/4Q2P/PP4P1/1B1R1RK1 b - -,f8e8
r6r/pp1k1pp1/2pb4/3p1p2/3P2nP/2N1P1P1/PP3PK1/R1B2R2 b - -,a8e8
5k2/5p2/4pp1p/p1b5/8/6P1/PPN2P1P/5K2 b - -,f8e7
r1b1kb1r/pp3pp1/1qn1pn1p/2ppN3/3P3B/1QP1P3/PP3PPP/RN2KB1R b KQkq -,c6e5
1r3Q2/6P1/8/6P1/8/1k6/4q1K1/8 w - -,g2g3
r1b2k1r/ppp2n1p/8/1P4p1/1Ppp4/6P1/1P1N3P/R1BKR3 b - -,c8g4
8/7k/2p2BRP/3b1P2/2p3P1/p7/P1r2K2/8 w - -,f2g3
1r1r2k1/1p1n1ppp/p1p2n2/8/1PNP4/P4B1P/5PP1/2RR2K1 b - -,h7h6
r6r/1p1bkp2/p3pn1p/2q1p3/4PPp1/1BN5/PPP1Q1PP/3R1R1K b - -,a8d8
3rr2k/1b4pp/pp3p2/4p3/2Pq3N/1P6/P3RQPP/5R1K w - -,f2g3
8/6p1/rp1p3k/2pPp1pP/2P1P3/2P2PKb/PR5P/8 w - -,g3h3
r4r2/p4b1k/Q2pnq1N/4b3/2P1p3/1P2B1PP/P3BP2/3R2RK b - -,e6g5
r1bqk2r/ppp2pbp/2np1np1/8/4P3/P1N5/1PP1NPPP/R1BQKB1R w KQkq -,g2g3
r1bq1rk1/1p2bppp/1n2p3/pP1pP3/P4P2/2P3P1/1B1N2BP/R2Q1RK1 b - -,c8d7
6k1/1b4p1/1Pr4p/7P/1R4P1/4Kp2/5P2/8 b - -,g8f7
2K5/8/2Pk4/7p/2R5/8/8/3r4 w - -,c6c7
1qr2bbk/6p1/2p1p1Pp/r3Pp1P/R2P1P2/4B2B/2Q5/5R1K b - -,a5a4
8/p4p2/1pk1p3/2p1Pp2/5P2/PP1Nr1b1/2P5/1K3R2 w - -,b1b2
4nk2/1R3p1p/8/p6B/8/r5P1/5PKP/8 b - -,e8d6
r5k1/1p2nppp/rq2p3/np1pP3/3P2P1/R2QBN2/1P3P1P/R5K1 b - -,b5b4
r4rk1/1pp3pp/pn1b4/P2p1p2/1P1P4/4PN2/5PPP/1RB2RK1 b - -,b6c4
3nr3/5p1R/r7/1k1pPpP1/pBpP1P2/1pP5/1K3R2/8 w - -,f2f1
r1n2rk1/4p1qp/n2p1pp1/PBpP4/4PP2/1P2NR1Q/6PP/R5K1 b - -,f6f5
8/R7/7k/3K2p1/6P1/p3r3/8/8 w - -,d5d4
