8/5k1p/R4bp1/3P4/2K1B3/2P5/3r4/8 b - -,g6g5
r2q1rk1/ppp3bp/2n1p1p1/3p1p2/2PPb3/1PB1PNP1/P2Q1PBP/R2R2K1 w - f6,d2e2
r1n2r1k/1Q1n1ppp/p1N1p3/2P5/3pqB2/1P2P3/5PPP/2R2RK1 w - -,b7d7
r1bq1rk1/pp2bp1p/2n1p1p1/3pP3/3P4/1QNBP3/PP1B2PP/R4RK1 w - -,c3e2
7k/6qn/p3Br2/P1pPQ1p1/1nP4p/4P2P/6P1/5RK1 w - -,f1f6
r1b2rk1/pp4pp/1q3n2/3p4/8/2PB2N1/P4PPP/2RQ1RK1 b - -,c8d7
4k3/1r2b3/2K5/2p1B3/2P5/8/8/8 w - -,c6b7
7r/1b1nkp2/p3pbp1/1p5p/2p1P2P/P1P2PPN/1PN1BK2/3R4 b - -,d7c5
8/5k1p/6p1/3n1p2/3b4/3N1KP1/3B1P1P/8 b - -,f7e6
8/5pk1/p1q5/6bp/3p4/B4R2/P2NR2P/7K w - -,e2g2
r4rk1/1p5p/6pb/pNPnqp2/4p3/PP4PP/2R2QN1/3R2K1 w - -,b5d6
r2r2k1/pp1nppbp/1qp1b1p1/4P3/N3PP2/8/PPQBB1PP/R3K2R b KQ -,b6d4
r2q1rk1/pp3ppn/2p5/2b1p1Pp/1PP1P1bP/P1Np1N2/2nP1PB1/1RBQ1RK1 b - b3,c5d4
2br1rk1/p1q2nbp/1pp3p1/2p1p3/8/P1NPBN1P/1PP1QPP1/3R1RK1 w - -,c3e4
3r2k1/ppp2pb1/6pp/4P3/5PP1/3r2NP/PP4K1/R4R2 w - -,f1f2
r1b1k2r/4Bp1p/p3pPp1/1p1pn3/B7/1RN3Pq/P1PQ3P/4KR2 w kq -,a4b5
r3k2r/4pp1p/pq1p1np1/1p1Pn3/4P3/2N2P1Q/PP4PP/R3KB1R w KQkq -,h3h6
1rbr2k1/6bp/ppB2qp1/2pPpp2/N3P3/5P2/P1QR2PP/5RK1 b - -,g7h6
4k2r/1b1qbppp/3pp3/1Q4P1/R2NP3/4BP2/2P4P/6K1 w k -,a4a7
8/p5kp/5pp1/2b1N3/1p6/1P4P1/P4P1P/6K1 w - -,e5d3
r1bk4/ppp5/2p3n1/8/1b1qPp1P/2NP4/P1PK1PP1/Q6R w - -,h4h5
r4bk1/1p3ppp/p1np4/2B2P2/4p1P1/7P/q1PQ1PB1/3R1RK1 b - -,d6c5
5r1k/p1q3pp/bp3b2/8/3PB3/5QP1/PP3P1P/3RR1K1 b - -,c7d6
r2q1rk1/1b1n1ppp/p4n2/1pbpN3/5P2/2NBPQ2/PP1B2PP/3R1RK1 w - -,g1h1
8/2K1k2p/8/4P2p/5P2/1n6/p1N5/8 w - -,f4f5
r1bq1rk1/5ppp/p2p1b2/1p2nP2/8/P1NBB2Q/1PP3PP/R4RK1 b - -,e5d3
8/1R6/1p6/2p3kP/Pr6/8/6K1/8 w - -,g2f3
2r1k2r/ppp2pp1/4p3/4P1N1/2BP1n2/2P1b3/PP6/1K5R b k -,f4g6
1k1b1r1r/1p4p1/2pp4/1p2n1Pb/4PR1P/6PB/PPPN2K1/5R2 b - -,f8f7
4rk2/3Rr3/4P1pp/6b1/8/P4RPB/6KP/8 b - -,f8g7
2r4r/1p2k1pp/p1b5/P3pp2/8/1N6/1PP2PPP/R2R2K1 w - -,c2c3
r3k2r/pp1np1b1/1qpp3P/8/2PPb1p1/4BN2/PP1QPPB1/3RK2R b Kkq -,g7h6
5r1k/4qpb1/p2p2pp/1p1Bn3/5R1P/2P3Q1/PP4P1/1K3R2 w - -,g3e3
8/p4k1p/1p4p1/3P2P1/1PKB1P1P/P2r4/8/8 b - -,d3a3
2rq1rk1/pb1n1ppp/1p1n4/2pp4/3P1P2/1P1B1N2/PB3PPP/2RQ1RK1 w - -,d4c5
