6k1/5pp1/8/8/B1pBnP2/6PP/n7/6K1 w - -,g1g2
rnq2rk1/2p1bppp/p2p1n2/1p1Pp3/4P1b1/1BP2N2/PP1NQPPP/R1BR2K1 b - -,f6h5
7r/8/4k2p/p3p1p1/1p2R1P1/1P6/P1P4P/2K5 b - -,h8f8
8/7k/7P/8/Pp1pp3/1P1q2P1/Q3NP2/3b2K1 w - -,e2f4
3b4/1k5p/p1n5/1p2pp2/1P4p1/P1B1P3/r4P1P/2R2KR1 w - -,f1g2
r3r1k1/5p1p/pp1p2p1/2pPPb2/P4P1q/2N4P/1P1Q2P1/3RR1K1 b - -,h7h5
r2q1rk1/4bppp/p1n5/1p1pP3/2pP2b1/P1P2N2/1B1QBPPP/R4RK1 b - -,a6a5
4r1k1/1r1n2qp/p2p1pp1/2pP3b/N1P1PP2/1P2R1Q1/5N1P/4R2K w - -,f2g4
2b1r1k1/1p3p1p/2p1nbp1/r2p4/P2P4/2N1PN2/4BPPP/RR4K1 w - -,g1f1
r4rk1/1p2qppp/2B1b3/p1p2n1Q/2Pp4/P2P2P1/1PNN1P1P/R3R1K1 b - -,g7g6
4k2q/8/2R5/r4p2/P3p3/6P1/4B2P/4RK2 b - -,h8h2
5rk1/1Q3pp1/2r5/7p/p4Bq1/3R2P1/PP2nP1P/R4K2 b - -,e2f4
8/p7/1p1bpk2/3p4/3P4/2PN4/PP1K3R/8 b - -,d6h2
1rq1k1nr/pp2ppb1/2np2p1/3N3p/4P3/1NP3Pb/PP3PBP/R1BQ1RK1 w k h6,g2h3
8/5k2/1K1Pp2p/1B3pp1/1P1n1P2/6P1/7P/8 w - -,b5a4
2r1r3/5pkp/4p1p1/4P3/1qpR1P2/7P/1P2Q1P1/3R2K1 b - -,e8e7
rn1qkbnr/ppp2ppp/4p3/5b2/2pP4/4PN2/PP3PPP/RNBQKB1R w KQkq -,f1c4
8/1pk1bp2/p1p1ppp1/2N5/3P2P1/2P1PR2/PPK4r/8 w - -,c2b1
5r2/1p2rpbk/p1p3pp/2P5/2BPb3/1Q2PNqP/PP3RP1/5RK1 w - -,f3d2
2rr2k1/bp1nqpp1/p1n1p2p/3p4/NP6/P2P2P1/3BPPBP/R1RQ2K1 w - -,a1a2
