8/5pk1/5Np1/4P3/5n1P/3r4/5B2/4K3 b - -,d3f3
8/6pk/3R3p/p4P2/r7/6K1/8/8 w - a6,d6d7
2R5/8/8/2pr2p1/8/3k3P/5K2/8 w - -,c8f8
1r4k1/1q1bppbp/3p1np1/2pP4/8/RP3BP1/1B2PPNP/3Q2K1 b - -,b7b4
r3k2r/ppqb1p2/2p1p2p/b3P1P1/P3R1P1/1BP2N2/2PQ1P2/2KR4 b kq -,c6c5
3rq1k1/6p1/p3p2p/8/2Q4P/4B3/PPR2P2/2K5 b - -,g8h8
8/3r3p/p3R3/1k1r1p2/1Ppp1B1P/2n2PP1/3R1K2/8 b - -,d4d3
r1bqk2r/pp1pppbp/2n2np1/2p5/2P5/1PN1PN2/PB1P1PPP/R2QKB1R b KQkq -,e8g8
r1bq1rk1/ppppnpb1/2n3pp/4p3/4P3/3P1NP1/PPP1QPBP/RNB2RK1 w - -,b1d2
rnbqkb1r/ppp2ppp/5n2/3p4/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq d6,e4d5
6k1/p4pp1/q1p2b1p/8/2nP4/1B3P2/PPQ3KP/R1B1r3 b - -,f6d4
r7/P2r2p1/5kp1/R4p2/5K1P/4B1P1/5P2/8 b - -,d7e7
8/8/1r1p4/2pP2R1/3k4/6P1/5K2/8 w - -,f2e2
r5k1/q1nb3p/np2prp1/p2p4/3P4/PPN3PP/5P2/R1BQRBK1 b - -,a6b8
2r4k/6p1/7p/p3R3/1pP4P/1P2Q1P1/5P2/1q4K1 w - -,g1g2
8/6p1/7p/5BbP/3k2P1/4pK2/4R3/3r4 b - -,d1f1
8/1p4kp/2b3p1/3np3/p1q1B2P/P1P2RP1/8/4R1NK b - -,b7b5
8/p3k3/1p5p/2p2Rp1/2P1P1K1/4P3/P4P2/7r b - -,h1h4
8/8/3b2k1/3Np1pp/1p1pP3/1P4K1/2P5/8 w - -,g3h3
8/5pkp/1b2p1p1/3pP3/1p1P1PP1/pP3N2/P4QKP/q7 b - -,h7h6
3rr1k1/pbq1np2/1p1pp2p/PP2b1p1/1BBpP3/Q2P4/2P1NPPP/R3R1K1 w - -,e2g3
8/4k1pp/4p3/1Pq5/2p4P/6P1/2Q2P2/6K1 w - -,c2h7
7k/1p4p1/p2b1p1p/3p3b/P2P4/1P2QN1P/5PP1/1q2B2K w - -,f3d2
r7/6pk/2N2p2/3R3p/1P6/1r4PP/5K2/4R3 w - -,d5a5
2r3k1/6bp/1n4p1/8/1P2bn2/2PpN3/PB1P2PP/2K1RB1R w - -,h1g1
8/8/1K5p/6p1/Pp6/1k3P1P/8/8 w - -,a4a5
3r1rk1/2q1bpp1/p1n1pNbp/1p1p4/2p1PP2/P1PP2PP/1PQ3B1/R1B1RNK1 b - -,e7f6
3q2k1/2pb2n1/np1p4/p2Pp1b1/P1P1Pp2/2NN1P2/1P2BB2/1K4Q1 w - -,f2e1
rnbqk2r/p4ppp/2p1pn2/1p4B1/PbpPP3/2N2N2/1P3PPP/R2QKB1R w KQkq -,e4e5
8/4k3/PR5P/4Pr2/3Pb1K1/6P1/8/8 b - -,f5f1
r1bq1rk1/pp3ppp/2pb1n2/3p4/2P5/5NP1/PPQ1PPBP/R1BR2K1 b - -,c8e6
r3q1rk/p1p3b1/1p1pPn1p/PP1Pp1p1/2P2p2/R2B1P1P/5BP1/3QR1K1 b - -,h6h5
r1b2rk1/3nppb1/p2p2p1/2pP3p/2R1P2P/3NBP2/PP1K2P1/3N3R b - -,a6a5
8/6k1/1p4p1/p7/P2b1q2/1P1B3P/4Q1K1/8 b - -,d4e5
3r3k/5Bp1/p6q/1p3Q2/3p2P1/6P1/PP4K1/8 b - -,d4d3
r1b2rk1/1p1q3p/1pp1pNpQ/8/7P/3B4/PPP2PP1/2KR3R b - -,f8f6
6k1/1ppbb2n/p2p2pp/2PPp3/1P2P1P1/P1N1B1NP/6K1/8 b - -,e7g5
bn1qkbnr/2p2ppp/4p3/8/2BP4/4PN2/5PPP/1NBQK2R b Kk -,g8f6
5rk1/2pqnppp/pr6/1p1pP3/3P2P1/1BP1Q2P/P4P2/R3R1K1 w - -,f2f4
2k5/pppr2pp/2nb2q1/6B1/3p3R/5P2/PPPQ1P1P/R5K1 b - -,h7h6
8/3r1kp1/2pPbp1p/2q5/1B1P4/R6P/5PP1/6K1 w - -,d4c5
6k1/1p3pbp/2p1P1p1/8/P7/2P3PP/5KN1/8 b - -,f7e6
r1b1k2r/pp1pnpbp/2n1p1p1/q1p3B1/2P1N3/3P1NP1/PP2PP1P/R2QKB1R w KQkq -,f3d2
1rb2Bk1/p4pbp/2B2np1/8/2n1PP2/2N4P/PP4P1/3RK1NR b K -,g7f8
7r/p5pp/3bkpb1/1r1pp3/1P3PP1/2P1P3/P3N2P/RN1RK3 b - g3,g6e4
r1b1k2r/ppp1nppp/2n2q2/3p4/3PP3/4B1P1/PP3P1P/RN1QKB1R w KQkq d6,e4e5
rn1qkbnr/pp1b1pp1/2p1p2p/3pP3/3P2PP/2N5/PPP2P2/R1BQKBNR w KQkq -,c1e3
2n2r2/1q2b2k/1pp1Q2p/r4p1N/5B2/3B3P/PP3PP1/R4RK1 b - -,e7g5
2r2r1k/1bqn1pbp/p7/4PN2/Pp2pP2/1P2B2P/3R1QP1/4R1K1 w - -,f5g7
2r4r/Qpk1b2p/3qpp2/1R1p4/3P3N/8/5PPP/R5K1 w - -,b5b7
