3bN3/8/4Bnpk/2p1p3/4PPK1/6P1/8/8 w - -,e8f6
r1r5/4Q2k/p6p/3q4/1p1p4/6P1/PPP4P/R5K1 b - -,h7g8
6k1/8/8/1pR5/1P6/4n1P1/P5rP/7K b - -,g2b2
r3r1k1/7p/q5pb/8/Pp1pp3/1PpN1P2/Q1K1R1P1/3R4 w - -,f3e4
8/5p2/4kbp1/p1pp3p/P1P2P1P/1P2K1P1/5B2/8 b - -,f6d4
8/p1r3k1/1p5p/4R3/4RPP1/P6P/KP5r/8 b - -,c7f7
8/3R1p2/3p1k2/3P1p1b/2PN1P2/2K3P1/1P6/6r1 b - -,g1g3
r5k1/pp3r1p/2np2p1/5p2/2R5/5NPP/P3PPB1/6K1 w - -,f3g5
5k1r/6pp/1N3p2/p1P2n2/4BP2/3p4/P2P1PKP/8 b - -,f5d4
r2qrnk1/pR1b1n1p/3p2p1/2pPp3/2P1Pp2/P2B1N2/2Q2PPP/1R1N2K1 w - -,c2c3
1rbqr1k1/p2nppbp/3p2p1/1p1Nn1B1/4P3/P5PP/1PP1NPB1/R1Q2RK1 b - -,c8b7
1r1qnrk1/5p1p/2ppp1p1/n7/P2b4/B2N2P1/Q3PPBP/2RR2K1 w - -,g2c6
2r2r1k/1p2q1pp/p1b1p3/3pP3/3NnN2/1P5Q/P1P3PP/2KR1R2 b - -,c6e8
2r1n1k1/8/RRp2pp1/4p3/2q2PP1/6K1/3Q4/8 w - -,f4e5
rnbqr1k1/1p3pbp/5np1/p2p4/N1P5/1N3P2/PP2B1PP/R1BQ1RK1 w - -,c4c5
r5rk/1p4pp/2p1b2B/1P6/2P1p1p1/6nP/4PP1K/1BR3R1 b - -,g3e2
r2qkb1r/5ppp/pn1pbn2/1p2p3/4P3/1NN2P2/PPP1BBPP/R2Q1RK1 b kq -,b5b4
8/p6p/2N2p2/4p3/6nP/5kP1/PPPK4/8 b - -,f3f2
r4rk1/pp1q2b1/8/2p2N1Q/P2p4/2Pn2PP/1P4K1/R1B2R2 w - -,c1h6
r1r1q1k1/1p1bppbp/6p1/1R2P3/P1p5/2Bn1NP1/1P2QPBP/3R2K1 w - -,b5b7
1rbq1rk1/1p1n1pbp/p2p1np1/2p5/P1PB4/2N2NPP/1P2PPB1/R2Q1RK1 w - c6,d4e3
3r1rk1/ppq2pbp/1np1p1p1/4P3/2P2B2/5BPP/PP2QP2/R3R1K1 w - -,h3h4
3r4/p4p2/1bB1nkp1/1P5p/1R3P2/4PK2/P2p1P1P/3R4 b - -,d8d3
8/2k2N2/5p2/1p2b3/2p1R3/3n3P/7P/6K1 w - -,f7e5
r5k1/p3brp1/b1p1pp1p/3Q3P/3P4/2P4R/1P1RNPP1/2B1K3 b - -,e6d5
2kr4/1pp1b1p1/p5b1/4q2p/2Q3PP/2N5/PKP1N3/7R w - h6,g4h5
3r2k1/1pnr1Bpp/p1p2p2/4p2P/3P2P1/5NK1/PPR2P2/3R4 b - -,g8f7
rn1qkb1r/pp3ppp/2p1pn2/3p4/6b1/1P1PPN2/PBP1BPPP/RN1QK2R b KQkq -,f8d6
6kR/8/4K1P1/8/8/1pn4p/8/8 b - -,g8g7
5k2/2p2P2/3p4/2p5/5NP1/p7/5K2/8 b - -,a3a2
r1b1k2r/1pqp1ppp/p3p3/4n1Pn/1b1NP3/2N1BP2/PPPQ3P/R3KB1R w KQkq -,e1c1
k7/1p2b3/p3P3/4Q1pp/q7/2B5/1P1R2KP/8 w - -,e5h8
7r/1pk1bpp1/2p1p1b1/7p/p1P3P1/P4P2/BP5P/2NR2K1 w - h6,h2h3
r2rb1k1/pp2qpp1/1bn1p2p/8/2BPQ3/P4NN1/1P3PPP/2RR2K1 w - -,h2h4
2k4r/p1p3pp/2p2p2/b1P1p3/1Pb5/3N2P1/PB2PP1P/5RK1 w - -,b4a5
2br2k1/1p2q1Pp/4pppB/2P2r2/1P1p4/pQ3B2/P4PPP/R3R1K1 w - -,e1e4
1b1r2k1/1p3p1p/p2q1p2/3pr3/P2N1P2/1P2P1P1/4Q2P/2RR2K1 b - f3,e5e8
3r4/pp4pk/2p4p/8/3P2Q1/1P3N2/2q1R1PP/6K1 b - -,c2b1
2r1q1k1/p1r2p2/Q1pRp2p/P3P1p1/8/6P1/1P3P1P/2R3K1 w - -,c1c4
6k1/5p2/1q1br1p1/1p6/1P2bp2/2PB4/Q4PPP/5RK1 w - -,d3e4
8/3np1k1/3p2p1/p1r3rp/2PK4/1P1B2PP/5R2/R7 w - -,a1g1
2r3k1/p3p1bp/1p4p1/1Nn5/1P3P2/4B1P1/P4K1P/2Rr4 w - -,c1d1
r2qr1k1/p4pb1/b1p3pp/1np1Pp2/8/3PN1QN/PPP3PP/R1B2R1K w - -,e3f5
1r3rk1/p1pqnppp/3p1n2/1p2p3/4P3/1QPPPN2/PP1N2PP/R4RK1 w - -,f3h4
1r6/2k1p3/p2p1b1p/PnpPp1pP/R1B1P1P1/1P6/3KNP2/8 b - -,c7b7
2rq1r2/1bpn2kp/pp2Rpp1/6N1/3P4/2P3QP/PPB2PP1/R5K1 w - -,g5h7
r2q1rk1/ppp2pbp/2n1p1p1/3n1P2/3P4/P4NB1/1PQ2PPP/2KR1B1R w - -,f5e6
r1b1k2r/1p1p1ppp/2n1p3/p1q5/2P5/P5P1/1P1QPP1P/2R1KBNR w Kkq a6,g1f3
8/p5pk/1p1pQnqp/2p5/2P2P1n/2Pb2N1/P4B1P/6KB w - -,e6d6
8/p4p1p/1p4p1/4kp2/2P5/4PKPP/PP2R3/3r4 b - -,g6g5
3B4/3n1p1p/1PR1p3/2P1k3/8/7P/1r3PK1/8 b - -,e5f5
rn1qkb1r/pp2pppp/2pp4/3nP3/3P4/5b1P/PPP1BPP1/RNBQK2R w KQkq -,e2f3
rr1qb1k1/8/2p1p2p/p1RpNpp1/Pn1P1P2/1P2P1PP/3QB3/2R3K1 b - -,b8b7
8/1pk2rp1/1R2K2p/2p4P/2P2B2/1P4P1/8/3r4 b - -,f7f4
1R2N3/1b3pK1/p1k3p1/P4r2/1p6/8/5P2/8 w - -,b8d8
