6n1/5k2/4b3/8/3BBKP1/8/8/8 w - -,e4f3
5k2/br3p1p/1P3Np1/p7/P7/1P4P1/5P1P/3R2K1 b - -,a7b6
2b1r1rk/5q1p/ppnbpp2/3p4/1P1P4/PN3N2/2BQ1PPP/R3R1K1 w - -,d2h6
1r6/1r4k1/p4R2/P2PP1p1/8/2n3P1/1p5P/1B3R1K b - -,c3b1
8/7p/3k1p2/3p2p1/3n1PP1/6NP/1K6/8 w - -,g3h5
8/5q1k/8/4QPpp/8/1p5P/1P3PK1/8 b - -,f7b7
r2r2k1/1pp1b1pp/4bp2/pP2p3/Q3N3/P1NqB1P1/5P1P/1R3RK1 b - -,b7b6
rn1qk2r/pp2bppp/2p2n2/3p4/6b1/1Q1P1NP1/PP2PPBP/RNB2RK1 b kq -,d8b6
r1bq1rk1/pp3ppp/2p1N3/3pP3/5Q1b/2N5/PPPB1PPP/4RRK1 b - -,c8e6
2r3k1/1Q2pp1p/6p1/3pP3/5Pq1/1P2P1Pn/P2B2KP/4R3 b - -,g6g5
6k1/p3np1p/3Rp1p1/2P5/1r3P2/6P1/P3N2P/6K1 w - -,d6a6
r1bqk2r/1p2ppb1/p1np3p/4n1p1/3NP3/2N3BP/PPPQ1PP1/2KR1B1R b kq -,c6d4
r1bq1rk1/4bppp/p1n1pn2/1p4B1/3P4/PBN2N2/1P3PPP/R2Q1RK1 w - b6,d1d3
5R2/8/8/8/4bn2/5kp1/8/5K2 w - -,f1g1
4k3/8/8/pRp3K1/6P1/1P3r1P/8/8 b - -,f3h3
r2q1k1r/2p1npb1/p2pb2p/1pPN4/5P1p/4B3/PP1Q1PP1/2KR1B1R w - -,d5e7
1rbr2k1/2qp1ppp/p1p1pn2/8/Nb2PP2/3BBQ2/PPP3PP/R4RK1 b - -,b4f8
2Q5/pp2bkpp/1q2pp2/3pP3/1P4P1/P7/1B2nP1P/5R1K w - -,e5f6
7r/4nk2/r2p4/1NpP3P/P3pK2/1P2N3/8/7R w - -,f4e4
2b2r1k/1p3pbp/1p4p1/1N2q3/P7/1BRrPQ1P/1P4P1/5RK1 b - -,d3d2
2kr3r/ppb1nppp/2n5/8/N4P2/3PB3/PP3KPP/R5NR w - -,g1f3
2kr1r2/ppqn1pp1/3bpn1p/2p1N3/3P1P1P/2P3N1/PP1BQ1P1/1K1R3R b - -,c8b8
