R7/8/8/5k2/1P6/4p3/1KP5/3r4 b - -,e3e2
8/3R4/7k/8/P5K1/1P4P1/3pr3/8 w - -,g4f3
6k1/6p1/3q1pbp/3p4/p1pB4/PrP4P/5PP1/R1Q3K1 w - -,g1h1
r4r2/pp3qkp/2p1bpp1/8/3QRP2/2P5/PPB3PP/5RK1 w - -,f1e1
rnb1k2r/1pqp1ppp/p3pn2/2b5/4PP2/1NNB4/PPP3PP/R1BQK2R b KQkq -,c5b4
r1bqkb1r/pp2pp1p/2np1np1/2p5/4P3/2N2NP1/PPPP1PBP/R1BQ1RK1 b kq -,f8g7
8/5ppk/6n1/1pQ5/1P2q2p/P2r3P/6PB/6RK w - -,c5h5
8/8/1B4p1/3kPp1p/pb3P1P/6P1/P1K5/8 w - -,b6f2
7r/3knp2/1p2b2p/p2pPp1P/P1pP1P2/B1P2B2/2P5/2K3R1 w - -,c1b2
rn2kbnr/pp2qppp/2pp4/4p3/2BPP1b1/2N1BN2/PPP2PPP/R2QK2R b KQkq -,g8f6
r1b2rk1/1p1nppbp/1q1p2p1/p2P4/3N4/2B1P1P1/PP3PBP/R2Q1RK1 w - -,b2b3
8/3k3p/p2Br1p1/2P5/PR2p3/6PP/8/4K1b1 b - -,d7c6
2rr2k1/4bpp1/pq2pnp1/1pn5/8/P1N1P2P/1PQ1BPP1/R2RB1K1 w - -,d1d8
r1bqkb1r/pp1n2pp/4p3/2ppP3/5P2/2P5/PP1NB1PP/R1BQK2R b KQkq f3,f8e7
8/6p1/5k2/7P/1p1P4/1BnK2P1/8/8 w - -,g3g4
r3r1k1/ppp1qp1p/1n2b1p1/4b3/4P3/2N3P1/PP2QPBP/R1BR2K1 w - -,c1e3
8/5bkp/6p1/4p1P1/3QN2P/1P6/2B1nK2/8 b - -,e2d4
r4rk1/2pnqppp/p2pb3/np2p3/P2PP3/2P1PN2/1P4PP/RB1QBRK1 w - -,d4d5
3r2k1/ppq2pp1/6np/2r5/6Q1/P3RNPP/1P2RP2/6K1 b - -,c5c4
5rk1/1rn1p1bp/3p1p2/p1pP2PQ/q3P3/8/1P1N2P1/2BRR2K b - -,a4e8
r5k1/pp3pp1/1b1N1n1p/1P6/5N2/2n1P1B1/1r3PPP/R4RK1 b - -,f6e4
3rr1k1/1bq2pbp/pppp1np1/4n1Q1/P1PBP3/1PN2P2/2BRN1PP/5R1K w - -,f3f4
8/5B2/1p6/8/P2nk3/4p3/8/4K3 w - -,f7g6
r4r2/1p1nbkpp/1pppb3/5p2/2P5/1PN1B1P1/P3PPBP/2RR2K1 w - -,e3d4
8/p4k2/5pp1/1p1P4/2n1NbPP/r7/5B2/3R2K1 b - -,c4d6
rnbq1rk1/ppp1bppp/4pn2/3P4/3P4/2N2N2/PPQ1PPPP/R1B1KB1R b KQ -,e6d5
rnb1kb1r/1p3ppp/pq1pp3/7n/4P3/1NN2P2/PPPB2PP/R2QKB1R b KQkq -,f8e7
r2q1rk1/pp2bppp/8/2np4/4n3/2B1PN2/PP3PPP/RN1Q1RK1 w - -,c3d4
