8/8/8/2R3kp/r5p1/4P1P1/4KP2/8 b - -,g5g6
8/8/6N1/4p2p/4k2P/8/3n2K1/8 b - -,e4f5
2rqk2r/1p2ppbp/3p1np1/p2Pn3/4P3/2NBB3/PP3PPP/R2Q1RK1 w k -,d3b5
2kn4/ppp3pp/5p2/3P4/6P1/2KP4/P4PPB/8 b - -,c8d7
2r5/2q1n1k1/p1p2pp1/N1Q1p2p/1P4bP/4P1P1/P4PB1/2R3K1 w - -,a2a4
2q2rk1/2r1bppp/p3b3/2p1p3/1p2PP2/3Q2PP/PPPN2BK/R1R5 w - -,d2f3
2r1r1k1/1p1bppb1/p1np1npp/8/2PqPP1B/2NQN3/PP2B1PP/2R2R1K b - -,d4d3
8/6pk/7p/p2q1p2/3prP2/1P2r1P1/P1R2Q1P/3R2K1 w - -,d1f1
r4rk1/p2nb1pp/b1p1pp2/q2n4/Np1PP3/1Q3NP1/PP3PBP/R1B1R1K1 b - e3,d5c7
1rbqk1nr/4ppbp/p1np2p1/1pp5/P3P3/2NPB1P1/1PPQ1PBP/R3K1NR w KQk b6,a4b5
3rr1k1/1p1bqpp1/1n2p2p/p2nQ3/P2N4/1BP4P/1P3PPN/R3R1K1 w - -,h2f3
r3r2k/6b1/1N5p/p1PB1n2/3p2b1/BP4P1/4P2P/3R2K1 w - -,d5a8
8/6k1/1pp2R2/p1p1K3/2P5/r2P2P1/8/8 w - -,f6c6
5rk1/3r1pp1/pB1qp1p1/3n4/Pp4P1/4PQ1P/1P2KP2/1BRR4 b - -,d6b6
6k1/3b2p1/5p2/N1P4p/P2Qp1q1/4P1P1/5P1P/6K1 w - -,c5c6
1r3rk1/1pqb2bn/p2p2pp/n1pP1p2/P1P1Pp2/2N3BP/1P1NB1P1/R2Q1RK1 w - -,g3f4
8/pp6/1b1p2kp/3P1Np1/3PP1P1/1p3K2/1r6/7R w - -,h1h6
8/7p/4Qn2/5Pk1/1pR5/3K2q1/8/8 w - -,d3c2
r3r1k1/5p1p/3p1pp1/2pPb3/PQ2P3/2N3PP/1P3PK1/R3R3 b - -,c5b4
r4r1k/1pp1qnb1/3P2p1/1N1Pp2p/1PQ1Pp2/5P2/3B2PP/1R3RK1 b - -,c7d6
8/8/4p3/4k3/2K1n3/8/8/4R3 b - -,e5f5
r3r1k1/pp1nqpbp/6p1/2n5/4p2N/2P1B1Q1/PPB2PPP/3RR1K1 w - -,e3d4
3q1rk1/4bpp1/3p4/p1rPp3/Pp3PPp/2P4P/1PQ1b1B1/R3R1K1 w - -,c2e2
6R1/4bk2/r1p3p1/p4p1p/P7/1P2BP1P/2K3P1/8 w - -,g8b8
8/6p1/4p1kp/8/8/3q2PP/2p2P1K/4Q3 w - -,e1e6
b2R2k1/7p/4p1p1/p1r1b3/2P3P1/7P/P7/4R1K1 b - -,g8f7
r2q1rk1/pQpbbpp1/7p/3N4/8/3P4/PPP2PPP/R1B1R1K1 w - -,d5e7
8/8/2k1p1p1/p5P1/P4P2/4K3/8/8 w - -,e3e4
4r2k/1b6/pp3nQ1/3pp1bn/1PP5/8/P5KP/2R2R2 w - -,g6f7
8/3r3k/ppp1q2p/5p2/2PbpB1P/PP1nN1Q1/5PP1/3R2K1 w - -,f4b8
8/8/1R6/pB6/Pk1r4/2p4K/7P/8 w - -,b5d3
2r3k1/8/2P5/7p/6b1/8/P1R5/6K1 b - -,g8f7
5rk1/n2bqr1p/1p2p1p1/p1bpP3/P2N3P/2PB2P1/3NQP2/1R3R1K b - -,d7a4
r1bqkbnr/pp1npppp/2p5/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq -,f1d3
3rn1k1/1r3ppp/1pR1p3/q2p1n2/PN1P4/1P3Q2/N4PPP/2R3K1 w - -,f3d3
8/5P2/6K1/2pk4/1p6/8/5r2/R7 b - -,c5c4
3b2k1/5pp1/2B3p1/3p4/5P2/3nP1P1/7P/4B1K1 w - -,e1c3
