2bn4/4k3/1P6/2NBP1pp/1K6/6P1/8/8 w - g6,b4c3
3r1r1k/p3qpbp/1p1R2p1/4P3/P1b1NPB1/4R1P1/1PQ4P/6K1 b - -,d8d6
rn1qk2r/pbpp1ppp/1p2p3/8/2PPn3/1QN1P3/PP3PPP/R1B1KB1R w KQkq -,c3e4
r7/3nk1p1/pr1p1p2/2pPp1n1/4P1Pp/1PNB3P/2P3P1/R4RK1 w - -,a1a4
r2qk3/pp1bb1pr/2p1pnp1/3p1p2/2PP1BP1/2N1P2P/PPQ2P2/R3KBR1 w Qq -,e1c1
1rr5/p4pkp/2pRp3/2P1n3/3R1P2/1N6/P3P2P/6K1 b - -,e5g6
r5k1/p4rb1/3pN3/1q1PnP2/1p2n3/1Q2B1P1/PP4K1/4RN1R w - -,e3d4
3rk2r/1pqbbp1p/pNnppp2/P7/4P3/1N6/1PPQBPPP/R3K2R b KQk -,c6a7
5rk1/3r3p/1p6/p1p1bqp1/P7/N1PbR2P/1P3PN1/R1Q3K1 w - -,c1e1
5k2/pp1B1p1p/3b1Pq1/3p4/8/5R2/PP3P2/5R1K b - -,d6e5:g6e4
6k1/ppp1r1b1/3p2p1/3P3p/1PP2p2/1RNn1N1P/P4PP1/6K1 b - -,d3c1
r4rk1/p2qbppp/1p2bn2/3p4/3Q1B2/2N3P1/PPP2PBP/R3R1K1 w - -,f4e5
8/r4r1k/p2p2p1/Q1pP2P1/1p5P/6K1/2P5/8 b - -,a7b7
6k1/1p3ppp/2n5/p2b4/4p3/P1B1P3/1P3PPP/3B2K1 w - -,d1a4
1r2k2r/2qpbppp/p1p1p3/3nP3/2PB4/8/PP2BPPP/R2Q1RK1 b k c3,d5f4
r3kb1r/p1pnp1pp/2pq4/3pNb2/3P1B2/8/PPP2PPP/RN1Q1RK1 b kq -,d6b4
1r6/p1r1k3/2p1bp1p/2R1p1p1/1P2P3/P3KP2/4B1PP/7R w - -,h2h4
r4rk1/3qbppp/pp1ppn2/2p5/P2NPB2/2NP3P/1PPQ1PP1/R3R1K1 b - -,c5d4
8/8/4k1pp/4n3/5PKP/2N5/8/8 w - -,f4e5
r1b1r1k1/5pPp/p3pB2/b2p2P1/4B3/4q3/PPQN3P/2KR3R b - -,d5e4
4r1k1/pN3p1p/1n4p1/4r3/P2R4/1P4P1/7P/3R3K b - a3,e8e7
