r7/2Rb1p1p/3Pk1p1/P7/8/8/3R3P/6K1 w - -,c7b7
4R3/pp4kp/6b1/2BP4/6R1/4P1K1/r5BP/4b3 w - -,g3f3
2r3k1/1qr3p1/pb1p1n1p/1p1Pp3/1P2P3/PNN2RP1/2R3KP/2Q5 b - -,f6e4
2q5/5kr1/p2p1p2/P2P3P/2P1QP2/4BK2/8/8 b - -,c8g4
b2r2k1/3n1p2/1pBPp1p1/pPn3q1/P2R4/B6P/6N1/3Q2K1 b - -,d7e5
4n1k1/5p2/4pbp1/7p/8/4P1BP/3N1PP1/6K1 b - -,f6a1
8/1pk2p2/p1p5/2P2p2/8/2P5/PP6/1K6 w - -,b1c2
3r3r/5kb1/1pBBnpp1/p1p4P/2P5/P7/1P3P1P/3R1R1K b - -,h8h5
2kr4/pp5p/4P1p1/2p2p2/8/1QP3q1/P4R2/1R3K2 b - -,g3h3
8/p1p1R3/1p3r1k/6Rp/PP3p2/2P2K1P/5P1P/8 b - -,h6g5
3rqrk1/ppp3bp/n4np1/3Np3/2P1PPb1/1P3N1P/PB3PB1/R2Q1RK1 b - -,g4h5
7k/1p4q1/3pr2p/PN4p1/2PP1pP1/5P2/1Q3K2/8 b - -,g7f6
r2q1rk1/1p1nbppp/2p1pn2/p2p4/2PP3N/1P4P1/PB1NPPKP/R2Q1R2 w - a6,a2a4
r2q1rk1/5pbp/p1np4/1p1Npb2/8/2P1N3/PP3PPP/R2QKB1R b KQ -,f5e6:f5g6
2r3k1/6p1/p1p1p2p/4P3/1rNP1n2/R7/1PR1K1PP/8 w - -,e2e3:e2f3
1nb2qk1/1p3pbp/r3p1p1/1N6/2B5/8/P1P1Q1PP/3R1RK1 w - -,g1h1
r1b2rk1/pp2bppp/2n1pn2/7q/Q1p5/P1N1N1P1/1P1BPPBP/R3K2R b KQ -,c6d4
4k2r/2r1ppbp/B1p1n1p1/1PPnN3/3P4/7P/1B3PP1/R3K2R b KQk -,g7e5
2r3k1/1q4pp/p2p4/1p1r1nP1/4pP1P/PPR4K/2P1N3/2Q1R3 b - -,b7d7
6k1/1p3p2/7p/6p1/1P3rP1/6K1/1R2PP1P/8 b - -,b7b5
5r2/pb5k/5P1p/4q3/1PQ1p3/PB6/6PP/5R1K b - -,b7c8
rnbqr1k1/1p3pbp/p2p1np1/2pP4/2P5/2NBBN1P/PP3PP1/R2QK2R w KQ -,e1g1
7r/4q1bk/r1np2pp/p7/1p1pPP2/1Q1P2P1/PP1B2B1/1KR4R w - -,b3d5
1rbqr1k1/R2n1pbp/3p1np1/1p1PP3/2p2P2/2N1B1NP/1PB3P1/3Q1RK1 b - -,d6e5
4r1k1/1ppb2p1/7p/3Pp3/p1n1P3/P1P2NP1/5KBP/R7 w - -,g2f1
8/5p1k/8/2P5/7Q/6P1/1pq2PK1/8 b - -,h7g8
r7/1kp2bp1/5p2/1p6/1Pp1P2p/2P1bP1P/1N4P1/4RK2 w - -,e1e3
8/6p1/3r1k1p/5p2/7P/1R6/5KP1/8 b - -,g7g5
r7/pp1R1pk1/4p2p/8/P3rP2/R7/4B1PP/7K b - -,e4e2
4r3/r2q1pk1/p2p2np/2pPn3/Pp2P3/7R/1PQ1B1PP/4BR1K w - -,e1d2
8/1B1b2kp/6p1/4pp2/7P/P3K1P1/5P2/8 b - -,g7f6
8/5pkp/3n2p1/2R5/1r3PP1/8/2B2PKP/8 w - -,c5d5
r4rk1/2qn1pbp/2p2np1/ppPpp3/1P1P4/P1QBPP1P/4NP2/R1B1K2R w KQ -,f3f4
k3r3/pp1Q1p2/4r3/2P5/8/2B3P1/PP5P/5K2 b - -,e6e7
