8/6RP/8/5kPr/8/6K1/8/8 w - -,g5g6
2r1k2r/p2q1ppp/2nbpn2/1p6/2pP4/6P1/PP2PPBP/RNBQ1RK1 w k -,b1c3
r1bqkb1r/pp1n1ppp/2p2n2/3p2B1/3P4/2N5/PPQ1PPPP/R3KBNR w KQkq -,e2e3
r1b1qrk1/1pp2pb1/p2p1np1/2nPp1Bp/P1P1P1P1/2N2P1P/1PQ5/R3KBNR b KQ -,f6h7
8/kp6/p1pB3p/2Pn2p1/P3q3/KP4P1/3Q4/8 w - -,a3a2
1r2Rr1k/ppp3p1/3p1n1p/7P/2P3q1/P2Q2P1/1PB2P2/4R1K1 w - -,e8e7
r1b3k1/p1qn1r2/2p1pb2/2Pp1ppp/3P4/3NPNP1/P3BPP1/1R1Q1RK1 w - -,d1a4
r2r2k1/pp2bppp/1n2pn2/8/3N3q/1P1NPP1P/PB2Q1P1/R2R2K1 w - -,e3e4
r2qk2r/1bp2pp1/1bnp1n1p/1p2p3/3PP3/1BP2N2/1P3PPP/RNBQR1K1 w kq -,a1a8
r1r1q1k1/pbp2pbp/1pnp2p1/1N6/2P1PP1B/P4B2/1PQ3PP/3RR1K1 b - -,a7a6
r1bqk2r/pp2ppb1/3p1np1/3P1n1p/5P2/2N3PP/PPP1NBB1/R2Q1RK1 b kq -,c8d7
r3r1k1/pp1n1ppp/2p1p1b1/q2NP3/Pb1P4/1B2BN2/1P2QPPP/R1R3K1 b - -,c6d5
6k1/6Np/p7/1p5p/3n4/3Q2P1/PP2PPK1/2q5 b - -,c1b2
1r1r4/p2bk1bp/1p2n1p1/P3pp2/2B5/1NP1BP1P/1P4P1/3RR1K1 b - -,d8c8
5rk1/pp3pp1/2b1p2p/1q1pP3/1b1P4/1N1NQ3/PPR2PPP/6K1 b - -,b4e7
8/5p1p/5pk1/3Np3/4P1P1/1b3PKP/8/8 w - -,d5e7
rnbqkb1r/p1pp1ppp/4pn2/8/1p1P1B2/P3PN2/1PP2PPP/RN1QKB1R b KQkq -,c8b7
5r2/p2k2b1/1pn1p3/3r4/1P2NBPP/P2p1R2/8/5RK1 w - -,f4d2
r3kb1r/pb3ppp/1q2pn2/1pp5/3P4/5NP1/PPQ1PPBP/RN3RK1 w kq -,e2e3
8/3k1pp1/3p1n1p/5P2/2KN2P1/5BbP/8/8 b - -,g3f2
6k1/4bppp/8/1pp5/5P2/1P1qP3/5P1P/5BK1 w - -,f1d3
8/5rkp/6p1/R3Q3/1p6/3N4/PPP3q1/1K6 b - -,g7g8
3rk2r/2pqbppp/p1n5/1pnpP3/6b1/2P1NN2/PPB2PPP/R1BQR1K1 b k -,g4h5
r1b1k2r/4bp1p/pqp1p3/4p3/4N3/8/P1PQB1PP/3RK2R w Kkq -,e4d6
rnb2rk1/p1q1Bpp1/2p1p2p/4N3/2BP1PQ1/2P1P3/6PP/R4RK1 b - -,c7e7
4b3/1pk4r/p3pp1b/4p2P/2P1P3/1P3B2/P4N2/1K5R b - -,c7d6
r7/p6R/R7/5pk1/3P4/3r2P1/5P1P/6K1 w - -,h7g7
r4rk1/ppp2ppp/4b3/1Pbn2q1/2N5/2PP1Q2/PB1N1PPP/R4RK1 b - -,d5f6
2r3k1/p4p1p/1p1R2p1/4p3/8/5P1P/P5PK/3r4 w - -,d6d1
1r1rn3/4qpk1/1p1pb1pp/p2B4/P2Q2P1/2N4P/1PP2P2/3RR1K1 b - -,e7f6
1r2kbnr/pp2pppp/2pq4/3Pn2P/8/1QN1BP1B/PP2PP2/R3K2R b KQk -,b7b5
rnbq1rk1/p1p2ppp/1p1ppn2/8/2P5/P1QP1N2/1P2PPPP/R1B1KB1R w KQ -,g2g3
5rk1/1b1prp1p/p5p1/4PB2/1P1q4/P3R3/5QPP/5R1K w - -,f5h3
4r1k1/1N1R1p1p/2p5/1qP3p1/5n2/7P/5QP1/6K1 b - -,b5b1
r4rk1/p2bbppp/3q1n2/2pP4/PpP5/1P2N3/3N1PPP/R1BQ1RK1 b - -,d6e5
8/3n4/6pk/4b2p/4P3/5K2/3N4/8 b - -,g6g5
5k2/8/3n2p1/4p2p/4P3/4qPPP/r2p1NK1/3R1Q2 w - h6,d1b1
2rq1rk1/p2nbppb/4pn1p/1ppp4/1PP5/PQ1P1NP1/1B1NPPBP/R4RK1 w - b6,f1c1
8/1kp4p/6p1/4p3/P1P1K3/4BP1P/1b4P1/8 b - -,b7a6
1r3bk1/2qr3p/p2p2P1/1p2p2Q/8/P2BBP2/1PP4P/1K1R4 b - -,b5b4
r2qkb1r/pp3pp1/2n1pn1p/2p4P/3P4/3QBNN1/PPP2PP1/2KR3R b kq -,d8a5
2r1r1k1/pp1n1p2/6pp/3P4/1B2p3/8/Pb1N1PPP/2RR2K1 w - -,c1c4
r2q1rk1/pb1nbppp/1p2pn2/2p5/2P5/2N1PNP1/PB1P1PBP/2RQ1RK1 w - -,d2d4
r2qr1k1/2n2pbp/3p2p1/2pP1P2/ppP4P/1P1B1NQ1/P5P1/1R2R2K b - -,a4b3
r3q1k1/p2brp2/1p1p1Bp1/2pP2P1/2P5/3Q4/P1B3PP/1R4K1 w - -,d3g3
bq2r1k1/3n1pbp/5np1/1pppp1N1/4P3/1QPPB1N1/1P3PPP/1B3RK1 w - -,e4d5
r2q1rk1/ppnnbppb/4p2p/2ppP3/7P/3P1NP1/PPP1QPBN/R1B1R1K1 b - -,b7b5
1r3rk1/8/7p/4b1p1/p3B3/4B1P1/P1N4P/2R3K1 w - -,e4c6
r3rbk1/1bqn1p1p/p2p2p1/1ppPp1B1/4P1P1/1PP2N2/P1B2PP1/R2QR1K1 b - -,f8g7
1r1r1bk1/1p3p1p/p1p3p1/P2n1q2/Q1BPp3/4P2P/1PR2PP1/2R1B1K1 w - -,e1d2
2rr1k2/p4ppp/1p2pn2/4B3/P3PPP1/1n3B1P/7K/3RR3 b - -,d8d1
r1bqkbnr/p2ppp1p/2p3p1/4P3/3Q4/8/PPP2PPP/RNB1KB1R w KQkq -,e5e6:b1c3
2k2b1r/2p2ppp/p7/3r1b2/2p5/4BP2/PP2N1PP/2R1K2R b K -,f8b4
8/pp4k1/3NR2p/5K2/P4P1b/8/7r/8 w - -,e6g6
1k1r1b1r/pbp2ppp/3q4/8/2Pp1PQ1/PP1B4/2KN2PP/R6R b - -,g7g6
4k3/3n1n2/2p2p2/N5p1/4PP2/BP3K2/8/8 b - -,g5f4
r4rk1/pp3pbp/1nppbnp1/q7/2PBP3/2N3PP/PP1N1PB1/R2Q1RK1 w - -,d1f3
6k1/4pp1p/3p2p1/2p5/3bPPB1/3P2P1/1r5P/3R3K w - -,g4h3
r1bqk2r/2p1npbp/p2p2p1/np1P4/4P3/1B3N2/PP1B1PPP/RN1Q1RK1 b kq -,c7c5
6k1/8/7p/8/P3r3/5pPP/R7/6K1 b - -,e4e1
1R6/5k2/r7/5PK1/5P2/8/8/8 w - -,b8h8
2R5/1r4p1/p2b1p2/3p3k/1P1P1P2/3K3P/3r4/6R1 w - -,d3d2
8/1b1r4/p2kp1BP/1p6/3B1P2/2P2n2/P4K2/4R3 b - -,f3h4
r4rk1/pp1bn2p/1q2p1pQ/2bpp3/5P2/2NB3R/PP4PP/R1B4K b - -,f8f7
8/7p/4k3/4p3/5P2/4bP2/R6P/2r1BK2 b - -,e3f4
rnbqk2r/1p1p1ppp/p3p3/8/Q1PN4/2P3P1/P3PP1P/R3KB1R b KQkq -,b8c6
rnb1k2r/pp2p1bp/2p1q1p1/8/3P4/3B4/PPPBQ1PP/R3K1NR w KQkq -,d3c4
r2q1rk1/pp2bppp/2p1pn2/5b2/3Pn3/4P1P1/PP1NQPBP/RNB2RK1 w - -,d2b3
6B1/8/8/6bp/8/4pK2/7k/8 w - -,g8f7
