8/5k1p/3p4/2p2PP1/p7/B6P/8/b4K2 b - -,a1c3
3r1rk1/2q2pp1/b1p1p1np/p1P1P3/Pp1PNP2/1B3QP1/R6P/3R3K w - -,e4d6
1rrq2k1/4ppbp/pp1p1np1/3b2B1/2P5/1P1Q2P1/P3PPBP/2RR2K1 w - -,c4d5
r4rk1/1b2bppp/1p6/1p1Pp3/8/2P2PP1/P3N1BP/1Rn2RK1 w - -,e2c1
2b1k3/p3n1bp/2p2p2/q1Np2p1/3P2P1/1P4BP/PKP2Q2/3N4 w - -,c2c3
1r4qk/3b2rn/p2p1pp1/2pPp3/2P1P1PP/1PQ1B1R1/2B5/5RK1 b - -,d7c8
3r4/3r1pk1/5qpp/R2p2n1/2p3P1/4P1BP/2Q2PK1/5B2 b - -,g5e4
1r1q1rk1/5ppp/2npb3/p2Np1b1/1pP1P3/1P1Q4/P1N1BPPP/R4RK1 w - -,a1d1
r1bq1rk1/ppbn1ppp/2p1pn2/2Pp4/3P4/1P1BPN2/PB1N1PPP/R2QK2R w KQ -,e1g1
r3kb1r/pppqpppp/1nn1b3/4P3/3PN3/3B1P2/PP2N1PP/R1BQK2R b KQkq -,e6d5:c6b4
1R6/r4p2/6p1/1p5p/k4K1P/P4P2/8/8 b - -,a7a5
8/5p2/3K4/3P4/5k1P/R3NP2/b2r4/8 b - -,d2e2
3nb3/1pp1k3/p2p2pp/2PPp3/1PN1P1PP/P1N3K1/8/8 w - -,c4e3
8/1p4p1/2p1R3/1p4k1/3rP3/5R2/1P2K3/2r5 w - -,f3f7
3r2k1/p4p1p/2n1b1p1/8/4p3/PPb1BP2/2P1BKPP/6NR b - -,c6d4
8/3r4/3Pk3/p1P1Pp2/2KBr3/1P6/P7/8 w - -,c5c6
6k1/7p/8/1R6/2p5/P5KP/1Prp2P1/8 w - -,b5d5
r1b1r1k1/ppp2pp1/1b2n2p/4P3/4N2q/1BP2QP1/PP3P1P/R1B1R1K1 b - -,h4h3
1R6/5p2/8/6pk/4b2P/1P2K3/8/8 b - -,f7f5
8/6pk/3q3p/1p6/nP3P2/P1p1N2P/2Q2P1K/8 b - -,h7h8
8/8/4k1R1/1r2p3/8/7P/6PK/8 b - -,e6f5
1r2rbk1/2pq2pp/p2nbp2/4p3/P1p1P2N/2BPNPP1/2PQ3P/R4R1K b - -,c4d3
2r2rk1/1b1nqp1p/p2ppbp1/Np6/1P2PP2/P2PB3/5QPP/1NR2RK1 b - -,b7a8
