8/3Rk1p1/4P3/5P1p/p3K1bP/3p4/8/8 b - -,e7e8
5r2/5pkp/brnp2p1/1q2P3/p2pP3/P2P1NP1/1PQ2RBP/2R4K b - -,d6e5
8/8/Q6p/3bk1p1/4pq2/7P/6P1/6NK w - -,a6h6
8/1pq3pk/2b2r1p/r2p1P1P/3Q1R2/2NB4/8/1R4K1 b - -,a5a3
r4rk1/pb2b1p1/4p1Q1/1P2q2p/2ppNB2/3B2PP/PP6/R3K2R b KQ -,f8f4
r3k2r/1bp1qp2/1p1p1n2/p1nPp1pp/P1P5/2P1P2P/3NBPPB/R2Q1RK1 b kq -,b7c8
8/5pk1/6p1/pN6/P1p2R1p/2Pb3P/1P2r1PK/8 w - -,b5d6
rnb1k2r/pp2bppp/4pn2/3q4/3N4/2P1B3/PP3PPP/RN1QKB1R w KQkq -,c3c4
7r/1k5p/pbb1N3/8/1p2R3/1P6/1PP3PP/3R3K w - -,e4f4
3r2k1/pp2p1bp/4n1p1/5p2/3rN3/1P2R2P/P2B1PP1/3R1K2 w - f6,e4c3
3rrb2/pp1q1p1k/2n3pp/PQpnp3/8/2PP2PP/1P1N1PB1/R1B1R1K1 b - -,d7c7
5k2/6p1/1r1nppbp/p2p4/P1pP4/2P1P2P/1rB1KPP1/RN2N3 w - -,b1a3
3b4/6p1/6p1/3kp3/6P1/3K1PN1/7P/8 w - -,g3e2
2r2rk1/1ppb2p1/1nn1pq1p/1N1p4/3P3P/1P1BRN2/P2Q1PP1/R5K1 b - -,c6e7
2r3k1/pp3p2/2np4/3N3p/8/PNB5/1PP1r3/1K5R b - -,g8f8
8/8/6pk/7p/R7/8/5P1K/6r1 b - -,g1g4
2q1rrk1/1b2bppp/p2p1n2/1p2P3/4P3/P1NBBQ2/1PP3PP/4RR1K b - -,d6e5
r4k2/1pr1pp1p/2bp2p1/p3n3/P2RP3/2N2PP1/1PP2K1P/R4B2 w - -,a1c1
8/p1r3kp/8/5p2/8/5P2/B3RK1P/8 w - -,f2g3
8/1ppq2kp/p2n2p1/3P1p2/2B5/1P3PP1/P6P/4Q1K1 w - -,e1e5
6k1/q1r2pp1/2pr2p1/pp2P1P1/P1Q1P1B1/bPP3P1/1R4K1/5R2 w - b6,a4b5
2r1n3/1brnk3/pp1pp1p1/5pPp/1PPN1P2/P1B1P2P/1K1R4/2R2B2 b - -,b7e4
r4rk1/1p1nqpbp/p2p1np1/2pP4/P3PB2/2N2B1P/1P3PP1/R2QR1K1 b - -,f8e8
8/5p2/3Np1kp/4Pp2/4nP2/4PK2/7P/8 b - -,e4c5
6r1/3k3p/5n1p/2R3B1/2P5/p2P4/r5P1/5RK1 w - -,f1f6
2b2nk1/Qp3ppp/1P6/4Pp2/7P/3q1N2/5PP1/4R1K1 b - -,g7g6
1brr2k1/pp2qpp1/1n3n1p/3pp3/3N4/PQ1PB1PP/1P2PPB1/R1R3K1 w - -,d4f5
8/1k3p2/3pn1p1/pP1Np1b1/P3P3/3KBP2/2P4r/1R6 w - -,e3g5
1q6/5pk1/2Q3p1/1P5p/4P3/7P/6PK/8 w - -,h2h1
3r3k/2q2p1p/p3p2b/2p3R1/8/1QP1NP2/PP1r2PP/4R1K1 w - -,g5g4
rr4k1/2p2ppn/2Pp3p/1p2q3/1B2P1P1/P3QP2/1P1R4/1K4R1 w - -,f3f4
r4rk1/3b1ppp/p3p1n1/1p1qN1P1/3PN3/P1P5/1P3P1P/R2QR1K1 w - -,e5g6
8/3q2k1/8/6PP/8/2Q5/4P1K1/8 b - -,g7g8
