8/7p/4K1p1/1k5r/4R2P/8/8/8 b - -,b5c5
5r2/p1p2k1p/bp1p3r/3P4/2P5/2P2PK1/P2N4/4RR2 b - -,f8g8
2rr2k1/p4pbp/1p2p1p1/2q1P3/P1P5/5N2/2Q2PPP/R1R3K1 w - -,c2e4
8/1R4pk/8/p4P1P/P1p3K1/1p6/8/5r2 w - -,g4g5
rnb2rk1/p3qpp1/1p2p2p/2p5/2BP4/2P1PN2/P4PPP/R2Q1RK1 w - -,d1e2
1r1n2k1/2qbppbp/p5p1/8/2Pp1PP1/N2P3P/Q5B1/4NRK1 b - -,d7c6
2r3k1/5ppp/pp6/8/2P5/2P1r2P/P4R1P/1R4K1 b - -,e3e6
r1bqr1k1/pp1nppbp/2pp1np1/8/2PP1B2/2N1PN1P/PP2BPP1/R2Q1RK1 b - -,d8b6
2r2rk1/pb4pp/1p3p2/8/3Bp3/qP2P3/P3QPPP/2R1R1K1 w - -,e2b2
r1b2rk1/1pq2ppp/p2ppn2/8/4P1P1/2NQb2P/PPP2PB1/R4RK1 w - -,d3e3
r1bq1rk1/pp2n1bp/3p1np1/2pPpp2/2P1P1P1/2N2P2/PP1BB2P/R2QNRK1 w - -,e1d3
8/5k1K/n1pB2p1/P1Pp1p1p/5P1P/2P3P1/8/8 b - -,d5d4
2rq1rk1/1p1n2pp/p2p1bb1/3Ppp2/2P2P2/1N2B3/PP1QB1PP/R2R2K1 w - -,a1c1
6k1/pp1n2bp/1q2p1p1/2ppPr2/3P4/2P3QP/PP2N1PK/R1B5 w - -,a2a4
rnb1r1k1/6bp/p2P2p1/qp2pp2/P1p1NP2/5B2/1P4PP/R1BQ1RK1 b - -,f5e4
r3r1k1/pp6/2nq3p/3R2p1/1PP1P3/3p2P1/PR1Q2BP/7K b - -,d6f6
3rb1k1/p5p1/1p1Pn2p/3p1Nq1/8/8/PP1Q2PP/1B3RK1 w - -,d2d5
1r3rk1/4ppbp/bq1p1np1/p1p5/3PPP2/2P1N1PP/P2QN1B1/2R2RK1 w - -,d4d5
r4rk1/p1q2pb1/1pn1bnpp/2p1p3/P3P3/2P2NP1/1P2QPBP/R1B1RNK1 w - -,f3d2
r7/p3kR2/1bb1P2p/2p3P1/2pp4/2P5/P1P3P1/R5K1 b - -,e7e6
2r2rk1/p2nbppp/4pn2/8/1p1N4/3bP1P1/PPqNQPBP/R2RB1K1 w - -,d4c2
r5k1/p1rn1ppp/1p2p3/2p5/3P4/P3PN2/1PR1KPPP/2R5 w - -,b2b4
3rkb1r/1p3ppp/p1q1pn2/2p5/3P4/2P1B3/PP1N1PPP/R2QR1K1 b k -,f8e7
r1R2r1k/1n1P2np/pp1R4/4N1p1/1p2Pp2/5P2/P3BKPP/8 w - -,d6b6
r4rk1/1bpnqppp/1p1p1n2/p3p3/2PPP3/P1B2NP1/1PQ2PBP/R3R1K1 b - -,c7c5
8/r4pk1/q5pp/rp1p4/2bP4/P1P1QPPB/1R2P2P/R5K1 b - -,a6c6
2n3k1/1p1n1pp1/p1p3qp/8/3BP3/PPQ2PPB/7P/6K1 b - -,c8b6
r4k2/p1R2p1p/1pb1p3/4n1pN/8/2N5/PPP3PP/2K5 w - -,h5f6
6rk/pb2q1r1/1p3N1p/2p1p1P1/2Pn1p1P/P1R2P2/1P3Q2/1B4RK b - -,e7f6
6k1/P7/2b5/2b2p2/3N4/1p5P/6P1/B5K1 w - -,g1f1
1qrr1bk1/5pp1/p3p3/3b3p/2R2P1P/1P4P1/PQ2RNBK/8 w - -,g2d5
rn1k4/pp2n2r/2p1B2p/3p2pq/3P4/2N1QPB1/PPP5/2K1R1R1 b - -,b8d7
8/5p2/8/6kp/5N2/1r1pKPP1/2bR4/8 b - -,c2b1
2rrb1k1/6p1/3Ppp1p/8/2PQ2N1/1p1B2P1/1P2RK1P/7q b - -,e6e5
bn1r2k1/1n2bp2/1p1pp1pq/pP2P3/P1r2P2/B5NP/3RN1B1/1Q1R2K1 b - -,e7h4
2NR4/1p3pkp/p4np1/4b3/P4PB1/1q2B3/1P3Q1P/6K1 b - -,f6g4
r1bq1rk1/1pp2pbp/p1np1np1/8/2PN4/2N1B1PP/PP2PPB1/R2Q1RK1 b - -,c6e5
2kr3r/ppp2pbp/2n3p1/4P3/5Bb1/2P1PN2/P3BPPP/R2K3R w - -,d1c2
6k1/1q2pp1p/6p1/1p1rP3/1P2p3/4Q1P1/4PP1P/2R3K1 w - -,c1c5
1n1qr1k1/rb2bp1p/p1p1p1p1/1p2P1B1/P2PN2P/2PQ1B2/5PP1/R4RK1 b - -,e7g5
2r1k2r/2qnbpp1/p2p3p/1p1B4/4PpPP/3Q4/PPPB4/2KR1R2 w k -,d2f4
4r1k1/p1n2p1p/1r1p2p1/1ppP4/5Pbq/2P3N1/P2QPPBP/3R1RK1 w - -,d1e1
r2r2k1/4ppbp/p1q3p1/1p1bP3/1P1B1P2/2P2B2/6PP/R2Q1RK1 b - -,e7e6
1r2r1k1/p7/1pq3n1/4ppB1/2Pp4/PQ1P1PP1/4P1K1/1R5R w - -,b3b5
8/1Rbk4/5P2/p1p3n1/2P1p1K1/8/P6p/8 w - -,b7b1
r2q1rk1/5pbp/2npb1p1/ppp1p3/1P2Pn2/P1PPNN1P/2BB1PPK/R2QR3 b - -,a5b4
r2q1rk1/pb3pp1/1bp2n1p/1p6/4P3/P2B3P/1PQ1NPP1/R1B2RK1 w - -,e2g3
8/5p2/7k/7p/8/1r1pKPPN/3R4/1b6 w - -,h3f4
r5k1/pp2p1bp/5Pp1/8/5P2/2P5/PP2K1P1/R1B2N1r b - -,e7f6
r1bq1rk1/ppp1p1bp/5np1/3P1p2/2P1p3/1QN3P1/PP2PPBP/R1B2RK1 w - -,f1d1:c4c5
1nrqrbk1/1b3p2/p3p1p1/3pPnPp/1P1P1P1P/N3B3/4N1B1/1R2QRK1 w - -,e3f2
rnb2rk1/2p1ppbp/p1q2np1/1p6/3P1B2/1BN5/PPP1NPPP/R2QR1K1 w - -,e2g3
5rk1/6pp/p2q1b2/1p1pp3/1P4b1/1N2Q3/PP1R2PP/5R1K b - -,f6g5
rn1qk2r/pb3ppp/1p2p3/2ppP3/3P4/P1bB1N2/1PPQ1PPP/R3K2R w KQkq -,b2c3
2rr2k1/1b2qpbp/p1n3p1/8/8/1Pp2N2/PBR1BPPP/1Q1R2K1 w - -,b2c1
rn1qkb1r/pb3ppp/1p1ppn2/8/2PNP3/P1N5/1PQ1BPPP/R1B1K2R b KQkq -,f8e7
r1q2rk1/bpp2ppb/2np1n1p/p3p3/1PP5/P1NPP1PP/5PBK/1RBQNR2 b - -,f8e8
r1br2k1/1p2qpbp/2p3p1/2P5/n3P3/PR1BBP2/2Q1N1PP/2R3K1 b - -,a4b2
1rbqr1k1/1p1n1pbp/p2p1np1/2pP4/P3PP2/2N5/1P1NB1PP/R1BQ1RK1 w - -,f1e1:d1c2
r4rk1/1p1bqpp1/1bpp1n1p/p4P2/P1BpPB2/1N1P4/1PP3PP/R2Q1RK1 w - -,d1f3
2rq1bk1/1p3p1p/p1b1rnp1/P1pNp1B1/2P1P3/R2B3P/1P3PP1/2Q1R1K1 b - -,f8e7
