1n1r4/5k1Q/8/p5R1/1p1q4/8/PPP5/1K6 b - -,f7e6
r4r2/p1pp1p1k/bp2pp1p/n7/q1PPP3/2PB4/P2NQPPP/2R2RK1 w - -,c1c2
6k1/5p1p/4p1p1/q7/2P1Q3/6P1/Pr3PKP/2R5 w - -,c1c2
r2qr1k1/p4ppp/npp2n2/3p4/1P1P1P2/P1NQ1P2/6PP/R1B2RK1 b - -,a6c7
r5k1/pb1rbppp/2n3q1/2pp4/8/1PB1PNP1/PQ1R1PBP/R5K1 w - -,a1d1
8/p3N3/1p6/2k5/2n1K3/r1P5/8/3R4 b - -,c4d6
6k1/r1N5/1n4Rp/1pp5/4P3/1P3P2/2P4P/6K1 b - -,g8h7
7r/4k2r/1p1p1pp1/pP2p3/P1PnP2P/2K3P1/7R/3B3R b - -,d4e6
8/6kp/5bp1/2R5/2p1B3/8/1r6/5K2 b - -,c4c3
8/1p3p1k/2p1b1pp/p1b1p3/2P1P1P1/1P1QN2P/P4PK1/2q2B2 w - -,e3d1
8/1pR2pk1/1P5p/6r1/1R6/7K/8/5r2 w - -,h3h2
r3k2r/pp3ppp/2p2n2/4qb2/Pb6/2N3P1/1P2PPBP/R1BQ1RK1 b kq -,e8g8
3q2k1/pb4p1/1p1r1r1p/5p2/8/P4N1P/1P2QPP1/3RR1K1 b - -,b7e4
1k5r/1pq2pp1/p3pn1p/2prN2P/3P2P1/2P5/PP2QP2/1K1R3R w - -,f2f4
6R1/4pp1Q/3p1k1p/3P2p1/q7/3K4/8/8 b - -,a4d1
2b5/N5pp/3kpp2/2Np4/8/2P4P/P4PP1/6K1 b - -,d6c5
r3kb1r/1pq3pn/3pbp2/4p2p/p1P3nP/3QBNP1/PP1NPPB1/2R2RK1 b kq -,f8e7
1R6/5qbk/1B4p1/4p2p/4Q2P/3P2P1/2r1P2K/8 w - -,h2g2
1k2r3/1pq3pp/p7/4rp1n/N1P1p3/4Q2P/PP3PP1/3RR1K1 w - f6,a4b6
8/8/6p1/6k1/1P6/1KP4Q/4q3/8 w - -,h3d7
rnbq1rk1/ppppppb1/7p/6pn/3P3B/4PN2/PPP1BPPP/RN1QK2R w KQ -,g2g4
8/4kp2/p2p1p2/1p2bP1P/4P3/PP1R1B2/1P3r2/1K6 w - -,b3b4
r1bqk2r/3nppbp/p2p1np1/1PpP4/8/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,e1g1
2r3k1/1br1q1p1/p3p2p/1p1p4/4pN2/1PP1P3/P2Q1PPP/2RR2K1 b - -,e7f6
8/8/p7/n1p1bk2/2P5/P3p3/8/1KR5 w - -,b1c2
r7/ppp2rbk/q5pp/4pb1P/8/4BPN1/1P1R2P1/2Q1R1K1 b - -,a6f6
8/1k6/1r4Rp/7P/4Kp2/4b3/8/8 b - -,b6c6
5k2/R5p1/8/5K2/3B1P2/1r5p/6r1/8 w - -,a7a1
r5k1/5pp1/4q2p/1p2P3/1bp2Q1N/6RP/1P3PP1/6K1 w - -,h4f5
r1b2r2/p1q2pbk/2p3pp/4p3/PpN1Pn2/1B2NQ2/1PP2PPP/3R1RK1 b - -,f4e6
2K5/6p1/P1PR4/8/4k3/7p/8/1r6 w - -,d6d2
8/7p/1R4p1/Pp1p1k2/1r6/8/4NK1P/8 w - -,b6b5
r3nrk1/1pqnb1pp/5p2/p1P1p1P1/P1P4P/1N1NP3/1BQ1KP2/R6R w - -,g5g6
6k1/r2q3p/pp1n2p1/2pP1p2/2Pb1B1P/1Q3BP1/P1R2PK1/8 b - -,b6b5
8/8/4k1p1/3npp1p/7P/3K1PP1/6N1/8 b - -,e6d6
rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/P1N5/1P2PPPP/R1BQKBNR b KQkq -,b7b6:f8e7:d7d5
1r3r2/8/2bpk3/p3pp1p/PpP4P/1P3P2/2BR1KP1/3R4 b - -,b8d8
4r3/5pkp/6p1/RQ2p3/4P2P/4N1Pb/3q1P2/2r2BK1 b - -,h3f1
1kb1r2r/1pb1qp2/p1p3n1/P1N5/1P1PP1p1/3B2P1/3KN1Q1/2R2R2 b - -,h8h6
8/1p1r4/p7/5p1R/P3nkp1/1P2N3/6K1/8 w - -,e3f5
3brrk1/R1pq1pp1/3p2b1/1p1n2Pp/3pP3/1N3N1P/1PP2P1K/3QR3 w - -,e4d5
8/1p1b1k1p/n1p3p1/p1PP1pP1/P1PK1N2/1B3P2/8/8 w - -,f4d3
2rr1bk1/p4ppp/qp6/3N4/2n1QPP1/P6P/1PP5/1KBRR3 w - -,d5e7
3q3k/5ppP/p3pb2/1p1n3P/4BP2/8/PPP1Q3/1KB5 b - -,d8d6
8/6pp/p7/3p1k2/Pp6/1Pb1KNPP/2P5/8 w - -,g3g4
1rbq1rk1/p2p1ppp/2p2n2/4p3/1b2P3/2NB3P/PPPB1PP1/R2QK2R w KQ -,a2a3
r1bqk2r/2p1bppp/p1pp1n2/8/3NP3/8/PPP2PPP/RNBQR1K1 b kq -,c8d7
8/p4p1p/1p1k1p2/2pPp3/2P5/4KP2/2P3PP/8 b - -,f6f5
r1b1kb1r/pp1n1p2/1q2pn1p/2pp3P/3PPB2/2PB1p2/PP1NN1P1/R1Q1K2R w KQkq -,g2f3
rnb2rk1/pp2ppbp/2q3p1/8/1QB2B2/2P1PN2/P4PPP/2R1K2R w K -,e1g1
r2qk2r/ppp2ppp/2np1bn1/8/4PPb1/2NBQ3/PPPBN1PP/2KR3R w kq -,h2h3
r2q1n2/1pp3kr/p2p2pn/3Pp3/4PpB1/2P4P/PP1N1P1K/R2Q1R2 b - -,h6f7
r2q1rk1/pp1b2bp/3pn3/2pNpp2/1PP5/3P1NP1/P2Q1PBP/4RRK1 b - b3,c5b4
r3k3/ppp1q1rp/P3p3/3p1pp1/3P4/2P1P3/1P2QPPP/R3K2R b KQq -,b7b6
r4rk1/pp1n2pp/2p2n2/3p1p2/3P4/NP2PbP1/P4PBP/2R2RK1 w - -,g2f3
r1b2rk1/pp1nq2p/2p1p3/4Np2/2PPn1p1/4P1P1/PQN2PBP/R4RK1 b - -,d7e5
3r4/2p1rk2/1p4pp/2nPp3/p1P1Bp2/P1R2P2/1P2RKPP/8 b - -,f7f6
3r3k/pp5p/1b4p1/3B4/4N3/8/P7/5R1K w - -,d5b7
r4k1r/p4pp1/n1q1p1n1/2p1P2p/2p5/P3QN2/2PB1PPP/R4RK1 w - -,f1d1
2r5/1Rrnb1k1/p2pp3/2p2p1p/2P2Pn1/3PPBP1/P1NN3P/1R4K1 w - -,g1g2
3b4/1p3rkp/p1p1b1p1/2PpP2r/1P1P1p2/R4P2/1P1BB2P/6RK b - -,e6c8
8/7p/3p2p1/3P4/4r2k/5RbP/2N3P1/5K2 b - -,h7h5
8/5pkp/2BP2p1/8/4Q3/1P3Kb1/R7/6q1 b - -,g3d6
8/R7/p4pkp/6p1/8/7P/r2n1B2/5K2 w - -,f1g1
r1b1rbk1/1p1q1pp1/2p3p1/p1n2N2/P2BpPQ1/2N3P1/BPP5/R3R1K1 w - -,f5h6
r3k2r/pp2bppp/1np1pn2/3qNb2/3P4/1Q4P1/PP1NPPBP/R1B2RK1 b kq -,d5d4
8/p7/1p3k2/2p5/P7/2P4P/3K4/8 w - -,d2d3
2rq2k1/pb3pp1/1p5p/2pn4/4r3/P1Q1P1B1/1P2NPPP/3R1RK1 w - -,c3c2
8/p1B4p/8/1pkb2p1/8/2P5/P2R2PP/2K5 w - -,c7d8
rnb2rk1/ppp1npp1/3p1q1p/1B1Pp3/P3P3/2P1bN2/1P1N1PPP/R2Q1RK1 w - -,f2e3
rn2k2r/pp3pp1/1qpbpnp1/3p4/2PP4/1QN1P2P/PP3PP1/R1B1KB1R w KQkq -,c4c5
r3r1k1/8/pq3p1p/2b2p2/P1Q5/4P2P/5PP1/2RR2K1 b - -,g8g7
