5k2/8/2K5/3Q4/q1P5/8/8/8 w - -,c6d6
r2qr1k1/1pp2pbp/3p1np1/p1nP4/4P3/2N2Q1P/PPB2PP1/1RB1R1K1 b - -,f6d7
rq1r2k1/1b1nbppp/1pp2n2/p2p4/1P1P4/P1NBPN2/2Q2PPP/1RBR2K1 w - a6,b4b5
8/2r3kp/5R2/4P1p1/b2N1p2/5P1P/6PK/8 w - -,d4e6
8/4kp2/4p1p1/1P1pPb1p/p2P1P2/Pp2KNP1/1r5P/4R3 b - -,b2c2
1r1r2k1/p3qpp1/3pbn1p/1p2p3/4P3/3QNP2/PPPB2PP/R4RK1 w - -,d2a5
2kr4/pp1b1p2/1b2p3/6rp/3N1p2/2P2P2/PP1N2PP/3RR2K b - -,g5d5
r2qkb1r/1p1bpppp/p1np1n2/2p5/B3P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,f1e1
r3r1k1/1pp2ppp/p1nq1n2/3p4/3P4/P1NBPP2/1PQ2P1P/R4RK1 b - -,c6d8
6k1/7p/b2rNp2/6p1/1R1p4/6P1/rP2PPKP/3R4 w - -,e6d4
r4rk1/pp2bpp1/4p3/3pq3/b2N3p/7P/PP2N1P1/R2Q1R1K w - -,d1a4
4r1k1/6b1/p7/1p3p2/3B2rR/2P5/PP5R/1K6 w - -,h4g4
1rbq1rk1/pp1nppbp/3p1np1/2pP4/P7/2N2NP1/1PP1PPBP/R1BQ1RK1 w - -,e2e4
r2r2k1/pb2b1p1/1pn2p1p/4p3/4B3/P1N1P1B1/1P3PPP/3RK2R w K -,h2h4
r1bqk1nr/p2nppbp/2pp2p1/1p2P3/3P1B2/2N2N2/PPPQ1PPP/R3KB1R b KQkq -,d6d5
r1b2r2/pp3p2/3p1k2/2pPn3/2P1Pp2/2N2P1q/PP2BKR1/R3Q3 b - -,f8h8
rnbqk2r/p1ppb1pp/1p2pn2/5p2/3P1B2/4PN1P/PPP2PP1/RN1QKB1R w KQkq -,f1d3
rnbq1rk1/p1p1pp2/1p1p1bpp/4P3/P2P4/2N2N1P/1PP2PP1/R2QKB1R b KQ -,f6g7
r1b2rk1/pp2Qpbp/6p1/2n5/1q1p4/3PN1P1/PB3PBP/1R3RK1 b - -,c5d3
r1b1k2r/pp3ppp/2n2q2/3p4/8/P2B4/1PP2PPP/R1BQK2R w KQkq -,e1g1
1r2n1k1/3bq1bp/p2p2p1/P1pP4/2P2P2/2BBp2P/4N1P1/3Q1RK1 b - -,g7c3
r1bqrbk1/ppp2ppp/2pn4/4N3/5B2/2NP3P/PPP2PP1/R2Q1RK1 w - -,d1d2
