8/7p/4k3/R5p1/1p2K3/5P2/P5rP/8 b - -,g2e2
2kr3r/ppp2ppp/2n5/2bqP3/2B2B2/P1Q2PP1/1P3P1P/R3K2R b KQ -,c5d4
8/3n3p/2b3k1/R4p2/3np1pP/2N3P1/P3BP2/5K2 b - -,d7f8
3R1rk1/p1r2pp1/8/3RPKPP/8/8/8/8 b - -,c7c1
r1bq1rk1/pp2bp1p/2n1p1pB/3n4/3P4/P1NB1N2/1PQ2PPP/R4RK1 b - -,f8e8
4R3/pp3ppk/6p1/8/8/qP1P1P2/5BKP/8 w - -,d3d4
2kr1r2/pp1n1pp1/2p1p2p/4N2P/1qPP4/7R/PP2QPP1/1K1R4 w - -,h3b3
r6r/1kp2ppp/pppbb3/8/4P3/P3BN2/1PP2PPP/2KR3R w - -,e3d4
2bk1r2/4pp2/p2p4/2pPn3/P3Pp1p/8/R2NBP1P/6K1 b - -,f8g8
8/rpkb2q1/2p1p3/b1PpNp2/P2P1Pp1/4P1P1/1R2B1K1/7Q w - -,e2d1
2r1rbk1/5p1p/p5p1/1p6/4b3/1N2R2P/PPP2PP1/4R1K1 w - -,e3e4
r5k1/p1pq2pp/1p1p2n1/3Ppr2/1PP1N3/5P2/P5PP/2RQ1RK1 b - b3,g6f4
rnb2rk1/1p5p/p2P2p1/2p5/P2qp3/2N2B1P/1P2QbPB/R4R1K w - -,c3e4
rn1qkb1r/1b1p1ppp/p3pn2/1pp5/3PP3/2PB1N2/PP1N1PPP/R1BQ1RK1 b kq -,d7d5
8/5p1k/8/5NP1/4p3/3rn1K1/5P2/8 w - -,f2e3
3r1r2/2q2pk1/1p2p1p1/pP1n1n1p/P1NPB3/1P4P1/3R3P/4QRK1 b - -,d5f6
8/8/1pp1kp1p/p7/P5K1/1P4P1/7P/8 w - -,g4f4
r1bqk2r/ppp2ppp/2nbpn2/3pN3/3P1B2/4P3/PPP2PPP/RN1QKB1R w KQkq -,b1d2
r3qrk1/pp2p1bp/1nn1bp2/6p1/6PQ/1PN2N2/P3PPBP/R1BR2K1 w - -,c1g5
8/1R6/1nr3pk/4q2p/4p2P/3rP1P1/1R3PBK/Q7 b - -,d3d7
8/5pk1/1p4p1/2r5/1RnN1P2/p3P3/P4PK1/8 w - -,g2f3
8/8/p3k1pp/5p2/P6P/2p2P2/2Pr4/2R3K1 b - -,e6e5
