8/p2r2p1/2k4p/1R6/8/7P/5PP1/6K1 w - -,b5b8
2bqrbk1/6pp/nr1p2n1/1ppP1p2/1P3P2/4NBPP/NB1QP2K/1R1R4 b - -,d8e7
1rb1kb1r/2qn1ppp/p1p1p3/3pP3/5P2/4B3/PPPNB1PP/R2QK2R w KQk -,b2b3
2r5/k2r1pq1/pp2p3/2p1b1P1/4B1P1/P1PP1R2/1P3Q2/1K3R2 b - -,c8c7
3q4/pp3pbk/3prnpp/8/1PrBP3/6NP/P2Q1PP1/3RR1K1 w - -,d2d3
rnbqkbnr/ppp2ppp/8/4p3/2P5/5N2/P1QPPPPP/RNB1KB1R b KQkq -,b8c6
r1q1kb1r/1bpn1p2/p1np3p/4P1p1/B3P3/2P2N2/1P2QPPP/RNBR2K1 b kq -,g5g4
r2qk2r/pppbbppp/2np1n2/1B2p3/4P3/2PP1N1P/PP3PP1/RNBQ1RK1 b kq -,e8g8
8/pQbq1k1n/2r4p/2p1p3/2NpPpP1/1P3P2/P5RP/5RK1 b - -,f7e6
n4rk1/p2q1rpp/3p4/1ppP1p2/8/PP1QPPP1/5R1P/2B2RK1 b - -,a8b6
8/8/3n4/2k2p2/1R3Bp1/3r4/5K2/8 w - -,b4a4
8/8/4p1k1/1p3r2/2pR1p1p/2P2K1P/1P6/8 b - -,f5g5
rn3rk1/1b1nb1pp/1qp2p2/pp1p4/3P1P2/2N1PNP1/PPQB2BP/2R2RK1 b - -,b8a6
7R/8/3kp3/r1p5/8/4BK2/8/8 w - -,h8d8
3br2k/5pp1/p5p1/1pNb4/8/2P1B2P/PPp2PP1/2R3K1 b - -,d8b6
8/5k2/6p1/7p/5P2/p1rpK1P1/PRrR3P/8 w - -,b2b7
r2qkb1r/1b1n1ppp/pp1ppn2/2p5/3P1B2/2PBPN1P/PP3PP1/RN1Q1RK1 w kq -,f4h2
8/1kp2R2/2r2p2/pppNb1p1/4P2p/P1P2P1P/1P2K1P1/8 w - -,e2d2
r3r2k/6p1/5p2/2q4p/2PR4/3QpPP1/4P1KP/3R4 w - -,d4d5
1r1r2k1/ppq2pp1/2p1p2p/7P/P1nP4/2P2BP1/1PQ1RPK1/4R3 b - -,b7b5
3r4/4Qpkp/4n1p1/8/N2bB3/1P5P/q1P2PP1/5RK1 w - -,g2g3
8/4k1p1/2pb1pp1/1p6/p2K1P2/1P1R2PP/8/8 w - -,b3a4
2r2rk1/1pqnppbp/3p2p1/p7/PnbNPP2/2N1BB2/1PPR2PP/R2Q2K1 w - -,c3b5
r4b1r/pp2k2p/2p1N3/3p1B2/3PQ1P1/3KP3/PP5q/3R4 w - -,e4f3
8/8/8/1b3R2/1k1p1p2/7P/5r2/3K4 w - -,h3h4
2rq1rk1/1p3pp1/3p3p/p2P4/Pn2B3/1N5P/1bP2PP1/2RQ1RK1 w - -,c1b1
5k2/5qpp/3RQn2/2p1p3/p1P5/4N1PP/P3rP2/6K1 w - -,d6d8
r3kb1r/pp3ppp/2n1b3/3p4/1q1PP3/1QN3P1/PP2P1BP/R3K1NR w KQkq -,e4d5
rn1qk2r/pp1bppbp/6p1/1Bp5/3PP3/2P2N2/P4PPP/R1BQK2R w KQkq -,b5e2:b5d7
6k1/1p1b3p/p2pN3/P1pP4/2P5/1P1B4/4K2P/2b5 b - -,h7h6
q3kb1r/1b1n1ppp/4pn2/1pp5/8/N4NP1/1PQPPPBP/2B2RK1 b k -,a8a6
r1br2k1/pp3ppp/n1n1pb2/q1p5/4P2P/PQNPBN2/1P2BPP1/2R2K1R b - h3,c6d4
r2q1rk1/p1pnn1bp/1p1p2p1/3Ppp2/1PP1P3/2N1BP2/P2QB1PP/R4RK1 b - -,f5f4
