8/2k3Kp/2P2p2/8/7P/3b1B2/8/8 b - -,d3b5
r2r2k1/1pqnbppp/p1p1b3/4p3/N1P1P3/3BB2P/PP2QPP1/R2R2K1 w - -,c4c5
r1qr2k1/pp2bppp/1n2p1b1/2p5/3PPB2/1QP2N1P/P4PP1/R3RBK1 w - -,a2a4
3r1kr1/1pp3p1/pbp2pP1/4p2R/2P5/2PP4/PB3PPP/4R1K1 w - -,d3d4
r1bq1rk1/pp1nppbp/2p2np1/8/1PpP4/2N1PN2/PB2BPPP/R2Q1RK1 w - -,e2c4
6rr/1p1bb2k/p2qpp2/2p1p1p1/4P3/2NPBPQ1/PPP2KP1/R4R2 b - -,f6f5
8/7R/6rp/2k2pp1/5p2/2PK1P1P/5P2/8 w - -,h7f7
8/8/4kp2/1p4pp/1P1B1p2/3K1P2/r2N4/8 w - -,d2e4
4k3/7R/3pb1p1/8/p4P2/P1K3P1/8/8 b - -,e8f8
1r1q1rk1/p3nppp/2p1p3/2Nn4/3P4/1B3Q2/PP3PPP/3RR1K1 b - -,e7f5
1r6/6qk/4P1p1/p2pP1Pp/P1bN1Q2/2N4P/2P5/7K w - -,h3h4
r4rk1/pbpnqpp1/1p5p/3p4/3Pn3/P1NBPN2/1P3PPP/2RQK2R w K -,e1g1
r5k1/p1p2r2/R2p4/1P1P1bp1/2P4p/4RPK1/3N3P/8 w - -,g3g2
2rr1k2/2Nn1pbp/6p1/ppp1P3/2B1PP2/4B3/PP5P/1K2RR2 b - -,b5c4
5b1k/5p2/2b3p1/4p2p/p1P1PP1P/P1NRQ1P1/1rq3BK/8 w - -,e3f3
r2q1rk1/1p1n1pp1/p2pb3/7p/3NP3/2N1Q2P/PPP4R/R4K2 w - -,f1e2
6k1/8/1p4P1/1r3p2/5P2/R5K1/8/8 b - -,g8g7
3r1rk1/3P1pp1/2R1p3/qp6/6p1/1P2Q1P1/P2R1P1P/6K1 b - -,b5b4
r2r2k1/2p3pp/p1p2p2/Rp2n3/4P3/1P2BP2/1PPNK3/R7 b - -,d8d6
rnbqkb1r/ppp2ppp/4p3/3pPn2/5P2/P4N2/1PPP2PP/RNBQKB1R b KQkq -,f8e7
5rk1/pBn2p1p/2P3p1/2p1p3/8/P7/1P1rRKPP/1R6 b - -,f8d8
rn2kb1r/1p1qp1pp/p3P3/3p2N1/4n3/BQ6/2PP1PPP/RN2K2R b KQ -,d7b5
2r3k1/ppq2ppp/5n2/1P1p4/P1r1n3/BQ2PNPP/3bNP2/2R2RK1 w - -,c1d1
rn2k2r/ppq1bppp/2p1pn2/8/2PP2b1/1Q2BN2/PP2BPPP/RN3RK1 w kq -,f1d1
8/5bk1/2Q3p1/2Pp4/3Pp3/4P3/3qBK1P/8 b - -,g6g5
2r3k1/pb1p1p2/1p4p1/3P1nP1/3qP1N1/3B1Q2/P6P/5R1K w - -,g4f6
6k1/1p1q1pp1/p1r1pnp1/3p4/Q2b1B2/3P2P1/PP2PPBP/R5K1 b - -,d4b2
r4rk1/pp3ppp/3bpB2/3q4/1nQP4/5N2/PP2BPPP/1R3RK1 b - -,g7f6
r1bqkbnr/pp1p1ppp/4p3/2p5/2BNP3/2N5/PPPP1PPP/R1BQK2R b KQkq -,c5d4
3Q4/p4r1k/2p1q1p1/7p/2PP4/1P2Bb1P/PK3P2/6R1 w - -,d8g5
1r6/3k4/5b1p/2p3p1/2Np1p2/3P3P/1P1B2P1/4R1K1 w - -,g1f1
r4rk1/pp5p/4pp2/2bPq1p1/2P3PQ/3b4/PP2BP1P/2KR2NR w - -,h4g3
r4rk1/pp4pp/1n4b1/n1pq1p2/1b1P1PP1/3B4/1P2N1NP/R1BQ1R1K w - -,e2g3
2r3k1/5pp1/3Rp3/1B5p/P3b2P/4P1P1/5P2/5K2 w - -,f1e1
1r2k3/4Rp2/2p1pP2/1pP2p1p/1P1P3P/8/7K/8 b - -,e8f8
r2k2nr/1p1n2pp/2p1bp2/4p3/p1P1N3/bP2BNP1/P3PPBP/R2R2K1 b - -,d8c7
bn1r2r1/4q1kp/4p1p1/2NnP3/1p2BP2/7Q/1P4PP/2RR3K w - -,c5e6
r1bq1rk1/pp2ppbp/n4np1/3P4/3P4/1QN5/PP2NPPP/R1B1KB1R w KQ -,g2g3
4k3/R1n2r2/4p3/2N5/8/5P2/5KP1/8 w - -,c5e4
8/1R6/7p/p2k2p1/P3p1K1/2r3P1/7P/8 w - -,h2h4
8/3r1pk1/p2pp3/1p1b2Pp/1Br2R1P/2P5/P1PR4/2K5 w - -,f4c4
r1bq1rk1/1p2b1pp/p1n1pp2/3p3n/3P4/2NBPNB1/PP3PPP/2RQK2R w K -,f3d2
8/p1n5/5kP1/2K5/1P6/8/8/1B6 b - -,c7e6
r2qrbk1/5pp1/bn1p1n1p/p2P4/PpP1PP2/6P1/1B1N1NBP/R2QR1K1 b - -,b6c4
r1bq1rk1/pp1nbppp/4p3/4P3/2P5/3p2P1/PP1NQPBP/R1B2RK1 w - -,e2d3
8/1p5r/p4bk1/3r1p2/3P2p1/1PBR2P1/P3K3/3R4 w - -,d1f1
4n3/6p1/3kNpP1/1p2pP2/1P2P3/4K3/8/8 w - -,e3f2
r3k2r/1pp1qpp1/4bn1p/pP2p3/2B1P3/2PPQ3/P2N2PP/R3K2R b KQkq -,e8g8
r1bk1q1r/pp3pp1/2pb2p1/8/2B1Q3/2P1B3/PP3PPP/2KRR3 b - -,c8f5
1r2r1k1/ppq2ppp/2pp1n2/P3nPQ1/8/1BN1R3/1PP2PPP/R5K1 b - -,e5g4
3r1rk1/pbnqb1p1/1p1ppn1p/2p5/2P1PP2/PPN2B2/1BN3PP/R2Q1RK1 w - -,c2e3
r1b2rk1/1pq1nppp/p1n5/3p4/P2P4/bNP2N2/4BPPP/R2QR1K1 w - -,a1a3
1r6/pp1r2k1/1q3pp1/3P1n1N/2pP2nP/2P3P1/PP1Q2B1/4RRK1 b - -,g6h5
1r1rk3/p4pp1/1pnpp2p/2pP4/P1P2P2/B1PKP3/6PP/R2R4 b - -,c6a5
r1bqk2r/pppnbppp/4pn2/8/3PN3/3BBN2/PPP2PPP/R2QK2R b KQkq -,f6e4
rn1q1rk1/pppnppbp/3p2p1/8/2PPP1b1/2NBBN2/PP3PPP/R2QK2R w KQ -,d1b3
