8/1k5r/2p2K2/ppBbP3/3P3P/5p2/8/5R2 w - -,f6g5
2kr3r/ppp2ppp/1qn1pn2/8/2BPb3/P1B2N1P/1PP1QPP1/R4RK1 w - -,f3e5
1r6/p1p2k1p/Pr1n2p1/Rp1Pn3/1P2P3/2N3PP/4B1K1/2R5 b - -,f7e7
4r3/2k3bp/2N3p1/5b2/BB6/1P1pp3/P5PP/2K1R3 b - -,d3d2
r2k4/pp2bppp/4p3/1BPpPb2/4n3/4PN2/1P3PPP/R3K2R w KQ -,f3d4
4q2k/2Br2pp/p1n1r3/1p6/8/1bP2Q1P/1P3PP1/R4RK1 w - -,c7g3
5k2/2r1pp1p/6p1/3P1b2/p1pB4/P5P1/3K1PBP/2N5 w - -,d2c3
r2qr1k1/1ppb1ppp/n2p1n2/p3p3/2P1P3/PP1P1PP1/4N1BP/R1BQ1RK1 b - -,b7b5
r4bk1/1q3p2/4r2p/p1p1p1p1/4PnP1/2P3N1/QP1B1PP1/R3R1K1 b - -,f4d3
2k5/1pp5/P5pp/5p1n/3P4/2P2QPP/1P1b2K1/4r3 b - -,b7a6
r4rk1/1p2q1pp/8/2p5/p1P1pP2/P1Q3Pb/2N1P2P/3RR1K1 b - -,e4e3
8/8/5k1p/p3pp1P/P3P3/1Nb2P1K/8/8 w - -,e4f5
r1b2rk1/4ppb1/1p4pp/p1q5/PnP5/3B1N1P/1P1BQPP1/R4RK1 w - -,d3e4
r1bqr2k/pp4pp/4pb2/5p2/2BP1B2/5Q2/P4PPP/3RR1K1 w - -,e1e3
8/4p3/3p1pk1/p2P4/1p1P2p1/1Pr3P1/P2R1P2/5K2 w - a6,d2e2
8/5pk1/1n2p3/1b1p2p1/3P2P1/1r3P2/2N1PK2/2R2B2 w - -,c2e3
2r1r1k1/p2npp1p/qpb3pb/1N6/P1PP4/1BB5/4QPPP/3RR1K1 b - -,a6b7
r4rk1/p1q2ppp/3p1n2/p3p3/1nPP4/R1NBP3/5PPP/3Q1RK1 b - -,a7a6
2rqr1k1/1b3ppp/1np1pn2/1B6/3P4/BQ2PN2/P4PPP/2RR2K1 b - -,f6g4
2r3k1/2qrbp1p/p2pb1p1/1p2p3/2P5/1PN1P1P1/P2RQPBP/3R2K1 w - b6,c3d5
r3kb1r/pp1q1ppp/1n2p3/2p5/2PP4/5N2/PP1B1PPP/R2QK2R w KQkq -,a1c1
4r1k1/p2Rp2p/6p1/2P1Rp2/8/5P1P/P1r2P2/6K1 b - -,g8f7
6r1/pp6/2pp2pk/7P/2P1P3/3B1r2/PP5P/3R3K w - -,h5g6
r2r2k1/1q2bppp/4pn2/p7/PpNP4/1P4P1/1B2QP1P/R3R1K1 b - -,f6d5
r4rk1/5pp1/p3pqp1/1p1pR3/3P3P/2PQ2P1/PP3P2/R5K1 b - h3,f8b8
r1b1r1k1/1pp1bpp1/p2p1nnp/8/3N2P1/2NP3P/PPPB1PB1/R3R1K1 b - -,a8b8
4k3/1pr1q2p/pRn1p3/P1Pp1p2/1N1P2p1/2Q1P1P1/5PKP/8 b - -,c6b4
r1bq1r1k/1p4p1/1bp4p/pP1p2p1/P2pP1n1/1BP2N1P/4QP2/R1B1R1K1 w - -,c3d4
1k2q3/3r3p/1b1P1Q2/1P3pp1/8/6P1/5P1P/3R2K1 w - -,f6c3
r7/4kppp/4p3/2Pn4/2nP1B2/3N4/5PPP/4R1K1 w - -,f4g3
5qk1/5p1p/1p2pQpP/3pP3/3P2P1/1P4K1/2n1P1B1/8 w - -,f6f2:f6f4
8/2r1kp2/2n3pp/pp1R4/8/2PN3P/PP4P1/7K b - -,c7d7
r1b1k2r/pp1ppp1p/n5p1/4P3/6n1/2N2N1P/P2Q1PP1/q1B1KB1R b Kkq -,g4f2
8/8/8/4ppk1/1R6/r4P2/5K2/8 b - -,a3d3
3r2k1/pb3qb1/2p3pp/1pn1P3/2PR4/4P3/PBQ3PP/1B4K1 w - -,d4d8
r1bqk2r/pp1p1ppp/2N1pn2/8/1b2P3/2NB4/PPP2PPP/R1BQK2R b KQkq -,d7c6
r5k1/pp3ppp/1n2p3/2q1P3/3r4/3P2Q1/PP1B2PP/1K1RR3 b - -,c5f8
2n5/4k3/4p1p1/1Bn1p2p/1p2P2P/4KPP1/1P6/3N4 b - -,c8d6
2Rbk3/p2n1ppp/1p3n2/8/3P4/4PqP1/PB3PQP/6K1 b - -,f3d1
8/5rk1/4Q1pp/5p2/4Bb2/P7/1P4K1/8 w - -,e4d5
r2q1rk1/3bbpp1/p2p1n1p/1p2p3/P1P1P3/1PNQ1N2/5PPP/R1B2RK1 w - -,a4b5
