8/8/5b2/4pk1p/5p2/7P/3B2K1/8 b - -,f5e4
r5k1/1n1q1ppp/p2p4/1p1P1b2/3P1Q2/4N3/PP2BPPP/2r2RK1 w - -,f1c1
r3kb1r/pp1qpppp/2p2n2/7b/2QP4/4P3/PP3PPP/RNB1KB1R w KQkq -,f1e2
6k1/5pp1/1P5p/Q7/8/5qP1/P4P1K/8 w - -,a5c5
1b6/8/P3k1pp/8/2pK1PP1/8/7P/8 b - -,b8a7
7Q/5p2/2P1r1kp/5p2/5b2/5K1P/8/8 w - -,f3f4
4r3/4k3/p1pn1p2/2pp1bpQ/P6N/1PqPP3/2P1K3/2R4R w - -,h4f5
2rr1bk1/1q1n1ppp/2b5/1p1p2P1/1P3PQ1/2N5/2PB2BP/3RR1K1 b - -,d7b6
r1bq1rk1/4bppp/p1nppn2/1pp5/4PP2/1BNP1N2/PPP3PP/R1B1QRK1 w - b6,a2a4
8/8/1p1p4/pPp1b1kp/P1P1Pp2/3P1P2/3B4/5K2 w - -,f1g2
rnbq1rk1/pp4pp/2pbpn2/3p1p2/2PP4/2NBPN2/PPQ2PPP/R1B2RK1 b - -,b8d7
1r1q1rk1/3bppbp/3p2p1/2p5/2P5/P1N1B2P/1PQ2PP1/R3R1K1 w - -,a1d1
2r1r1k1/1pq3p1/p1pb2Np/2Np1p2/PP1PnP2/4P1P1/2Q4P/R4RK1 b - f3,a6a5
8/2p2k2/2Np2p1/p7/P3PK2/2P5/8/8 w - -,c6a5
5b2/5p1p/2k1pBp1/1p6/4PP1P/2P1K1P1/r3B3/8 b - -,f8a3
r1bqkb1r/1p3ppp/p1n1pn2/8/2Bp4/4PN2/PP2QPPP/RNBR2K1 w kq -,e3d4
r1bqk2r/ppp2ppp/2np1n2/4p3/2P5/P1PP2P1/4PPBP/R1BQK1NR b KQkq -,e8g8
5n2/p4kpp/2P1p3/3pPp1P/3N4/1P1n1P2/3Q1BPK/q7 b - -,d3f2
rnbqkb1r/p1pp1ppp/1p2pn2/8/2PPP3/5P2/PP4PP/RNBQKBNR b KQkq e3,f6e4:f8b4:d7d5
6k1/6b1/6p1/3p1pBp/p6P/3P2P1/2n1PP2/1N3K2 w - -,g5c1
3r1b2/1b3kpp/3p1n2/4N3/2p1P3/q1P4P/3R1PP1/3QR1K1 b - -,f7g8
r2q1rk1/pbpn1pbp/1p1ppnp1/6B1/2PP4/P1N1PN1P/1P2BPP1/R2Q1RK1 b - -,d8e7
8/5n1p/2p3p1/p1kpp3/P3P3/2PPK2P/6P1/6N1 b - -,d5d4
3k4/1b2bp2/p3p3/1p4pp/8/1P2PP1P/PB4P1/1B4K1 w - -,g1f2
rnb2rk1/pp6/3p1q1p/2pPpppn/2P5/2PBPP1P/P1Q2BP1/R3K1NR b KQ -,b8d7
Q7/4n1k1/4r1p1/4PpPp/1B1p3P/3bq3/6B1/4R2K b - -,e3g3
2rb1rk1/1p3qpp/p1p2p2/2Pp4/3B4/2Q1P2P/PP3PP1/R3R1K1 w - -,e3e4
4r3/R5pk/p5N1/1pn4P/6PK/P7/8/8 w - -,a7c7
r2r4/3n1pk1/b1p1q1pp/1pn1p1b1/p3P1P1/P1P1NPNP/1PQ3B1/1R1R2BK b - -,e6b3
8/pp4r1/2pk4/5Rpp/1P1p4/P2P1K1P/2P3P1/8 w - -,f3e4
2r2bk1/q2b3p/r1p3p1/Np1p1p2/1P1PnP2/P2Q2PP/2RB2BK/2R5 w - -,d2e3
r2q2k1/p4pp1/2rbpn1p/1p1p1b2/2pP1B2/2P1P2P/PPBN1PP1/R1Q2RK1 w - -,f4d6
r4rk1/1pq2pp1/p3bn1p/2P1p3/1P1b4/P4B2/1B1N1PPP/1R2QRK1 w - -,e1e2
rr4k1/2N4p/4pp2/p7/1p6/2nP2P1/4PPKP/RR6 w - -,b1b2
6k1/1p3pp1/p1p3np/7q/2NPQ2P/1P4P1/P7/3R3K b - -,h5d1
4b3/p1p1k3/4p3/1p1p1p2/3P1PP1/2PBn1K1/P1PN4/8 w - -,g4f5
8/3nk1pp/pp2p3/2p1Pp2/P1P2P2/1P6/1B3KPP/8 b - -,e7d8
8/8/q4B2/2p5/p4PRp/P4k1P/1P5K/8 w - -,f6c3
1r4k1/5p2/3Q3p/3P4/2p1P3/R2b1qP1/1r3P1P/4R1K1 w - -,d6c5
3rr3/p1p3pk/2n3qp/2Q5/3P4/2P2P2/PP1Rb1PP/R1B3K1 b - -,e2f3
q4rk1/3nbppp/1p2p3/3n4/P1N5/1P3NP1/1B2QPKP/2R5 w - -,g2g1
2rr2k1/p3bppp/1p2b3/nB6/3P4/PqP2N2/3B1PPP/RQ3RK1 w - -,a3a4
r2q3r/pp1bk1p1/2n1pp1p/3pP1P1/2pP1Q1P/2P2N2/P1PKBP2/R6R b - -,d8f8
8/5p2/5p1k/2RP1P2/3r3P/5KP1/5P2/8 b - -,h6h5
