8/6p1/5k1p/8/4P3/2P3P1/1P1rRK2/8 b - -,d2d3
r1bq1rk1/ppp1ppbp/1n1p2p1/n3P1B1/3P1P2/1BN2N2/PPP3PP/R2Q1RK1 b - -,a5b3
5r2/3rp1kp/3p1pp1/1q3P2/1p5P/1P4Q1/1PP3PK/4RR2 b - -,f8c8
5br1/p3k3/2n1p3/1q2P3/7Q/3R2P1/1PP2P1P/6K1 b - -,e7e8
r1bqkb1r/1ppp1p1p/p1n3p1/2n1PN2/B5Q1/8/PPP2PPP/RNB2RK1 w kq -,f5h6
r1b1kb1r/p1p1qppp/2pp4/3nP3/8/3B4/PPP1QPPP/RNB2RK1 w kq -,f1e1
rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq -,f8g7:c7c6
r1b5/1p2r3/1P1N1k1p/2p1p3/2P1B1pP/3P2P1/1R3P2/5K2 w - -,b2b5
5k2/2R5/4rp2/4pN2/n3P1P1/5P2/5K2/8 b - -,e6b6
r1b2rk1/p2nqpp1/1pp1p2p/8/2BP4/2R1PN2/PPQ2PPP/4K2R w K -,c4d3
r2b1rk1/pp1qn1pp/2np4/1P2pp2/2P1P3/2NPBN2/5PPP/1R1QK2R b K -,c6a5
r1b2rk1/pp4pp/2pb1q2/3pn3/3N2n1/2P2N2/PP1BBPPP/2RQ1RK1 w - -,g1h1
r1b2r2/1pq4k/p1pp2pp/8/3nPp2/PQ5P/BP3PP1/R1B2RK1 w - -,b3c4
1r1qr1k1/pb3pbn/7p/5Pp1/Q2pN1P1/1P1P1R2/P2B2BP/R6K b - -,b7e4
r3k2r/1p1bqpp1/2pp1n1p/p1b2P2/P1BpP3/1N1P4/1PP3PP/R1BQ1RK1 b kq -,c5b6
r7/4kp1p/2pp2p1/1pn1p3/4P3/P1N1KP1P/1PP3P1/R7 w - -,b2b3
4r1k1/pR3ppp/1pn5/2pbP3/8/6PB/5P1P/B5K1 w - -,b7c7
6k1/2Q1bppp/1pB1p1b1/p1q1B3/8/P6P/1P3PPK/8 w - a6,e5f4
1qr3k1/r2nnpp1/2p1p2p/p7/PpRPP2P/1P2Q1P1/5PB1/2R1N1K1 b - -,e6e5
8/8/1N2kpp1/p5Kp/4P1PP/8/2n5/8 w - -,g5h6
r1b2rk1/ppp3pp/5q2/3pR3/Pb1N4/2N5/1PP2PPP/R2Q2K1 w - -,d4f3
8/8/8/6p1/4b1kp/4B3/P5K1/8 w - -,g2h2
4r3/1p6/2p1k2p/p1r1p1p1/P3K3/2BP1PPP/1P2P3/R7 b - -,e8f8
r7/5kp1/2bp3p/3np3/1Np5/P5R1/1P3PPP/R5K1 b - -,d5b4
r5k1/4q1pp/2b1pr2/p5Q1/1p5P/3B1P2/PPP3P1/1K1R3R w - -,h1e1
