8/8/3Q4/2pPp3/2P1q3/8/7k/4K3 w - -,e1d2
rn3rk1/pp2ppbp/2p1bnp1/q7/3PPB2/2NQ1N2/PP3PPP/3RKB1R b K e3,f8d8
5rk1/p2qp1b1/6pp/P1QP1p2/4P3/8/3B1PPP/1R4K1 b - -,f5e4
1r1r2k1/pp1bqppp/3Np3/nPP5/1Q6/P5P1/5PBP/R2R2K1 b - -,b7b6
r1b1k2r/p1p1qp2/1pnp1n1p/4p1p1/2B1P3/P1PPBQ1P/2P2PPN/1R3RK1 b kq -,c6a5
r3r1k1/p2q1p2/2p1b1pp/1p1p4/3P4/PQPB3P/1P3PP1/3RR1K1 w - -,e1e3
3b1rk1/q2r1bpp/2np1p2/p2NpP2/1pP1P3/1P1QN1P1/P5BP/3R1R1K w - -,g3g4
4r1k1/5pbp/r3p3/p2p2PN/2nNn3/2P5/1P1q2PP/R1Q2RBK w - -,h5g7
7r/2q1p1kr/3pPp1p/p4P2/2pQ2PR/P1P5/1P6/2K4R b - -,a5a4
r1bqr1k1/1p3p2/p2p2p1/P1pn4/8/2P5/2P2PPP/R1BQ1RK1 w - -,d1d5
r4bk1/pbB2p1p/4p1p1/1Nq5/4p3/1P4P1/5P1P/3QRBK1 w - -,c7d6
rq3rk1/1p1n1pbp/6p1/1pp3B1/4PP2/2P5/P3Q1PP/3R1RK1 w - -,d1d7
rnbqk1nr/pp1pppbp/2p3p1/8/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,b1c3
8/Q4pkp/8/8/4q3/6P1/P5KP/8 w - -,g2h3
8/p1q3p1/4kp2/8/1QP5/P3K3/7P/8 w - -,b4f8
r5k1/1q5p/p1pr1bp1/Qp2p3/P3Pp2/3B1PBP/1PP3P1/1K1R2R1 b - -,f4g3
r1r3k1/1p3ppp/3bbn2/1B1p4/P5P1/2N1P2P/1B3P2/1KR4R b - -,f6e4
r1bq1rk1/2b1npp1/2n1p2p/p2pP3/1p1P1N2/3Q1NP1/PP1B1PBP/R4RK1 w - -,f4h5
2rr2k1/1bq2p1p/p3p1pb/1p1n4/n5N1/2PR1PP1/PPN1QBBP/1R4K1 b - -,h6g7
6k1/R4p1p/1p2n1p1/1r6/8/6P1/P3RP1P/5K2 w - -,e2e3
5Q2/8/3p4/2pPp1q1/2P1P2k/3K4/8/8 b - -,g5g6
r1bq1rk1/ppp2ppp/2np2n1/4p3/3PP3/P1PB1N1P/2P2PP1/R1BQR1K1 b - -,h7h6
1b6/1P6/4p3/6k1/4K1p1/5p2/7p/3R4 b - -,g5h4
r2r2k1/1b1n1pbp/1pn1p1p1/p7/2P1P3/BNN2P2/PP4PP/3RKB1R w K a6,c3a4
3r2k1/1pn1qpbp/6p1/2P5/2PpP3/6P1/2Q2PBP/3RB1K1 b - -,c7a6
rnb1kb1r/2pp1pp1/p3pq1p/1p2P3/3P4/2N5/PPPQ1PPP/R3KBNR b KQkq -,f6d8
2k5/1p3pp1/2p3p1/1r6/KP1r2P1/5B1P/8/R4R2 b - -,d4b4
r1bqk1nr/ppp1bppp/4p3/3p4/1n1PP3/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,d3e2
r1b1kb1r/pp1n2pp/2n1pq2/3p4/3P4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,f8d6
r4rk1/1q1n1ppp/p3pn2/1pbP4/4PB2/6P1/1P1Q1PBP/RN3RK1 w - -,b2b4
1r6/3kb3/p3p3/P7/1PR3P1/1K6/5N2/8 w - -,f2d3
5k2/pB1Q1p1p/6q1/4p3/8/6bP/P3P3/7K b - -,h7h5
r3k2r/1bq2p1p/p3p3/2p1b1P1/PpN5/4BRn1/1PP1B1P1/R2Q2K1 w kq -,f3f2
r3r1k1/pq3ppp/4nn2/1p1p4/2pPP3/2P2PN1/P1Q3PP/2B1RRK1 w - -,e4e5
rnbq1rk1/1p3ppp/p3p3/b1ppPn2/3P1P2/N1P2N2/PP1B2PP/R2QKB1R b KQ -,c5d4
r1br2k1/p1q1pp1p/2p3p1/3n3P/3Q4/2N2P2/PPP3P1/2KR1B1R b - -,c8f5
1kbr3r/ppp1bqp1/4p1np/1P2Pn2/N1B5/P4N2/4QPPP/1RB1R1K1 w - -,b1b3
8/8/6q1/2Q3p1/2P1p3/4P3/2KP2k1/8 b - -,g5g4
r2q1rk1/pp2bppp/2n1pn2/3p4/3P4/P1NBB1QP/1PP2PP1/R3K2R b KQ -,f6h5
3q2k1/3r1pbp/6p1/1p1p4/1Q6/2r2B2/5PPP/3R1RK1 b - -,d5d4
5r1k/p7/1p1bRrq1/3P2pp/P1p2p2/1nP4P/1P2QBPN/4R1K1 b - -,f6e6
3r1rk1/1p1q4/p4bQp/3pp1p1/3n4/1P2B1PP/P4P1K/1BR2R2 b - -,d7g7
2r3k1/1p3pbp/p5p1/3R2P1/4r3/3B3P/PPP5/1K5R b - -,e4b4
2k5/p2b4/1p4n1/3p4/3B2P1/P1P1K3/4B3/8 b - -,c8d8
2R2N2/6p1/7k/4Kp2/4b1rp/8/8/8 w - -,f8e6
1rb1kbnr/1p1p2pp/1q2pp2/1p2n3/Q1P2B2/2N3P1/PP2PPBP/R3K2R w KQk -,c3b5
1r1q1rk1/1p1nppbp/p2p2p1/2p5/2PnPP2/2NPB3/PP1QB1PP/1R3R1K b - -,b7b5
8/1pk5/1p1p2P1/8/1PPp1p2/4q3/8/Q4K2 b - -,e3h3
5k2/1p3p1p/5p2/p7/6R1/5P1P/nP3PK1/4r3 w - -,g4a4
r1bqk2r/p3bppp/3p1n2/1pnP4/8/5NP1/P3PPBP/RNBQK2R w KQkq -,f3d4
4N2b/p4p1P/2p1B3/5p2/5k2/P1p1r2R/1P6/2K5 w - -,h3e3
7r/1b3p2/1k1p4/1Pp1b3/1p1p4/4P3/RPP1B1P1/5NK1 w - -,f1d2
3r2k1/pb3p1p/1p4p1/3P4/2N5/1n2P2P/P4PP1/1B1R2K1 b - -,b3c5
1k2r3/pb6/1n2p1p1/1R1pP1K1/3P2P1/2P5/5P2/1R6 w - -,g5g6
r4r2/p2b4/k5p1/1pRp2p1/1Q6/1P4Pq/P4P1P/5RK1 w - b6,c5c7
3r1rk1/1pp1nppp/1b6/1q1p4/1P6/P4BP1/3QPP1P/R1B2RK1 w - -,a3a4
8/2p1r2p/6pk/1p2r3/1P2P2P/5PP1/2Rq2K1/2R5 w - -,c2d2
8/8/6k1/3K4/3N4/8/5R2/6r1 b - -,g1d1
2rqr1k1/pp1nbb2/2n1pp2/1B1pP2p/3P2pP/4Q1B1/PP1NNPP1/2R1R1K1 w - -,b5d3
3r4/p4pk1/8/3p3p/2q2p2/3NbPP1/6QP/3R3K b - -,d8g8
r4rk1/1p1bp1bp/p1n2pp1/3p4/1P1P1BP1/2P4P/1P1N1P2/R3RBK1 w - -,f1g2
8/5pk1/8/4P1K1/2Nb2PP/8/8/8 b - g3,d4c5
rnb2rk1/1pq3bp/2p3p1/p3P2n/2P1P3/1PN2N2/PB3PBP/R2QR1K1 b - -,h5f4
5k2/8/4K2p/8/2R2P1r/2P5/8/8 b - -,h4h1
r2q1rk1/pp1bbpp1/2p2n1p/3p4/3P1B2/3B2N1/PPP2PPP/R2Q1RK1 b - -,f8e8
r3qr1k/pp1b3p/2p1p3/3pPp2/2PP4/2PBP1RP/PQ2K3/6R1 b - -,b7b6
r1bq1rk1/ppp2ppp/4pn2/6N1/3P4/3B4/PPPQ1PPP/2KR3R b - -,b7b6
8/1p2kpp1/4p2p/3pP2P/3P4/1P3RK1/1r3PP1/8 w - -,f3c3
4n3/r4rkp/2pq1pp1/2N1P3/1pQP4/5RPP/1P3R1K/8 b - -,d6d5
q2r2k1/3rbp2/pp1Np1p1/2n1Pn1p/2P2Q2/1P3NPP/PB5K/2RR4 w - -,f3g5
r3r1k1/pp3ppp/2n2P2/2B5/2b5/5N2/PPP2PPP/2KR3R b - -,g7f6
8/R5k1/6pp/6p1/8/1r3P1P/6P1/6K1 b - -,g7f6
1rbr2k1/1pq1bppp/p2ppn2/2pPn3/2P2N2/1PN1P1P1/PB3PBP/R2Q1RK1 w - -,d1c2
r3k2r/1pp1q1bp/p2p1pp1/4n3/3BP3/2P5/PP2QPPP/RN3RK1 w kq -,f2f4
r1b3r1/1pq1bk1p/p1n2n1Q/P1p5/3P1N2/4P2P/1P3PP1/R1B2RK1 b - -,c5d4
8/8/8/4k3/6P1/1P1BpK2/3b4/8 w - -,d3e2
r1b2rk1/p4ppp/1q6/2npPp2/8/2P2N2/PP1Q1PPP/R3KB1R w KQ -,a1b1
2b5/8/Pk6/8/7K/6p1/4B1P1/8 w - -,h4g3
r1br1nk1/p4p1p/1pqbpnp1/3p4/3P1P1Q/3BP2R/PPPN2PP/R1B3K1 w - -,h4f6
2R5/7r/p3kp1P/1p1np3/6P1/4BK2/P4P2/8 w - -,c8c6
8/1k6/4p3/5b2/5K2/1r6/3R4/2R5 w - -,f4e5
r3k2r/4npp1/p2p1n1p/1p6/Pq4bN/R4PQ1/6PP/1N2R2K w kq -,f3g4
r2qkb1r/pppbnppp/2np4/1B2p3/3PP3/2P2N1P/PP3PP1/RNBQK2R b KQkq d3,e7g6
r4rk1/ppqnbppp/2p1pn2/3p4/2P3b1/1PNP1NP1/PBQ1PPBP/R4RK1 b - -,f8c8
2b2k2/p1p3p1/1pp5/5P1p/4R3/4NKP1/PPPr3P/8 w - -,h2h3
r3k3/1pBn1ppp/2p5/p7/2b1PP2/2P3P1/P2R2BP/6K1 b - -,a5a4
3r2k1/8/pqn1b1p1/npp1p2p/4Pp1b/1PP2P1P/PBB1QNP1/R4NK1 w - -,a1d1
R7/1r4p1/7p/1k2K2P/1p6/5PP1/8/8 b - -,b4b3
5rk1/p5p1/1p6/3pb3/7p/2P4P/PP4P1/3R2BK w - -,d1d5
2rq1rk1/1p1bppbp/p2p1np1/4n3/2PNP3/1PN1BP2/P2QB1PP/R1R3K1 b - -,d7c6
rnbqkb1r/pp1ppp1p/5np1/8/3P4/3B1N2/PPP2PPP/RNBQK2R b KQkq -,f8g7
r1b1k2r/pp2bppp/2n1pn2/2pq4/3P4/2P1BN2/PP2BPPP/RN1Q1RK1 b kq -,c5d4
8/2pk4/1p1p4/4P1p1/2P5/PPKR4/6r1/8 w - g6,c3b4
6k1/pb3np1/1pq2p2/4rP1p/PPNRPQ2/3P4/6BP/6K1 w - -,f4f2
r2qk2r/1p2ppb1/p1npb2p/6p1/2P1P1n1/2N2NB1/PP1QBPPP/R3K2R b KQkq -,g4e5
3rr1k1/5qb1/1pp3pp/3b4/pP1Np2P/P1B1P1P1/1Q3PB1/3R2K1 b - -,e8f8
7r/1br2k2/p2p1Nn1/1p3pB1/4P1pP/1P2RnP1/P4PK1/1B1R4 b - -,f3g5
5rk1/1p1qb2p/p2p1np1/3Pp3/4P3/4Q1NP/PP1B3N/5RK1 b - -,d7h3
1rr4k/p4qbp/5np1/1N2np2/3Np3/4P3/P3QPPP/BRR3K1 b - -,c8c1
8/8/8/2P5/3pk3/1pQ5/p4K2/8 w - -,c3b2
1r1q1rk1/5pbp/b2p2p1/p1pPpn2/Pp2N3/3PP1P1/1P3PBP/R1BQ1RK1 w - -,d1b3
4rk2/p7/1p1p4/2nP2Pp/2bBP2P/8/P1BK1r2/4R3 w - -,d4f2
r3r1k1/ppp2ppp/2nb2q1/8/2P5/5NP1/PP2PP1P/R1BQ1RK1 w - -,c1d2
5rk1/R6p/3p1n2/2pP1pq1/2P5/1PQN4/1K1Nb2P/8 w - -,d3f2
r2q1rk1/1p3pbp/pn1p1np1/2pP4/P1N1P3/2N5/1P2QPPP/R1B2RK1 w - -,c4b6
rnbq1rk1/pp2pp1p/6p1/2PpN3/2P5/2P1P3/P4PPP/R2QKB1R b KQ -,d8a5
1qr1rbk1/1b1n1ppp/p1pp1n2/3Pp3/2P1P3/2NNB1PP/P2Q1PB1/2RR2K1 b - -,a6a5
1k1rr3/1bp5/1pq1pR2/p3P1p1/P2P3p/1QP1N1pP/1P4P1/4R1K1 w - -,f6g6
r4rk1/pp3ppp/1qp5/3b4/3N1Q2/1PnR3P/P3PPB1/4R1K1 b - -,c3a2
