8/8/5k2/2R3p1/Pp3pP1/5K2/2P2P2/r7 w - -,a4a5
r1bq1rk1/2p1bppp/p4n2/np1P4/3N1B2/2N3P1/PP3PBP/R2Q1RK1 b - -,e7d6
rnb2rk1/pp2bppp/5n2/2pp4/3P4/1qN2NP1/PP2PPBP/R1B2RK1 w - -,a2b3
rn1qrbk1/p4ppp/1p6/3p4/3Nn3/P4B2/1PQ2PPP/R1BR2K1 b - -,b8a6
r3k1r1/pppq2b1/2np2Np/3Npb1n/2P2p2/1Q1P2P1/PP3PB1/R1B2RK1 w q -,b3b7
4R1k1/8/7P/5PK1/8/8/8/1r6 b - -,g8h7
1k3r1r/pp5p/1n4nQ/1q1pb3/2pP1P2/P1P5/BPRB2PP/5RK1 w - -,f4e5
8/3R4/5k2/3P2p1/2b4P/8/r5P1/6K1 b - -,g5g4
3R1r1k/2Q2p1n/b3p3/2p4P/4P2q/2N5/P3BRr1/6K1 w - -,f2g2
3r4/pp3k1p/2n3pB/3b1p2/3p4/P4P2/1PP3PP/3RR1K1 b - -,d5e6
r1rq2k1/pp2ppbp/2np1np1/6B1/2P1P3/2N2P2/PP2N1PP/R2Q1R1K b - -,a7a6
r2q1rk1/3b2pp/p1p1p3/1PPpNpn1/1P1P1B1b/1N1QP2P/5PP1/R4RK1 b - -,c6b5
1nbqkb1r/r1p1pppp/p2p1n2/4P3/1p1P1P2/2N2Q2/PPP3PP/R1B1KBNR w KQk -,e5f6
2r1r1k1/2R2p1p/4p1p1/1b1p4/pB1P4/P3P1P1/5P1P/2R3K1 b - -,b5c4
1r6/1P2k2p/1R5p/5p2/5K1P/6P1/8/8 b - -,e7d7
2r1k2r/pp2qpp1/2n1p3/2Qn4/3P2bp/PP1B4/1B1N1PPP/2R1R1K1 b k -,e8g8
r1b1k1r1/3qb1pp/p1p1Nn2/2p2p2/5B2/3P1NP1/PP5P/R2QR1K1 b q -,f6d5
r2q1rk1/2b3pp/5n2/ppRp1p2/3P4/P3PP2/1PQBN1PP/5RK1 b - -,a8c8
r1bqk2r/1p4pp/p4p2/3p4/1b1n4/2N1P1P1/PPQ2PP1/2R1KB1R w Kkq -,e3d4
r1bqk1nr/pp3ppp/2n5/b2p4/3PpB2/1QN3P1/PP2PPBP/R3K1NR w KQkq -,a1d1
bq2k2r/3n1pbp/2pppnp1/1p6/4P3/QNPP1NP1/1P3PBP/2B2RK1 b k -,e8g8
R4b2/1r3pkp/2Np1np1/3Pp3/1BP2P2/8/1P4PP/5K2 b - f3,f6g4
2b3k1/1p4pp/2p5/r3pP2/p1Rr4/P2B2P1/1P2P2P/2R3K1 b - -,g8f7
r5k1/1p3p2/1P2pqp1/2Pp3p/3P4/6PP/r2Q1P2/3R1BK1 w - -,d2e3
3B4/1p6/p7/P6k/2P1p3/6K1/8/2b5 b - -,c1d2
8/1P4kp/3p4/N2q2p1/8/7P/2n3P1/6QK b - -,d5b5
2r5/2R2Rpp/br2k3/4P3/1b3P2/7P/5PP1/6K1 b - -,c8c7
r1b2rk1/ppppqppp/2n1pn2/8/2PP4/5NP1/PP1bPPBP/RN1Q1RK1 w - -,b1d2:d1d2
rn1q1rk1/1pp1ppbp/p2p1np1/6B1/2PPP1b1/2N2N2/PP2BPPP/R2Q1RK1 b - -,f6d7
1rb2rk1/1pq5/pNp1p2n/2PpPp2/5Pp1/4P1P1/PP1QBK2/2R2R2 b - -,g8g7
8/8/3k1ppp/8/P1B2P2/2b1PK2/7P/8 w - -,c4f7
8/7p/4kRp1/6P1/7P/6K1/8/2q5 b - -,e6e5
rnbq1rk1/1p3ppp/p4n2/b2p2B1/3N4/P1N1P3/1P3PPP/R2QKB1R b KQ -,a5c3
r3kb1r/pp3ppp/1qp1pn2/8/3PQ3/7P/PPP1BPP1/R1B2RK1 w kq -,e4d3
1qr1r1k1/pb1n1ppp/1p3n2/3p4/3P4/QPN1PN1P/P1R2PP1/2R3K1 b - -,a7a6
1rq3k1/4r1pp/2p2b2/2Nb4/4pPP1/P3Q2P/1P5R/1KNR4 b - -,e7f7
8/p7/2R1pn1p/6pk/4P3/3N1PP1/7P/r5K1 w - -,g1g2
3rr3/1p3k1p/p3n3/5P2/P1P5/5P2/7P/B5RK w - -,f5e6
r1bq1rk1/pp3pbp/2n1pnp1/3p4/3NP2P/2N1BP2/PPP3P1/2KRQB1R b - h3,h7h5
r1b1r1k1/1p3ppp/3p1n2/q1nPp3/ppP1P3/1N2Q1PP/PPN2PB1/R4RK1 b - -,a5c7
1r3n2/r4pkp/3Rp3/p3P3/Np3P2/1P6/P6P/1KR5 w - -,f4f5
8/3n1pk1/R7/5P1p/4K2P/8/8/8 w - -,a6c6
8/4k1K1/3rP3/p2p4/2pP1N2/RnP5/1P6/8 w - -,g7g6
r1bq1rk1/pp2ppb1/n2p1npp/2pP4/2P1P3/2N1BN1P/PP3PP1/R2QKB1R b KQ -,e7e6
r4rk1/pp2qpbp/2p1b1p1/P3p3/2B1Pn2/2N1B2P/1PP2PP1/R2Q1RK1 w - -,c4e6
rn1q1rk1/pp1bbpp1/2pp1n1p/4p1N1/2P5/P1NP2P1/1P2PPBP/R1BQ1RK1 w - -,g5e4
3r1r2/3qppkp/1p4p1/p1p2b2/P1P3n1/1N1P2P1/4PPBP/R2QR1K1 w - -,d1c1
8/3r2k1/2p1p2p/1Pp1P1p1/5nP1/PR3N2/1P3P2/4K3 b - -,c5c4
8/4p3/4Pk2/p1pP4/PpP3p1/1P2R3/4NK2/3q4 w - -,e3g3
r4rk1/1p1bb1pp/p2pp3/5q2/8/2B2N2/PPP1QPPP/R3R1K1 b - -,e6e5
8/8/pk6/5R2/7p/1Pp5/P1P3rP/4K3 b - -,g2c2
r1bqkb1r/1p1nppp1/p1p4p/2Pp2Bn/3P4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,g5d2
r1r5/p4pk1/3Q1np1/4p2p/1p2P2P/5P2/1Pq1N1P1/1K1RR3 w - -,b1a1
r1b1kb1r/pp4pp/2nn1p2/2ppP3/5B2/1qP1PP1N/PP1N2PP/2KR1B1R w kq -,d2b3
r1bq1rk1/pppn1ppp/1n1p1b2/8/P2NP3/2NB3P/1PP2PP1/R1BQ1RK1 w - -,d3e2
3r2k1/p3p1bp/2b1P1p1/2P2p2/1PP2B2/4R2P/5P2/6K1 b - c3,d8d1
r3r1k1/1p1nqpb1/p4n1p/P4b2/1P2pPp1/Q1N1B1P1/4PNBP/2RR2K1 b - -,a8c8
8/8/kp1r3r/6K1/2Q5/8/P7/8 b - -,b6b5
8/8/5k2/4ppp1/2N4p/7P/rR2KPP1/8 b - -,a2b2
rnbqk2r/5ppp/p3pn2/1pb5/8/2NBPN2/PP3PPP/R1BQ1RK1 b kq -,c8b7
rnb2rk1/ppp1qppp/3ppn2/8/2PP4/2N2NP1/PP1QPPBP/R3K2R b KQ -,e6e5
r4rk1/p2nqppp/1p2p3/3b4/1P2PQ2/5NP1/P4P1P/R1R2BK1 b - e3,e6e5
4r3/3b4/p7/1p3pk1/2P1B3/1P4B1/7K/8 w - -,e4b7
5k2/p4pp1/8/1p6/1P2P1pP/P3P1K1/8/8 w - -,g3g4
r1bqr1k1/1p1n1ppp/p1pb1n2/8/3P4/2NB1N2/PP3PPP/R1BQR1K1 w - -,c1e3
6k1/8/1R3K2/5P2/8/8/8/r7 w - -,b6b8
rr4k1/2n1ppbp/qn1p2p1/2pPP3/4QP2/1PN2NP1/P2B2KP/R2R4 b - -,a6b7
6r1/2p5/1pp1kp2/p3p3/4P3/6P1/PPPR1PK1/8 b - -,c6c5
1r2k3/1b3p1p/pq1N1Pr1/1p2p3/4Pb2/P2Q3B/N1P4P/1K3R2 b - -,e8f8
1rbqk2r/5ppp/3p1n2/1pp1n3/3QPP2/1B6/1PP3PP/RNB2RK1 w k c6,d4d1
2r2rk1/pp3ppp/4p3/8/3Q4/2N5/PqP2KPP/3R3R w - -,c3e2
4rr1k/ppq3pp/3b1n2/3p1B2/1P1P1P2/P7/3B2PP/2RQ1R1K b - -,c7f7
3r2k1/qR3p1p/2p3p1/4b3/4P3/p5PP/P3RPBK/3r4 w - -,b7a7
2k5/1p1b1p1r/B3p1r1/3pPn2/5P2/P4R2/2PB2P1/1R2K3 b - -,d7c6
r3r1k1/2q1b2p/b1p1npp1/2p1p3/p1N1P3/1P1PB1NP/P1P2QP1/R4RK1 b - -,e6d4
3r3k/1p3rbp/pB2R1p1/q2N4/P3P1n1/1Q4P1/7P/3R3K b - -,f7f1
r4rk1/pp4pp/2p1p2q/3n1p1b/1PNPn3/P2NP1P1/2Q2PBP/R3R1K1 w - -,c4e5
8/4bkr1/1R6/pp1p2qp/2pP1p1n/P1P2P2/1P2Q1PN/6BK b - -,g7g6
r1bR4/pp3Nk1/2p1p2p/2q3p1/4Q1P1/8/P4PKP/8 b - -,g7f7
3B4/3n4/1pb3k1/2p3p1/P1P1p1P1/K3P3/4B3/8 b - -,g6h6
r2r2k1/pb2qppp/1p2pn2/4N3/2PP4/6P1/R2QPPBP/5RK1 b - -,b7g2
3r2k1/1b1n1ppp/1ppPp3/r7/P1BP1q2/1Q2RN1P/1P3PP1/3R2K1 w - -,f3e5
r3r1k1/p4pbp/q2p4/2pP3p/1p2b3/1Q3PP1/PP1B3P/R2NR1K1 b - -,e4d3
3r1k2/pbr1b1pp/1p3n2/PB6/2NP1P2/2P1R1PP/1P6/4R1K1 b - -,d8d5
1r2rbk1/2q2ppp/3p2bP/ppn3P1/3Q3R/P1N1BB2/1PPR4/3K4 b - -,e8e5
rnb1k2r/pp1pq1pp/2p5/4pp2/1bPP2n1/2N1P1P1/PP2NPBP/R1BQK2R w KQkq -,h2h3
r3k2r/ppq2ppb/2p1p2p/4b2P/2B1P3/8/PPPBQPP1/2KR3R w kq -,d2b4
8/8/p1r5/4p2R/2Pbk2P/1P6/2K5/2B5 w - -,h5h6
