8/7R/5k1p/5p1P/5P2/4PK2/8/1r6 b - -,b1h1
r3k2r/2qbbpp1/p1nppn2/1p5p/3NPP2/2NBB2P/PPP2QP1/R4RK1 w kq b6,a2a3
1r1q1rk1/pb3p1p/1pn1p1p1/2p5/3P4/1PQ1PNP1/P4PBP/R2R2K1 b - -,d8f6
6k1/5p1p/p5pQ/1p6/3qr2P/1P3RP1/5P1K/8 b - -,e4e2
r1br2k1/pp3ppp/2n1pn2/8/3P4/P1NBB1Pq/1P3P1P/R2Q1RK1 w - -,f2f3
r1b2rk1/pppn2pp/3p4/b2Ppp2/2B4q/P1NPP3/1P3PPP/R1BQ1RK1 b - -,d7f6
2kr4/pp2b1p1/2p4p/4p2P/6P1/2P2P2/1PQ5/q3KB1R w K -,e1f2
4r3/4Pp2/3p2p1/2p2r2/2P3K1/1pkP3P/8/1RR5 b - -,c3d4
2kr4/p1pq2p1/1p2p1Nr/3pP1Qp/2nP3P/P1P5/2P3P1/R4RK1 b - -,d7e8
6k1/5p1p/1R1p2p1/p1nP4/5QP1/P1P2PNP/q7/6K1 b - -,a2a1
8/p2b1p1p/4k1p1/8/8/1RPrBP2/P4PKP/8 b - -,d7c6
r2r2k1/1p2qp1p/2p1pbp1/p1nn4/2P5/PP1PP2P/1B3PP1/Q1RR1BK1 w - -,c4d5
8/8/6k1/5p2/P3pP2/1P5Q/1q3BK1/8 b - -,b2a1
r4rk1/1p3pbp/3pbnp1/q7/4P3/pPN1BP2/P2QB1PP/3RK2R w K -,e1g1
5K2/8/8/5k2/7B/5PpP/8/5b2 w - -,h4g3
r1bq1rk1/4bppp/pnnp4/1pp1p3/4P3/2PP1NN1/PPB2PPP/R1BQR1K1 w - -,h2h3
r7/3k4/8/3Pn2p/2P1N1p1/2K5/8/1R6 w - -,b1b7
rnbq1rk1/pp2bppp/3p1n2/4p3/4P3/1NN5/PPP1BPPP/R1BQ1RK1 b - -,a7a6
r5k1/pb3n1p/3q4/3Pn1p1/1P1QPp2/5P2/4B1PP/R2R2K1 b - -,a7a6
r1b1k2r/pp1n1ppp/4pB2/q2P4/3p4/P1P5/3NPPPP/R2QKB1R b KQkq -,d7f6
8/6p1/8/3kppPp/3n4/4K3/3N1P2/8 w - f6,g5f6
2kr4/pp2b1p1/2p4p/2q1p2P/4Q1P1/5P2/PPP3B1/4K2R w K -,g2f1
6R1/8/8/5p2/4k1p1/6P1/1r6/6K1 w - -,g8f8
1r4k1/5p2/5R1p/1BBn4/1P6/6PP/5PK1/3r4 w - -,b5e2
r3r1k1/5p1p/ppnq2p1/1pp1pPP1/4P3/3P3R/PPP3KP/R1BQ4 b - -,g6f5
k1br4/pp1n1p2/2p3p1/8/3PRPP1/3q4/PP2N3/K1R3Q1 b - -,d3e4
8/1N1bk2p/2p1p1p1/1P3p2/3P2P1/1QPBP2P/4KP2/r6r b - -,c6b5
r1bqkb1r/1p1n1pp1/p2p1n1p/1B2p3/4P3/2NQ1N2/PPP2PPP/R1B2RK1 w kq -,b5d7:b5c4
5R2/1Rnk1pp1/1B3rp1/p2p4/P1rP4/5P2/6PP/6K1 b - -,d7c6
6k1/3r1pp1/5n1p/8/P1r1pN2/4P2P/5PP1/2R3K1 w - -,c1c4
r2qr1k1/1p4b1/2p1pp1p/5np1/p2P4/2PR1N1P/PP3PPB/3QR1K1 b - -,d8d5
1r2qnk1/1r1bp1bp/pp1p1pp1/2pP4/P1P1PP2/1PN3PP/RB5K/Q2R1B2 w - -,d1e1
2r2r2/p2bppbk/1p1p1npp/8/P1P1P1P1/1PN1B2P/5PB1/2RR2K1 b - a3,d7c6
1k1r4/1pqnb1p1/p2p2pr/P1pPp3/R6P/2N1P3/1PP1Q3/1K2B1R1 b - -,d8h8
8/6p1/3p2kp/3r4/2RP1p2/8/6PP/6K1 w - -,g1f2
8/7k/1p1r4/p2Pqppp/P7/Q3P1P1/5K1P/3R4 w - -,a3d3
R7/8/5p2/8/1P3P2/4K1pk/P6r/8 w - -,b4b5
