8/8/5n2/P3p3/1KB4p/8/1P4k1/8 b - -,h4h3
r4nk1/p3bpp1/1p2p2p/5Nq1/2P1Q3/2B5/PP3PPP/4R1K1 b - -,a8d8
r2qkb1r/ppp1pp1p/1n4p1/3P4/2p5/5PPB/PP3P1P/R1BQR1K1 w kq -,d1d4
1krr4/pp2bpp1/4p1p1/n2pP3/qn1P2P1/1RN4P/PP3P2/R1BQ1BK1 b - -,a4d7
1rr3k1/p3pp2/6pp/1q1P4/n1p1P3/Q4P1P/PPR1N3/1K1R4 b - -,b5d7
8/8/4p1p1/b1B5/p1RP1P2/P4kP1/1r6/6K1 w - -,d4d5
1r3r1k/4n2p/2b3p1/2Rp4/4PP2/Pp6/1qn1NQBP/3R3K w - -,e2d4
8/3R1pkp/6p1/1P1p4/8/4rr1P/1R5K/8 w - -,h3h4
6k1/5pp1/5b1p/p1qBp3/1p2P2P/P5P1/1P2QPK1/8 w - -,e2h5
r4rk1/1bp1qppp/p1n2n2/P1bBp3/1p2P3/5N2/1PPN1PPP/R1BQR1K1 w - -,d2b3
8/1p3pkp/p1p5/2R2P2/r4pP1/P1P2K1P/1P3P2/8 w - -,c5e5
r1b2rk1/1pq1ppb1/pn1p1npp/8/3NPP1B/2N2B2/PPPQ2PP/2KR3R w - -,h1e1
8/6kp/2b1p1pq/p2pP3/6P1/P4R2/1Q4K1/8 w - -,b2b8
1r3rk1/1p6/p1p1b2p/2Pp1pp1/1P1PB1P1/2N1P2P/P3K3/5RR1 b - -,f5e4
3r4/1p3kp1/1Np2b2/p1P5/1P3RB1/P5P1/2n4P/6K1 w - -,b6c4
8/P1n5/1k3p2/3B2p1/1p3p1p/5K1P/6P1/8 b - -,b6a7
r1b1k2r/ppppnppp/2q5/2b5/4P3/3B4/PPPQ1PPP/RNB1K2R w KQkq -,e1g1
2r5/3qn1k1/3p1r2/p1p1ppNp/PpP4P/1P1PPRP1/4Q1K1/5R2 w - -,f3f2
4r1k1/3n1pb1/2Q2npp/p1pP4/4pqP1/2P1N3/P3bNBP/1RB3K1 w - -,b1b7
8/5k1p/2p1b1p1/1rB1R3/2p3P1/2P4P/5P2/6K1 b - g3,h7h5
r4rk1/2p2pp1/3ppnbp/1q6/3PP1P1/P1Q2P1B/1B5P/R4RK1 w - -,f1f2
6k1/p3n1p1/P1N4p/1P3P1P/3qp3/8/6P1/6K1 w - -,c6d4
8/3k4/1R6/p4r2/2K2p2/2P5/8/8 w - -,b6b2
r2qk2r/pp1bnpp1/1bn1p2p/3pP3/1P4PP/2PB1N2/P3QP2/RNB1K2R w KQkq -,b1a3
1r2r3/2k3p1/1p1q1pPp/p1pPnP2/P1P2Q2/2P4P/1R4K1/1R3B2 b - -,e5f7
r2q1rk1/3bppbp/3p2p1/1p1P4/1pn1NBn1/3Q2P1/P1N1PPBP/1R3RK1 b - -,a8a2
2kr3r/ppb5/1qp3b1/8/3PN1Qp/2P5/PP4PP/1R3R1K b - -,c8b8
r1bqk2r/pp2npb1/2np2pp/2p2p2/2B1P2B/2NP1N2/PPP3PP/R2Q1RK1 b kq -,g6g5
8/3qbkpp/1p2n3/p2pPp1P/n2P1P2/P4N2/2QBK3/2R5 w - -,c2f5
r2qk1nr/ppp2ppp/2nbp3/3p4/2PP2b1/4PNB1/PP3PPP/RN1QKB1R b KQkq -,g8e7
5k2/2b2p1p/p4B2/1p1p1b2/3P3P/2P3P1/PP3K2/4R3 w - -,e1e7
