8/2r2rk1/R3p1p1/3pP3/5P1P/R5K1/8/8 b - -,f7e7
3r3r/2pk2pp/pb2pn2/8/5B2/2N3PP/PP3P2/R4RK1 b - -,f6d5
r2q1rk1/6bp/2bp2p1/2nNp3/1pP1P3/R3N1P1/3Q1PB1/5RK1 w - -,a3a8
r1b2rk1/ppqnppbp/6p1/2p5/8/2PP1NP1/P1Q1PPBP/1RB1K2R w K -,c3c4
q2r2k1/1br5/p3Q3/1p6/8/P1NB4/1PPR2PP/7K b - -,g8h8
3r1rk1/pp4pp/5p2/2qP4/P1p1R3/7P/1PQ2PP1/3R2K1 b - -,d8d5
r1b1k2r/1pppbppp/p1n5/1B6/3P4/2P5/PP3PPP/RNB2RK1 w kq -,b5a4
r7/5p1p/5p2/p4k1p/R7/4P1P1/4KP2/8 b - -,f5e5
r2qkbnr/pp1npppp/2p5/3p1b2/2P5/1P4P1/PB1PPPBP/RN1QK1NR b KQkq -,g8f6
8/6p1/1nk5/p1p1p2p/P3P2P/1PK1R1P1/3N1r2/8 w - -,d2f3
8/6p1/6b1/7P/6P1/4k1K1/8/8 b - -,g6h7
3r1rk1/7p/p1qpb3/Rp3p2/2PQpP2/1P2N3/1P4PP/5R1K b - -,b5c4
8/5ppp/2nk4/pK2p3/8/1P1N4/5PPP/8 w - -,d3c5
r3r1k1/p1b4p/1p2p1pB/3P1p2/4p1P1/2P5/PP5P/3RR1K1 b - -,e6d5
r4rk1/2pqbppp/p1n1b3/1p1pP3/8/2P2N2/PPBQ1PPP/R1B2RK1 w - -,f1e1
8/5pp1/R3pk2/8/2p2Q2/5PPp/3p1q1P/3R3K b - -,f6g6
r1b2rk1/4q1pp/p3pb2/1p1p4/8/2NRB1Q1/PPP3PP/5RK1 b - -,c8b7
1r4k1/1r4pp/4p3/p2qN3/2pP1Q2/2P4P/1P2RPP1/6K1 b - -,a5a4
r2qr1k1/3n1pb1/2p2n1p/p2p1bp1/2PPp3/2N1P1B1/P2NBPPP/R2Q1RK1 w - -,a1b1
7r/1kp1npp1/1p2b2p/p1p1P3/P1P5/1P5P/1B1N1PP1/3R2K1 w - -,d2f1
r2q1rk1/1p2bppp/5n2/p2b1P2/P1P5/1N2Bp2/1P2Q1PP/3R1R1K w - -,g2f3
8/pk6/4R1N1/5p2/1PK4p/P7/6b1/5r2 w - -,e6e7
8/2r1pkbp/1N1P2p1/Bp6/8/1P2p1P1/1P5P/3R2K1 b - -,e7d6
2r3k1/7p/2b1qppQ/p2r4/4R1PP/1P3P2/P4PK1/3R4 b - -,d5e5
2r3k1/p4pp1/1p2n1p1/2pRq1N1/4P3/P6P/1P1Q1PP1/6K1 b - -,e5f6
4rr1k/p3q1pp/1p6/3Qpp2/8/2P4P/PP3PP1/3R1RK1 w - -,d5b5
r1b1k1nr/p1pp1ppp/2p5/2b5/4P3/5q2/PPPN1PPP/R1B1KB1R w KQkq -,g2f3
4r1k1/5rb1/1pqp2p1/p3ppPp/P1P1P2P/1P1N1P1K/5RQ1/5R2 b - -,c6c8
r4rk1/1bqn1ppp/p1pb1n2/1p2p1B1/3P4/P1N2B1P/1PP1NPP1/R1Q2RK1 b - -,f8e8
