4B3/8/4pk2/R4pp1/Pn1K4/6P1/1r6/8 w - -,a5b5
7r/1k4p1/2p5/4p2p/PPPB4/6PP/4B1K1/8 w - -,d4e3
rnb1k2r/pp2ppbp/6p1/2pq4/3P3B/2P1PQ2/P4PPP/R3KBNR b KQkq -,d5d8
1r3q1k/1r5p/p3P1pb/3R4/3N2b1/2N3Q1/1P6/1K5R w - -,c3a4
3r2k1/pb1q1nbp/1p4p1/3p4/6N1/6P1/PP3PBP/R1BQ2K1 w - -,a1b1
8/1p1k1ppp/1p1p4/3P4/1p6/2P5/P3KPPP/8 w - -,c3b4
6rr/p7/b3k2p/2pp4/2P3p1/3KP1P1/1qB2PP1/R6R w - -,a1a6
2n2rk1/r2p2pp/ppq1p3/5p2/N1P2P2/1P4P1/P4Q1P/3RR1K1 w - -,a4c3
3r4/1bq2pk1/6p1/3pp2p/2B1R2P/1P4P1/2N2P2/4Q1K1 w - -,e4e5
r2qkb1r/pp1n1ppp/2p1pn2/3p4/5P2/3PPB2/PPP3PP/RNBQ1RK1 w kq -,e3e4
4k2r/pbP2p2/1p2pp2/7p/2q5/6P1/P3PPBP/2RR2K1 b - -,c4c1
1r3r2/2p1qp1k/2Pp1npb/4pb2/1p5p/1P1NP1P1/P2Q1PBP/B1R1R1K1 w - -,d3b4
8/8/pB6/3kbp1p/2p3p1/6P1/P3K2P/8 b - -,e5b8
5Q2/p6p/1p3p1k/5rr1/8/1P5K/P6P/8 b - -,g5g7
r3kb1r/pp3p1p/1n2b3/3p4/4p3/1PPp3P/P2P1PP1/RNB1RKN1 w kq -,c1a3
2k3rr/pp1q4/2bpp3/7p/3RP1p1/2N3P1/PPPQ2P1/1K5R b - -,c8c7
r3r1k1/q5pp/3Pp3/pPP2pN1/P2p1P2/5QP1/5K1P/2R5 w - -,b5b6
6k1/6p1/p4r2/8/PPK3pP/6p1/8/3R4 w - -,d1g1
r2q1rk1/ppn1ppbp/1nppb1p1/4P3/2PP1P2/1PN1BN2/P3B1PP/2RQK2R w K -,e1g1
r3k2r/ppqnbpp1/2p1pnp1/8/2pP4/2N1PBP1/PP3P1P/R1BQ1RK1 w kq -,d1e2
r1bqk2r/ppp2pPp/2n5/2b5/2pp4/5N2/PPP2PPP/RNBQ1RK1 b kq -,h8g8
6k1/5p2/1p4n1/p2P2Q1/7P/P5B1/1q3P1K/8 b - -,g8h7
1rbq2k1/p1nr2pp/3B1p2/Pp2PP2/1Q1p4/P1pP2PP/6B1/1R3RK1 w - -,g2c6
2krb2r/p1p1qp2/p1n1p3/6pp/3P4/1QP1PNP1/P4PP1/1R1R2K1 b - -,c6b4
r4r1k/6bp/2p5/1pPn1p2/p3q3/P2NpN1P/1PQ3P1/K2RR3 b - -,b5b4
1r3rk1/1p2ppBp/2bpn1p1/2q5/2P1P2P/pP3NP1/3Q1PB1/R3R1K1 b - -,e6g7
8/8/8/8/pP1k1b2/7p/N7/6K1 w - -,g1h1
r1bq1rk1/pp3pp1/2nBp2p/3p4/8/2PBPN2/PPQ2PPP/R4RK1 b - -,d8d6
r7/4pk2/1n1p4/2pP3p/p4BpP/3R4/PPK2PP1/8 w - -,f4d2
3r1bk1/pb1q1p1p/1pn1rPp1/8/2p1P1PQ/2P1B1NP/P1B5/2R2RK1 w - -,c1d1
5bk1/8/3p2P1/2pPpN2/2P1P1K1/1p5r/8/2B5 b - -,h3h2
4r1k1/1p1brp2/1qpp1npb/p1n4p/2P1PP2/1PN2NPP/PBQ3BK/3RR3 b - -,h6g7
2r1rbk1/1b1n1p1p/p2pp1p1/6P1/1pqBP2P/3Q4/PPP1NPB1/1KR3R1 b - -,c4d3
3r2k1/5pp1/4b2p/pp6/2p1r3/P4N1P/1P3PP1/R1R2K2 b - -,e6f5
2r3k1/1p3rbp/2q1p1p1/1pPpp3/4P3/3BQ1P1/1P3P1P/R1R3K1 w - -,b2b4
