8/1p4R1/8/p3k2b/P1B1p3/1PP4r/3K4/8 w - -,c4e2
2r2rk1/pQ4p1/R1P3p1/2qp4/4pB1P/5bP1/5P1K/1R6 w - -,f4e3
r5k1/2pb4/1p1p1n1r/p2P1p1B/2PBpP2/1P1n2qP/P1NN2P1/3Q1RK1 w - -,d4f6
r1bq1rk1/1p5p/3p4/p1bN1n2/2P2p2/P1Q2BBP/1P3PP1/3RR1K1 w - -,d5f4
r1b1k2r/2q1bppp/p1n1p3/1p1pP3/1PnP1P1P/P2B1N2/3BN1P1/R2Q1RK1 b kq -,c8d7
r4r1k/2p2p1p/p3p3/1pP2p2/P7/4nP1P/2P2P2/R3R1K1 w - -,e1e3
1n1q1rk1/4rp2/ppp2n1p/3p2p1/3P4/P1Q1PPN1/1Pb2BPP/4RRK1 w - -,c3c2
5b1k/8/6P1/8/2P1B3/p7/5P2/5K2 w - -,e4b1
r2qkb1r/pb1n1ppp/4p3/2PnP3/Np6/3B1N2/PP3PPP/R1BQK2R b KQkq -,d7c5
2rr2k1/1p2ppbp/p1n1b1p1/3q2N1/3P3P/2P1BB2/2RQ1PP1/3R2K1 b - -,d5c4
r2q1rk1/2p1npbp/3p1np1/B2Pp3/2P1P1b1/2N2NP1/4BP1P/R2Q1RK1 w - -,f3d2
r4rk1/1bq1bppp/p2p1n2/npp1p3/3PP3/2P2N1P/PPB2PP1/R1BQRNK1 b - -,a8c8
8/4k3/5p2/3P4/4PKPR/8/8/r7 b - -,a1f1
5rk1/4q2p/3p4/1p1P2p1/6R1/1PP3QP/4rpP1/6RK w - -,g4g5
4r1k1/p4pp1/Qp5p/P3r3/8/6Pq/1P3P2/2R2RK1 w - -,a6b7
8/5p1k/7p/P1R5/6P1/r4P2/5K2/8 b - -,h7g7
r1bqkb1r/pppn1ppp/3p1n2/8/2BQP3/2N2N2/PPP2PPP/R1B1K2R b KQkq -,f8e7
r5rk/1p1bbq1n/2p1p2p/p2nP1p1/3PQ3/P2BB1NP/1P3PPN/R2R2K1 b - -,d7e8
2r3k1/pb1qppb1/1p1p2p1/3P3p/P3P3/1P2BP1P/3QB1P1/2R3K1 w - -,e2b5
8/p1pk2r1/2p2R2/4p3/3PP3/4K3/6rP/7R b - -,e5d4
1r1q1rk1/3nbppp/b1npp3/p7/1p1PP1P1/2P1BNNP/P1PQ1PB1/R2R2K1 b - -,b4c3
3r1r2/pp3pk1/5q2/P2Bp1p1/8/2PbPQP1/5P1P/R4RK1 w - -,f1e1
5rk1/pp2bppp/1q2p3/1b1pPn2/1P1P4/P1rBPN2/6PP/R1BQR2K w - -,d3b1
1r1q1rk1/1pb3p1/1Np2nn1/NPPp1b2/3B3p/2Q3P1/P4PBP/3RR1K1 b - -,c6b5
r1bqk1nr/pppnppbp/3p2p1/8/3PP3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,f1d3:f1c4
2b5/1k2bpr1/1pp4r/p2p1p1p/1n1P1P2/1P2PNP1/1P1NBK1P/3R2R1 w - -,d2b1
1r4k1/p2r1pb1/1p4p1/2p2nPp/PP2P2P/5K2/1B1R1P2/3R4 w - -,d2d7
6k1/7p/1Pn1p1p1/pq3pP1/5P1P/P3P3/1B3Q1K/8 w - -,f2d2
r2q1rk1/pp1nbppp/2p1pn2/4N3/2PP4/2N1B2P/PP2QPP1/R2R2K1 b - -,f8e8
r7/p3kppp/1rnp1n2/3p4/RN1Pp3/1RP1P3/1P1N1PPP/6K1 b - -,e7d7
8/1p3rk1/p7/3p4/P4r2/3Q3P/P1P3P1/6K1 b - -,f4a4
8/8/4k1p1/3RPp2/3P1P1p/4PK2/8/8 w - -,d5d6
8/5pk1/8/4K1P1/3R1P2/8/6r1/8 w - -,d4e4
r1b2rk1/ppq1bppp/4pn2/8/3N4/2PB1Q2/PP3PPP/R1B2RK1 b - -,c8d7
r2r4/ppp1kp1p/2p3p1/4P3/5P2/P1N2B2/1PP3PP/2KR3n w - -,d1h1
2r4k/1p4p1/3qBp1p/p3pP2/4P2P/2N5/1P3Q2/6K1 b - -,c8c7
3qr3/pp3pk1/3Bp1np/3bP2Q/2pN4/P6R/1P3P1P/6K1 b - -,d8g5
r3kb1r/2qn2pp/1pp1pn2/3p4/3P1P2/1Q2P3/PP1NB2P/R1B2RK1 b kq -,f8d6
rn3rk1/p3ppb1/1qp2np1/7p/7P/1PN3N1/PBPP2Q1/2KR3R w - -,h1e1
r1bqr1k1/ppn2pbp/3p2p1/2pP4/P3NB2/4PN1P/1P2BPP1/R2Q1RK1 b - -,e8e4
N1bk1b1r/pp2ppp1/3p3p/8/4P1nB/3B4/PP1K1PPP/n6R b - -,b7b6
8/p7/P7/8/4p3/6k1/2p1K3/8 w - -,e2d2
r1q1r1k1/p2n1pbp/2p1p1p1/2Pp4/Q2P1B2/2N5/PP3PPP/1R2R1K1 w - -,f4d6
1r1rb1k1/n3ppbp/1qpp1np1/1p6/1P1PP3/1N1N2P1/PB3PBP/2RQ1RK1 b - -,f6d7
r1b2rk1/p7/2n1p1Bp/2ppq1p1/2P5/8/P1QN1PPP/R4RK1 w - -,c4d5
