7k/p1R2pp1/8/3pP3/r6p/5r1K/7N/8 w - -,h2f3
1r3k2/4Np2/p2p4/6p1/6Pn/1P2B2K/Pb3P2/2R5 w - -,c1d1
r4bnr/pp1k1ppp/2n1p3/2p5/8/2NP1NP1/PPP2P1P/R1BK3R w - -,c1e3
2n2r2/pp2ppk1/4Bnp1/4N2p/4q3/6P1/2Q2P1P/3R2K1 w - -,c2e4
r2qrbk1/1pp3pp/2n1bp2/p2np3/2N4N/P2P2P1/1PP2PBP/R1BQR1K1 w - -,c4e3
1r3rk1/p3n1bp/bqnpp1p1/2p2P2/4PP2/2PPB2P/P2Q1RB1/R1NN2K1 b - -,g6f5
2r1r1k1/ppq2ppp/5nb1/n7/2PPp3/P6P/BB1NQPP1/2R2RK1 w - -,e2e3
8/5pk1/p5p1/2p5/1p1p1Q1q/3P4/PPP3P1/4rRK1 b - -,h4f4
r1brnbk1/1p3p1p/p5p1/2pPp3/P1N1P2q/2N1Q2P/1P3PP1/R3RBK1 b - -,c8d7
r1b2rk1/1pq1bppp/p2ppn2/4n3/4PB2/P1N2N1P/BP2QPP1/R2R2K1 b - -,c8d7
8/8/6p1/4pp1k/7P/6P1/2n1b1BK/6N1 b - -,e2g4
r7/3k1ppp/3bp3/p7/Pp2P3/1P6/3BKPPP/2R5 w - -,d2e3
6k1/2p2np1/3P1p1p/2P1p2P/p3P1Q1/4q3/P5BK/8 b - -,c7d6
5rk1/5ppp/3b4/1p6/2p1r3/2Pp1N1P/P6P/R4R1K w - -,f3d4
6k1/5p1p/4b1p1/8/2P1P1P1/p3Nr2/5P2/R5K1 w - -,g1g2
4b1k1/3q4/p1pP2r1/6pQ/P1p5/2P4P/5PP1/3R2K1 b - -,e8f7
4r1k1/pb1n3p/2p2b2/P1n3p1/1NP1pp2/8/P2BBPPP/1R1N2K1 w - g6,d2c3
r3r1k1/1bq1bppp/pp1pp3/2n1P3/P2NNP2/3B2Q1/1PPB2PP/R4R1K b - -,c5e4
b7/B6p/P7/1Pp5/5p2/5Pkr/8/R5K1 w - -,a7c5
7r/2p2ppp/2k2n2/8/8/2P1K3/Pr1N2PP/R2R4 b - -,f6d5
1rbqk2r/p3pp1p/2np1npQ/2p5/4P3/2PP2PP/P3NPB1/R2NK2R b KQk -,d8a5
r4rk1/pp2bppb/4p2p/q1n1P3/2P2P2/5B2/P5PP/RN1Q1RBK w - -,d1e1
1rbqr1k1/4ppbp/ppnp1np1/8/2P1P3/2N1BP2/PPNQB1PP/2RR2K1 w - -,c3d5
r5k1/1pp2rpp/pn1b2n1/3PppR1/1P6/P1N1PP2/1B2BP1P/5R1K b - -,d6e7
8/8/4n3/3kpp1p/1P5P/3KBP2/8/8 b - -,e5e4
r3q1k1/6pp/p1b1p3/b4p2/2RP1B2/PQ2P3/1P2KPPP/R7 w - -,c4c5
2rr1bk1/p2q1ppp/4p3/2n1B3/PpP1P2P/1P1p1QP1/3R1P2/1R3BK1 b - -,f8d6
2k4r/ppprppbp/3n2p1/3P4/5B2/1PN2KP1/P1R2P1P/5R2 b - -,c8b8
1r1k4/R1r2pnp/2p3p1/1pPp4/1P1P2P1/4KP1B/7P/R7 w - -,g4g5
r4rk1/pb1nqppp/1ppbp3/8/2PPp3/1P2P3/PB1N1PPP/R2QRBK1 b - -,f7f5
7k/pp5n/2pQ4/8/2PPN2R/8/PPK3r1/6q1 w - -,c2b3
8/4b3/2b3Bp/8/1P2Pkp1/P7/6K1/8 w - -,g6h7
8/8/2k5/1p3R1P/4P3/2P4r/3K4/8 b - -,c6b6
4rr1k/1b2q1pp/p2b4/5p2/PpB2P2/1P2P3/1B3Q1P/R4RK1 b - -,d6c5
7k/R6p/8/5p2/P7/3p4/2r3PP/6K1 w - -,a7d7
2rb2k1/1b1q1p1p/p5p1/2p2PP1/P1Pp1B2/3B2P1/1P3Q2/4R1K1 w - -,f5f6
2rq1rk1/p3bppp/1p2pn2/4N3/3PB3/P5P1/1P2QPP1/R3R1K1 b - -,d8d4
r1bqk2r/pppnbppp/4pn2/3p4/3P1P2/3BPN2/PPP3PP/RNBQ1RK1 b kq -,e8g8
r2q1rk1/pp2bppp/n1p1pn2/8/3P1B2/2NQ1BPP/PPP2P2/R4RK1 w - -,a2a3
