8/1pk5/5K2/4P3/8/8/r7/5R2 w - -,e5e6
3r1rk1/1p5p/p1n3p1/2bq4/5B1Q/3B3R/1PP3PP/5R1K b - -,d8d7
r1q2rk1/1pp4p/2np2pb/p3pbN1/P2P4/2P1B1P1/1P3PBP/R2QR1K1 b - -,a8b8
5R2/6r1/8/5p2/6kp/8/6K1/8 w - -,f8h8
8/1R2kp2/p5pK/8/P3r1PP/8/8/8 b - -,e7f8
r1b1kb1r/2ppqppp/1np5/p3P3/2P5/BP6/P3QPPP/RN2KB1R b KQkq -,e7g5
4r1k1/1pp2p2/p3qnp1/4p2p/P1P1P3/BP2Q1P1/5PKP/3R4 b - -,h5h4
1r2r1k1/1p3pb1/4N1p1/p4p1p/2P4P/4P1P1/P2R1PB1/5RK1 b - -,f7e6
r5k1/5pb1/2q1r1pp/1p6/n1p1P1P1/2P1N1BP/1PQ5/1R2R1K1 w - -,e3d5
rn1qkb1r/ppp1pppp/5n2/8/4b3/1Q3NP1/P2PPPBP/RNB1K2R w KQkq -,b1c3
1k3r2/1p5p/p3n1p1/8/3P2P1/1B2q2P/PPQ3K1/6N1 b - -,e6d4
r1b2rk1/ppppnppp/5q2/2b5/2B1P3/2P3Q1/PP3PPP/RNB2RK1 w - -,b2b4
2rk1r2/ppqbn1pp/4p3/3pP1NQ/P7/B1b5/2B2PPP/R4RK1 w - -,a3d6
r1N4k/1p4b1/1p5r/1N1Pp2q/4P2n/BR3P2/P1Q3pP/4R1K1 b - -,h4f3
3r4/1k4p1/p1p2p2/PpP2P2/1P1rPK2/2R2P1P/8/5B2 b - -,d4b4
r2qkb1r/1p3p2/p1b1p3/4p1p1/4P3/2NQ4/PPP1B1PP/2KR3R w kq -,d3f3
2r5/p4pp1/3kp1bp/3p4/3N3P/P7/1r2P2R/4KB2 w - -,h2h3
r1bqr1k1/ppp2pp1/2n2n1p/3p4/3P3B/P1P1PN2/5PPP/R2QKB1R w KQ -,f1d3
2r2r2/1p2ppbk/p2p1np1/P5Bp/B1b1P3/2P2PN1/1P3PK1/R2R4 b - -,c8c5
rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/2N3P1/PPP1NP1P/R1BQKB1R b KQkq -,e8g8:c7c5
7R/5rk1/p6R/6rp/2P3p1/1K6/1P6/8 b - -,g4g3
3r4/1p2nkpp/p1b2p2/2pp4/4PP2/2NR2N1/PPP3PP/6K1 w - -,e4d5
4n1k1/6b1/r1q2n1p/1NppB1p1/P7/R4NP1/1P2QPKP/8 b - -,c6e6
1rq2rk1/2n1ppbp/pp1p2p1/2BP4/PRB1PP2/2NQ1R1P/2P3P1/6K1 b - -,b6c5
4r2k/p1rb3p/5p2/2pB2p1/1p6/4P1P1/PP5P/2R2RK1 w - -,f1f6
6k1/1R3pp1/7p/1p6/8/4B1P1/1Pn2PKP/r7 w - -,e3d2
5k1r/5ppp/3r1q2/Q7/5R2/1N2n3/PPP3PP/2K5 w - -,a5a8
3qrkn1/r5p1/5p2/p3pRP1/Pp1pQ3/1B1P3P/1P3P2/2R3K1 w - -,e4h4
r1bqk2r/pp1nnpb1/3p2pp/2pP4/4P2P/2N1B3/PP3PP1/R1NQKB1R b KQkq -,d7e5
8/3n4/1p2bp2/p1p1k1p1/2P1P1Pn/PPN1KPN1/4B3/8 b - -,h4g2
Q7/7p/2p1r1k1/1q1rP1p1/3P1p2/3R1P1P/6PK/3R4 b - -,e6e7
rnbk3r/pp2ppbp/6p1/2P5/4NPn1/5N1P/PPP3P1/R1B1KB1R b KQ -,g4f6
r1bq1rk1/1pp1b1pp/3pp3/p7/1nPPQ3/5NP1/PP2PPBP/R1B1R1K1 b - -,e6e5
r4rk1/1np1q1bp/3p1n2/2pPp1p1/NP2Pp2/1N3P2/4QBPP/R4RK1 w - -,b4c5
r3qrk1/2p1b1pp/p1nppn2/P3p3/QpN1P3/2PP1N2/1P3PPP/R1B1R1K1 b - -,f6h5
r4rk1/p3p2p/2p3pb/4P3/3PqpQP/4PR2/PP4P1/R5K1 b - -,e4f5
1rr1q1k1/R2n1ppp/3p4/1pp2P2/3pP3/3P4/1PPB1QPP/5RK1 w - -,f2g3
8/5q1k/2Q3p1/p4p1p/1p5r/1P4R1/2P1N3/1KN1r3 w - -,g3d3
r1bqk1nr/pp2bppp/2n1p3/3p4/3PP3/2P2N2/5PPP/RNBQKB1R w KQkq d6,e4e5
1r3nk1/pQ4p1/3bbq1p/3pNpn1/3P4/3BPP1P/PP4PB/2R2RK1 w - -,b7a6
r1b1k2r/1pp1n1bp/6p1/4q3/1pBnp2N/6P1/PB1Q1P1P/RN2R1K1 w kq -,d2b4
1r4k1/p4pp1/4p2p/q3P3/3p4/1P6/P4PPP/4QRK1 w - -,e1e4
r1b2k1r/ppp2n1p/2n5/1P1p2p1/2Bp4/6P1/PP1N3P/R1BKR3 b - -,c6b4
2r2rk1/p4ppp/1p2p3/8/1Q4Pq/P3P3/1P1RKP1P/7R b - -,c8c5
8/1k6/1N1pn1P1/P7/2P5/1K6/8/8 w - -,b6d5
3k4/3P2R1/1K4p1/4p2p/4P3/8/p7/8 w - -,b6c6
r2q1rk1/pb1Nppbp/1p3np1/2pp4/3P4/1N4P1/PPP1PPBP/R1BQR1K1 b - -,f6d7
r1bq1rk1/pppn1pbp/5np1/3pP3/2NP4/3B1N2/PP3PPP/R1BQ1RK1 b - -,d5c4
r3r1k1/pb5p/1p3p2/3p4/5P2/6P1/PPR3BP/3R2K1 w - -,c2c7
3rn2r/k4ppp/2Qb4/p2P4/P2p1B2/6P1/5P1P/5BK1 b - -,d4d3
8/4k2p/4pp2/3p4/2p3P1/2P1P3/1P3RKP/4r3 w - -,g2f3
1r3r2/ppqb1Bk1/6p1/2pQ4/4P1n1/2P3b1/P3N1PP/1R3RK1 w - -,e2g3
1r2rb2/5p1k/1Nqpn1p1/Ppp1p2p/1P2P3/3PB1P1/2Q2P1P/1RR3K1 w - -,c2b3
r1b1kb1r/pppp2pp/5n2/4N3/1q1QP3/5P2/PPP3PP/RNB1K2R w KQ -,d4b4
r2qk2r/p2n1ppp/1p1bp3/1Q1p3n/3P4/4B1P1/PP1NPPBP/R3K2R b KQkq -,a7a6
4r2k/p6p/5q2/1p3p2/8/1B1P1Q1P/PbN5/6RK w - -,f3d5
3rk2r/4ppbp/6p1/R2pPN2/2p2P2/2P1B3/1P4PP/5RK1 b k -,g6f5
2kr2r1/B1p1n1b1/1p6/3Ppp1p/8/2N4P/PP3PP1/R4RK1 w - -,d5d6
1r1r2k1/5ppp/2p5/p1N1p1b1/3BP3/1P3P2/P4KPP/R2R4 b - -,e5d4
8/7k/6p1/2p2p1p/1p1b1P1P/1P1P2PK/r5B1/2R5 b - -,a2d2
rnbqkbnr/1p3ppp/p3p3/2p5/3pPP2/2NP1N2/PPP3PP/R1BQKB1R w KQkq -,c3e2
8/3bBk1p/3P2pb/8/8/2R3P1/1P3PKP/1r6 w - -,c3f3
2r1kb1r/pp2pppp/1np5/q2bB3/P1pP4/2N4P/1P1Q1PP1/R3KB1R b KQk -,f7f6
1r2k2r/1b2bpp1/p3p2p/3p4/5P2/P1Pq1B2/1P4PP/1NKRR3 w k -,d1d3
1r3rk1/p1q1pp1p/6p1/2p5/b1P5/2Q1P1P1/P4PBP/2RR2K1 w - -,d1d5
2k1b2r/pp1r2p1/2p1p3/7p/2PqNb2/BR3P2/P3Q1Bp/5R1K b - -,d4e5
