8/8/4k3/2bp2pp/2p4N/4N2P/4K1P1/8 w - -,h4f3
2r3k1/R5bp/3p1p2/1p1P1p2/b7/1P1B3P/3B1PP1/6K1 b - -,a4b3
r2q1rk1/2p1n1b1/p2p4/1n5Q/Np1Pb3/1P1B2BP/P4PP1/5RK1 w - -,d3e4
rn1q1rk1/pp3pbp/3pbnp1/2p3B1/2P1P3/2N5/PP2BPPP/R2QK1NR w KQ -,d1d2
r2qkb1r/pp2pppp/2n2n2/2pp4/4P1b1/2PP1N2/PP1NBPPP/R1BQK2R b KQkq -,e7e6
r7/6B1/2k1p3/4P2p/1p2P3/2p1K3/P1R5/8 b - -,c6b5
5rk1/6pp/2RNp3/5p2/PQ1PpP1q/3br3/6PP/R5K1 w - -,g2g3
8/r7/8/6k1/5p2/5N2/4BK2/8 b - -,g5f6
r2q3r/3nkp2/p2p1np1/1p1Pp1Qp/P1p1P2P/4NP2/1PP1N1P1/R4RK1 b - -,d8b6
r5k1/pppqnrb1/2n1b3/6pp/3pPp2/1P1P1PP1/PBN1Q1BP/R3NRK1 w - -,c2a3
r5k1/pp3pp1/1P6/1Q1N2p1/4q1b1/6P1/1PP2P1P/R5K1 w - -,b6a7
1r6/8/8/4k3/7p/8/PK3R1P/8 w - -,b2c3
4rrk1/1p4qp/p1p1p3/2PpBp2/1P2n3/P3P1P1/R3N1QP/4R1K1 b - -,g7e5
r5k1/pp1q1p2/2p1rBnp/5Qp1/3PP1P1/6P1/PP5N/2R2RK1 b - -,d7c7
4R3/8/6p1/5pk1/4p1Pp/7P/5PK1/4r3 w - -,g4f5
r7/8/1R1b2pp/p2Pkp2/2B1p3/6P1/P4P1P/6K1 w - -,g1g2
3r2k1/bp2qpp1/p3p2p/Pb1n4/2N2P2/1Q1NP3/1P3PBP/2R4K w - -,c4e5
6Nk/1p6/3p3b/pP1Pr3/1n3p2/5R1P/1P5K/3B1R2 b - -,h8g8
3N4/6k1/3p1rpp/1q2p3/4P3/4Q1P1/b4P1P/2R3K1 b - -,b5b8
8/1p2p3/3n1k2/p1p1p1p1/P3P1B1/2PK1PP1/4P2r/1R6 b - -,h2h8
r3r1k1/pp2bppp/1np1p3/8/3PR3/P1P2NB1/1P3PPP/3R2K1 b - -,b6c4
r2qr1k1/pp3pbn/2pB2p1/4Pb1p/2PP4/1PN2RPP/P1Q1N1BK/8 w - -,f3f5
5rk1/pbrn1ppp/1p2p3/8/3P4/2PB3P/P1RN1PP1/4R1K1 b - -,d7f6
r3r1k1/qp1b1p1p/p1p3p1/P2p4/1P1P4/5P2/2QB2PP/3RRBK1 b - -,a7d4
6k1/8/2b3p1/7p/1Pp1r3/3P3P/P4Bp1/3R2K1 b - -,c4d3
r1bqr1k1/pppnppbp/3p2p1/7n/3PP2P/2N1BN2/PPPQ1PP1/2KR1B1R b - -,e7e5
r1bqr1k1/1pp2p1p/1n4p1/p3b3/8/1PN1P1P1/PB2QPBP/R4RK1 b - -,a5a4
