8/8/2R5/pP3pp1/P4k2/7P/r7/5K2 b - -,a2a4
r2q1rk1/pp2nppp/2nbp3/3p4/Q2P2b1/2PB1N2/PP1N1PPP/R1B2RK1 w - -,f1e1
r2qk2r/pb1nbppp/4pn2/2p5/1p1P1N2/1B2PN2/PP3PPP/R1BQ1RK1 w kq -,d1e2
r1b1q1kr/p2np1b1/1pp1Nn2/3p4/NP1P4/2P1P3/P1B2PPP/RQ3RK1 w - -,c2g6
r1b1k2r/pp2ppbp/1qn3p1/2npP3/B7/2PQ1N1P/PP3PP1/RNB1R1K1 w kq -,d3d1
8/4p1bp/2pk2p1/p1p2p2/2P5/1P2PPP1/P4K1P/3N4 w - -,f2e2
4r3/7R/8/5K2/8/8/1p6/1k6 b - -,e8e2
rn1qk2r/pp2ppb1/2pp1np1/7p/2PP3P/2N2bP1/PP2PPB1/R1BQ1RK1 w kq -,g2f3
1r4k1/p2r1pp1/6p1/3pb3/2R5/P4B2/5PPP/3R2K1 w - -,c4c5
1r2rbk1/2qb1ppp/p2p1n2/3Pp3/2p1P3/B1P2N1P/P1B1QPP1/R3R1K1 w - -,f3d2
6k1/p6p/1p1p3b/4n3/8/2P5/PP1pB1KP/5R2 w - -,f1f6
8/5pk1/2bn4/1P1N3p/3K1Pp1/1p6/1R5P/8 b - -,d6b5
8/3r4/4k3/2Q2p2/5K2/8/8/8 w - -,c5e5
8/8/1pB5/4pb2/Pk6/5PKp/8/8 w - -,c6e8
r3r1k1/1R3ppp/8/2p5/nP4P1/4P3/1B3P1P/2K4R w - -,h1d1
rnb2r1k/ppb1q1pp/1np1P3/3p1P2/1P1N4/P1N3P1/6BP/R1BQ1RK1 b - -,c7e5
3r4/5k1p/b3p1p1/pN3p2/P1qP1P2/2P1Q1P1/6BP/2n1R2K b - -,c1d3
4qrk1/1pnn2pb/2p1p2p/2PpP3/1PP4P/6P1/1B1NQ1B1/R6K w - -,h4h5
r4kn1/1ppqrpp1/p2p3p/3P4/2PQ4/4RN2/PP3PPP/4R1K1 b - c3,e7e3
8/7p/3nk1p1/1p2p3/6PP/3BK3/P7/8 w - -,e3f3
5r2/2R2r1k/p6p/3q2p1/P6P/2QbP3/1P3PP1/2R3K1 b - h3,d5f5
1rbq1rk1/p1ppbppp/1pn2n2/4p3/2PP4/2N1PNP1/PP3PBP/R1BQ1RK1 b - d3,e5d4
2r1k3/2PR1n2/1p3p2/pPP1pP2/P3P1pp/8/6PP/6K1 w - -,d7f7
3k4/8/4P3/2P2K2/5P2/8/8/8 w - -,f5f6
2rr2k1/1b1nbppp/p2p4/qp6/3BP3/1P3N1P/P3QPP1/1BR1R1K1 b - -,e7f6
2rr2k1/pb1n2bp/1pn1pPp1/8/2PP4/P1BB1NP1/3NK2P/R3R3 b - -,d7f6
r1b2r1k/ppq1p1b1/n1ppN1pp/2P4n/3PP3/1Q4P1/PP2NPB1/R1B1R1K1 b - -,c8e6
r1bqnrk1/ppp2ppp/3p4/2nPp3/1bP1P3/2N3N1/PPQ1BPPP/R1B1K2R b KQ -,d8h4
