8/6p1/4k2p/8/1p2PP2/1r1RK1P1/7P/8 b - -,b3a3
8/5k2/p5p1/3pKpB1/1Pp1b2P/2P3R1/r7/8 b - -,a6a5
r2qr1k1/1p1n1pbp/pnp1p1p1/3p4/2P5/1PNPPB1P/PBR2PP1/Q4RK1 w - -,f1d1
3b1r2/5pk1/1p1p1np1/3qp3/1P6/4Q1N1/1B3PKP/2R5 w - -,e3f3
1k3brr/ppq2p2/2p1p3/2NnPb1p/2NP4/5Q2/PP2BPPP/2R2RK1 w - -,f3b3
rnbqr1k1/1p2ppbp/p4np1/3p4/3P4/2N1BN1P/PPP1BPP1/R1Q1K2R w KQ -,e1g1
3r1rk1/4bpp1/p1n1p2p/1p1n4/3P4/NN2B3/PP3PPP/R4RK1 w - -,a1c1
2r1nn2/p6k/2p1pqpb/2R1N3/1P2P2p/3Q2PP/P4PK1/3R1B2 b - -,h4g3
r2qr1k1/pp3pp1/2p1bn1p/3p4/2PPp3/P1Q1N1P1/1P2PPBP/2R2RK1 b - -,d8d7
3rr1k1/1p2qpp1/2n2b1p/p1P5/1P1p1PP1/P4QB1/3RN2P/3R1K2 w - a6,d1b1
5r2/1p5k/3p3p/pPpPbP2/PnB1p2P/1P4N1/5n2/1K1R3R w - -,d1g1
5rk1/ppqr1pp1/3bp2p/2p2b2/2BPn3/2P1BN1P/PP2QPP1/R4RK1 b - -,a7a6
r3k1nr/pppq1pbp/2npb1p1/4p3/4PP2/2NP1NP1/PPP3BP/R1BQK2R w KQkq -,e1g1
r1bq1rk1/pppn1pb1/3p1np1/4p2p/3PP1P1/2N1BP1P/PPP1N1B1/R2QK2R b KQ -,f8e8
8/3Q4/8/4r3/7K/4k3/8/1q6 w - -,d7h3
7k/5p2/pn5p/1p1pPN2/1P1P1q2/P2Q2R1/6PP/2r3NK w - -,f5e7
4k3/3b4/3P4/8/3K4/5R1p/6rB/8 w - -,f3e3
4r3/QpbRrpk1/p1p3p1/P5q1/1P2Pp1p/2P2P1P/B5PK/3R4 w - -,d7e7
8/8/Np1n1pp1/3Pk3/4P3/3K4/P5P1/8 w - -,a6b8
8/8/p2R4/1p2p1kp/1P2P3/P1r1K3/2P2N2/8 w - -,f2d3
4k3/5p1p/1n1P2p1/2p1P3/5P2/1r1B4/6PP/3R2K1 w - -,g1f2
r2r2k1/5pp1/3bp2p/3qN2n/2pP4/2P2R1P/2Q2PPB/1R4K1 b - -,a8a7
3q4/1p3pk1/p2p2p1/3Pp3/3pP3/3P1PP1/PP6/2Q3K1 b - -,d8d7
4N1k1/5p2/4p1pp/8/1P5P/PR2K3/3r2P1/3r4 b - -,d2g2
5nk1/1p2qrb1/1B1p4/PB1Pp2p/QP2Pp2/3N1PpP/6P1/2r3K1 w - -,d3c1
2r1r1k1/1p2npp1/3p1nq1/pN5p/2P1pPb1/B3P3/P2Q2PP/R3KB1R w KQ -,b5d6
r1b2rk1/p4p1p/1pn3p1/3R1nP1/8/1N2BP2/PPP4P/2K2B1R w - -,f1e2
r3kb1r/1bqn1p2/p3p1pp/3pP3/1p1N1PP1/3BB3/PPPQ3P/1K1R3R b kq -,d7c5
6k1/pb3p2/1p2p1pp/8/3PPPP1/3B1K2/P1Q4P/7q w - -,c2g2
4rk1r/pp2bppp/2p3n1/3p4/3P4/3B2P1/PPP2P1P/R1B1R1K1 w - -,c1d2
1r3r2/pp1b2k1/n1pNpqPp/P1P2p2/7R/5RP1/1P2QP2/1B4K1 w - -,f3d3
1n1r1rk1/1pq2bpp/5p2/p1p1pP2/P3P1P1/4B3/1PP3BP/R2RQ1K1 b - -,b7b6
2nq4/p2k4/Q1pPp1pp/2P1B3/P2P2PP/1p6/6P1/6K1 w - -,a6b7
